Neuron and StructuralCell SubClassOf Erythrocyte,  False.
PlantCell SubClassOf MioBlast,  False.
PlantCell SubClassOf CellByDevelopmentStage,  False.
PlantCell SubClassOf PhotoreceptorCell,  False.
PlantCell SubClassOf CellByOrganism,  True.
PlantCell SubClassOf Cell and CellByClass and CellByOrganism and InMatureCell and PhotosyntheticCell,  True,
PlantCell SubClassOf ElectricallyActiveCell,  True.
PlantCell SubClassOf Cell and CellByClass and CellByOrganism and ElectricallyActiveCell and InMatureCell and PhotosyntheticCell,  True:
PlantCell SubClassOf StructuralCell,  True.
PlantCell SubClassOf Cell and CellByClass and CellByOrganism and InMatureCell and PhotosyntheticCell and StructuralCell,  True:
PlantCell SubClassOf Neuron,  False.
PlantCell SubClassOf ChondroCyte,  False.
PlantCell SubClassOf Cell and CellByClass and CellByOrganism and InMatureCell and LeafCell and PhotosyntheticCell,  True:
CellByOrganism and PhotoreceptorCell SubClassOf ChondroBlast,  False.
StructuralCell SubClassOf PlantCell,  True.
StructuralCell SubClassOf SclerenchymaCell,  True.
StructuralCell SubClassOf Erythrocyte,  False.
StructuralCell SubClassOf PhotosyntheticCell,  True,
StructuralCell SubClassOf PhotosyntheticCell and SclerenchymaCell,  False.
StructuralCell SubClassOf CirculatingCell,  True.
StructuralCell SubClassOf CirculatingCell and SclerenchymaCell,  False.
StructuralCell SubClassOf PlantCell and SclerenchymaCell,  The statement
StructuralCell SubClassOf CellByClass,  True\n
StructuralCell SubClassOf CellByClass and SclerenchymaCell,  False.
StructuralCell SubClassOf MatureCell,  True.
StructuralCell SubClassOf MatureCell and SclerenchymaCell,  True.
StructuralCell SubClassOf AnimalCell,  False.
StructuralCell SubClassOf Cell,  True.
StructuralCell SubClassOf Cell and MatureCell and SclerenchymaCell,  False.
StructuralCell SubClassOf Miocyte,  True.
StructuralCell SubClassOf MatureCell and Miocyte and SclerenchymaCell,  False.
StructuralCell SubClassOf InMatureCell,  True.
StructuralCell SubClassOf InMatureCell and MatureCell and SclerenchymaCell,  False.
StructuralCell SubClassOf Osteocyte,  True.
StructuralCell SubClassOf MatureCell and Osteocyte and SclerenchymaCell,  False.
StructuralCell SubClassOf ChondroBlast,  False.
StructuralCell SubClassOf MioBlast,  False.
StructuralCell SubClassOf CellByDevelopmentStage,  False.
StructuralCell SubClassOf PhotoreceptorCell,  True.
StructuralCell SubClassOf MatureCell and PhotoreceptorCell and SclerenchymaCell,  False.
StructuralCell SubClassOf CellByOrganism,  True\n
StructuralCell SubClassOf CellByOrganism and MatureCell and SclerenchymaCell,  False\n
StructuralCell SubClassOf ElectricallyActiveCell,  True.
StructuralCell SubClassOf ElectricallyActiveCell and MatureCell and SclerenchymaCell,  False.
StructuralCell SubClassOf Neuron,  True.
StructuralCell SubClassOf MatureCell and Neuron and SclerenchymaCell,  False.
StructuralCell SubClassOf ChondroCyte,  False.
StructuralCell SubClassOf MatureCell and PhotosyntheticCell and SclerenchymaCell,  False.
StructuralCell SubClassOf CirculatingCell and MatureCell and SclerenchymaCell,  False.
StructuralCell SubClassOf MatureCell and PlantCell and SclerenchymaCell,  False.
StructuralCell SubClassOf CellByClass and MatureCell and SclerenchymaCell,  False.
CirculatingCell and Neuron SubClassOf PhotosyntheticCell,  False.
Erythrocyte and Miocyte SubClassOf PhotosyntheticCell,  False.
ChondroBlast and MatureCell SubClassOf PlantCell,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf PlantCell,  False.
CellByOrganism and MatureCell SubClassOf ChondroCyte,  The answer
ChondroBlast and Osteocyte SubClassOf ElectricallyActiveCell,  False.
CirculatingCell and LeafCell SubClassOf ElectricallyActiveCell,  True.
CirculatingCell and LeafCell SubClassOf SclerenchymaCell,  True.
LeafCell SubClassOf SclerenchymaCell,  False.
CirculatingCell SubClassOf SclerenchymaCell,  True.
CirculatingCell SubClassOf LeafCell,  False.
CirculatingCell SubClassOf Erythrocyte,  True.
CirculatingCell SubClassOf Erythrocyte and SclerenchymaCell,  False:
CirculatingCell SubClassOf PhotosyntheticCell,  False.
CirculatingCell SubClassOf PlantCell,  False.
CirculatingCell SubClassOf CellByClass,  True.
CirculatingCell SubClassOf CellByClass and SclerenchymaCell,  False.
CirculatingCell SubClassOf MatureCell,  False.
CirculatingCell SubClassOf AnimalCell,  False.
CirculatingCell SubClassOf Cell,  True.
CirculatingCell SubClassOf Cell and SclerenchymaCell,  True.
CirculatingCell SubClassOf Miocyte,  False.
CirculatingCell SubClassOf InMatureCell,  False.
CirculatingCell SubClassOf Osteocyte,  False.
CirculatingCell SubClassOf ChondroBlast,  False.
CirculatingCell SubClassOf MioBlast,  False.
CirculatingCell SubClassOf CellByDevelopmentStage,  True.
CirculatingCell SubClassOf Cell and CellByDevelopmentStage and SclerenchymaCell,  True,
CirculatingCell SubClassOf PhotoreceptorCell,  True.
CirculatingCell SubClassOf Cell and CellByDevelopmentStage and PhotoreceptorCell and SclerenchymaCell,  True\n
CirculatingCell SubClassOf CellByOrganism,  True.
CirculatingCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and PhotoreceptorCell and SclerenchymaCell,  True\n
CirculatingCell SubClassOf ElectricallyActiveCell,  True,
CirculatingCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and PhotoreceptorCell and SclerenchymaCell,  True.
CirculatingCell SubClassOf StructuralCell,  True.
CirculatingCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and PhotoreceptorCell and SclerenchymaCell and StructuralCell,  True\n
CirculatingCell SubClassOf Neuron,  False.
CirculatingCell SubClassOf ChondroCyte,  False.
CirculatingCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and Erythrocyte and PhotoreceptorCell and SclerenchymaCell and StructuralCell,  True,
CirculatingCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and Erythrocyte and PhotoreceptorCell and SclerenchymaCell and StructuralCell,  True:
SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
CellByClass and LeafCell SubClassOf SclerenchymaCell,  True\n
CellByClass SubClassOf SclerenchymaCell,  True.
CellByClass SubClassOf Erythrocyte,  True.
CellByClass SubClassOf Erythrocyte and SclerenchymaCell,  False.
CellByClass SubClassOf PhotosyntheticCell,  True\n
CellByClass SubClassOf PhotosyntheticCell and SclerenchymaCell,  True,
CellByClass SubClassOf CirculatingCell,  True.
CellByClass SubClassOf CirculatingCell and PhotosyntheticCell and SclerenchymaCell,  False.
CellByClass SubClassOf PlantCell,  True.
CellByClass SubClassOf PhotosyntheticCell and PlantCell and SclerenchymaCell,  True,
CellByClass SubClassOf MatureCell,  True\n
CellByClass SubClassOf MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell,  False.
CellByClass SubClassOf AnimalCell,  True.
CellByClass SubClassOf AnimalCell and PhotosyntheticCell and PlantCell and SclerenchymaCell,  True\n
CellByClass SubClassOf Cell,  True.
CellByClass SubClassOf AnimalCell and Cell and PhotosyntheticCell and PlantCell and SclerenchymaCell,  False.
CellByClass SubClassOf Miocyte,  True.
CellByClass SubClassOf AnimalCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell,  True:
CellByClass SubClassOf InMatureCell,  False.
CellByClass SubClassOf Osteocyte,  True.
CellByClass SubClassOf AnimalCell and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell,  True:
CellByClass SubClassOf ChondroBlast,  False.
CellByClass SubClassOf MioBlast,  False.
CellByClass SubClassOf CellByDevelopmentStage,  False.
CellByClass SubClassOf PhotoreceptorCell,  True.
CellByClass SubClassOf AnimalCell and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell,  The statement
CellByClass SubClassOf CellByOrganism,  False.
CellByClass SubClassOf ElectricallyActiveCell,  True.
CellByClass SubClassOf AnimalCell and ElectricallyActiveCell and PhotosyntheticCell and PlantCell and SclerenchymaCell,  True:
CellByClass SubClassOf StructuralCell,  True\n
CellByClass SubClassOf AnimalCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True\n
CellByClass SubClassOf Neuron,  True.
CellByClass SubClassOf AnimalCell and Neuron and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
CellByClass SubClassOf ChondroCyte,  False.
CellByClass SubClassOf AnimalCell and Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  Here are
CellByClass SubClassOf AnimalCell and CirculatingCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
CellByClass SubClassOf AnimalCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
CellByClass SubClassOf AnimalCell and Cell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  False.
CellByClass SubClassOf AnimalCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
CellByClass SubClassOf AnimalCell and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
CellByClass SubClassOf AnimalCell and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  The answer
CellByClass SubClassOf AnimalCell and ElectricallyActiveCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  The statement
Miocyte and Osteocyte SubClassOf PhotoreceptorCell,  False.
MatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and StructuralCell SubClassOf LeafCell,  False.
InMatureCell and Neuron SubClassOf Erythrocyte,  False.
MatureCell and Osteocyte SubClassOf CellByClass,  True.
MatureCell and Osteocyte SubClassOf SclerenchymaCell,  False.
MatureCell and Osteocyte SubClassOf LeafCell,  True.
MatureCell SubClassOf LeafCell,  False.
MatureCell and MioBlast SubClassOf ChondroBlast,  True.
MatureCell SubClassOf ChondroBlast,  False.
ElectricallyActiveCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
CellByClass and ElectricallyActiveCell SubClassOf ChondroBlast,  False.
AnimalCell and CellByDevelopmentStage SubClassOf MioBlast,  True.
AnimalCell and CellByDevelopmentStage SubClassOf ChondroBlast,  False.
CellByDevelopmentStage SubClassOf MioBlast and SclerenchymaCell,  False.
CellByDevelopmentStage SubClassOf Erythrocyte and MioBlast,  False.
CellByDevelopmentStage SubClassOf CirculatingCell and MioBlast,  False.
CellByDevelopmentStage SubClassOf MioBlast and PlantCell,  False.
CellByDevelopmentStage SubClassOf MatureCell and MioBlast,  False.
CellByDevelopmentStage SubClassOf AnimalCell and MioBlast,  False.
CellByDevelopmentStage SubClassOf Cell and MioBlast,  False.
CellByDevelopmentStage SubClassOf MioBlast and Miocyte,  False.
CellByDevelopmentStage SubClassOf InMatureCell and MioBlast,  False.
CellByDevelopmentStage SubClassOf MioBlast and Osteocyte,  False.
CellByDevelopmentStage SubClassOf MioBlast and PhotoreceptorCell,  False.
CellByDevelopmentStage SubClassOf CellByOrganism and MioBlast,  False\n
CellByDevelopmentStage SubClassOf MioBlast and StructuralCell,  False.
CellByDevelopmentStage SubClassOf MioBlast and Neuron,  False.
CellByDevelopmentStage SubClassOf ChondroCyte and MioBlast,  False.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and Erythrocyte and InMatureCell and MatureCell and MioBlast and SclerenchymaCell,  True:
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CirculatingCell and InMatureCell and MatureCell and MioBlast and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and PlantCell and SclerenchymaCell,  False\n
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and Miocyte and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and Osteocyte and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and PhotoreceptorCell and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByOrganism and InMatureCell and MatureCell and MioBlast and SclerenchymaCell,  True:
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and SclerenchymaCell and StructuralCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and Neuron and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf AnimalCell and Cell and ChondroCyte and InMatureCell and MatureCell and MioBlast and SclerenchymaCell,  True:
CellByOrganism and InMatureCell SubClassOf ChondroCyte,  The answer
InMatureCell and Osteocyte SubClassOf Miocyte,  False.
LeafCell and PhotosyntheticCell SubClassOf AnimalCell,  False.
Miocyte and Neuron SubClassOf AnimalCell,  True.
Miocyte and Neuron SubClassOf SclerenchymaCell,  False.
Miocyte and Neuron SubClassOf LeafCell,  True.
Neuron SubClassOf LeafCell,  True.
Neuron SubClassOf SclerenchymaCell,  False.
Neuron SubClassOf Erythrocyte,  False.
Neuron SubClassOf PhotosyntheticCell,  False.
Neuron SubClassOf CirculatingCell,  False.
Neuron SubClassOf PlantCell,  False.
Neuron SubClassOf CellByClass,  True.
Neuron SubClassOf CellByClass and LeafCell,  True.
Neuron SubClassOf MatureCell,  True\n
Neuron SubClassOf CellByClass and LeafCell and MatureCell,  True,
Neuron SubClassOf AnimalCell,  False.
Neuron SubClassOf Cell,  True,
Neuron SubClassOf Cell and CellByClass and LeafCell and MatureCell,  True,
Neuron SubClassOf Miocyte,  False.
Neuron SubClassOf InMatureCell,  True\n
Neuron SubClassOf Cell and CellByClass and InMatureCell and LeafCell and MatureCell,  True,
Neuron SubClassOf Osteocyte,  False.
Neuron SubClassOf ChondroBlast,  False.
Neuron SubClassOf MioBlast,  False.
Neuron SubClassOf CellByDevelopmentStage,  True\n
Neuron SubClassOf Cell and CellByClass and CellByDevelopmentStage and InMatureCell and LeafCell and MatureCell,  True:
Neuron SubClassOf PhotoreceptorCell,  False.
Neuron SubClassOf CellByOrganism,  True\n
Neuron SubClassOf Cell and CellByClass and CellByOrganism and InMatureCell and LeafCell and MatureCell,  True:
Neuron SubClassOf ElectricallyActiveCell,  True.
Neuron SubClassOf Cell and CellByClass and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell,  True:
Neuron SubClassOf StructuralCell,  True.
Neuron SubClassOf Cell and CellByClass and InMatureCell and LeafCell and MatureCell and StructuralCell,  True,
Neuron SubClassOf ChondroCyte,  False.
Neuron SubClassOf Cell and CellByClass and CellByDevelopmentStage and InMatureCell and LeafCell and MatureCell and StructuralCell,  True,
Neuron SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and LeafCell and MatureCell and StructuralCell,  True for
Neuron SubClassOf Cell and CellByClass and CellByDevelopmentStage and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and StructuralCell,  True:
CellByOrganism and Osteocyte SubClassOf CirculatingCell,  False\n
InMatureCell and SclerenchymaCell SubClassOf CellByOrganism,  True.
InMatureCell and SclerenchymaCell SubClassOf LeafCell,  False.
InMatureCell and SclerenchymaCell SubClassOf Erythrocyte,  False.
InMatureCell and SclerenchymaCell SubClassOf PhotosyntheticCell,  False.
InMatureCell and SclerenchymaCell SubClassOf CirculatingCell,  False.
InMatureCell and SclerenchymaCell SubClassOf PlantCell,  True.
SclerenchymaCell SubClassOf PlantCell,  True.
SclerenchymaCell SubClassOf LeafCell,  False.
SclerenchymaCell SubClassOf Erythrocyte,  False.
SclerenchymaCell SubClassOf PhotosyntheticCell,  False.
SclerenchymaCell SubClassOf CirculatingCell,  False.
SclerenchymaCell SubClassOf CellByClass,  True.
SclerenchymaCell SubClassOf CellByClass and PlantCell,  False.
SclerenchymaCell SubClassOf MatureCell,  True.
SclerenchymaCell SubClassOf MatureCell and PlantCell,  True.
SclerenchymaCell SubClassOf AnimalCell,  False.
SclerenchymaCell SubClassOf Cell,  True,
SclerenchymaCell SubClassOf Cell and MatureCell and PlantCell,  True,
SclerenchymaCell SubClassOf Miocyte,  False.
SclerenchymaCell SubClassOf InMatureCell,  True.
SclerenchymaCell SubClassOf Cell and InMatureCell and MatureCell and PlantCell,  True,
SclerenchymaCell SubClassOf Osteocyte,  False.
SclerenchymaCell SubClassOf ChondroBlast,  False.
SclerenchymaCell SubClassOf MioBlast,  False.
SclerenchymaCell SubClassOf CellByDevelopmentStage,  False.
SclerenchymaCell SubClassOf CellByOrganism,  True.
SclerenchymaCell SubClassOf Cell and CellByOrganism and InMatureCell and MatureCell and PlantCell,  True.
SclerenchymaCell SubClassOf ElectricallyActiveCell,  False.
SclerenchymaCell SubClassOf StructuralCell,  True.
SclerenchymaCell SubClassOf Cell and CellByOrganism and InMatureCell and MatureCell and PlantCell and StructuralCell,  True.
SclerenchymaCell SubClassOf Neuron,  False.
SclerenchymaCell SubClassOf ChondroCyte,  False.
SclerenchymaCell SubClassOf Cell and CellByClass and CellByOrganism and InMatureCell and MatureCell and PlantCell and StructuralCell,  True for
Miocyte and PhotosyntheticCell SubClassOf CirculatingCell,  False.
PhotosyntheticCell SubClassOf PlantCell,  True.
PhotosyntheticCell SubClassOf SclerenchymaCell,  False.
PhotosyntheticCell SubClassOf LeafCell,  True.
PhotosyntheticCell SubClassOf Erythrocyte,  False.
PhotosyntheticCell SubClassOf CirculatingCell,  False.
PhotosyntheticCell SubClassOf LeafCell and PlantCell,  True.
PhotosyntheticCell SubClassOf CellByClass,  True.
PhotosyntheticCell SubClassOf CellByClass and LeafCell and PlantCell,  True.
PhotosyntheticCell SubClassOf MatureCell,  True.
PhotosyntheticCell SubClassOf CellByClass and LeafCell and MatureCell and PlantCell,  True.
PhotosyntheticCell SubClassOf AnimalCell,  False.
PhotosyntheticCell SubClassOf Cell,  True.
PhotosyntheticCell SubClassOf Cell and CellByClass and LeafCell and MatureCell and PlantCell,  True\n
PhotosyntheticCell SubClassOf Miocyte,  False.
PhotosyntheticCell SubClassOf InMatureCell,  True.
PhotosyntheticCell SubClassOf Cell and CellByClass and InMatureCell and LeafCell and MatureCell and PlantCell,  True:
PhotosyntheticCell SubClassOf Osteocyte,  False.
PhotosyntheticCell SubClassOf ChondroBlast,  False.
PhotosyntheticCell SubClassOf MioBlast,  False.
PhotosyntheticCell SubClassOf CellByDevelopmentStage,  False.
PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
PhotosyntheticCell SubClassOf CellByOrganism,  True.
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByOrganism and LeafCell and MatureCell and PlantCell,  True,
PhotosyntheticCell SubClassOf ElectricallyActiveCell,  False.
PhotosyntheticCell SubClassOf StructuralCell,  True.
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByOrganism and LeafCell and MatureCell and PlantCell and StructuralCell,  True:
PhotosyntheticCell SubClassOf Neuron,  False.
PhotosyntheticCell SubClassOf ChondroCyte,  False.
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByOrganism and InMatureCell and LeafCell and MatureCell and PlantCell,  True:
MatureCell and Osteocyte SubClassOf ElectricallyActiveCell,  True.
MatureCell and Osteocyte SubClassOf Erythrocyte,  False.
MatureCell and Osteocyte SubClassOf PhotosyntheticCell,  False.
MatureCell and Osteocyte SubClassOf CirculatingCell,  False.
MatureCell and Osteocyte SubClassOf PlantCell,  False.
Osteocyte SubClassOf CellByClass,  True.
Osteocyte SubClassOf SclerenchymaCell,  False.
Osteocyte SubClassOf Erythrocyte,  False.
Osteocyte SubClassOf PhotosyntheticCell,  False.
Osteocyte SubClassOf CirculatingCell,  False.
Osteocyte SubClassOf PlantCell,  False.
Osteocyte SubClassOf MatureCell,  True.
Osteocyte SubClassOf CellByClass and MatureCell,  True.
Osteocyte SubClassOf AnimalCell,  True.
Osteocyte SubClassOf AnimalCell and CellByClass and MatureCell,  True\n
Osteocyte SubClassOf Cell,  True\n
Osteocyte SubClassOf AnimalCell and Cell and CellByClass and MatureCell,  True\n
Osteocyte SubClassOf Miocyte,  False.
Osteocyte SubClassOf InMatureCell,  True\n
Osteocyte SubClassOf AnimalCell and Cell and CellByClass and InMatureCell and MatureCell,  True\n
Osteocyte SubClassOf ChondroBlast,  False.
Osteocyte SubClassOf MioBlast,  False.
Osteocyte SubClassOf CellByDevelopmentStage,  True.
Osteocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and InMatureCell and MatureCell,  True\n
Osteocyte SubClassOf PhotoreceptorCell,  False.
Osteocyte SubClassOf CellByOrganism,  True.
Osteocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell,  True\n
Osteocyte SubClassOf ElectricallyActiveCell,  True,
Osteocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell,  True:
Osteocyte SubClassOf StructuralCell,  True.
Osteocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell and StructuralCell,  True\n
Osteocyte SubClassOf Neuron,  False.
Osteocyte SubClassOf ChondroCyte,  False.
Osteocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell and StructuralCell,  True for
CellByOrganism and Miocyte SubClassOf SclerenchymaCell,  False.
InMatureCell and LeafCell SubClassOf MatureCell,  True.
InMatureCell and LeafCell SubClassOf SclerenchymaCell,  False.
InMatureCell and LeafCell SubClassOf Erythrocyte,  False.
InMatureCell and LeafCell SubClassOf PhotosyntheticCell,  True\n
LeafCell SubClassOf PhotosyntheticCell,  True.
LeafCell SubClassOf Erythrocyte,  False.
LeafCell SubClassOf CirculatingCell,  False.
LeafCell SubClassOf PlantCell,  True.
LeafCell SubClassOf PhotosyntheticCell and PlantCell,  False.
LeafCell SubClassOf CellByClass,  True.
LeafCell SubClassOf CellByClass and PhotosyntheticCell,  False.
LeafCell SubClassOf MatureCell,  False.
LeafCell SubClassOf AnimalCell,  False.
LeafCell SubClassOf Cell,  True.
LeafCell SubClassOf Cell and PhotosyntheticCell,  True,
LeafCell SubClassOf Miocyte,  False.
LeafCell SubClassOf InMatureCell,  False.
LeafCell SubClassOf Osteocyte,  False.
LeafCell SubClassOf ChondroBlast,  False.
LeafCell SubClassOf MioBlast,  False.
LeafCell SubClassOf CellByDevelopmentStage,  True.
LeafCell SubClassOf Cell and CellByDevelopmentStage and PhotosyntheticCell,  True,
LeafCell SubClassOf PhotoreceptorCell,  False.
LeafCell SubClassOf CellByOrganism,  True.
LeafCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and PhotosyntheticCell,  True,
LeafCell SubClassOf ElectricallyActiveCell,  False.
LeafCell SubClassOf StructuralCell,  True.
LeafCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and PhotosyntheticCell and StructuralCell,  True,
LeafCell SubClassOf Neuron,  False.
LeafCell SubClassOf ChondroCyte,  False.
LeafCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and PhotosyntheticCell and PlantCell and StructuralCell,  True:
LeafCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and PhotosyntheticCell and StructuralCell,  True,
CellByOrganism SubClassOf MioBlast,  False.
CellByOrganism and MatureCell SubClassOf AnimalCell,  True.
CellByOrganism and MatureCell SubClassOf SclerenchymaCell,  True\n
CellByOrganism SubClassOf SclerenchymaCell,  True.
CellByOrganism SubClassOf Erythrocyte,  True.
CellByOrganism SubClassOf Erythrocyte and SclerenchymaCell,  False.
CellByOrganism SubClassOf PhotosyntheticCell,  True.
CellByOrganism SubClassOf PhotosyntheticCell and SclerenchymaCell,  False.
CellByOrganism SubClassOf CirculatingCell,  True.
CellByOrganism SubClassOf CirculatingCell and SclerenchymaCell,  False.
CellByOrganism SubClassOf PlantCell,  True.
CellByOrganism SubClassOf PlantCell and SclerenchymaCell,  True.
CellByOrganism SubClassOf CellByClass,  True.
CellByOrganism SubClassOf CellByClass and PlantCell and SclerenchymaCell,  True:
CellByOrganism SubClassOf MatureCell,  True.
CellByOrganism SubClassOf MatureCell and PlantCell and SclerenchymaCell,  True\n
CellByOrganism SubClassOf AnimalCell,  True\n
CellByOrganism SubClassOf AnimalCell and MatureCell and PlantCell and SclerenchymaCell,  False.
CellByOrganism SubClassOf Cell,  True\n
CellByOrganism SubClassOf Cell and MatureCell and PlantCell and SclerenchymaCell,  True\n
CellByOrganism SubClassOf Miocyte,  True.
CellByOrganism SubClassOf Cell and MatureCell and Miocyte and PlantCell and SclerenchymaCell,  True\n
CellByOrganism SubClassOf InMatureCell,  True.
CellByOrganism SubClassOf Cell and InMatureCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell,  True\n
CellByOrganism SubClassOf Osteocyte,  True.
CellByOrganism SubClassOf Cell and InMatureCell and MatureCell and Miocyte and Osteocyte and PlantCell and SclerenchymaCell,  True\n
CellByOrganism SubClassOf ChondroBlast,  False.
CellByOrganism SubClassOf CellByDevelopmentStage,  False.
CellByOrganism SubClassOf PhotoreceptorCell,  True.
CellByOrganism SubClassOf Cell and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell,  True.
CellByOrganism SubClassOf ElectricallyActiveCell,  True.
CellByOrganism SubClassOf Cell and ElectricallyActiveCell and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell,  True\n
CellByOrganism SubClassOf StructuralCell,  True.
CellByOrganism SubClassOf Cell and ElectricallyActiveCell and InMatureCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell,  True\n
CellByOrganism SubClassOf Neuron,  True.
CellByOrganism SubClassOf Cell and ElectricallyActiveCell and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell,  True\n
CellByOrganism SubClassOf ChondroCyte,  False.
CellByOrganism SubClassOf Cell and ElectricallyActiveCell and Erythrocyte and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
CellByOrganism SubClassOf Cell and ElectricallyActiveCell and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True,
CellByOrganism SubClassOf Cell and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True,
CellByOrganism SubClassOf Cell and CellByClass and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
CellByOrganism SubClassOf AnimalCell and Cell and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell,  True:
MatureCell SubClassOf CirculatingCell,  True,
MatureCell SubClassOf SclerenchymaCell,  True,
MatureCell SubClassOf Erythrocyte,  False.
MatureCell SubClassOf PhotosyntheticCell,  False.
MatureCell SubClassOf CirculatingCell and SclerenchymaCell,  False.
MatureCell SubClassOf PlantCell,  False.
MatureCell SubClassOf CellByClass,  True.
MatureCell SubClassOf CellByClass and SclerenchymaCell,  False.
MatureCell SubClassOf AnimalCell,  True\n
MatureCell SubClassOf AnimalCell and SclerenchymaCell,  Mature
MatureCell SubClassOf Cell,  True.
