Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Can something that lives_in some Carnivore be considered a subcategory of 'Carnivore'?, \nIn
Can something that eats some Reptile be considered a subcategory of 'Egg'?, \nFalse
Can Carnivore that is also Mammal be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Vertebrate be considered a subcategory of 'Backbone'?, \nThe
Can Mammal that is also Reptile be considered a subcategory of 'Carnivore'?, \nFalse
Can Bird that is also Meat be considered a subcategory of 'Vertebrate'?, \nIn
Can Backbone that is also Plant be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Herbivore be considered a subcategory of 'Water'?, \nFalse
Can Meat that is also Reptile be considered a subcategory of 'Egg'?, \nFalse
Can Herbivore that is also Reptile be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Backbone'?, \nFalse
Can Leg that is also Reptile be considered a subcategory of 'Carnivore'?, \nFalse
Can something that lays some Meat be considered a subcategory of 'Plant'?, \nFalse
Can Cat that is also Egg be considered a subcategory of 'Wing'?, \nFalse
Can something that has_part some Reptile be considered a subcategory of 'Leg'?, \nFalse
Can Fish be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Elephant be considered a subcategory of 'something that has_part some Plant'?, \nFalse
Can Leg that is also Plant be considered a subcategory of 'Carnivore'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Vertebrate'?, \nFalse
Can Animal that is also Elephant be considered a subcategory of 'Wing'?, \nFalse
Can Cat that is also Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can Leg that is also Meat be considered a subcategory of 'Cat'?, \nFalse
Can something that lays some Egg be considered a subcategory of 'Animal'?, \nIn
Can something that has_part some Vertebrate be considered a subcategory of 'Backbone'?, \nMan
Can something that lives_in some Fish be considered a subcategory of 'Plant'?, \nFalse
Can something that eats some Animal be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can Carnivore that is also Fish be considered a subcategory of 'Cat'?, \nFalse
Can Backbone that is also Water be considered a subcategory of 'Carnivore'?, \nFalse
Can Cat that is also Plant be considered a subcategory of 'Water'?, \nFalse
Can Carnivore that is also Water be considered a subcategory of 'Vertebrate'?, \nIn
Can Elephant that is also Reptile be considered a subcategory of 'Egg'?, \nFalse
Can Cat that is also Meat be considered a subcategory of 'Backbone'?, \nFalse
Can Animal that is also Mammal be considered a subcategory of 'Leg'?, \nFalse
Can Leg be considered a subcategory of 'Plant'?, \nFalse
Can Bird that is also Leg be considered a subcategory of 'Carnivore'?, \nFalse
Can something that lives_in some Mammal be considered a subcategory of 'Vertebrate'?, \nIn
Can something that eats some Animal be considered a subcategory of 'Egg'?, \nFalse
Can Egg that is also Reptile be considered a subcategory of 'Animal'?, \nFalse
Can Fish be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Vertebrate be considered a subcategory of 'Backbone'?, \nFalse
Can Plant that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can something that lays some Egg be considered a subcategory of 'Plant'?, \nFalse
Can Cat that is also Plant be considered a subcategory of 'Carnivore'?, \nFalse
Can Egg that is also Fish be considered a subcategory of 'Wing'?, \nFalse
Can Animal be considered a subcategory of 'Backbone'?, \nFalse
Can something that has_part some Plant be considered a subcategory of 'Cat'?, \nFalse
Can Bird be considered a subcategory of 'Plant'?, \nFalse
Can Bird be considered a subcategory of 'something that lives_in some Herbivore'?, \nFalse
Can something that eats some Wing be considered a subcategory of 'Meat'?, \nIn
Can Egg that is also Reptile be considered a subcategory of 'Cat'?, \nFalse
Can Egg that is also Plant be considered a subcategory of 'Vertebrate'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Plant'?, \nFalse
Can Egg that is also Meat be considered a subcategory of 'Animal'?, \nFalse
Can Bird be considered a subcategory of 'something that eats some Cat'?, \nFalse
Can Bird that is also Egg be considered a subcategory of 'Vertebrate'?, \nFalse
Can Backbone that is also Fish be considered a subcategory of 'Plant'?, \nFalse
Can something that eats some Animal be considered a subcategory of 'Herbivore'?, \nIn
Can Mammal that is also Plant be considered a subcategory of 'Carnivore'?, \nFalse
Can Meat that is also Water be considered a subcategory of 'Backbone'?, \nFalse
Can Animal be considered a subcategory of 'something that lives_in some Cat'?, \nFalse
Can Leg that is also Meat be considered a subcategory of 'Vertebrate'?, \nIn
Can Bird that is also Water be considered a subcategory of 'Herbivore'?, \nFalse
Can Vertebrate that is also Water be considered a subcategory of 'Reptile'?, \nFalse
Can something that eats some Meat be considered a subcategory of 'Egg'?, \nFalse
Can Backbone that is also Carnivore be considered a subcategory of 'Wing'?, \nFalse
Can Reptile that is also Water be considered a subcategory of 'Backbone'?, \nFalse
Can Fish be considered a subcategory of 'something that lives_in some Cat'?, \nFalse
Can Meat that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can something that eats some Meat be considered a subcategory of 'Reptile'?, \nFalse
Can Plant that is also Water be considered a subcategory of 'Meat'?, \nFalse
Can Reptile that is also Water be considered a subcategory of 'Vertebrate'?, \nIn
Can Backbone that is also Cat be considered a subcategory of 'Wing'?, \nFalse
Can something that has_part some Herbivore be considered a subcategory of 'Fish'?, \nFalse
Can Animal be considered a subcategory of 'something that eats some Backbone'?, \nFalse
Can Elephant that is also Leg be considered a subcategory of 'Carnivore'?, \nFalse
Can Elephant be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can something that eats some Elephant be considered a subcategory of 'Cat'?, \nFalse
Can Carnivore be considered a subcategory of 'something that lives_in some Egg'?, \nFalse
Can something that lives_in some Water be considered a subcategory of 'Leg'?, \nFalse
Can Fish be considered a subcategory of 'something that eats some Backbone'?, \nFalse
Can Elephant that is also Mammal be considered a subcategory of 'Vertebrate'?, \nFalse
Can Wing be considered a subcategory of 'something that lives_in some Plant'?, \nIn
Can Water be considered a subcategory of 'something that lives_in some Carnivore'?, \nFalse
Can Elephant be considered a subcategory of 'Egg'?, \nFalse
Can Cat be considered a subcategory of 'something that lives_in some Wing'?, \nFalse
Can Carnivore that is also Meat be considered a subcategory of 'Cat'?, \nFalse
Animal and Backbone SubClassOf Carnivore, \nFalse
eats some Carnivore SubClassOf Fish, True
eats some Carnivore SubClassOf Egg, \nFalse
eats some Carnivore SubClassOf Meat, True
Carnivore SubClassOf Meat, \nTrue
Carnivore SubClassOf Egg, \nFalse
Carnivore SubClassOf Water, \nFalse
Carnivore SubClassOf Animal, \nTrue
Carnivore SubClassOf Animal and Meat, \nTrue
Carnivore SubClassOf Reptile, \nTrue
Carnivore SubClassOf Animal and Meat and Reptile, \nTrue
Carnivore SubClassOf Plant, \nFalse
Carnivore SubClassOf Vertebrate, \nTrue
Carnivore SubClassOf Animal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Cat, True
Carnivore SubClassOf Animal and Cat and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Fish, \nFalse
Carnivore SubClassOf Mammal, \nTrue
Carnivore SubClassOf Animal and Cat and Mammal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Herbivore, \nFalse
Carnivore SubClassOf Leg, False
Carnivore SubClassOf Elephant, \nFalse
Carnivore SubClassOf Bird, \nFalse
Carnivore SubClassOf Backbone, \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Mammal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Wing, \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Mammal and Meat and Reptile and Vertebrate and Wing, \nThe
has_part some Reptile SubClassOf Egg, \nTrue
Reptile SubClassOf Egg, \nFalse
Thing SubClassOf has_part some Reptile, \nFalse
Thing SubClassOf Egg, \nFalse
Thing SubClassOf Meat, \nTrue
Meat SubClassOf Water, \nFalse
lives_in some Backbone SubClassOf Reptile, \nTrue
lives_in some Backbone SubClassOf Egg, \nTrue
Backbone SubClassOf Egg, \nTrue
Backbone SubClassOf Meat, \nTrue
Backbone SubClassOf Egg and Meat, \nTrue
Backbone SubClassOf Carnivore, \nTrue
Backbone SubClassOf Carnivore and Egg and Meat, \nFalse
Backbone SubClassOf Water, \nTrue
Backbone SubClassOf Egg and Meat and Water, \nFalse
Backbone SubClassOf Animal, \nTrue
Backbone SubClassOf Animal and Egg and Meat, \nFalse
Backbone SubClassOf Reptile, \nTrue
Backbone SubClassOf Egg and Meat and Reptile, \nFalse
Backbone SubClassOf Plant, \nTrue
Backbone SubClassOf Egg and Meat and Plant, \nFalse
Backbone SubClassOf Vertebrate, \nTrue
Backbone SubClassOf Egg and Meat and Vertebrate, \nTrue
Backbone SubClassOf Cat, \nTrue
Backbone SubClassOf Cat and Egg and Meat and Vertebrate, \nFalse
Backbone SubClassOf Fish, \nTrue
Backbone SubClassOf Egg and Fish and Meat and Vertebrate, \nTrue
Backbone SubClassOf Mammal, \nTrue
Backbone SubClassOf Egg and Fish and Mammal and Meat and Vertebrate, \nTrue
Backbone SubClassOf Herbivore, \nFalse
Backbone SubClassOf Leg, False
Backbone SubClassOf Elephant, \nFalse
Backbone SubClassOf Bird, \nTrue
Backbone SubClassOf Bird and Egg and Fish and Mammal and Meat and Vertebrate, \nThe
Backbone SubClassOf Wing, False.
Backbone SubClassOf Carnivore and Egg and Fish and Mammal and Meat and Vertebrate, \nThe
Backbone SubClassOf Egg and Fish and Mammal and Meat and Vertebrate and Water, \nTrue
Backbone SubClassOf Animal and Egg and Fish and Mammal and Meat and Vertebrate and Water, \nTrue
Backbone SubClassOf Animal and Egg and Fish and Mammal and Meat and Reptile and Vertebrate and Water, \nFalse
Backbone SubClassOf Animal and Egg and Fish and Mammal and Meat and Plant and Vertebrate and Water, \nTrue
Backbone SubClassOf Animal and Cat and Egg and Fish and Mammal and Meat and Plant and Vertebrate and Water, \n statement
Backbone SubClassOf Animal and Bird and Egg and Fish and Mammal and Meat and Plant and Vertebrate and Water, \nThe
eats some Bird SubClassOf Cat, False
Backbone SubClassOf has_part some Leg, False.
Backbone and Fish SubClassOf Carnivore, \nTrue
Fish SubClassOf Carnivore, \nFalse
Backbone SubClassOf Carnivore and Egg, \nFalse
Backbone SubClassOf Carnivore and Meat, \nTrue
Backbone SubClassOf Carnivore and Meat and Water, \nTrue
Backbone SubClassOf Animal and Carnivore and Meat and Water, \nFalse
Backbone SubClassOf Carnivore and Meat and Reptile and Water, \nFalse
Backbone SubClassOf Carnivore and Meat and Plant and Water, \nFalse
Backbone SubClassOf Carnivore and Meat and Vertebrate and Water, \nTrue
Backbone SubClassOf Carnivore and Cat and Meat and Vertebrate and Water, \nTrue
Backbone SubClassOf Carnivore and Cat and Fish and Meat and Vertebrate and Water, \nTrue
Backbone SubClassOf Carnivore and Cat and Fish and Mammal and Meat and Vertebrate and Water, \nFalse
Backbone SubClassOf Bird and Carnivore and Cat and Fish and Meat and Vertebrate and Water, \nHere
Backbone SubClassOf Animal and Carnivore and Cat and Egg and Fish and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \n statement
Backbone SubClassOf Animal and Bird and Carnivore and Cat and Egg and Fish and Mammal and Meat and Plant and Vertebrate and Water, \nHere
Meat and Reptile SubClassOf Water, \nFalse
Cat and Water SubClassOf Leg, \nFalse
Meat SubClassOf Egg, \nFalse
Meat and Plant SubClassOf Backbone, True
Meat and Plant SubClassOf Egg, \nFalse
Meat and Plant SubClassOf Carnivore, \nFalse
Meat and Plant SubClassOf Water, \nFalse
Meat and Plant SubClassOf Animal, \nFalse
Meat and Plant SubClassOf Reptile, \nFalse
Meat and Plant SubClassOf Vertebrate, \nTrue
Meat SubClassOf Vertebrate, \nTrue
Meat SubClassOf Carnivore, \nTrue
Meat SubClassOf Carnivore and Vertebrate, \nTrue
Meat SubClassOf Animal, \nTrue
Meat SubClassOf Animal and Carnivore and Vertebrate, \nTrue
Meat SubClassOf Reptile, \nTrue
Meat SubClassOf Animal and Carnivore and Reptile and Vertebrate, \nFalse
Meat SubClassOf Plant, \nFalse
Meat SubClassOf Cat, \nFalse
Meat SubClassOf Fish, \nFalse
Meat SubClassOf Mammal, True
Meat SubClassOf Animal and Carnivore and Mammal and Vertebrate, \nTrue
Meat SubClassOf Herbivore, \nFalse
Meat SubClassOf Leg, \nFalse
Meat SubClassOf Elephant, \nFalse
Meat SubClassOf Bird, \nFalse
Meat SubClassOf Backbone, \nTrue
Meat SubClassOf Animal and Backbone and Carnivore and Mammal and Vertebrate, \nTrue
Meat SubClassOf Wing, \nFalse
Meat SubClassOf Animal and Backbone and Carnivore and Mammal and Reptile and Vertebrate, \nTrue
Vertebrate and Water SubClassOf Leg, \nFalse
Bird SubClassOf lays some Backbone, \nFalse
Backbone and Meat SubClassOf Elephant, \nTrue
Backbone and Meat SubClassOf Herbivore, \nTrue
Mammal and Vertebrate SubClassOf Wing, \nFalse
Bird and Vertebrate SubClassOf Leg, \nFalse
Animal SubClassOf lays some Vertebrate, \nTrue
Animal SubClassOf Leg, \nFalse
Animal SubClassOf Elephant, \nFalse
Animal SubClassOf Bird, \nTrue
Animal SubClassOf Egg, \nFalse
Animal SubClassOf Meat, \nFalse
Animal SubClassOf Carnivore, \nTrue
Animal SubClassOf Bird and Carnivore, \nTrue
Animal SubClassOf Water, \nFalse
Animal SubClassOf Reptile, \nTrue
Animal SubClassOf Bird and Carnivore and Reptile, \nTrue
Animal SubClassOf Plant, \nFalse
Animal SubClassOf Vertebrate, \nTrue
Animal SubClassOf Bird and Carnivore and Reptile and Vertebrate, \nTrue
Animal SubClassOf Cat, \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Reptile and Vertebrate, \nTrue
Animal SubClassOf Fish, \nFalse
Animal SubClassOf Mammal, \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Mammal and Reptile and Vertebrate, \nFalse
Animal SubClassOf Herbivore, \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Herbivore and Reptile and Vertebrate, \nTrue
Animal SubClassOf Backbone, \nFalse
Animal SubClassOf Wing, \nFalse
Animal SubClassOf Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate, \nTrue
Animal and Mammal SubClassOf Wing, \nFalse
lays some Vertebrate SubClassOf Leg, \nTrue
Vertebrate SubClassOf Leg, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)), \nHere
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing SubClassOf Wing, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some Animal) and (lays some (Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)), \nHere
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some Animal) and (lays some (Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)), \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nTrue
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nTrue
Animal and Backbone and Bird and Carnivore and Cat and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Meat and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Plant and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nTrue
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nTrue
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nTrue
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Plant and Vertebrate and Water and Thing)) SubClassOf Leg, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Plant and Reptile and Water and Thing)) SubClassOf Leg, \nTrue
Animal and Backbone and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Plant and Reptile and Thing)) SubClassOf Leg, \nHere
has_part some Reptile SubClassOf Elephant, \nFalse
lives_in some Leg SubClassOf Leg, \nFalse
Bird and Vertebrate SubClassOf Wing, \nFalse
Cat and Wing SubClassOf Elephant, \nFalse
Cat and Elephant SubClassOf Leg, \nFalse
Backbone and Bird SubClassOf Wing, \nTrue
Backbone and Bird SubClassOf Leg, \nFalse
Backbone and Bird SubClassOf Elephant, \nFalse
Bird SubClassOf Wing, \nTrue
Bird SubClassOf Egg, \nTrue
Bird SubClassOf Egg and Wing, \nTrue
Bird SubClassOf Meat, \nFalse
Bird SubClassOf Carnivore, \nFalse
Bird SubClassOf Water, \nFalse
Bird SubClassOf Animal, \nTrue
Bird SubClassOf Animal and Egg and Wing, \nTrue
Bird SubClassOf Reptile, \nFalse
Bird SubClassOf Plant, \nTrue
Bird SubClassOf Animal and Egg and Plant and Wing, \nFalse
Bird SubClassOf Vertebrate, \nTrue
Bird SubClassOf Animal and Egg and Vertebrate and Wing, \nTrue
Bird SubClassOf Cat, \nFalse
Bird SubClassOf Fish, \nFalse
Bird SubClassOf Mammal, \nFalse
Bird SubClassOf Herbivore, \nFalse
Bird SubClassOf Leg, False
Bird SubClassOf Elephant, \nFalse
Bird SubClassOf Backbone, \nTrue
Bird SubClassOf Animal and Backbone and Egg and Vertebrate and Wing, \nTrue
Bird SubClassOf Animal and Backbone and Egg and Plant and Vertebrate and Wing, \nHere
Plant and Reptile SubClassOf Elephant, \nFalse
Fish SubClassOf has_part some Vertebrate, \nTrue
Fish SubClassOf Leg, \nFalse
Fish SubClassOf Elephant, \nFalse
Egg SubClassOf has_part some Vertebrate, \nTrue
Egg and (has_part some Vertebrate) SubClassOf Egg and (has_part some Vertebrate), \nFalse
Egg SubClassOf Egg, \nTrue
Egg SubClassOf Meat, \nFalse
Egg SubClassOf Carnivore, \nFalse
Egg SubClassOf Water, \nFalse
Egg SubClassOf Animal, \nTrue
Animal SubClassOf Egg and (has_part some Vertebrate), \nTrue
Animal SubClassOf Animal, \nTrue
Reptile SubClassOf Animal, \nTrue
Vertebrate SubClassOf Animal, \nTrue
Cat SubClassOf Animal, \nTrue
Mammal SubClassOf Animal, \nTrue
Herbivore SubClassOf Animal, \nTrue
Animal SubClassOf Carnivore and Egg and (has_part some Vertebrate), \nTrue
Animal SubClassOf Carnivore and Egg and Reptile and (has_part some Vertebrate), \nTrue
Animal SubClassOf Carnivore and Egg and Reptile and Vertebrate and (has_part some Vertebrate), \nTrue
Animal SubClassOf Carnivore and Cat and Egg and Reptile and Vertebrate and (has_part some Vertebrate), \nTrue
Animal SubClassOf Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and (has_part some Vertebrate), \nTrue
