Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
SclerenchymaCell SubClassOf InMatureCell, \nTrue
SclerenchymaCell SubClassOf Cell and CirculatingCell and InMatureCell and LeafCell and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf Osteocyte, \nFalse
SclerenchymaCell SubClassOf ChondroBlast, \nFalse
SclerenchymaCell SubClassOf MioBlast, \nFalse
SclerenchymaCell SubClassOf CellByDevelopmentStage, \nTrue
SclerenchymaCell SubClassOf Cell and CellByDevelopmentStage and CirculatingCell and InMatureCell and LeafCell and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf PhotoreceptorCell, \nFalse
SclerenchymaCell SubClassOf CellByOrganism, \nFalse
SclerenchymaCell SubClassOf ElectricallyActiveCell, \nTrue
SclerenchymaCell SubClassOf Cell and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf StructuralCell, \nTrue
SclerenchymaCell SubClassOf Cell and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and Miocyte and PhotosyntheticCell and PlantCell and StructuralCell, \nFalse
SclerenchymaCell SubClassOf Neuron, \nFalse
SclerenchymaCell SubClassOf ChondroCyte, \nFalse
CellByDevelopmentStage and Osteocyte SubClassOf PhotoreceptorCell, \nFalse
ChondroCyte SubClassOf PhotoreceptorCell, \nTrue
ChondroCyte SubClassOf SclerenchymaCell, \nTrue
ChondroCyte SubClassOf LeafCell, \nTrue
ChondroCyte SubClassOf LeafCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf Erythrocyte, \nTrue
ChondroCyte SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf PhotosyntheticCell, \nTrue
ChondroCyte SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf CirculatingCell, \nFalse
ChondroCyte SubClassOf PlantCell, \nFalse
ChondroCyte SubClassOf CellByClass, \nTrue
ChondroCyte SubClassOf CellByClass and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf MatureCell, \nTrue
ChondroCyte SubClassOf CellByClass and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf AnimalCell, \nFalse
ChondroCyte SubClassOf Cell, \nTrue
ChondroCyte SubClassOf Cell and CellByClass and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf Miocyte, \nTrue
ChondroCyte SubClassOf CellByClass and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf InMatureCell, \nTrue
ChondroCyte SubClassOf CellByClass and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf Osteocyte, \nTrue
ChondroCyte SubClassOf CellByClass and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf ChondroBlast, \nTrue
ChondroCyte SubClassOf CellByClass and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf MioBlast, \nTrue
ChondroCyte SubClassOf CellByClass and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf CellByDevelopmentStage, \nFalse
ChondroCyte SubClassOf CellByClass and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf CellByOrganism, \nFalse
ChondroCyte SubClassOf ElectricallyActiveCell, \nTrue
ChondroCyte SubClassOf CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nFalse
ChondroCyte SubClassOf StructuralCell, \nFalse
ChondroCyte SubClassOf Neuron, \nFalse
ChondroCyte SubClassOf Cell and CellByClass and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf Cell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nHere
Neuron and PlantCell SubClassOf LeafCell, \nFalse
CellByOrganism and Osteocyte SubClassOf StructuralCell, \nTrue
CellByOrganism and Osteocyte SubClassOf SclerenchymaCell, \nFalse
CellByOrganism and Osteocyte SubClassOf LeafCell, \nFalse
CellByOrganism and Osteocyte SubClassOf Erythrocyte, \nFalse
CellByOrganism and Osteocyte SubClassOf PhotosyntheticCell, \nFalse
CellByOrganism and Osteocyte SubClassOf CirculatingCell, \nFalse
CellByOrganism and Osteocyte SubClassOf PlantCell, \nFalse
CellByOrganism and Osteocyte SubClassOf CellByClass, \nFalse
CellByOrganism and Osteocyte SubClassOf MatureCell, \nTrue
Osteocyte SubClassOf MatureCell, \nTrue
Osteocyte SubClassOf SclerenchymaCell, \nTrue
Osteocyte SubClassOf MatureCell and SclerenchymaCell, \nTrue
Osteocyte SubClassOf LeafCell, \nFalse
Osteocyte SubClassOf Erythrocyte, \nFalse
Osteocyte SubClassOf PhotosyntheticCell, \nFalse
Osteocyte SubClassOf CirculatingCell, \nTrue
Osteocyte SubClassOf CirculatingCell and MatureCell and SclerenchymaCell, \nTrue
Osteocyte SubClassOf PlantCell, \nFalse
Osteocyte SubClassOf CellByClass, \nFalse
Osteocyte SubClassOf AnimalCell, \nFalse
Osteocyte SubClassOf Cell, \nTrue
Osteocyte SubClassOf Cell and CirculatingCell and MatureCell and SclerenchymaCell, \nTrue
Osteocyte SubClassOf Miocyte, \nFalse
Osteocyte SubClassOf InMatureCell, \nTrue
Osteocyte SubClassOf Cell and CirculatingCell and InMatureCell and MatureCell and SclerenchymaCell, \nFalse
Osteocyte SubClassOf ChondroBlast, \nFalse
Osteocyte SubClassOf MioBlast, \nTrue
Osteocyte SubClassOf Cell and CirculatingCell and MatureCell and MioBlast and SclerenchymaCell, \nTrue
Osteocyte SubClassOf CellByDevelopmentStage, False
Osteocyte SubClassOf PhotoreceptorCell, \nFalse
Osteocyte SubClassOf CellByOrganism, \nTrue
Osteocyte SubClassOf Cell and CellByOrganism and CirculatingCell and MatureCell and MioBlast and SclerenchymaCell, \nHere
Osteocyte SubClassOf ElectricallyActiveCell, \nFalse
Osteocyte SubClassOf StructuralCell, \nTrue
Osteocyte SubClassOf Cell and CirculatingCell and MatureCell and MioBlast and SclerenchymaCell and StructuralCell, \nFalse
Osteocyte SubClassOf Neuron, \nFalse
Osteocyte SubClassOf ChondroCyte, \nFalse
Osteocyte SubClassOf Cell and CirculatingCell and InMatureCell and MatureCell and MioBlast and SclerenchymaCell, \nFalse
MatureCell and MioBlast SubClassOf CirculatingCell, \nFalse
ChondroBlast and Neuron SubClassOf StructuralCell, \nFalse
Erythrocyte and StructuralCell SubClassOf CirculatingCell, \nTrue
Erythrocyte and StructuralCell SubClassOf SclerenchymaCell, \nFalse
Erythrocyte and StructuralCell SubClassOf LeafCell, \nFalse
Erythrocyte and StructuralCell SubClassOf PhotosyntheticCell, \nTrue
Erythrocyte SubClassOf PhotosyntheticCell, \nFalse
StructuralCell SubClassOf PhotosyntheticCell, \nTrue
StructuralCell SubClassOf SclerenchymaCell, \nTrue
StructuralCell SubClassOf PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf LeafCell, True
StructuralCell SubClassOf LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Erythrocyte, \nTrue
StructuralCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CirculatingCell, \nTrue
StructuralCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nFalse
StructuralCell SubClassOf PlantCell, \nTrue
StructuralCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CellByClass, \nFalse
StructuralCell SubClassOf MatureCell, True
StructuralCell SubClassOf Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf AnimalCell, False
StructuralCell SubClassOf Cell, \nTrue
StructuralCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Miocyte, \nTrue
StructuralCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf InMatureCell, \nTrue
StructuralCell SubClassOf Cell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Osteocyte, True
StructuralCell SubClassOf Cell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf ChondroBlast, \nFalse
StructuralCell SubClassOf MioBlast, True
StructuralCell SubClassOf Cell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CellByDevelopmentStage, \nFalse
StructuralCell SubClassOf PhotoreceptorCell, \nTrue
StructuralCell SubClassOf Cell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CellByOrganism, False
StructuralCell SubClassOf ElectricallyActiveCell, \nTrue
StructuralCell SubClassOf Cell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Neuron, \nTrue
StructuralCell SubClassOf Cell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
StructuralCell SubClassOf ChondroCyte, \nFalse
StructuralCell SubClassOf Cell and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
AnimalCell SubClassOf Cell, \nTrue
AnimalCell SubClassOf SclerenchymaCell, \nFalse
AnimalCell SubClassOf LeafCell, \nFalse
AnimalCell SubClassOf Erythrocyte, \nTrue
AnimalCell SubClassOf PhotosyntheticCell, \nFalse
AnimalCell SubClassOf CirculatingCell, \nTrue
AnimalCell SubClassOf CirculatingCell and Erythrocyte, \nFalse
AnimalCell SubClassOf PlantCell, \nFalse
AnimalCell SubClassOf CellByClass, \nTrue
AnimalCell SubClassOf CellByClass and Erythrocyte, \nTrue
AnimalCell SubClassOf MatureCell, \nTrue
AnimalCell SubClassOf CellByClass and Erythrocyte and MatureCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and Erythrocyte and MatureCell, \nTrue
AnimalCell SubClassOf Miocyte, \nTrue
AnimalCell SubClassOf Cell and CellByClass and Erythrocyte and MatureCell and Miocyte, \nTrue
AnimalCell SubClassOf InMatureCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and Erythrocyte and InMatureCell and MatureCell and Miocyte, \nHere
AnimalCell SubClassOf Osteocyte, \nFalse
AnimalCell SubClassOf ChondroBlast, \nTrue
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and Erythrocyte and MatureCell and Miocyte, \nTrue
AnimalCell SubClassOf MioBlast, \nFalse
AnimalCell SubClassOf CellByDevelopmentStage, \nTrue
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and Erythrocyte and MatureCell and Miocyte, \nHere
AnimalCell SubClassOf PhotoreceptorCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and Erythrocyte and MatureCell and Miocyte and PhotoreceptorCell, \nHere
AnimalCell SubClassOf CellByOrganism, \nFalse
AnimalCell SubClassOf ElectricallyActiveCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and MatureCell and Miocyte, \nHere
AnimalCell SubClassOf StructuralCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and Erythrocyte and MatureCell and Miocyte and StructuralCell, \nHere
AnimalCell SubClassOf Neuron, \nTrue
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and Erythrocyte and MatureCell and Miocyte and Neuron, \nHere
AnimalCell SubClassOf ChondroCyte, \nTrue
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and Erythrocyte and MatureCell and Miocyte, \nTrue
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and MatureCell and Miocyte, \nHere
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and MatureCell and Miocyte, \nHere
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and Erythrocyte and MatureCell and Miocyte, \nHere
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and Erythrocyte and MatureCell and Miocyte and PhotoreceptorCell, \nHere
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and ElectricallyActiveCell and Erythrocyte and MatureCell and Miocyte, \nHere
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and Erythrocyte and MatureCell and Miocyte and StructuralCell, \nHere
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and Erythrocyte and MatureCell and Miocyte and Neuron, \nHere
CellByDevelopmentStage and PhotoreceptorCell SubClassOf MatureCell, \nTrue
CellByDevelopmentStage and PhotoreceptorCell SubClassOf SclerenchymaCell, \nFalse
CellByDevelopmentStage and PhotoreceptorCell SubClassOf LeafCell, \nFalse
CellByDevelopmentStage and PhotoreceptorCell SubClassOf Erythrocyte, \nFalse
CellByDevelopmentStage and PhotoreceptorCell SubClassOf PhotosyntheticCell, \nFalse
CellByDevelopmentStage and PhotoreceptorCell SubClassOf CirculatingCell, \nFalse
CellByDevelopmentStage and PhotoreceptorCell SubClassOf PlantCell, \nFalse
CellByDevelopmentStage and PhotoreceptorCell SubClassOf CellByClass, \nFalse
CellByDevelopmentStage SubClassOf MatureCell, \nTrue
CellByDevelopmentStage SubClassOf SclerenchymaCell, True
CellByDevelopmentStage SubClassOf MatureCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell, \nFalse
CellByDevelopmentStage SubClassOf Erythrocyte, False
CellByDevelopmentStage SubClassOf PhotosyntheticCell, \nTrue
CellByDevelopmentStage SubClassOf MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CirculatingCell, \nFalse
CellByDevelopmentStage SubClassOf PlantCell, \nTrue
CellByDevelopmentStage SubClassOf MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByClass, \nFalse
CellByDevelopmentStage SubClassOf AnimalCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Cell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Miocyte, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
CellByDevelopmentStage SubClassOf InMatureCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
CellByDevelopmentStage SubClassOf Osteocyte, \nFalse
CellByDevelopmentStage SubClassOf ChondroBlast, \nFalse
CellByDevelopmentStage SubClassOf MioBlast, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and MioBlast and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
CellByDevelopmentStage SubClassOf PhotoreceptorCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByOrganism, False
CellByDevelopmentStage SubClassOf ElectricallyActiveCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and ElectricallyActiveCell and MatureCell and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
CellByDevelopmentStage SubClassOf StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf Neuron, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf ChondroCyte, \nFalse
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
CellByDevelopmentStage SubClassOf AnimalCell and Cell and ElectricallyActiveCell and InMatureCell and MatureCell and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nFalse
CellByOrganism and PhotoreceptorCell SubClassOf ChondroBlast, \nFalse
CirculatingCell and Neuron SubClassOf PhotosyntheticCell, \nFalse
ChondroBlast and MatureCell SubClassOf PlantCell, \nTrue
ChondroBlast and MatureCell SubClassOf SclerenchymaCell, \nFalse
ChondroBlast and MatureCell SubClassOf LeafCell, \nFalse
ChondroBlast and MatureCell SubClassOf Erythrocyte, \nFalse
ChondroBlast and MatureCell SubClassOf PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf SclerenchymaCell, \nFalse
ChondroBlast SubClassOf LeafCell, \nTrue
ChondroBlast SubClassOf LeafCell and PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf CirculatingCell, \nTrue
ChondroBlast SubClassOf CirculatingCell and LeafCell and PhotosyntheticCell, \nFalse
ChondroBlast SubClassOf PlantCell, False
ChondroBlast SubClassOf CellByClass, \nTrue
ChondroBlast SubClassOf CellByClass and LeafCell and PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf MatureCell, \nFalse
ChondroBlast SubClassOf AnimalCell, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and LeafCell and PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf Cell, True
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and LeafCell and PhotosyntheticCell, \nHere
ChondroBlast SubClassOf Miocyte, \nFalse
ChondroBlast SubClassOf InMatureCell, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and InMatureCell and LeafCell and PhotosyntheticCell, \nTrue
ChondroBlast SubClassOf Osteocyte, \nFalse
ChondroBlast SubClassOf MioBlast, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and InMatureCell and LeafCell and MioBlast and PhotosyntheticCell, \nHere
ChondroBlast SubClassOf CellByDevelopmentStage, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and InMatureCell and LeafCell and PhotosyntheticCell, \nFalse
ChondroBlast SubClassOf PhotoreceptorCell, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and InMatureCell and LeafCell and PhotoreceptorCell and PhotosyntheticCell, \nThe
ChondroBlast SubClassOf CellByOrganism, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and CellByOrganism and InMatureCell and LeafCell and PhotosyntheticCell, \nHere
ChondroBlast SubClassOf ElectricallyActiveCell, \nFalse
ChondroBlast SubClassOf StructuralCell, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and InMatureCell and LeafCell and PhotosyntheticCell and StructuralCell, \nTrue
ChondroBlast SubClassOf Neuron, \nFalse
ChondroBlast SubClassOf ChondroCyte, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and ChondroCyte and InMatureCell and LeafCell and PhotosyntheticCell and StructuralCell, \nTrue
ChondroBlast SubClassOf AnimalCell and CellByClass and ChondroCyte and CirculatingCell and InMatureCell and LeafCell and PhotosyntheticCell and StructuralCell, \nTrue
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and CirculatingCell and InMatureCell and LeafCell and PhotosyntheticCell and StructuralCell, \nTrue
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and CirculatingCell and InMatureCell and LeafCell and MioBlast and PhotosyntheticCell and StructuralCell, \nTrue
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and CirculatingCell and InMatureCell and LeafCell and MioBlast and PhotosyntheticCell and StructuralCell, \nFalse
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and CirculatingCell and InMatureCell and LeafCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nTrue
ChondroBlast SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroCyte and CirculatingCell and InMatureCell and LeafCell and MioBlast and PhotoreceptorCell and PhotosyntheticCell and StructuralCell, \nHere
PhotoreceptorCell and PhotosyntheticCell SubClassOf StructuralCell, \nFalse
CellByOrganism and MatureCell SubClassOf ChondroCyte, \nTrue
CellByOrganism and MatureCell SubClassOf SclerenchymaCell, \nFalse
CellByOrganism and MatureCell SubClassOf LeafCell, \nTrue
CellByOrganism SubClassOf LeafCell, \nTrue
CellByOrganism SubClassOf SclerenchymaCell, \nTrue
CellByOrganism SubClassOf LeafCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf Erythrocyte, \nTrue
CellByOrganism SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf PhotosyntheticCell, \nTrue
CellByOrganism SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf CirculatingCell, \nFalse
CellByOrganism SubClassOf PlantCell, \nTrue
CellByOrganism SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf CellByClass, \nTrue
CellByOrganism SubClassOf CellByClass and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf MatureCell, \nTrue
CellByOrganism SubClassOf CellByClass and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
CellByOrganism SubClassOf AnimalCell, True
CellByOrganism SubClassOf AnimalCell and CellByClass and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf Cell, \nTrue
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nThe
CellByOrganism SubClassOf Miocyte, True
CellByOrganism SubClassOf AnimalCell and CellByClass and Erythrocyte and LeafCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf InMatureCell, \nFalse
CellByOrganism SubClassOf Osteocyte, \nFalse
CellByOrganism SubClassOf ChondroBlast, \nTrue
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and Erythrocyte and LeafCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf MioBlast, \nFalse
CellByOrganism SubClassOf CellByDevelopmentStage, \nFalse
CellByOrganism SubClassOf PhotoreceptorCell, \nTrue
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and Erythrocyte and LeafCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf ElectricallyActiveCell, True
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and LeafCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf StructuralCell, \nTrue
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and LeafCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByOrganism SubClassOf Neuron, \nTrue
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and LeafCell and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
CellByOrganism SubClassOf ChondroCyte, \nFalse
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByOrganism SubClassOf AnimalCell and CellByClass and ChondroBlast and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MioBlast and Neuron SubClassOf LeafCell, \nFalse
MatureCell and MioBlast SubClassOf ChondroBlast, \nTrue
