Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, **False
Can Reptile be considered a subcategory of 'Leg that is also Thing'?, False
Can Plant be considered a subcategory of 'Leg that is also Thing'?, FALSE
Can Vertebrate be considered a subcategory of 'Leg that is also Thing'?, FALSE
Can Cat be considered a subcategory of 'Leg that is also Thing'?, TRUE
Can Cat be considered a subcategory of 'Egg'?, **False
Can Cat be considered a subcategory of 'Meat'?, FALSE
Can Cat be considered a subcategory of 'Carnivore'?, TRUE
Can Cat be considered a subcategory of 'Carnivore that is also Leg that is also Thing'?, **True
Can Cat be considered a subcategory of 'Water'?, **False
Can Cat be considered a subcategory of 'Animal'?, TRUE
Can Cat be considered a subcategory of 'Animal that is also Leg that is also Thing'?, **True
Can Cat be considered a subcategory of 'Plant'?, False
Can Cat be considered a subcategory of 'Vertebrate'?, TRUE
Can Cat be considered a subcategory of 'Leg that is also Vertebrate that is also Thing'?, FALSE
Can Cat be considered a subcategory of 'Fish'?, **FALSE
Can Cat be considered a subcategory of 'Mammal'?, TRUE
Can Cat be considered a subcategory of 'Leg that is also Mammal that is also Thing'?, FALSE
Can Cat be considered a subcategory of 'Herbivore'?, **False
Can Cat be considered a subcategory of 'Elephant'?, False
Can Cat be considered a subcategory of 'Bird'?, False
Can Cat be considered a subcategory of 'Backbone'?, False
Can something that has_part some Wing be considered a subcategory of 'Bird'?, **False
Can Plant be considered a subcategory of 'something that lays some Elephant'?, False
Can Elephant that is also Water be considered a subcategory of 'Reptile'?, FALSE
Can Animal that is also Herbivore be considered a subcategory of 'Cat'?, FALSE
Can Meat be considered a subcategory of 'something that lays some Water'?, False
Can Vertebrate be considered a subcategory of 'something that has_part some Egg'?, **False
Can Elephant that is also Herbivore be considered a subcategory of 'Cat'?, FALSE
Can Backbone that is also Elephant be considered a subcategory of 'Reptile'?, **FALSE
Can Herbivore be considered a subcategory of 'something that has_part some Fish'?, False
Can Reptile be considered a subcategory of 'something that lays some Water'?, FALSE
Can Animal that is also Backbone be considered a subcategory of 'Elephant'?, False
Can something that eats some Water be considered a subcategory of 'Water'?, **FALSE
Can something that lays some Herbivore be considered a subcategory of 'Mammal'?, False
Can Elephant that is also Meat be considered a subcategory of 'Egg'?, False
Can Mammal that is also Water be considered a subcategory of 'Reptile'?, **False
Can Carnivore be considered a subcategory of 'something that lives_in some Fish'?, FALSE
Can Cat that is also Egg be considered a subcategory of 'Fish'?, **FALSE
Can Elephant that is also Water be considered a subcategory of 'Carnivore'?, False
Can Wing be considered a subcategory of 'something that lives_in some Leg'?, TRUE
Can Egg be considered a subcategory of 'something that lives_in some Leg'?, TRUE
Can Thing that is also something that (lives_in some Leg) be considered a subcategory of 'Thing that is also something that (lives_in some Leg)'?, **FALSE
Can Egg be considered a subcategory of 'Egg'?, FALSE
Can Animal be considered a subcategory of 'Thing that is also something that (lives_in some Leg)'?, TRUE
Can Animal that is also Thing that is also something that (lives_in some Leg) be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some Leg)'?, False.
Can Animal that is also Thing that is also something that (lives_in some (Leg that is also Thing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Leg that is also Thing))'?, False.
Can Fish be considered a subcategory of 'Leg that is also Thing'?, FALSE
Can Mammal be considered a subcategory of 'Leg that is also Thing'?, **False
Can Herbivore be considered a subcategory of 'Leg that is also Thing'?, FALSE
Can Elephant be considered a subcategory of 'Leg that is also Thing'?, False
Can Bird be considered a subcategory of 'Leg that is also Thing'?, False
Can Backbone be considered a subcategory of 'Leg that is also Thing'?, TRUE
Can Wing be considered a subcategory of 'something that has_part some Elephant'?, TRUE
Can Egg be considered a subcategory of 'something that has_part some Elephant'?, **False
Can Meat be considered a subcategory of 'something that has_part some Elephant'?, **False
Can Carnivore be considered a subcategory of 'something that has_part some Elephant'?, **FALSE
Can Water be considered a subcategory of 'something that has_part some Elephant'?, False
Can Animal be considered a subcategory of 'something that has_part some Elephant'?, TRUE
Can Thing that is also something that (has_part some Elephant) be considered a subcategory of 'Thing that is also something that (has_part some Elephant)'?, **False
Can Water be considered a subcategory of 'Elephant'?, **False
Can Reptile be considered a subcategory of 'Elephant'?, **FALSE
Can Plant be considered a subcategory of 'Elephant'?, FALSE
Can Vertebrate be considered a subcategory of 'Elephant'?, **False
Can Herbivore be considered a subcategory of 'Elephant'?, FALSE
Can Thing that is also something that (has_part some (Elephant that is also Thing)) be considered a subcategory of 'Thing that is also something that (has_part some (Elephant that is also Thing))'?, **False
Can Egg be considered a subcategory of 'Elephant that is also Thing'?, False
Can Meat be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Carnivore be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Water be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Animal be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Reptile be considered a subcategory of 'Elephant that is also Thing'?, False
Can Plant be considered a subcategory of 'Elephant that is also Thing'?, False
Can Vertebrate be considered a subcategory of 'Elephant that is also Thing'?, False
Can Cat be considered a subcategory of 'Elephant that is also Thing'?, **False
Can Fish be considered a subcategory of 'Elephant that is also Thing'?, False
Can Mammal be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Herbivore be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Leg be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Bird be considered a subcategory of 'Elephant that is also Thing'?, **False
Can Backbone be considered a subcategory of 'Elephant that is also Thing'?, FALSE
Can Wing be considered a subcategory of 'Elephant that is also Thing'?, **False
Can Cat be considered a subcategory of 'something that lives_in some Fish'?, FALSE
Can Backbone that is also Cat be considered a subcategory of 'Meat'?, FALSE
Can something that has_part some Herbivore be considered a subcategory of 'Water'?, **False
Can Herbivore that is also Reptile be considered a subcategory of 'Elephant'?, False
Can something that lives_in some Animal be considered a subcategory of 'Meat'?, False
Can Plant that is also Reptile be considered a subcategory of 'Carnivore'?, **False
Can Carnivore be considered a subcategory of 'something that eats some Carnivore'?, FALSE.
Can Egg that is also Elephant be considered a subcategory of 'Fish'?, **False
Can Vertebrate be considered a subcategory of 'something that lives_in some Elephant'?, False
Can Elephant that is also Herbivore be considered a subcategory of 'Water'?, FALSE
Can Wing be considered a subcategory of 'something that eats some Leg'?, FALSE
Can Herbivore that is also Mammal be considered a subcategory of 'Vertebrate'?, FALSE
Can Herbivore that is also Leg be considered a subcategory of 'Reptile'?, False
Can Reptile be considered a subcategory of 'something that eats some Mammal'?, **FALSE
Can Bird that is also Reptile be considered a subcategory of 'Wing'?, **False
Can Plant be considered a subcategory of 'something that has_part some Meat'?, False.
Can Vertebrate that is also Wing be considered a subcategory of 'Cat'?, **False
Can Elephant be considered a subcategory of 'something that lays some Animal'?, FALSE
Can Animal that is also Reptile be considered a subcategory of 'Plant'?, **False
Can Meat be considered a subcategory of 'something that has_part some Backbone'?, False
Can Herbivore that is also Wing be considered a subcategory of 'Vertebrate'?, False
Can Leg be considered a subcategory of 'something that lays some Plant'?, FALSE
Can Carnivore that is also Elephant be considered a subcategory of 'Herbivore'?, **False
Can Egg be considered a subcategory of 'something that has_part some Meat'?, **False
Can Animal that is also Wing be considered a subcategory of 'Cat'?, **FALSE
Can Mammal that is also Meat be considered a subcategory of 'Plant'?, False.
Can something that lives_in some Bird be considered a subcategory of 'Plant'?, FALSE
Can Backbone be considered a subcategory of 'something that has_part some Cat'?, **False
Can something that lives_in some Wing be considered a subcategory of 'Vertebrate'?, FALSE
Can Mammal be considered a subcategory of 'something that lays some Plant'?, **FALSE
Can Plant be considered a subcategory of 'Herbivore'?, FALSE
Can Vertebrate that is also Wing be considered a subcategory of 'Backbone'?, **False
Can Elephant be considered a subcategory of 'something that lays some Cat'?, **FALSE
Can something that lays some Bird be considered a subcategory of 'Plant'?, FALSE
Can Herbivore that is also Wing be considered a subcategory of 'Meat'?, False
Can Cat be considered a subcategory of 'something that lays some Vertebrate'?, **True
Can Bird that is also Carnivore be considered a subcategory of 'Wing'?, False.
Can Egg be considered a subcategory of 'something that has_part some Herbivore'?, TRUE
Can Thing that is also something that (has_part some Herbivore) be considered a subcategory of 'Thing that is also something that (has_part some Herbivore)'?, **False
Can Animal be considered a subcategory of 'Thing that is also something that (has_part some Herbivore)'?, False
Can Meat be considered a subcategory of 'Herbivore'?, **False
Can Water be considered a subcategory of 'Herbivore'?, **FALSE
Can Reptile be considered a subcategory of 'Herbivore'?, FALSE
Can Vertebrate be considered a subcategory of 'Herbivore'?, FALSE
Can Elephant be considered a subcategory of 'Herbivore'?, FALSE
Can Egg be considered a subcategory of 'Animal that is also Thing that is also something that (has_part some Herbivore)'?, FALSE
Can Egg be considered a subcategory of 'Thing that is also something that (has_part some (Animal that is also Herbivore))'?, TRUE
Can Thing that is also something that (has_part some (Animal that is also Herbivore that is also Thing)) be considered a subcategory of 'Thing that is also something that (has_part some (Animal that is also Herbivore that is also Thing))'?, False.
Can Animal be considered a subcategory of 'Thing that is also something that (has_part some (Animal that is also Herbivore that is also Thing))'?, TRUE
Can Egg be considered a subcategory of 'Animal that is also Herbivore that is also Thing'?, True
Can Egg that is also Leg be considered a subcategory of 'Meat'?, **False
Can Carnivore be considered a subcategory of 'something that eats some Mammal'?, TRUE
Can Egg be considered a subcategory of 'something that eats some Mammal'?, FALSE
Can Meat be considered a subcategory of 'something that eats some Mammal'?, **FALSE
Can Thing that is also something that (eats some Mammal) be considered a subcategory of 'Thing that is also something that (eats some Mammal)'?, FALSE
Can Carnivore be considered a subcategory of 'Carnivore'?, FALSE
Can Animal be considered a subcategory of 'Thing that is also something that (eats some Mammal)'?, TRUE
Can Meat be considered a subcategory of 'Mammal'?, False
Can Water be considered a subcategory of 'Mammal'?, **False
Can Reptile be considered a subcategory of 'Mammal'?, **False
Can Plant be considered a subcategory of 'Mammal'?, **False
Can Vertebrate be considered a subcategory of 'Mammal'?, False
Can Cat be considered a subcategory of 'Carnivore that is also Mammal'?, TRUE
Can Cat be considered a subcategory of 'Animal that is also Carnivore that is also Mammal'?, TRUE
Can Cat be considered a subcategory of 'Animal that is also Carnivore that is also Mammal that is also Vertebrate'?, TRUE
Can Backbone be considered a subcategory of 'something that has_part some Backbone'?, **True
Can something that lives_in some Wing be considered a subcategory of 'Meat'?, False
Can Mammal be considered a subcategory of 'something that lays some Vertebrate'?, FALSE
Can Cat that is also Herbivore be considered a subcategory of 'Meat'?, False
Can Plant be considered a subcategory of 'something that eats some Mammal'?, FALSE
Can Elephant be considered a subcategory of 'something that lives_in some Herbivore'?, FALSE
Can something that lays some Herbivore be considered a subcategory of 'Backbone'?, FALSE
Can Meat be considered a subcategory of 'something that eats some Animal'?, TRUE
Can Meat be considered a subcategory of 'Carnivore'?, False
Can Meat be considered a subcategory of 'Animal'?, **False
Can Meat be considered a subcategory of 'Plant'?, **False
Can Meat be considered a subcategory of 'Cat'?, **False
Can Meat be considered a subcategory of 'Fish'?, False
Can Meat be considered a subcategory of 'Bird'?, False
Can Meat be considered a subcategory of 'Backbone'?, **FALSE
Can Egg be considered a subcategory of 'something that eats some Animal'?, TRUE
Can Thing that is also something that (eats some Animal) be considered a subcategory of 'Thing that is also something that (eats some Animal)'?, FALSE
Can Animal be considered a subcategory of 'Thing that is also something that (eats some Animal)'?, TRUE
Can Water be considered a subcategory of 'Animal'?, **False
Can Reptile be considered a subcategory of 'Animal'?, TRUE
Can Reptile be considered a subcategory of 'Egg'?, FALSE
Can Reptile be considered a subcategory of 'Meat'?, **False
Can Reptile be considered a subcategory of 'Carnivore'?, False
Can Reptile be considered a subcategory of 'Water'?, **False
Can Reptile be considered a subcategory of 'Plant'?, False
Can Reptile be considered a subcategory of 'Vertebrate'?, TRUE
Can Reptile be considered a subcategory of 'Animal that is also Vertebrate'?, TRUE
Can Reptile be considered a subcategory of 'Cat'?, **False
Can Reptile be considered a subcategory of 'Fish'?, FALSE
Can Reptile be considered a subcategory of 'Bird'?, **False
Can Reptile be considered a subcategory of 'Backbone'?, FALSE
Can Water be considered a subcategory of 'Plant'?, **False
Can something that has_part some Wing be considered a subcategory of 'Cat'?, False.
Can Carnivore that is also Herbivore be considered a subcategory of 'Meat'?, **False
Can Bird be considered a subcategory of 'something that eats some Vertebrate'?, **False
Can Animal that is also Water be considered a subcategory of 'Bird'?, FALSE
Can Herbivore that is also Wing be considered a subcategory of 'Cat'?, False
Can something that lives_in some Water be considered a subcategory of 'Plant'?, FALSE
Can Carnivore that is also Meat be considered a subcategory of 'Egg'?, False
Can Elephant that is also Reptile be considered a subcategory of 'Herbivore'?, **False
Can Reptile that is also Vertebrate be considered a subcategory of 'Leg'?, FALSE
Can Meat be considered a subcategory of 'something that has_part some Cat'?, False
Can Fish be considered a subcategory of 'something that eats some Bird'?, False
Can Bird be considered a subcategory of 'something that has_part some Mammal'?, **False
Can Herbivore that is also Wing be considered a subcategory of 'Backbone'?, False
Can Backbone be considered a subcategory of 'something that eats some Cat'?, FALSE
Can something that lives_in some Wing be considered a subcategory of 'Plant'?, **False
Can something that lays some Backbone be considered a subcategory of 'Plant'?, FALSE
Can Fish that is also Water be considered a subcategory of 'Herbivore'?, FALSE
Can Herbivore be considered a subcategory of 'something that lives_in some Meat'?, FALSE
Can something that has_part some Meat be considered a subcategory of 'Animal'?, False
Can Backbone that is also Meat be considered a subcategory of 'Bird'?, False
Can Mammal that is also Meat be considered a subcategory of 'Carnivore'?, FALSE
Can Leg be considered a subcategory of 'something that lives_in some Cat'?, TRUE
Can Egg be considered a subcategory of 'something that lives_in some Cat'?, FALSE
Can Meat be considered a subcategory of 'something that lives_in some Cat'?, FALSE
Can Carnivore be considered a subcategory of 'something that lives_in some Cat'?, FALSE
Can Water be considered a subcategory of 'something that lives_in some Cat'?, FALSE
Can Animal be considered a subcategory of 'something that lives_in some Cat'?, False
Can Reptile be considered a subcategory of 'something that lives_in some Cat'?, FALSE
Can Plant be considered a subcategory of 'something that lives_in some Cat'?, False
Can Vertebrate be considered a subcategory of 'something that lives_in some Cat'?, FALSE
Can Cat be considered a subcategory of 'something that lives_in some Cat'?, True
Can Thing that is also something that (lives_in some Cat) be considered a subcategory of 'Thing that is also something that (lives_in some Cat)'?, FALSE
Can Carnivore be considered a subcategory of 'Thing that is also something that (lives_in some Cat)'?, TRUE
Can Animal be considered a subcategory of 'Thing that is also something that (lives_in some Cat)'?, **FALSE
Can Vertebrate be considered a subcategory of 'Carnivore'?, **FALSE
Can Vertebrate be considered a subcategory of 'Thing that is also something that (lives_in some Cat)'?, True
Can Vertebrate be considered a subcategory of 'Egg'?, **False
Can Vertebrate be considered a subcategory of 'Meat'?, **False
Can Vertebrate be considered a subcategory of 'Water'?, **FALSE
Can Vertebrate be considered a subcategory of 'Animal'?, TRUE
Can Vertebrate be considered a subcategory of 'Plant'?, **False
Can Vertebrate be considered a subcategory of 'Vertebrate'?, FALSE
Can Vertebrate be considered a subcategory of 'Cat'?, **False
Can Vertebrate be considered a subcategory of 'Bird'?, False
Can Vertebrate be considered a subcategory of 'Backbone'?, TRUE
Can Backbone be considered a subcategory of 'Thing that is also something that (lives_in some Cat)'?, FALSE
Can Water be considered a subcategory of 'Cat'?, FALSE
Can Plant be considered a subcategory of 'Cat'?, **FALSE
Can Herbivore be considered a subcategory of 'Cat'?, **False
Can Elephant be considered a subcategory of 'Cat'?, FALSE
Can Vertebrate be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some Cat)'?, TRUE
Can Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Thing that is also something that (lives_in some Cat)'?, **True
Can Vertebrate be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Animal that is also Cat))'?, False
Can Vertebrate be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Backbone that is also Cat))'?, True
Can Animal that is also Reptile that is also Thing that is also something that (lives_in some (Backbone that is also Cat)) be considered a subcategory of 'Animal that is also Reptile that is also Thing that is also something that (lives_in some (Backbone that is also Cat))'?, False
Can Animal be considered a subcategory of 'Animal that is also Reptile that is also Thing that is also something that (lives_in some (Backbone that is also Cat))'?, **False
Can Backbone be considered a subcategory of 'Animal that is also Reptile that is also Thing that is also something that (lives_in some (Backbone that is also Cat))'?, FALSE
Can Egg be considered a subcategory of 'Backbone that is also Cat'?, **False
Can Meat be considered a subcategory of 'Backbone that is also Cat'?, False
Can Carnivore be considered a subcategory of 'Backbone that is also Cat'?, **FALSE
Can Water be considered a subcategory of 'Backbone that is also Cat'?, FALSE
Can Animal be considered a subcategory of 'Backbone that is also Cat'?, False
Can Reptile be considered a subcategory of 'Backbone that is also Cat'?, **FALSE
Can Plant be considered a subcategory of 'Backbone that is also Cat'?, False
Can Vertebrate be considered a subcategory of 'Backbone that is also Cat'?, FALSE
Can Cat be considered a subcategory of 'Backbone that is also Cat'?, FALSE
Can Fish be considered a subcategory of 'Backbone that is also Cat'?, **False
Can Mammal be considered a subcategory of 'Backbone that is also Cat'?, **False
Can Herbivore be considered a subcategory of 'Backbone that is also Cat'?, FALSE
Can Leg be considered a subcategory of 'Backbone that is also Cat'?, **False
Can Elephant be considered a subcategory of 'Backbone that is also Cat'?, **False
Can Bird be considered a subcategory of 'Backbone that is also Cat'?, **False
Can Backbone be considered a subcategory of 'Backbone that is also Cat'?, **False
Can Wing be considered a subcategory of 'Backbone that is also Cat'?, **FALSE
Can Animal that is also Reptile that is also Vertebrate that is also Thing that is also something that (lives_in some (Backbone that is also Cat)) be considered a subcategory of 'Animal that is also Reptile that is also Vertebrate that is also Thing that is also something that (lives_in some (Backbone that is also Cat))'?, **False
Can Animal be considered a subcategory of 'Animal that is also Reptile that is also Vertebrate that is also Thing that is also something that (lives_in some (Backbone that is also Cat))'?, TRUE
Can Animal that is also Reptile that is also Vertebrate that is also Thing that is also something that (lives_in some (Backbone that is also Cat that is also Thing)) be considered a subcategory of 'Animal that is also Reptile that is also Vertebrate that is also Thing that is also something that (lives_in some (Backbone that is also Cat that is also Thing))'?, FALSE
Can Egg be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, **False
Can Meat be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, False
Can Carnivore be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, **FALSE
Can Water be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, False
Can Animal be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, False
Can Reptile be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, **False
Can Plant be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, FALSE
Can Vertebrate be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, False.
Can Cat be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, **False
Can Fish be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, False
Can Mammal be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, **FALSE
Can Herbivore be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, FALSE
Can Leg be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, **False
Can Elephant be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, FALSE
Can Bird be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, False
Can Backbone be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, FALSE
Can Wing be considered a subcategory of 'Backbone that is also Cat that is also Thing'?, False
Can Mammal that is also Meat be considered a subcategory of 'Fish'?, FALSE
Can something that eats some Reptile be considered a subcategory of 'Meat'?, FALSE
Can Reptile that is also Vertebrate be considered a subcategory of 'Cat'?, FALSE
Can Fish that is also Water be considered a subcategory of 'Bird'?, FALSE
Can something that has_part some Herbivore be considered a subcategory of 'Cat'?, FALSE
Can Backbone that is also Meat be considered a subcategory of 'Animal'?, **False
Can Egg that is also Leg be considered a subcategory of 'Wing'?, **False
Can Backbone that is also Bird be considered a subcategory of 'Plant'?, FALSE
Can Egg that is also Water be considered a subcategory of 'Wing'?, **False
Can Carnivore be considered a subcategory of 'something that has_part some Herbivore'?, False
Can Meat that is also Wing be considered a subcategory of 'Animal'?, **False
Can Backbone that is also Reptile be considered a subcategory of 'Bird'?, **FALSE
Can Elephant that is also Plant be considered a subcategory of 'Herbivore'?, False
Can Bird that is also Egg be considered a subcategory of 'Carnivore'?, FALSE
Can Mammal that is also Plant be considered a subcategory of 'Meat'?, False
Can something that has_part some Carnivore be considered a subcategory of 'Bird'?, **False
Can Carnivore that is also Leg be considered a subcategory of 'Herbivore'?, False
Can Fish that is also Water be considered a subcategory of 'Backbone'?, **False
Can something that lays some Reptile be considered a subcategory of 'Reptile'?, TRUE
Can something that lays some Reptile be considered a subcategory of 'Egg'?, FALSE
Can something that lays some Reptile be considered a subcategory of 'Meat'?, FALSE
Can something that lays some Reptile be considered a subcategory of 'Carnivore'?, False
Can something that lays some Reptile be considered a subcategory of 'Water'?, FALSE
Can something that lays some Reptile be considered a subcategory of 'Animal'?, TRUE
Can Thing be considered a subcategory of 'Thing that is also something that (lays some (Animal that is also Reptile that is also Vertebrate that is also Thing))'?, TRUE
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Egg'?, False
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Meat'?, FALSE
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Carnivore'?, False
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Water'?, **False
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Plant'?, FALSE
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Cat'?, False
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Fish'?, False
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Mammal'?, FALSE
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Herbivore'?, FALSE
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Leg'?, False
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Elephant'?, FALSE
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Bird'?, FALSE
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Backbone'?, False
Can Animal that is also Reptile that is also Vertebrate that is also Thing be considered a subcategory of 'Wing'?, **FALSE
Can Thing that is also something that (lays some Animal) that is also something that (lays some (Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Thing that is also something that (lays some (Animal that is also Reptile that is also Vertebrate that is also Thing))'?, FALSE
Can Thing that is also something that (lays some Animal) that is also something that (lays some (Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Animal'?, False
Can Thing that is also something that (lays some (Animal that is also Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Thing that is also something that (lays some (Animal that is also Reptile that is also Vertebrate that is also Thing))'?, False.
Can Thing that is also something that (lays some (Animal that is also Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Animal'?, TRUE
Can Thing that is also something that (lays some (Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Animal'?, TRUE
Can Thing that is also something that (lays some (Vertebrate that is also Thing)) be considered a subcategory of 'Animal'?, True
Can Thing that is also something that (lays some Thing) be considered a subcategory of 'Animal'?, FALSE
Can something that lives_in some Cat be considered a subcategory of 'Fish'?, False
Can Leg that is also Reptile be considered a subcategory of 'Meat'?, False
Can Backbone that is also Mammal be considered a subcategory of 'Cat'?, False
Can Carnivore that is also Cat be considered a subcategory of 'Plant'?, False
Can something that lays some Herbivore be considered a subcategory of 'Plant'?, FALSE
Can Carnivore that is also Reptile be considered a subcategory of 'Elephant'?, False
Can something that eats some Backbone be considered a subcategory of 'Fish'?, FALSE
Can Carnivore that is also Mammal be considered a subcategory of 'Plant'?, False
Can Carnivore that is also Meat be considered a subcategory of 'Plant'?, **False
Can Egg that is also Mammal be considered a subcategory of 'Meat'?, **False
Can something that eats some Cat be considered a subcategory of 'Mammal'?, FALSE
Can Carnivore that is also Elephant be considered a subcategory of 'Bird'?, **FALSE
Can something that lives_in some Fish be considered a subcategory of 'Fish'?, False
Can Bird that is also Wing be considered a subcategory of 'Water'?, **FALSE
Can Mammal be considered a subcategory of 'something that eats some Water'?, False.
Can Bird that is also Water be considered a subcategory of 'Carnivore'?, **False
Can Fish be considered a subcategory of 'something that lives_in some Egg'?, FALSE
Can Reptile that is also Water be considered a subcategory of 'Leg'?, False
Can Reptile that is also Vertebrate be considered a subcategory of 'Backbone'?, FALSE
Can something that lays some Meat be considered a subcategory of 'Reptile'?, FALSE
Can something that lays some Water be considered a subcategory of 'Vertebrate'?, False
Can Backbone that is also Egg be considered a subcategory of 'Wing'?, **FALSE
Can something that lives_in some Carnivore be considered a subcategory of 'Water'?, False
Can something that has_part some Reptile be considered a subcategory of 'Backbone'?, TRUE
Can something that has_part some Reptile be considered a subcategory of 'Meat'?, False
Can something that has_part some Reptile be considered a subcategory of 'Carnivore'?, FALSE
Can something that has_part some Reptile be considered a subcategory of 'Water'?, **False
Can something that has_part some Reptile be considered a subcategory of 'Animal'?, **TRUE
Can something that has_part some Reptile be considered a subcategory of 'Reptile'?, FALSE
Can something that has_part some Reptile be considered a subcategory of 'Plant'?, **False
Can something that has_part some Reptile be considered a subcategory of 'Vertebrate'?, False
Can something that has_part some Reptile be considered a subcategory of 'Cat'?, FALSE
Can something that has_part some Reptile be considered a subcategory of 'Fish'?, False
Can something that has_part some Reptile be considered a subcategory of 'Mammal'?, False
Can something that has_part some Reptile be considered a subcategory of 'Herbivore'?, False
Can something that has_part some Reptile be considered a subcategory of 'Leg'?, False.
Can something that has_part some Reptile be considered a subcategory of 'Bird'?, **False
Can Thing be considered a subcategory of 'Thing that is also something that (has_part some (Animal that is also Reptile that is also Vertebrate that is also Thing))'?, TRUE
Can Thing that is also something that (has_part some Animal) that is also something that (has_part some (Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Thing that is also something that (has_part some (Animal that is also Reptile that is also Vertebrate that is also Thing))'?, False.
Can Thing that is also something that (has_part some Animal) that is also something that (has_part some (Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Backbone'?, **True
Can Thing that is also something that (has_part some (Animal that is also Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Thing that is also something that (has_part some (Animal that is also Reptile that is also Vertebrate that is also Thing))'?, **False
Can Thing that is also something that (has_part some (Animal that is also Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Backbone'?, True
Can Thing that is also something that (has_part some (Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Backbone'?, **False
Can Thing that is also something that (has_part some (Animal that is also Vertebrate that is also Thing)) be considered a subcategory of 'Backbone'?, False
Can Thing that is also something that (has_part some (Animal that is also Reptile that is also Thing)) be considered a subcategory of 'Backbone'?, **False
Can Herbivore that is also Vertebrate be considered a subcategory of 'Fish'?, False
Can Backbone that is also Vertebrate be considered a subcategory of 'Plant'?, **False
Can Bird that is also Elephant be considered a subcategory of 'Carnivore'?, False
Can Plant that is also Water be considered a subcategory of 'Fish'?, FALSE
Can Water be considered a subcategory of 'something that lives_in some Fish'?, False
Can Cat be considered a subcategory of 'something that eats some Water'?, TRUE
Can Egg be considered a subcategory of 'something that eats some Water'?, FALSE
Can Meat be considered a subcategory of 'something that eats some Water'?, False.
Can Water be considered a subcategory of 'something that eats some Water'?, FALSE
Can Animal be considered a subcategory of 'something that eats some Water'?, FALSE
Can Reptile be considered a subcategory of 'something that eats some Water'?, FALSE
Can Plant be considered a subcategory of 'something that eats some Water'?, FALSE
Can Vertebrate be considered a subcategory of 'something that eats some Water'?, FALSE
Can Thing that is also something that (eats some Water) be considered a subcategory of 'Thing that is also something that (eats some Water)'?, False
