Parent and Person SubClassOf Father,  False.
Mother and OffSpring SubClassOf GrandFather,  False.
Brother and GrandFather SubClassOf Person,  False.
hasParent some GrandMother SubClassOf Father,  False.
hasSibling some Father SubClassOf Daughter,  False.
Brother and Parent SubClassOf GrandParent,  False.
Man and Woman SubClassOf Sex,  False.
Sibling and Woman SubClassOf Person,  False.
hasChild some Son SubClassOf Daughter,  False.
Male and Sister SubClassOf Daughter,  False.
GrandParent and Male SubClassOf Female,  False.
hasSex some Sibling SubClassOf Female,  False.
GrandMother and Person SubClassOf Brother,  False.
Child and Father SubClassOf Parent,  False.
Father and Son SubClassOf GrandMother,  False.
GrandParent and Parent SubClassOf Man,  False.
Man and Sibling SubClassOf Father,  False.
GrandMother and Woman SubClassOf GrandFather,  False.
Child and Father SubClassOf Man,  False.
Female and Woman SubClassOf Person,  False.
Male SubClassOf GrandParent,  False.
Female and GrandParent SubClassOf Sister,  False.
Brother and Sibling SubClassOf Sister,  False.
GrandMother and Sister SubClassOf GrandFather,  False.
Daughter and GrandFather SubClassOf Man,  False.
Father SubClassOf hasSibling some Brother,  False.
GrandParent SubClassOf Parent,  False.
Sister and Son SubClassOf Male,  False.
hasParent some Person SubClassOf Son, False.
hasSibling some Woman SubClassOf Woman,  False.
Mother and Sibling SubClassOf Male,  False.
Female and Woman SubClassOf Male,  False.
Father SubClassOf hasSex some GrandMother,  False.
Female and GrandParent SubClassOf Parent,  False.
Man SubClassOf hasParent some Person,  False.
GrandFather and Sister SubClassOf Person,  False.
Sibling and Sister SubClassOf Parent,  False.
Father and Mother SubClassOf GrandMother,  False.
Daughter and OffSpring SubClassOf Sister,  False.
Sex and Son SubClassOf Sister,  False.
GrandParent and Mother SubClassOf Brother,  False.
Sister SubClassOf hasChild some Parent,  False.
GrandFather and Sibling SubClassOf Son,  False.
Female and Sibling SubClassOf Son,  False.
Father and GrandParent SubClassOf Child,  False.
Woman SubClassOf hasChild some OffSpring,  False.
Child and GrandMother SubClassOf Parent,  False.
Mother SubClassOf hasSex some OffSpring,  False.
Brother and Sister SubClassOf Child,  False.
Man and Woman SubClassOf Child,  False.
hasSex some Father SubClassOf Parent,  False.
hasChild some Sex SubClassOf Male,  False.
GrandParent SubClassOf Brother,  False.
GrandMother and Son SubClassOf Parent,  False.
Person SubClassOf hasSibling some Son,  False.
Man and Sister SubClassOf Brother,  False.
Mother SubClassOf hasParent some Sibling,  False.
OffSpring SubClassOf hasSibling some Person,  False.
Person and Sex SubClassOf Daughter,  False.
hasChild some Mother SubClassOf Mother,  False.
GrandMother and OffSpring SubClassOf Sex,  False.
Child and Sister SubClassOf Person,  False.
Man and Parent SubClassOf GrandParent,  False.
GrandFather and Sex SubClassOf Woman,  False.
Man and Son SubClassOf Female,  False.
Child and Male SubClassOf Brother,  False.
hasParent some Parent SubClassOf Mother,  False.
Brother and Person SubClassOf OffSpring,  False.
Son and Woman SubClassOf Brother,  False.
Child and OffSpring SubClassOf Father,  False.
Female and Sister SubClassOf GrandFather,  False.
Father and GrandMother SubClassOf Person,  False.
GrandFather and Man SubClassOf GrandParent,  False.
Parent and Son SubClassOf Sister,  False.
hasChild some Male SubClassOf Sibling,  False.
Child and Sex SubClassOf GrandFather,  False.
OffSpring and Parent SubClassOf Female,  False.
Daughter SubClassOf GrandFather,  False.
hasParent some Sibling SubClassOf Sibling,  False.
hasSibling some Female SubClassOf Sibling,  False.
Son SubClassOf hasParent some Daughter,  False.
Male SubClassOf hasSibling some Daughter,  False.
hasParent some Parent SubClassOf Male,  False.
GrandMother SubClassOf hasParent some GrandMother,  False.
Father SubClassOf hasParent some Sister,  False.
GrandMother and Person SubClassOf Parent,  False.
Sex and Sister SubClassOf Parent,  False.
GrandMother and Male SubClassOf Sister,  False.
hasSex some Daughter SubClassOf Sister,  False.
Woman SubClassOf hasChild some Father,  False.
Person SubClassOf hasSibling some GrandFather,  False.
hasSibling some Sex SubClassOf GrandMother,  False.
Brother and Sister SubClassOf GrandMother,  False.
Male SubClassOf hasParent some GrandFather,  False.
Brother and Child SubClassOf Person,  False.
Parent and Woman SubClassOf GrandParent,  False.
Man and Mother SubClassOf Daughter,  False.
Person SubClassOf hasSex some Sibling,  False.
hasSibling some Sibling SubClassOf Man,  False.
Man and OffSpring SubClassOf Brother,  False.
Daughter SubClassOf hasChild some Sibling,  False.
Mother and Sister SubClassOf Person,  False.
GrandMother and Male SubClassOf Female,  False.
Father and Man SubClassOf Daughter,  False.
hasChild some Son SubClassOf Sex,  False.
Brother and Father SubClassOf Sex,  False.
GrandParent SubClassOf hasSibling some GrandFather,  False.
Father and Sibling SubClassOf Sex,  False.
Sex and Sister SubClassOf GrandMother,  False.
Father and GrandFather SubClassOf Sex,  False.
Daughter SubClassOf hasSibling some GrandMother,  False.
hasParent some Son SubClassOf Man,  False.
GrandMother and Male SubClassOf Man,  False.
Daughter and Man SubClassOf Child,  False.
Person and Sibling SubClassOf Sister,  False.
Daughter and Female SubClassOf Person, False.
GrandFather SubClassOf Father,  False.
Father and Person SubClassOf Mother,  False.
hasChild some Woman SubClassOf Child,  False.
Sister SubClassOf hasSibling some Son,  False.
OffSpring and Son SubClassOf Parent,  False.
Male and Son SubClassOf Parent,  False.
Father and Sibling SubClassOf Child,  False.
Father and Male SubClassOf Daughter,  False.
Parent SubClassOf hasSex some GrandMother,  False.
Sister SubClassOf hasParent some Mother,  False.
Female SubClassOf hasParent some Father,  I.
Brother SubClassOf hasSibling some Father,  False.
GrandParent SubClassOf hasChild some GrandParent,  False.
Daughter and Person SubClassOf GrandParent,  False.
Sex and Woman SubClassOf OffSpring,  False.
Person and Sibling SubClassOf OffSpring,  False.
hasParent some GrandParent SubClassOf Child,  False.
hasSibling some Sibling SubClassOf Child,  False.
Male SubClassOf hasParent some Mother,  False.
Person SubClassOf hasSex some Woman,  False.
Female SubClassOf hasChild some OffSpring,  False.
Father and Female SubClassOf Son,  False.
GrandFather and Mother SubClassOf Woman,  False.
Child and Sex SubClassOf Male,  False.
hasSex some Brother SubClassOf Male,  False.
GrandMother and Mother SubClassOf Parent,  False.
Father and Woman SubClassOf Parent,  False.
Brother SubClassOf hasSibling some Daughter,  False.
Daughter and Parent SubClassOf Female,  False.
Sex SubClassOf hasParent some Female,  False.
hasSibling some OffSpring SubClassOf Brother,  False.
Father SubClassOf hasChild some Mother,  False.
Can Parent that is also Person be considered a subcategory of 'Father'?,  False.
Can GrandParent that is also Person be considered a subcategory of 'Woman'?,  False.
Can GrandFather be considered a subcategory of 'OffSpring'?,  False.
Can something that hasParent some GrandMother be considered a subcategory of 'Male'?,  False.
Can GrandMother that is also GrandParent be considered a subcategory of 'OffSpring'?,  False.
Can Son be considered a subcategory of 'something that hasSex some Parent'?,  I.
Can Parent be considered a subcategory of 'something that hasChild some Male'?,  False.
Can Female that is also GrandMother be considered a subcategory of 'Daughter'?,  False.
Can GrandFather be considered a subcategory of 'Daughter'?,  False.
Can Father that is also Mother be considered a subcategory of 'Male'?,  False.
Can Daughter that is also OffSpring be considered a subcategory of 'Father'?,  False.
Can Male that is also Mother be considered a subcategory of 'Sister'?,  False.
Can something that hasSex some OffSpring be considered a subcategory of 'GrandMother'?,  I.
Can Man that is also Woman be considered a subcategory of 'Sister'?,  False.
Can Male be considered a subcategory of 'something that hasSibling some Mother'?,  I.
Can something that hasParent some Sister be considered a subcategory of 'Sex'?,  False.
Can Son be considered a subcategory of 'something that hasParent some Brother'?,  I.
Can GrandFather that is also OffSpring be considered a subcategory of 'Son'?,  False.
Can Sibling that is also Son be considered a subcategory of 'Woman'?,  False.
Can something that hasSibling some Female be considered a subcategory of 'Sex'?,  False.
Can Father that is also Mother be considered a subcategory of 'Son'?,  False.
Can GrandFather that is also Woman be considered a subcategory of 'Brother'?,  False.
Can Child that is also Person be considered a subcategory of 'Male'?,  False.
Can Female that is also GrandMother be considered a subcategory of 'OffSpring'?,  False.
Can Father that is also Mother be considered a subcategory of 'OffSpring'?,  False.
Can Parent that is also Sister be considered a subcategory of 'Child'?,  I.
Can Man be considered a subcategory of 'Son'?,  False.
Can something that hasSex some Woman be considered a subcategory of 'Male'?,  False.
Can something that hasChild some Child be considered a subcategory of 'Child'?,  False.
Can something that hasParent some OffSpring be considered a subcategory of 'Person'?,  I.
Can something that hasSibling some Son be considered a subcategory of 'Person'?,  I.
Can Man that is also Son be considered a subcategory of 'Daughter'?,  False.
Can Male that is also Mother be considered a subcategory of 'Sibling'?,  False.
Can GrandFather that is also Sibling be considered a subcategory of 'Sex'?,  False.
Can Father that is also Male be considered a subcategory of 'Mother'?,  False.
Can Father that is also GrandFather be considered a subcategory of 'Mother'?,  False.
Can Child that is also Parent be considered a subcategory of 'Woman'?,  False.
Can Brother that is also Person be considered a subcategory of 'Daughter'?,  False.
Can Brother that is also Woman be considered a subcategory of 'Female'?,  False.
Can Child that is also Woman be considered a subcategory of 'Daughter'?,  I.
Can Female that is also Man be considered a subcategory of 'Mother'?,  False.
Can Mother that is also Person be considered a subcategory of 'Sex'?,  False.
Can something that hasChild some GrandParent be considered a subcategory of 'Brother'?,  False.
Can Sibling that is also Sister be considered a subcategory of 'Brother'?,  False.
Can Female that is also Person be considered a subcategory of 'Woman'?,  True.
Can Female that is also Person be considered a subcategory of 'GrandMother'?,  False.
Can Female that is also Person be considered a subcategory of 'Son'?,  False.
Can Female that is also Person be considered a subcategory of 'Father'?,  False.
Can Female that is also Person be considered a subcategory of 'Child'?,  False.
Can Female that is also Person be considered a subcategory of 'Brother'?,  False.
Can Female that is also Person be considered a subcategory of 'Parent'?,  False.
Can Female that is also Person be considered a subcategory of 'Daughter'?,  False.
Can Female that is also Person be considered a subcategory of 'Man'?,  False.
Can Female that is also Person be considered a subcategory of 'Mother'?,  False.
Can Female that is also Person be considered a subcategory of 'GrandParent'?,  False.
Can Female that is also Person be considered a subcategory of 'Sex'?,  I.
Can Female that is also Person be considered a subcategory of 'Sister'?,  False.
Can Female that is also Person be considered a subcategory of 'OffSpring'?,  I.
Can Female be considered a subcategory of 'Woman'?,  True.
Can Female be considered a subcategory of 'GrandMother'?,  False.
Can Female be considered a subcategory of 'Thing'?,  I.
Can Female be considered a subcategory of 'Son'?,  False.
Can Female be considered a subcategory of 'Father'?,  False.
Can Female be considered a subcategory of 'Child'?,  False.
Can Female be considered a subcategory of 'Person'?,  I.
Can Female be considered a subcategory of 'Brother'?,  False.
Can Female be considered a subcategory of 'Parent'?,  False.
Can Female be considered a subcategory of 'Daughter'?,  I.
Can Female be considered a subcategory of 'Man'?,  False.
Can Female be considered a subcategory of 'Mother'?,  False.
Can Female be considered a subcategory of 'GrandParent'?,  False.
Can Female be considered a subcategory of 'Sex'?,  I.
Can Female be considered a subcategory of 'Sister'?,  False.
Can Female be considered a subcategory of 'OffSpring'?,  False.
Can Female be considered a subcategory of 'Male'?,  False.
Can Female be considered a subcategory of 'Sibling'?,  False.
Can Female be considered a subcategory of 'GrandFather'?,  False.
Can GrandParent that is also Person be considered a subcategory of 'GrandFather'?,  False.
Can something that hasSibling some Son be considered a subcategory of 'GrandMother'?,  False.
Can GrandParent be considered a subcategory of 'Woman'?,  False.
Can Male that is also OffSpring be considered a subcategory of 'Father'?,  I.
Can Child be considered a subcategory of 'something that hasSex some Sister'?,  I.
Can Female that is also Sibling be considered a subcategory of 'Man'?,  False.
Can Female that is also Mother be considered a subcategory of 'Father'?,  False.
Can Daughter that is also GrandMother be considered a subcategory of 'GrandParent'?,  False.
Can Man that is also Sex be considered a subcategory of 'GrandParent'?,  I.
Can Parent be considered a subcategory of 'something that hasChild some Sister'?,  I.
Can something that hasChild some Person be considered a subcategory of 'Person'?,  False.
Can Sex be considered a subcategory of 'something that hasSibling some Man'?,  I.
Can OffSpring that is also Sister be considered a subcategory of 'Daughter'?,  I.
Can Brother that is also GrandParent be considered a subcategory of 'GrandFather'?,  False.
Can Daughter be considered a subcategory of 'something that hasParent some GrandFather'?,  I.
Can Child that is also Person be considered a subcategory of 'GrandMother'?,  False.
Can GrandFather be considered a subcategory of 'something that hasSibling some Woman'?,  False.
Can Person that is also Sister be considered a subcategory of 'Parent'?,  False.
Can Daughter that is also GrandFather be considered a subcategory of 'Male'?,  False.
Can Daughter that is also GrandMother be considered a subcategory of 'Man'?,  False.
Can GrandFather that is also Man be considered a subcategory of 'Daughter'?,  False.
Can Male that is also Sister be considered a subcategory of 'Child'?,  I.
Can OffSpring that is also Sibling be considered a subcategory of 'Man'?,  I.
Can Man be considered a subcategory of 'something that hasSibling some Sister'?,  False.
Can GrandParent that is also Sister be considered a subcategory of 'GrandMother'?,  False.
Can something that hasChild some Brother be considered a subcategory of 'Father'?,  False.
Can GrandMother that is also Woman be considered a subcategory of 'Sister'?,  False.
Can OffSpring be considered a subcategory of 'GrandFather'?,  False.
Can Son be considered a subcategory of 'GrandFather'?,  False.
Can Daughter that is also Man be considered a subcategory of 'GrandMother'?,  False.
Can GrandFather that is also GrandParent be considered a subcategory of 'Daughter'?,  False.
Can GrandMother that is also OffSpring be considered a subcategory of 'Son'?,  False.
Can Child that is also Daughter be considered a subcategory of 'Woman'?,  I.
Can Daughter be considered a subcategory of 'something that hasSex some Child'?,  I.
Can Mother be considered a subcategory of 'something that hasChild some Son'?,  I.
Can GrandMother that is also Woman be considered a subcategory of 'Parent'?,  I.
Can Father be considered a subcategory of 'something that hasSibling some Parent'?,  I.
Can Parent that is also Sex be considered a subcategory of 'OffSpring'?,  I.
Can something that hasParent some Brother be considered a subcategory of 'OffSpring'?,  False.
Can GrandParent that is also Sex be considered a subcategory of 'Child'?,  I.
Can Brother that is also OffSpring be considered a subcategory of 'Son'?,  I.
Can GrandParent that is also Sister be considered a subcategory of 'Male'?,  False.
Can Man that is also Sibling be considered a subcategory of 'Child'?,  False.
Can Daughter that is also GrandFather be considered a subcategory of 'Woman'?,  False.
Can Father that is also Female be considered a subcategory of 'Sister'?,  False.
Can GrandFather that is also Man be considered a subcategory of 'Woman'?,  False.
Can Child that is also Woman be considered a subcategory of 'Sex'?,  False.
Can Child that is also Parent be considered a subcategory of 'Female'?,  False.
Can Brother that is also OffSpring be considered a subcategory of 'Mother'?,  False.
Can Father that is also GrandParent be considered a subcategory of 'Woman'?,  False.
Can something that hasChild some Sister be considered a subcategory of 'Female'?,  False.
Can GrandMother that is also Man be considered a subcategory of 'Woman'?,  False.
Can Brother be considered a subcategory of 'something that hasSex some Mother'?,  I.
Can GrandFather that is also Son be considered a subcategory of 'Child'?,  False.
Can Sibling that is also Son be considered a subcategory of 'Brother'?,  I.
Can Male that is also Sex be considered a subcategory of 'Brother'?,  False.
Can something that hasSibling some Sex be considered a subcategory of 'Son'?,  False.
Can Father that is also Parent be considered a subcategory of 'Woman'?,  False.
Can Male that is also Person be considered a subcategory of 'Child'?,  False.
Can something that hasParent some Daughter be considered a subcategory of 'Son'?,  False.
Can something that hasSibling some GrandFather be considered a subcategory of 'Father'?,  False.
Can Father that is also Person be considered a subcategory of 'Sister'?,  False.
Can Male that is also Parent be considered a subcategory of 'Man'?,  I.
Can something that hasParent some Father be considered a subcategory of 'Father'?,  False.
Can Female that is also Parent be considered a subcategory of 'GrandParent'?,  I.
Can Brother be considered a subcategory of 'something that hasParent some GrandParent'?,  I.
Can Daughter that is also GrandFather be considered a subcategory of 'Sibling'?,  I.
Can Child that is also Sibling be considered a subcategory of 'Person'?,  False.
Can something that hasSex some Female be considered a subcategory of 'Female'?,  False.
Can something that hasSibling some Mother be considered a subcategory of 'Daughter'?,  False.
Can Woman be considered a subcategory of 'something that hasSibling some GrandFather'?,  False.
Can Male that is also Sibling be considered a subcategory of 'GrandFather'?,  False.
Can Daughter that is also Father be considered a subcategory of 'Brother'?,  False.
Can Sister be considered a subcategory of 'something that hasSex some Daughter'?,  I.
Can Man be considered a subcategory of 'something that hasChild some Sibling'?,  False.
Can something that hasSex some Sibling be considered a subcategory of 'Brother'?,  False.
Can something that hasChild some Female be considered a subcategory of 'Mother'?,  I.
Can Woman be considered a subcategory of 'something that hasParent some OffSpring'?,  I.
Can Child that is also GrandParent be considered a subcategory of 'OffSpring'?,  False.
Can Person be considered a subcategory of 'something that hasChild some Child'?,  I.
Can Daughter that is also GrandMother be considered a subcategory of 'Son'?,  False.
Can Man be considered a subcategory of 'something that hasSex some Child'?,  False.
Can Brother that is also Son be considered a subcategory of 'OffSpring'?,  I.
Can Daughter that is also Mother be considered a subcategory of 'Woman'?,  False.
Can OffSpring that is also Sex be considered a subcategory of 'Woman'?,  I.
Can Father that is also Man be considered a subcategory of 'Male'?,  False.
Can GrandParent be considered a subcategory of 'Child'?,  False.
Can Female that is also GrandMother be considered a subcategory of 'Sibling'?,  False.
Can GrandMother that is also Sister be considered a subcategory of 'Male'?,  False.
Can Man be considered a subcategory of 'something that hasSex some GrandFather'?,  I.
Can GrandParent be considered a subcategory of 'something that hasChild some Man'?,  I.
Can something that hasChild some Female be considered a subcategory of 'GrandParent'?,  False.
Can GrandMother that is also Mother be considered a subcategory of 'GrandFather'?,  False.
Can Brother that is also Sex be considered a subcategory of 'Sibling'?,  I.
Can Brother that is also Son be considered a subcategory of 'Sibling'?,  False.
Can Daughter that is also GrandMother be considered a subcategory of 'Female'?,  False.
Can Father that is also Sex be considered a subcategory of 'Daughter'?,  False.
Can something that hasSibling some Sister be considered a subcategory of 'Mother'?,  False.
Can Father that is also Man be considered a subcategory of 'Sex'?,  False.
Can Male that is also Woman be considered a subcategory of 'Person'?,  False.
Can something that hasParent some Child be considered a subcategory of 'Brother'?,  False.
Can Female that is also Son be considered a subcategory of 'Daughter'?,  False.
Can Brother that is also Parent be considered a subcategory of 'Woman'?,  False.
Can GrandFather that is also GrandParent be considered a subcategory of 'Sex'?,  False.
Can OffSpring that is also Sibling be considered a subcategory of 'Female'?,  I.
Can GrandParent be considered a subcategory of 'something that hasSex some Sibling'?,  False.
Can Brother that is also Daughter be considered a subcategory of 'GrandParent'?,  False.
Can Father that is also Man be considered a subcategory of 'GrandMother'?,  False.
Can Sister that is also Son be considered a subcategory of 'Man'?,  False.
Can Man that is also Parent be considered a subcategory of 'Father'?,  I.
Can Sex that is also Woman be considered a subcategory of 'GrandFather'?,  False.
Can Child that is also OffSpring be considered a subcategory of 'Man'?,  I.
Can Father that is also Son be considered a subcategory of 'Person'?,  I.
Can GrandFather that is also Male be considered a subcategory of 'Person'?,  False.
Can something that hasParent some GrandParent be considered a subcategory of 'Father'?,  False.
Can something that hasSibling some Sibling be considered a subcategory of 'Sibling'?,  False.
Can Brother that is also Person be considered a subcategory of 'GrandFather'?,  False.
Can Daughter that is also Woman be considered a subcategory of 'Female'?,  False.
Can Sibling be considered a subcategory of 'something that hasSex some GrandParent'?,  False.
Can Female be considered a subcategory of 'something that hasChild some GrandFather'?,  False.
Can GrandFather that is also Parent be considered a subcategory of 'Sibling'?,  False.
Can GrandParent that is also Person be considered a subcategory of 'Brother'?,  False.
Can OffSpring that is also Sibling be considered a subcategory of 'Son'?,  I.
Can Female that is also Woman be considered a subcategory of 'Sibling'?,  False.
Can something that hasSibling some Daughter be considered a subcategory of 'Parent'?,  False.
Can Child that is also Sister be considered a subcategory of 'GrandMother'?,  False.
Can Female that is also Sibling be considered a subcategory of 'Parent'?,  I.
Can something that hasSex some Person be considered a subcategory of 'Parent'?,  False.
Can Daughter that is also Sex be considered a subcategory of 'Parent'?,  False.
Can Female that is also Woman be considered a subcategory of 'Sister'?,  False.
Can Person be considered a subcategory of 'something that hasSex some OffSpring'?,  I.
Can GrandMother that is also Sibling be considered a subcategory of 'Brother'?,  False.
Can OffSpring that is also Parent be considered a subcategory of 'Father'?,  False.
Can Daughter that is also Father be considered a subcategory of 'Parent'?,  False.
Can GrandFather that is also Sister be considered a subcategory of 'Sibling'?,  False.
Can Child that is also Mother be considered a subcategory of 'Father'?,  False.
Can Daughter that is also Son be considered a subcategory of 'Child'?,  False.
Can Male that is also Sex be considered a subcategory of 'Son'?,  I.
Can GrandFather that is also Sex be considered a subcategory of 'Male'?,  I.
Can Brother that is also Person be considered a subcategory of 'Child'?,  False.
Can Child that is also Mother be considered a subcategory of 'Son'?,  False.
Can GrandFather that is also Sister be considered a subcategory of 'Parent'?,  False.
Can something that hasParent some Parent be considered a subcategory of 'Woman'?,  False.
Can GrandParent be considered a subcategory of 'something that hasSibling some OffSpring'?,  I.
Can Mother that is also OffSpring be considered a subcategory of 'Male'?,  I.
Can Woman be considered a subcategory of 'something that hasChild some Child'?,  False.
Can Female that is also Mother be considered a subcategory of 'Male'?,  False.
Can GrandParent be considered a subcategory of 'OffSpring'?,  False.
Can GrandFather that is also Sibling be considered a subcategory of 'Father'?,  False.
Can Daughter that is also Woman be considered a subcategory of 'Sister'?,  False.
Can Man that is also Person be considered a subcategory of 'Sibling'?,  False.
Can GrandMother that is also Sister be considered a subcategory of 'Sibling'?,  False.
Can Male that is also Sex be considered a subcategory of 'Female'?,  False.
Can Child that is also GrandParent be considered a subcategory of 'Sister'?,  False.
Can Brother that is also Daughter be considered a subcategory of 'Mother'?,  False.
Can Mother that is also Woman be considered a subcategory of 'Sex'?,  False.
Can Father that is also Man be considered a subcategory of 'Brother'?,  False.
Can Person that is also Sex be considered a subcategory of 'Brother'?,  I.
Can Man that is also Parent be considered a subcategory of 'Woman'?,  False.
Can something that hasChild some GrandParent be considered a subcategory of 'Woman'?,  False.
Can Child that is also OffSpring be considered a subcategory of 'Sex'?,  I.
Can Child that is also Sister be considered a subcategory of 'Female'?,  I.
Can GrandParent that is also Male be considered a subcategory of 'Brother'?,  False.
Can Sibling be considered a subcategory of 'something that hasSex some Mother'?,  False.
Can GrandMother that is also Sibling be considered a subcategory of 'OffSpring'?,  False.
Can Father that is also Son be considered a subcategory of 'OffSpring'?,  I.
Can Brother that is also Sister be considered a subcategory of 'Man'?,  False.
Can GrandFather that is also Woman be considered a subcategory of 'Father'?,  False.
Can something that hasSex some Sister be considered a subcategory of 'GrandFather'?,  False.
Can something that hasSibling some Man be considered a subcategory of 'Man'?,  False.
Can Man that is also Mother be considered a subcategory of 'Person'?,  False.
Can GrandParent that is also OffSpring be considered a subcategory of 'Person'?,  I.
