HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure,  False.
BodyMassIndexDecrease and BoneMineralDensity SubClassOf Dose,  False.
ChildDepressionScoreDifference and ElectrocardiogramQTInterval SubClassOf ErythromycinClearanceMeasure,  False.
LowDrugEfficacy and ZeroRemission SubClassOf QualityOfLife,  False.
CellCount and SatietyFrequency SubClassOf HamiltonDepressionMeasure,  False.
ASAAConcentrationDecrease and ForcedExperiatoryVolume SubClassOf DrugEfficacyMeasure,  False.
DepressionMeasure and WeigthDifference SubClassOf BiophysicalMeasure,  I cannot
CognitiveMeasure and MolecularMeasure SubClassOf ClinicalOutcomeMeasure,  False.
BoneMineralDensity and LowReductionInHamiltonAnxietyScore SubClassOf ExerciseResponse,  False.
RemissionFrequency and SideEffectFrequency SubClassOf BodyMassIndex,  False.
ERVisitFrequency and GeneExpressionDifference SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
AnxietyMeasure and DrugClearance SubClassOf GenotypeMeasure,  False.
ForcedExperiatoryVolume and LowRemissionOddsRatio SubClassOf ASAAConcentration,  False.
ModerateHamiltonDepressionScore and Satiety SubClassOf BloodPressure,  False.
MontgomeryAsbergDepressionRatingDifference and RemissionFrequency SubClassOf SatietyDifference,  False.
DepressionMeasure and WeightMeasure SubClassOf GeneExpressionMeasure,  False.
BodyMassIndex and HamiltonDepressionMeasure SubClassOf Dose,  False.
CognitiveMeasure and Dose SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
HamiltonDepressionScoreDifference and ModerateHamiltonDepressionScore SubClassOf TissueMeasure,  False.
DepressionMeasure and DrugEfficacy SubClassOf RemissionFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf PharmacodynamicMeasure,  True.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf ChildDepressionScore,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf MolecularMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf RemissionFrequency,  I cannot
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf SatietyFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf ASAAConcentrationIncrease,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf ERVisitFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf ForcedExperiatoryVolume,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf DailyBloodPressure,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf HighRemission,  I'
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf WeigthDifference,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf GeneExpressionDifference,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf ExerciseResponse,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf NeoplasmFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf GenotypeMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf QualityOfLife,  True.
LowReductionInChildDepressionScore SubClassOf QualityOfLife,  True.
LowReductionInChildDepressionScore SubClassOf ChildDepressionScore,  True.
LowReductionInChildDepressionScore SubClassOf ChildDepressionScore and QualityOfLife,  I cannot
LowReductionInChildDepressionScore SubClassOf MolecularMeasure,  False.
LowReductionInChildDepressionScore SubClassOf RemissionFrequency,  False.
LowReductionInChildDepressionScore SubClassOf SatietyFrequency,  False.
LowReductionInChildDepressionScore SubClassOf ModerateReductionInHamiltonAnxietyScore,  I cannot
LowReductionInChildDepressionScore SubClassOf ASAAConcentrationIncrease,  False.
LowReductionInChildDepressionScore SubClassOf ERVisitFrequency,  False.
LowReductionInChildDepressionScore SubClassOf ForcedExperiatoryVolume,  False.
LowReductionInChildDepressionScore SubClassOf DailyBloodPressure,  False.
LowReductionInChildDepressionScore SubClassOf HighRemission,  False.
LowReductionInChildDepressionScore SubClassOf WeigthDifference,  False.
LowReductionInChildDepressionScore SubClassOf GeneExpressionDifference,  False.
LowReductionInChildDepressionScore SubClassOf ExerciseResponse,  False.
LowReductionInChildDepressionScore SubClassOf NeoplasmFrequency,  False.
LowReductionInChildDepressionScore SubClassOf GenotypeMeasure,  False.
LowReductionInChildDepressionScore SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  I cannot
LowReductionInChildDepressionScore SubClassOf AirwayResponsivenessUsingMethacholine,  False.
LowReductionInChildDepressionScore SubClassOf HighReductionInHamiltonAnxietyScore,  I cannot
LowReductionInChildDepressionScore SubClassOf ModerateHamiltonDepressionScore,  False.
LowReductionInChildDepressionScore SubClassOf BodyMassIndexDifference,  False.
LowReductionInChildDepressionScore SubClassOf HighHamiltonDepressionScore,  False.
LowReductionInChildDepressionScore SubClassOf HigherDiseaseSusceptibiltyOdds,  I cannot
LowReductionInChildDepressionScore SubClassOf ForcedVitalCapacity,  False.
LowReductionInChildDepressionScore SubClassOf HamiltonDepressionMeasure,  True.
LowReductionInChildDepressionScore SubClassOf HamiltonDepressionMeasure and QualityOfLife,  I cannot
LowReductionInChildDepressionScore SubClassOf PlasmaDrugConcentration,  False.
LowReductionInChildDepressionScore SubClassOf ElectrocardiogramQTInterval,  False.
LowReductionInChildDepressionScore SubClassOf PharmacokineticMeasure,  False.
LowReductionInChildDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  I cannot
LowReductionInChildDepressionScore SubClassOf RemissionMeasure,  True.
LowReductionInChildDepressionScore SubClassOf QualityOfLife and RemissionMeasure,  True for
LowReductionInChildDepressionScore SubClassOf BiologicalMeasure,  True.
LowReductionInChildDepressionScore SubClassOf BiologicalMeasure and QualityOfLife,  True for
LowReductionInChildDepressionScore SubClassOf GeneExpressionMeasure,  False.
LowReductionInChildDepressionScore SubClassOf CellCount,  False.
LowReductionInChildDepressionScore SubClassOf ASAAMeasure,  True.
LowReductionInChildDepressionScore SubClassOf ASAAMeasure and QualityOfLife,  True for
LowReductionInChildDepressionScore SubClassOf PopulationVariation,  False.
LowReductionInChildDepressionScore SubClassOf MetabolicMeasure,  False.
LowReductionInChildDepressionScore SubClassOf TaxonomicMeasure,  True.
LowReductionInChildDepressionScore SubClassOf QualityOfLife and TaxonomicMeasure,  True for
LowReductionInChildDepressionScore SubClassOf LowRemission,  I cannot
LowReductionInChildDepressionScore SubClassOf DrugClearance,  False.
LowReductionInChildDepressionScore SubClassOf ASAAConcentrationDifference,  False.
LowReductionInChildDepressionScore SubClassOf MontgomeryAsbergDepressionRatingDifference,  I cannot
LowReductionInChildDepressionScore SubClassOf ASAAConcentrationDecrease,  I cannot
LowReductionInChildDepressionScore SubClassOf ModerateMontgomeryAsbergDepressionRating,  I cannot
LowReductionInChildDepressionScore SubClassOf BodyMassIndexMeasure,  False.
LowReductionInChildDepressionScore SubClassOf IncreasedGeneExpression,  False.
LowReductionInChildDepressionScore SubClassOf PathogenCount,  False.
LowReductionInChildDepressionScore SubClassOf SimilarDiseaseSusceptibilityOdds,  I cannot
LowReductionInChildDepressionScore SubClassOf SatietyDifference,  False.
LowReductionInChildDepressionScore SubClassOf DiseaseFrequency,  False.
LowReductionInChildDepressionScore SubClassOf MontgomeryAsbergDepressionMeasure,  I'
LowReductionInChildDepressionScore SubClassOf CognitiveMeasure,  True.
LowReductionInChildDepressionScore SubClassOf CognitiveMeasure and QualityOfLife,  True for
LowReductionInChildDepressionScore SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  I cannot
LowReductionInChildDepressionScore SubClassOf HighMontgomeryAsbergDepressionRating,  I'
LowReductionInChildDepressionScore SubClassOf WeightLoss,  False.
LowReductionInChildDepressionScore SubClassOf Gender,  False.
LowReductionInChildDepressionScore SubClassOf HamiltonAnxietyScore,  False.
LowReductionInChildDepressionScore SubClassOf SatietyDecrease,  False.
LowReductionInChildDepressionScore SubClassOf Weigth,  False.
LowReductionInChildDepressionScore SubClassOf Race,  False.
LowReductionInChildDepressionScore SubClassOf WeigthGain,  False.
LowReductionInChildDepressionScore SubClassOf AsthmaFrequency,  False.
LowReductionInChildDepressionScore SubClassOf DecreasedGeneExpression,  False.
LowReductionInChildDepressionScore SubClassOf PharmacodynamicMeasure,  False.
LowReductionInChildDepressionScore SubClassOf ModerateRemission,  False.
LowReductionInChildDepressionScore SubClassOf TissueMeasure,  False.
LowReductionInChildDepressionScore SubClassOf MontgomeryAsbergDepressionRating,  I'
LowReductionInChildDepressionScore SubClassOf HighReductionInChildDepressionScore,  False.
LowReductionInChildDepressionScore SubClassOf ZeroRemission,  False.
LowReductionInChildDepressionScore SubClassOf DoseFrequency,  False.
LowReductionInChildDepressionScore SubClassOf HamiltonAnxietyScoreDifference,  False.
LowReductionInChildDepressionScore SubClassOf DrugEfficacy,  False.
LowReductionInChildDepressionScore SubClassOf WeightMeasure,  False.
LowReductionInChildDepressionScore SubClassOf CoagulationProfile,  False.
LowReductionInChildDepressionScore SubClassOf LowReductionInHamiltonDepressionScore,  I cannot
LowReductionInChildDepressionScore SubClassOf BloodPressure,  False.
LowReductionInChildDepressionScore SubClassOf PulmonaryFunctionMeasure,  False.
LowReductionInChildDepressionScore SubClassOf SatietyIncrease,  False.
LowReductionInChildDepressionScore SubClassOf DiseaseSusceptibilityOdds,  False.
LowReductionInChildDepressionScore SubClassOf LowHamiltonDepressionScore,  I cannot
LowReductionInChildDepressionScore SubClassOf BoneMineralDensity,  False.
LowReductionInChildDepressionScore SubClassOf NormalGeneExpression,  False.
LowReductionInChildDepressionScore SubClassOf ReninAngiotensinSystemMeasure,  False.
LowReductionInChildDepressionScore SubClassOf BloodSerumProteinCount,  False.
LowReductionInChildDepressionScore SubClassOf AnxietyMeasure,  True.
LowReductionInChildDepressionScore SubClassOf AnxietyMeasure and QualityOfLife,  False.
LowReductionInChildDepressionScore SubClassOf HamiltonDepressionScore,  False.
LowReductionInChildDepressionScore SubClassOf SideEffectRate,  False.
LowReductionInChildDepressionScore SubClassOf DepressionMeasure,  True.
LowReductionInChildDepressionScore SubClassOf DepressionMeasure and QualityOfLife,  True for
LowReductionInChildDepressionScore SubClassOf GeneExpression,  False.
LowReductionInChildDepressionScore SubClassOf Dose,  False.
LowReductionInChildDepressionScore SubClassOf SatietyMeasure,  False.
LowReductionInChildDepressionScore SubClassOf LowerDiseaseSusceptibilityOdds,  False.
LowReductionInChildDepressionScore SubClassOf SideEffectFrequency,  False.
LowReductionInChildDepressionScore SubClassOf MyocardialInfarctionFrequency,  False.
LowReductionInChildDepressionScore SubClassOf ZeroDrugEfficacy,  False.
LowReductionInChildDepressionScore SubClassOf Satiety,  False.
LowReductionInChildDepressionScore SubClassOf ClinicalOutcomeMeasure,  True.
LowReductionInChildDepressionScore SubClassOf ClinicalOutcomeMeasure and QualityOfLife,  True for
LowReductionInChildDepressionScore SubClassOf LipidProfile,  False.
LowReductionInChildDepressionScore SubClassOf BodyMassIndexDecrease,  False.
LowReductionInChildDepressionScore SubClassOf HighDrugEfficacy,  False.
LowReductionInChildDepressionScore SubClassOf BodyMassIndexIncrease,  False.
LowReductionInChildDepressionScore SubClassOf _24HourBloodPressure,  False.
LowReductionInChildDepressionScore SubClassOf HighReductionInHamiltonDepressionScore,  False.
LowReductionInChildDepressionScore SubClassOf BodyMassIndex,  False.
LowReductionInChildDepressionScore SubClassOf DrugEfficacyMeasure,  False.
LowReductionInChildDepressionScore SubClassOf BiophysicalMeasure,  False.
LowReductionInChildDepressionScore SubClassOf ChildDepressionScoreDifference,  False.
LowReductionInChildDepressionScore SubClassOf LowReductionInHamiltonAnxietyScore,  I cannot
LowReductionInChildDepressionScore SubClassOf ChildDepressionMeasure,  True.
LowReductionInChildDepressionScore SubClassOf ChildDepressionMeasure and QualityOfLife,  True for
LowReductionInChildDepressionScore SubClassOf HamiltonDepressionScoreDifference,  I cannot
LowReductionInChildDepressionScore SubClassOf HighRemissionOddsRatio,  I cannot
LowReductionInChildDepressionScore SubClassOf LowDrugEfficacy,  I cannot
LowReductionInChildDepressionScore SubClassOf ErythromycinClearanceMeasure,  False.
LowReductionInChildDepressionScore SubClassOf LowReductionInMontgomeryAsbergDepressionRating,  I cannot
LowReductionInChildDepressionScore SubClassOf ModerateReductionInChildDepressionScore,  False.
LowReductionInChildDepressionScore SubClassOf ASAAConcentration,  False.
LowReductionInChildDepressionScore SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
LowReductionInChildDepressionScore SubClassOf SimilarRemissionOddsRatio,  I cannot
LowReductionInChildDepressionScore SubClassOf EventFreeSurvivalTime,  False.
LowReductionInChildDepressionScore SubClassOf LowRemissionOddsRatio,  I cannot
LowReductionInChildDepressionScore SubClassOf HomocysteineLevel,  False.
LowReductionInChildDepressionScore SubClassOf SideEffectMeasure,  False.
LowReductionInChildDepressionScore SubClassOf RemissionOddsRatio,  False.
AirwayResponsivenessUsingMethacholine and Weigth SubClassOf ErythromycinClearanceMeasure,  False.
ModerateReductionInMontgomeryAsbergDepressionRating and Race SubClassOf Gender,  False.
HamiltonDepressionScoreDifference and PulmonaryFunctionMeasure SubClassOf HighRemissionOddsRatio,  False.
HighHamiltonDepressionScore and NeoplasmFrequency SubClassOf BodyMassIndexDifference,  False.
HighReductionInChildDepressionScore and NormalGeneExpression SubClassOf ASAAConcentrationDecrease,  False.
GeneExpressionMeasure and HighReductionInHamiltonAnxietyScore SubClassOf _24HourBloodPressure,  False.
LowReductionInHamiltonAnxietyScore and PharmacokineticMeasure SubClassOf HomocysteineLevel,  False.
HamiltonDepressionMeasure and TissueMeasure SubClassOf ForcedVitalCapacity,  False.
IncreasedGeneExpression and SatietyDecrease SubClassOf HighReductionInChildDepressionScore,  False.
CognitiveMeasure and ModerateReductionInHamiltonAnxietyScore SubClassOf PulmonaryFunctionMeasure,  False.
ModerateReductionInMontgomeryAsbergDepressionRating and SideEffectRate SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
LowReductionInHamiltonAnxietyScore and Race SubClassOf ChildDepressionScoreDifference,  False.
DrugEfficacy and SatietyMeasure SubClassOf LowerDiseaseSusceptibilityOdds,  False.
AnxietyMeasure and HighReductionInHamiltonDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  I cannot
HighReductionInHamiltonAnxietyScore and PathogenCount SubClassOf ZeroRemission,  False.
ClinicalOutcomeMeasure and HamiltonDepressionScoreDifference SubClassOf HamiltonAnxietyScore,  False.
ERVisitFrequency and ModerateReductionInChildDepressionScore SubClassOf NormalGeneExpression,  False.
LowDrugEfficacy and NeoplasmFrequency SubClassOf ChildDepressionScoreDifference,  False.
DailyBloodPressure and ZeroDrugEfficacy SubClassOf LowerDiseaseSusceptibilityOdds,  I cannot
MontgomeryAsbergDepressionRating and ReninAngiotensinSystemMeasure SubClassOf _24HourBloodPressure,  False.
MetabolicMeasure and WeightMeasure SubClassOf BodyMassIndexMeasure,  I'
LowMontgomeryAsbergDepressionRating and Weigth SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
BloodPressure and SatietyDecrease SubClassOf DiseaseSusceptibilityOdds,  False.
DoseFrequency and Race SubClassOf PulmonaryFunctionMeasure,  False.
AnxietyMeasure and SatietyDecrease SubClassOf HigherDiseaseSusceptibiltyOdds,  True.
AnxietyMeasure and SatietyDecrease SubClassOf ChildDepressionScore,  False.
AnxietyMeasure and SatietyDecrease SubClassOf MolecularMeasure,  False.
AnxietyMeasure and SatietyDecrease SubClassOf RemissionFrequency,  False.
AnxietyMeasure and SatietyDecrease SubClassOf SatietyFrequency,  False.
AnxietyMeasure and SatietyDecrease SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
AnxietyMeasure and SatietyDecrease SubClassOf ASAAConcentrationIncrease,  False.
AnxietyMeasure and SatietyDecrease SubClassOf ERVisitFrequency,  False.
AnxietyMeasure and SatietyDecrease SubClassOf ForcedExperiatoryVolume,  False.
AnxietyMeasure and SatietyDecrease SubClassOf DailyBloodPressure,  False.
AnxietyMeasure and SatietyDecrease SubClassOf HighRemission,  I cannot
AnxietyMeasure and SatietyDecrease SubClassOf WeigthDifference,  False.
AnxietyMeasure and SatietyDecrease SubClassOf GeneExpressionDifference,  False.
AnxietyMeasure and SatietyDecrease SubClassOf ExerciseResponse,  False.
AnxietyMeasure and SatietyDecrease SubClassOf NeoplasmFrequency,  False.
AnxietyMeasure and SatietyDecrease SubClassOf GenotypeMeasure,  False.
AnxietyMeasure and SatietyDecrease SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
AnxietyMeasure and SatietyDecrease SubClassOf QualityOfLife,  True.
SatietyDecrease SubClassOf QualityOfLife,  True.
SatietyDecrease SubClassOf ChildDepressionScore,  False.
SatietyDecrease SubClassOf MolecularMeasure,  False.
SatietyDecrease SubClassOf RemissionFrequency,  False.
SatietyDecrease SubClassOf SatietyFrequency,  False.
SatietyDecrease SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
SatietyDecrease SubClassOf ASAAConcentrationIncrease,  False.
SatietyDecrease SubClassOf ERVisitFrequency,  False.
SatietyDecrease SubClassOf ForcedExperiatoryVolume,  False.
SatietyDecrease SubClassOf DailyBloodPressure,  False.
SatietyDecrease SubClassOf HighRemission,  False.
SatietyDecrease SubClassOf WeigthDifference,  False.
SatietyDecrease SubClassOf GeneExpressionDifference,  False.
SatietyDecrease SubClassOf ExerciseResponse,  True.
SatietyDecrease SubClassOf ExerciseResponse and QualityOfLife,  Satiety
SatietyDecrease SubClassOf NeoplasmFrequency,  False.
SatietyDecrease SubClassOf GenotypeMeasure,  False.
SatietyDecrease SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
SatietyDecrease SubClassOf AirwayResponsivenessUsingMethacholine,  False.
SatietyDecrease SubClassOf HighReductionInHamiltonAnxietyScore,  I'
SatietyDecrease SubClassOf ModerateHamiltonDepressionScore,  False.
SatietyDecrease SubClassOf LowReductionInChildDepressionScore,  I'
SatietyDecrease SubClassOf BodyMassIndexDifference,  False.
SatietyDecrease SubClassOf HighHamiltonDepressionScore,  False.
SatietyDecrease SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
SatietyDecrease SubClassOf ForcedVitalCapacity,  False.
SatietyDecrease SubClassOf HamiltonDepressionMeasure,  False.
SatietyDecrease SubClassOf PlasmaDrugConcentration,  False.
SatietyDecrease SubClassOf ElectrocardiogramQTInterval,  False.
SatietyDecrease SubClassOf PharmacokineticMeasure,  True.
SatietyDecrease SubClassOf PharmacokineticMeasure and QualityOfLife,  False.
SatietyDecrease SubClassOf LowMontgomeryAsbergDepressionRating,  False.
SatietyDecrease SubClassOf RemissionMeasure,  False.
SatietyDecrease SubClassOf BiologicalMeasure,  True.
SatietyDecrease SubClassOf BiologicalMeasure and QualityOfLife,  True for
SatietyDecrease SubClassOf GeneExpressionMeasure,  False.
SatietyDecrease SubClassOf CellCount,  False.
SatietyDecrease SubClassOf ASAAMeasure,  True.
SatietyDecrease SubClassOf ASAAMeasure and QualityOfLife,  False.
SatietyDecrease SubClassOf PopulationVariation,  False.
SatietyDecrease SubClassOf MetabolicMeasure,  True.
SatietyDecrease SubClassOf MetabolicMeasure and QualityOfLife,  False,
SatietyDecrease SubClassOf TaxonomicMeasure,  False.
SatietyDecrease SubClassOf LowRemission,  False.
SatietyDecrease SubClassOf DrugClearance,  False.
SatietyDecrease SubClassOf ASAAConcentrationDifference,  False.
SatietyDecrease SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
SatietyDecrease SubClassOf ASAAConcentrationDecrease,  False.
SatietyDecrease SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
SatietyDecrease SubClassOf BodyMassIndexMeasure,  False.
SatietyDecrease SubClassOf IncreasedGeneExpression,  False.
SatietyDecrease SubClassOf PathogenCount,  False.
SatietyDecrease SubClassOf SimilarDiseaseSusceptibilityOdds,  False.
SatietyDecrease SubClassOf SatietyDifference,  False.
SatietyDecrease SubClassOf DiseaseFrequency,  False.
SatietyDecrease SubClassOf MontgomeryAsbergDepressionMeasure,  False.
SatietyDecrease SubClassOf CognitiveMeasure,  False.
SatietyDecrease SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
SatietyDecrease SubClassOf HighMontgomeryAsbergDepressionRating,  False.
SatietyDecrease SubClassOf WeightLoss,  True.
SatietyDecrease SubClassOf QualityOfLife and WeightLoss,  True for
SatietyDecrease SubClassOf Gender,  False.
SatietyDecrease SubClassOf HamiltonAnxietyScore,  False.
SatietyDecrease SubClassOf Weigth,  False.
SatietyDecrease SubClassOf Race,  False.
SatietyDecrease SubClassOf WeigthGain,  False.
SatietyDecrease SubClassOf AsthmaFrequency,  False.
SatietyDecrease SubClassOf DecreasedGeneExpression,  False.
SatietyDecrease SubClassOf PharmacodynamicMeasure,  True.
SatietyDecrease SubClassOf PharmacodynamicMeasure and QualityOfLife,  False,
SatietyDecrease SubClassOf ModerateRemission,  False.
SatietyDecrease SubClassOf TissueMeasure,  False.
SatietyDecrease SubClassOf MontgomeryAsbergDepressionRating,  False.
SatietyDecrease SubClassOf HighReductionInChildDepressionScore,  I'
SatietyDecrease SubClassOf ZeroRemission,  False.
SatietyDecrease SubClassOf DoseFrequency,  False.
SatietyDecrease SubClassOf HamiltonAnxietyScoreDifference,  False.
SatietyDecrease SubClassOf DrugEfficacy,  False.
SatietyDecrease SubClassOf WeightMeasure,  False.
SatietyDecrease SubClassOf CoagulationProfile,  False.
SatietyDecrease SubClassOf LowReductionInHamiltonDepressionScore,  False.
SatietyDecrease SubClassOf BloodPressure,  False.
SatietyDecrease SubClassOf PulmonaryFunctionMeasure,  False.
SatietyDecrease SubClassOf SatietyIncrease,  False.
SatietyDecrease SubClassOf DiseaseSusceptibilityOdds,  False.
SatietyDecrease SubClassOf LowHamiltonDepressionScore,  False.
SatietyDecrease SubClassOf BoneMineralDensity,  False.
SatietyDecrease SubClassOf NormalGeneExpression,  False.
SatietyDecrease SubClassOf ReninAngiotensinSystemMeasure,  False.
SatietyDecrease SubClassOf BloodSerumProteinCount,  False.
SatietyDecrease SubClassOf AnxietyMeasure,  False.
SatietyDecrease SubClassOf HamiltonDepressionScore,  False.
SatietyDecrease SubClassOf SideEffectRate,  False.
SatietyDecrease SubClassOf DepressionMeasure,  False.
SatietyDecrease SubClassOf GeneExpression,  False.
SatietyDecrease SubClassOf Dose,  False.
SatietyDecrease SubClassOf SatietyMeasure,  False.
SatietyDecrease SubClassOf LowerDiseaseSusceptibilityOdds,  False.
SatietyDecrease SubClassOf SideEffectFrequency,  False.
SatietyDecrease SubClassOf MyocardialInfarctionFrequency,  False.
SatietyDecrease SubClassOf ZeroDrugEfficacy,  False.
SatietyDecrease SubClassOf Satiety,  False.
SatietyDecrease SubClassOf ClinicalOutcomeMeasure,  True.
SatietyDecrease SubClassOf ClinicalOutcomeMeasure and QualityOfLife,  True,
SatietyDecrease SubClassOf LipidProfile,  False.
SatietyDecrease SubClassOf BodyMassIndexDecrease,  False.
SatietyDecrease SubClassOf HighDrugEfficacy,  False.
SatietyDecrease SubClassOf BodyMassIndexIncrease,  False.
SatietyDecrease SubClassOf _24HourBloodPressure,  False.
SatietyDecrease SubClassOf HighReductionInHamiltonDepressionScore,  I cannot
SatietyDecrease SubClassOf BodyMassIndex,  False.
SatietyDecrease SubClassOf DrugEfficacyMeasure,  False.
SatietyDecrease SubClassOf BiophysicalMeasure,  False.
SatietyDecrease SubClassOf ChildDepressionScoreDifference,  False.
SatietyDecrease SubClassOf LowReductionInHamiltonAnxietyScore,  False.
SatietyDecrease SubClassOf ChildDepressionMeasure,  False.
SatietyDecrease SubClassOf HamiltonDepressionScoreDifference,  False.
SatietyDecrease SubClassOf HighRemissionOddsRatio,  False.
SatietyDecrease SubClassOf LowDrugEfficacy,  False.
SatietyDecrease SubClassOf ErythromycinClearanceMeasure,  False.
SatietyDecrease SubClassOf LowReductionInMontgomeryAsbergDepressionRating,  False.
SatietyDecrease SubClassOf ModerateReductionInChildDepressionScore,  False.
SatietyDecrease SubClassOf ASAAConcentration,  False.
SatietyDecrease SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
SatietyDecrease SubClassOf SimilarRemissionOddsRatio,  False.
SatietyDecrease SubClassOf EventFreeSurvivalTime,  False.
SatietyDecrease SubClassOf LowRemissionOddsRatio,  False.
SatietyDecrease SubClassOf HomocysteineLevel,  False.
SatietyDecrease SubClassOf SideEffectMeasure,  True.
SatietyDecrease SubClassOf ClinicalOutcomeMeasure and QualityOfLife and SideEffectMeasure,  True for
SatietyDecrease SubClassOf RemissionOddsRatio,  False.
SatietyDecrease SubClassOf ClinicalOutcomeMeasure and ExerciseResponse and QualityOfLife,  True,
SatietyDecrease SubClassOf ClinicalOutcomeMeasure and ExerciseResponse and PharmacokineticMeasure and QualityOfLife,  True,
SatietyDecrease SubClassOf BiologicalMeasure and ClinicalOutcomeMeasure and ExerciseResponse and PharmacokineticMeasure and QualityOfLife,  True,
SatietyDecrease SubClassOf ASAAMeasure and BiologicalMeasure and ClinicalOutcomeMeasure and ExerciseResponse and PharmacokineticMeasure and QualityOfLife,  True,
SatietyDecrease SubClassOf ASAAMeasure and BiologicalMeasure and ClinicalOutcomeMeasure and ExerciseResponse and MetabolicMeasure and PharmacokineticMeasure and QualityOfLife,  True for
SatietyDecrease SubClassOf ASAAMeasure and BiologicalMeasure and ClinicalOutcomeMeasure and ExerciseResponse and PharmacokineticMeasure and QualityOfLife and WeightLoss,  True for
SatietyDecrease SubClassOf ASAAMeasure and BiologicalMeasure and ClinicalOutcomeMeasure and ExerciseResponse and PharmacodynamicMeasure and PharmacokineticMeasure and QualityOfLife,  True for
SatietyDecrease SubClassOf ASAAMeasure and BiologicalMeasure and ClinicalOutcomeMeasure and ExerciseResponse and PharmacokineticMeasure and QualityOfLife and SideEffectMeasure,  True,
HighMontgomeryAsbergDepressionRating and LowReductionInMontgomeryAsbergDepressionRating SubClassOf ExerciseResponse,  False.
DrugEfficacy and LowHamiltonDepressionScore SubClassOf HighRemission,  False.
ErythromycinClearanceMeasure and LowHamiltonDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  False.
BodyMassIndexIncrease and PharmacokineticMeasure SubClassOf ZeroRemission,  False.
GeneExpression and ModerateRemission SubClassOf ASAAConcentration,  False.
LowMontgomeryAsbergDepressionRating and ModerateReductionInChildDepressionScore SubClassOf BloodPressure,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf BiophysicalMeasure,  True for
SideEffectRate SubClassOf ClinicalOutcomeMeasure,  False.
DiseaseSusceptibilityOdds and Dose SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
ElectrocardiogramQTInterval and SatietyFrequency SubClassOf NeoplasmFrequency,  False.
BodyMassIndexDecrease and LowerDiseaseSusceptibilityOdds SubClassOf Race,  False.
BodyMassIndexIncrease and ExerciseResponse SubClassOf SatietyFrequency,  False.
ChildDepressionScoreDifference and Weigth SubClassOf RemissionMeasure,  False.
PathogenCount and PharmacodynamicMeasure SubClassOf SatietyMeasure,  False.
HigherDiseaseSusceptibiltyOdds and MyocardialInfarctionFrequency SubClassOf BodyMassIndexIncrease,  False.
