Crop and MarinePlant SubClassOf Arthropod, \nFalse
Mushroom SubClassOf ExoticSpecies and Fungi and FungiTaxonomy and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf Litter, False
Mushroom SubClassOf Crown, \nFalse
Mushroom SubClassOf Jellyfish, \nFalse
Mushroom SubClassOf Invertebrate, \nFalse
Mushroom SubClassOf Anemone, \nFalse
Mushroom SubClassOf Ciliate, \nFalse
Mushroom SubClassOf Zooplankton, \nFalse
Mushroom SubClassOf FloweringPlant, False
Mushroom SubClassOf Sporozoan, \nTrue
Mushroom SubClassOf Fungi and FungiTaxonomy and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and Sporozoan and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf IndigenousVegetation, \nTrue
Mushroom SubClassOf Fungi and FungiTaxonomy and IndigenousVegetation and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf Nutrient, \nTrue
Mushroom SubClassOf Fungi and FungiTaxonomy and MicrobiotaTaxonomy and Microphyte and Nutrient and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf IndigenousSpecies, \nFalse
Mushroom SubClassOf MarineInvertebrate, \nTrue
Mushroom SubClassOf Fungi and FungiTaxonomy and MarineInvertebrate and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf Conifer, \nFalse
Mushroom SubClassOf Yeast, \nFalse
Mushroom SubClassOf Mammal, False
Mushroom SubClassOf Protist, \nFalse
Mushroom SubClassOf Centipede, \nFalse
Mushroom SubClassOf Crop, False
Mushroom SubClassOf Algae, \nFalse
Mushroom SubClassOf Arthropod, \nFalse
Mushroom SubClassOf MarineBird, \nFalse
Mushroom SubClassOf Chlorophyll, \nFalse
Mushroom SubClassOf Mollusk, \nFalse
Mushroom SubClassOf Echinoderm, \nFalse
Mushroom SubClassOf Plant, \nFalse
Mushroom SubClassOf Amoebae, \nFalse
Mushroom SubClassOf Insect, False
Mushroom SubClassOf Mold, False
Mushroom SubClassOf Bacteria, \nFalse
Mushroom SubClassOf DeciduousVegetation, False
Mushroom SubClassOf Phytoplankton, \nFalse
Mushroom SubClassOf Fungi and FungiTaxonomy and MarinePlant and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf Fungi and FungiTaxonomy and MarineMicrobiota and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf ExoticVegetation and Fungi and FungiTaxonomy and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Mushroom SubClassOf Fungi and FungiTaxonomy and Macrophyte and MicrobiotaTaxonomy and Microphyte and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation and Microphyte SubClassOf MicrobiotaTaxonomy, \nTrue
DeciduousVegetation and Microphyte SubClassOf VegetationCover, \nTrue
Microphyte SubClassOf VegetationCover, \nFalse
DeciduousVegetation SubClassOf VegetationCover, \nTrue
DeciduousVegetation SubClassOf Microalgae, \nFalse
DeciduousVegetation SubClassOf Fungi, \nFalse
DeciduousVegetation SubClassOf Arachnid, \nFalse
DeciduousVegetation SubClassOf VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Livestock, \nFalse
DeciduousVegetation SubClassOf Sponge, \nFalse
DeciduousVegetation SubClassOf Flatworm, \nFalse
DeciduousVegetation SubClassOf Diatom, \nFalse
DeciduousVegetation SubClassOf FungiTaxonomy, \nFalse
DeciduousVegetation SubClassOf MarinePlant, \nFalse
DeciduousVegetation SubClassOf Moss, \nFalse
DeciduousVegetation SubClassOf Vertebrate, \nFalse
DeciduousVegetation SubClassOf Radiolarian, \nFalse
DeciduousVegetation SubClassOf Human, \nFalse
DeciduousVegetation SubClassOf MarineMicrobiota, \nFalse
DeciduousVegetation SubClassOf Animal, \nFalse
DeciduousVegetation SubClassOf Flagellate, \nFalse
DeciduousVegetation SubClassOf Poultry, \nFalse
DeciduousVegetation SubClassOf MarineMammal, \nFalse
DeciduousVegetation SubClassOf Amphibian, \nFalse
DeciduousVegetation SubClassOf Millipede, \nFalse
DeciduousVegetation SubClassOf Plankton, \nFalse
DeciduousVegetation SubClassOf Roundworm, \nFalse
DeciduousVegetation SubClassOf Microphyte, \nTrue
DeciduousVegetation SubClassOf Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf SlimeMold, \nFalse
DeciduousVegetation SubClassOf Microbiota, \nFalse
DeciduousVegetation SubClassOf MicrobiotaTaxonomy, \nFalse
DeciduousVegetation SubClassOf Coccolithophore, \nFalse
DeciduousVegetation SubClassOf Lichen, False
DeciduousVegetation SubClassOf Leaf, \nTrue
DeciduousVegetation SubClassOf Leaf and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Pollen, \nFalse
DeciduousVegetation SubClassOf Mushroom, \nFalse
DeciduousVegetation SubClassOf Fish, False
DeciduousVegetation SubClassOf Reptile, \nFalse
DeciduousVegetation SubClassOf MarineAnimal, \nFalse
DeciduousVegetation SubClassOf Macroalgae, \nFalse
DeciduousVegetation SubClassOf Foraminifer, \nFalse
DeciduousVegetation SubClassOf Dairy, False
DeciduousVegetation SubClassOf Liverwort, \nFalse
DeciduousVegetation SubClassOf Crustacean, \nFalse
DeciduousVegetation SubClassOf Canopy, \nTrue
DeciduousVegetation SubClassOf Canopy and Leaf and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Coral, \nFalse
DeciduousVegetation SubClassOf ExoticVegetation, \nFalse
DeciduousVegetation SubClassOf Macrophyte, \nTrue
DeciduousVegetation SubClassOf Canopy and Leaf and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf SegmentedWorm, \nFalse
DeciduousVegetation SubClassOf LivingThing, \nTrue
DeciduousVegetation SubClassOf Canopy and Leaf and LivingThing and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Bird, \nFalse
DeciduousVegetation SubClassOf Fern, \nFalse
DeciduousVegetation SubClassOf DominantSpecies, \nFalse
DeciduousVegetation SubClassOf BlueGreenAlgae, \nFalse
DeciduousVegetation SubClassOf EvergreenVegetation, \nFalse
DeciduousVegetation SubClassOf TreeRing, \nFalse
DeciduousVegetation SubClassOf Vegetation, \nTrue
DeciduousVegetation SubClassOf Canopy and Leaf and LivingThing and Macrophyte and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf ExoticSpecies, False
DeciduousVegetation SubClassOf Litter, \nFalse
DeciduousVegetation SubClassOf Crown, \nTrue
DeciduousVegetation SubClassOf Canopy and Crown and Leaf and LivingThing and Macrophyte and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Jellyfish, \nFalse
DeciduousVegetation SubClassOf Invertebrate, \nFalse
DeciduousVegetation SubClassOf Anemone, False
DeciduousVegetation SubClassOf Ciliate, \nFalse
DeciduousVegetation SubClassOf Zooplankton, \nFalse
DeciduousVegetation SubClassOf FloweringPlant, \nTrue
DeciduousVegetation SubClassOf Canopy and Crown and FloweringPlant and Leaf and LivingThing and Macrophyte and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Sporozoan, \nFalse
DeciduousVegetation SubClassOf IndigenousVegetation, \nTrue
DeciduousVegetation SubClassOf Canopy and Crown and IndigenousVegetation and Leaf and LivingThing and Macrophyte and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Nutrient, \nFalse
DeciduousVegetation SubClassOf IndigenousSpecies, \nTrue
DeciduousVegetation SubClassOf Canopy and Crown and IndigenousSpecies and Leaf and LivingThing and Macrophyte and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf MarineInvertebrate, \nFalse
DeciduousVegetation SubClassOf Conifer, False
DeciduousVegetation SubClassOf Yeast, \nFalse
DeciduousVegetation SubClassOf Mammal, \nFalse
DeciduousVegetation SubClassOf Protist, \nFalse
DeciduousVegetation SubClassOf Centipede, \nFalse
DeciduousVegetation SubClassOf Crop, \nFalse
DeciduousVegetation SubClassOf Algae, \nFalse
DeciduousVegetation SubClassOf Arthropod, \nFalse
DeciduousVegetation SubClassOf MarineBird, \nFalse
DeciduousVegetation SubClassOf Chlorophyll, \nTrue
DeciduousVegetation SubClassOf Canopy and Chlorophyll and Crown and Leaf and LivingThing and Macrophyte and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Mollusk, \nFalse
DeciduousVegetation SubClassOf Echinoderm, \nFalse
DeciduousVegetation SubClassOf Plant, \nTrue
DeciduousVegetation SubClassOf Canopy and Crown and Leaf and LivingThing and Macrophyte and Microphyte and Plant and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Amoebae, \nFalse
DeciduousVegetation SubClassOf Insect, \nFalse
DeciduousVegetation SubClassOf Mold, False
DeciduousVegetation SubClassOf Bacteria, \nFalse
DeciduousVegetation SubClassOf Phytoplankton, \nFalse
Arachnid and Crop SubClassOf FloweringPlant, \nFalse
Microbiota and Millipede SubClassOf SegmentedWorm, \nFalse
Animal and Liverwort SubClassOf Millipede, False
Diatom and Roundworm SubClassOf Fungi, \nFalse
Insect and Zooplankton SubClassOf Poultry, \nFalse
Algae and Coccolithophore SubClassOf Radiolarian, \nFalse
MarineInvertebrate and Roundworm SubClassOf Insect, \nFalse
Invertebrate and Pollen SubClassOf Vegetation, \nFalse
Plankton and Vegetation SubClassOf Mold, \nFalse
Amphibian and Centipede SubClassOf Leaf, \nFalse
DominantSpecies and Vegetation SubClassOf MarineAnimal, \nFalse
Bacteria and Sponge SubClassOf Centipede, \nFalse
Arthropod and SegmentedWorm SubClassOf Fern, \nFalse
Bird and Coral SubClassOf ExoticSpecies, \nTrue
Bird and Coral SubClassOf VegetationCover, \nFalse
Bird and Coral SubClassOf Microalgae, \nFalse
Bird and Coral SubClassOf Fungi, \nFalse
Bird and Coral SubClassOf Arachnid, \nFalse
Bird and Coral SubClassOf VegetationSpecies, \nFalse
Bird and Coral SubClassOf Livestock, \nFalse
Bird and Coral SubClassOf Sponge, \nFalse
Bird and Coral SubClassOf Flatworm, \nFalse
Bird and Coral SubClassOf Diatom, \nFalse
Bird and Coral SubClassOf FungiTaxonomy, \nFalse
Bird and Coral SubClassOf MarinePlant, False
Bird and Coral SubClassOf Moss, \nFalse
Bird and Coral SubClassOf Vertebrate, False
Bird and Coral SubClassOf Radiolarian, \nFalse
Bird and Coral SubClassOf Human, \nFalse
Bird and Coral SubClassOf MarineMicrobiota, \nTrue
Bird SubClassOf MarineMicrobiota, \nFalse
Coral SubClassOf MarineMicrobiota, \nTrue
Coral SubClassOf VegetationCover, \nFalse
Coral SubClassOf Microalgae, \nFalse
Coral SubClassOf Fungi, \nFalse
Coral SubClassOf Arachnid, \nFalse
Coral SubClassOf VegetationSpecies, \nFalse
Coral SubClassOf Livestock, \nFalse
Coral SubClassOf Sponge, \nFalse
Coral SubClassOf Flatworm, False
Coral SubClassOf Diatom, \nFalse
Coral SubClassOf FungiTaxonomy, \nFalse
Coral SubClassOf MarinePlant, \nTrue
Coral SubClassOf MarineMicrobiota and MarinePlant, \nTrue
Coral SubClassOf Moss, False
Coral SubClassOf Vertebrate, \nFalse
Coral SubClassOf Radiolarian, \nTrue
Coral SubClassOf MarineMicrobiota and MarinePlant and Radiolarian, \nTrue
Coral SubClassOf Human, \nFalse
Coral SubClassOf Animal, \nFalse
Coral SubClassOf Flagellate, \nFalse
Coral SubClassOf Poultry, \nFalse
Coral SubClassOf MarineMammal, False
Coral SubClassOf Amphibian, \nFalse
Coral SubClassOf Millipede, \nFalse
Coral SubClassOf Plankton, \nFalse
Coral SubClassOf Roundworm, \nFalse
Coral SubClassOf Microphyte, \nFalse
Coral SubClassOf SlimeMold, False
Coral SubClassOf Microbiota, False
Coral SubClassOf MicrobiotaTaxonomy, \nFalse
Coral SubClassOf Coccolithophore, \nFalse
Coral SubClassOf Lichen, False
Coral SubClassOf Leaf, False
Coral SubClassOf Pollen, False
Coral SubClassOf Mushroom, \nFalse
Coral SubClassOf Fish, False
Coral SubClassOf Reptile, False
Coral SubClassOf MarineAnimal, \nTrue
Coral SubClassOf MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nTrue
Coral SubClassOf Macroalgae, \nFalse
Coral SubClassOf Foraminifer, \nFalse
Coral SubClassOf Dairy, False
Coral SubClassOf Liverwort, \nFalse
Coral SubClassOf Crustacean, \nFalse
Coral SubClassOf Canopy, \nFalse
Coral SubClassOf ExoticVegetation, \nFalse
Coral SubClassOf Macrophyte, \nFalse
Coral SubClassOf SegmentedWorm, \nTrue
Coral SubClassOf MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian and SegmentedWorm, \nHere
Coral SubClassOf LivingThing, \nTrue
Coral SubClassOf LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nTrue
Coral SubClassOf Bird, \nFalse
Coral SubClassOf Fern, \nFalse
Coral SubClassOf DominantSpecies, \nTrue
Coral SubClassOf DominantSpecies and LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nHere
Coral SubClassOf BlueGreenAlgae, \nFalse
Coral SubClassOf EvergreenVegetation, \nTrue
Coral SubClassOf EvergreenVegetation and LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nHere
Coral SubClassOf TreeRing, \nFalse
Coral SubClassOf Vegetation, \nFalse
Coral SubClassOf ExoticSpecies, False
Coral SubClassOf Litter, \nFalse
Coral SubClassOf Crown, \nFalse
Coral SubClassOf Jellyfish, \nFalse
Coral SubClassOf Invertebrate, \nTrue
Coral SubClassOf Invertebrate and LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nHere
Coral SubClassOf Anemone, \nFalse
Coral SubClassOf Ciliate, \nFalse
Coral SubClassOf Zooplankton, \nFalse
Coral SubClassOf FloweringPlant, \nTrue
Coral SubClassOf FloweringPlant and LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nHere
Coral SubClassOf Sporozoan, \nFalse
Coral SubClassOf IndigenousVegetation, \nFalse
Coral SubClassOf Nutrient, \nFalse
Coral SubClassOf IndigenousSpecies, \nFalse
Coral SubClassOf MarineInvertebrate, \nTrue
Coral SubClassOf LivingThing and MarineAnimal and MarineInvertebrate and MarineMicrobiota and MarinePlant and Radiolarian, \nHere
Coral SubClassOf Conifer, False
Coral SubClassOf Yeast, \nFalse
Coral SubClassOf Mammal, \nFalse
Coral SubClassOf Protist, \nFalse
Coral SubClassOf Centipede, False
Coral SubClassOf Crop, \nFalse
Coral SubClassOf Algae, False
Coral SubClassOf Arthropod, \nTrue
Coral SubClassOf Arthropod and LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nHere
Coral SubClassOf MarineBird, \nFalse
Coral SubClassOf Chlorophyll, False
Coral SubClassOf Mollusk, \nFalse
Coral SubClassOf Echinoderm, \nTrue
Coral SubClassOf Echinoderm and LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian, \nHere
Coral SubClassOf Plant, \nFalse
Coral SubClassOf Amoebae, \nFalse
Coral SubClassOf Insect, \nFalse
Coral SubClassOf Mold, \nFalse
Coral SubClassOf Bacteria, False
Coral SubClassOf DeciduousVegetation, \nFalse
Coral SubClassOf Phytoplankton, \nFalse
Coral SubClassOf LivingThing and MarineAnimal and MarineMicrobiota and MarinePlant and Radiolarian and SegmentedWorm, \nHere
Livestock and SlimeMold SubClassOf Conifer, \nFalse
EvergreenVegetation and Microbiota SubClassOf MarineInvertebrate, \nFalse
Anemone and Macroalgae SubClassOf MarineMammal, \nFalse
Arachnid and Centipede SubClassOf Diatom, \nFalse
Liverwort and Microphyte SubClassOf Animal, \nFalse
MicrobiotaTaxonomy and Yeast SubClassOf Invertebrate, \nTrue
MicrobiotaTaxonomy and Yeast SubClassOf VegetationCover, \nM
MicrobiotaTaxonomy and Yeast SubClassOf Microalgae, \nFalse
MicrobiotaTaxonomy and Yeast SubClassOf Fungi, \nTrue
Yeast SubClassOf Fungi, \nTrue
Yeast SubClassOf VegetationCover, \nFalse
Yeast SubClassOf Microalgae, \nFalse
Yeast SubClassOf Arachnid, \nFalse
Yeast SubClassOf VegetationSpecies, \nFalse
Yeast SubClassOf Livestock, False
Yeast SubClassOf Sponge, \nFalse
Yeast SubClassOf Flatworm, \nFalse
Yeast SubClassOf Diatom, \nFalse
Yeast SubClassOf FungiTaxonomy, \nTrue
Yeast SubClassOf Fungi and FungiTaxonomy, \nTrue
Yeast SubClassOf MarinePlant, \nFalse
Yeast SubClassOf Moss, \nFalse
Yeast SubClassOf Vertebrate, \nFalse
Yeast SubClassOf Radiolarian, \nFalse
Yeast SubClassOf Human, \nFalse
Yeast SubClassOf MarineMicrobiota, \nFalse
Yeast SubClassOf Animal, \nFalse
Yeast SubClassOf Flagellate, \nFalse
Yeast SubClassOf Poultry, \nFalse
Yeast SubClassOf MarineMammal, \nFalse
Yeast SubClassOf Amphibian, \nFalse
Yeast SubClassOf Millipede, \nFalse
Yeast SubClassOf Plankton, False
Yeast SubClassOf Roundworm, \nFalse
Yeast SubClassOf Microphyte, \nTrue
Yeast SubClassOf Fungi and FungiTaxonomy and Microphyte, \nTrue
Yeast SubClassOf SlimeMold, \nFalse
Yeast SubClassOf Microbiota, \nFalse
Yeast SubClassOf MicrobiotaTaxonomy, \nTrue
Yeast SubClassOf Fungi and FungiTaxonomy and MicrobiotaTaxonomy and Microphyte, \nHere
Yeast SubClassOf Coccolithophore, \nFalse
Yeast SubClassOf Lichen, False
Yeast SubClassOf Leaf, \nFalse
Yeast SubClassOf Pollen, \nFalse
Yeast SubClassOf Mushroom, False
Yeast SubClassOf Fish, \nFalse
Yeast SubClassOf Reptile, \nFalse
Yeast SubClassOf MarineAnimal, \nFalse
Yeast SubClassOf Macroalgae, \nFalse
Yeast SubClassOf Foraminifer, \nFalse
Yeast SubClassOf Dairy, \nFalse
Yeast SubClassOf Liverwort, \nFalse
Yeast SubClassOf Crustacean, \nFalse
Yeast SubClassOf Canopy, \nFalse
Yeast SubClassOf Coral, \nFalse
Yeast SubClassOf ExoticVegetation, \nFalse
Yeast SubClassOf Macrophyte, \nFalse
Yeast SubClassOf SegmentedWorm, \nFalse
Yeast SubClassOf LivingThing, \nTrue
Yeast SubClassOf Fungi and FungiTaxonomy and LivingThing and Microphyte, \nTrue
Yeast SubClassOf Bird, False
Yeast SubClassOf Fern, \nFalse
Yeast SubClassOf DominantSpecies, \nFalse
Yeast SubClassOf BlueGreenAlgae, \nFalse
Yeast SubClassOf EvergreenVegetation, \nFalse
Yeast SubClassOf TreeRing, \nFalse
Yeast SubClassOf Vegetation, \nFalse
Yeast SubClassOf ExoticSpecies, \nFalse
Yeast SubClassOf Litter, \nFalse
Yeast SubClassOf Crown, \nTrue
Yeast SubClassOf Crown and Fungi and FungiTaxonomy and LivingThing and Microphyte, \nTrue
Yeast SubClassOf Jellyfish, \nFalse
Yeast SubClassOf Invertebrate, \nFalse
Yeast SubClassOf Anemone, \nFalse
Yeast SubClassOf Ciliate, \nFalse
Yeast SubClassOf Zooplankton, \nFalse
Yeast SubClassOf FloweringPlant, \nFalse
Yeast SubClassOf Sporozoan, \nFalse
Yeast SubClassOf IndigenousVegetation, \nFalse
Yeast SubClassOf Nutrient, False
Yeast SubClassOf IndigenousSpecies, \nFalse
Yeast SubClassOf MarineInvertebrate, \nFalse
Yeast SubClassOf Conifer, \nFalse
Yeast SubClassOf Mammal, False
Yeast SubClassOf Protist, \nFalse
Yeast SubClassOf Centipede, \nFalse
Yeast SubClassOf Crop, \nFalse
Yeast SubClassOf Algae, \nFalse
Yeast SubClassOf Arthropod, \nFalse
Yeast SubClassOf MarineBird, \nFalse
Yeast SubClassOf Chlorophyll, \nFalse
Yeast SubClassOf Mollusk, False
Yeast SubClassOf Echinoderm, \nFalse
Yeast SubClassOf Plant, \nFalse
Yeast SubClassOf Amoebae, \nFalse
Yeast SubClassOf Insect, False
Yeast SubClassOf Mold, False
Yeast SubClassOf Bacteria, \nFalse
Yeast SubClassOf DeciduousVegetation, \nFalse
Yeast SubClassOf Phytoplankton, \nFalse
Yeast SubClassOf Crown and Fungi and FungiTaxonomy and LivingThing and MicrobiotaTaxonomy and Microphyte, \nHere
IndigenousVegetation and Protist SubClassOf Arthropod, \nFalse
MarineAnimal and Reptile SubClassOf Amphibian, \nFalse
Fish and Microphyte SubClassOf Flatworm, \nFalse
Poultry and Roundworm SubClassOf Lichen, \nFalse
Foraminifer and Litter SubClassOf Echinoderm, \nFalse
Arthropod and Radiolarian SubClassOf Fern, \nFalse
Human and MarinePlant SubClassOf IndigenousVegetation, \nTrue
Human and MarinePlant SubClassOf VegetationCover, \nTrue
MarinePlant SubClassOf VegetationCover, \nTrue
MarinePlant SubClassOf Microalgae, False
MarinePlant SubClassOf Fungi, \nFalse
MarinePlant SubClassOf Arachnid, \nFalse
MarinePlant SubClassOf VegetationSpecies, \nTrue
MarinePlant SubClassOf VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Livestock, \nFalse
MarinePlant SubClassOf Sponge, \nFalse
MarinePlant SubClassOf Flatworm, \nFalse
MarinePlant SubClassOf Diatom, \nTrue
MarinePlant SubClassOf Diatom and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf FungiTaxonomy, \nFalse
MarinePlant SubClassOf Moss, \nTrue
MarinePlant SubClassOf Diatom and Moss and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Vertebrate, \nFalse
MarinePlant SubClassOf Radiolarian, \nFalse
MarinePlant SubClassOf Human, \nFalse
MarinePlant SubClassOf MarineMicrobiota, \nFalse
MarinePlant SubClassOf Animal, \nFalse
MarinePlant SubClassOf Flagellate, \nFalse
MarinePlant SubClassOf Poultry, \nFalse
MarinePlant SubClassOf MarineMammal, \nFalse
MarinePlant SubClassOf Amphibian, \nFalse
MarinePlant SubClassOf Millipede, \nFalse
MarinePlant SubClassOf Plankton, \nFalse
MarinePlant SubClassOf Roundworm, \nFalse
MarinePlant SubClassOf Microphyte, \nTrue
MarinePlant SubClassOf Diatom and Microphyte and Moss and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf SlimeMold, \nFalse
MarinePlant SubClassOf Microbiota, \nFalse
MarinePlant SubClassOf MicrobiotaTaxonomy, \nTrue
MarinePlant SubClassOf Diatom and MicrobiotaTaxonomy and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Coccolithophore, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and Microphyte and Moss and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Lichen, \nFalse
MarinePlant SubClassOf Leaf, False
MarinePlant SubClassOf Pollen, False
MarinePlant SubClassOf Mushroom, \nFalse
MarinePlant SubClassOf Fish, \nFalse
MarinePlant SubClassOf Reptile, \nFalse
MarinePlant SubClassOf MarineAnimal, \nFalse
MarinePlant SubClassOf Macroalgae, \nFalse
MarinePlant SubClassOf Foraminifer, \nFalse
MarinePlant SubClassOf Dairy, \nFalse
MarinePlant SubClassOf Liverwort, \nFalse
MarinePlant SubClassOf Crustacean, \nFalse
MarinePlant SubClassOf Canopy, \nTrue
MarinePlant SubClassOf Canopy and Coccolithophore and Diatom and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Coral, \nFalse
MarinePlant SubClassOf ExoticVegetation, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and ExoticVegetation and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Macrophyte, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf SegmentedWorm, \nFalse
MarinePlant SubClassOf LivingThing, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and LivingThing and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Bird, \nFalse
MarinePlant SubClassOf Fern, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and Fern and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf DominantSpecies, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and DominantSpecies and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf BlueGreenAlgae, \nFalse
MarinePlant SubClassOf EvergreenVegetation, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and EvergreenVegetation and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf TreeRing, \nFalse
MarinePlant SubClassOf Vegetation, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and Macrophyte and Microphyte and Moss and Vegetation and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf ExoticSpecies, \nFalse
MarinePlant SubClassOf Litter, \nTrue
MarinePlant SubClassOf Coccolithophore and Diatom and Litter and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Crown, \nTrue
MarinePlant SubClassOf Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Jellyfish, \nFalse
MarinePlant SubClassOf Invertebrate, \nFalse
MarinePlant SubClassOf Anemone, \nTrue
MarinePlant SubClassOf Anemone and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Ciliate, \nTrue
MarinePlant SubClassOf Ciliate and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Zooplankton, \nFalse
MarinePlant SubClassOf FloweringPlant, \nFalse
MarinePlant SubClassOf Sporozoan, \nFalse
MarinePlant SubClassOf IndigenousVegetation, \nTrue
MarinePlant SubClassOf Coccolithophore and Crown and Diatom and IndigenousVegetation and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Nutrient, \nFalse
MarinePlant SubClassOf IndigenousSpecies, \nTrue
MarinePlant SubClassOf Coccolithophore and Crown and Diatom and IndigenousSpecies and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf MarineInvertebrate, \nFalse
MarinePlant SubClassOf Conifer, \nFalse
MarinePlant SubClassOf Yeast, \nFalse
MarinePlant SubClassOf Mammal, \nFalse
MarinePlant SubClassOf Protist, \nFalse
MarinePlant SubClassOf Centipede, \nFalse
MarinePlant SubClassOf Crop, \nTrue
MarinePlant SubClassOf Coccolithophore and Crop and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Algae, \nFalse
MarinePlant SubClassOf Arthropod, \nFalse
MarinePlant SubClassOf MarineBird, \nFalse
MarinePlant SubClassOf Chlorophyll, \nTrue
