Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, True
Can Bird be considered a subcategory of 'something that lays some Backbone'?, True
Can Bird be considered a subcategory of 'Backbone that is also Egg'?, True
Can Bird be considered a subcategory of 'Backbone that is also Egg that is also Meat'?, True
Can Bird be considered a subcategory of 'Backbone that is also Carnivore that is also Egg that is also Meat'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Meat'?, \nTrue
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Meat that is also Reptile'?, \nTrue
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Meat that is also Reptile that is also Vertebrate'?, \nTrue
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Cat that is also Egg that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, True
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Elephant that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, True
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Elephant that is also Mammal that is also Meat that is also Reptile that is also Vertebrate that is also Wing'?, \nFalse
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Herbivore that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, True
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate'?, True
Can Bird be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate that is also Wing'?, \nFalse
Can Elephant that is also Water be considered a subcategory of 'Vertebrate'?, True
Can Elephant that is also Water be considered a subcategory of 'Egg'?, True
Can Elephant be considered a subcategory of 'Egg'?, False
Can Fish that is also Leg be considered a subcategory of 'Vertebrate'?, True
Can Fish that is also Leg be considered a subcategory of 'Egg'?, True
Can Fish be considered a subcategory of 'Egg'?, True
Can Fish be considered a subcategory of 'Meat'?, True
Can Fish be considered a subcategory of 'Egg that is also Meat'?, True
Can Fish be considered a subcategory of 'Carnivore'?, True
Can Fish be considered a subcategory of 'Carnivore that is also Egg that is also Meat'?, \nFalse
Can Fish be considered a subcategory of 'Water'?, True
Can Fish be considered a subcategory of 'Egg that is also Meat that is also Water'?, True
Can Fish be considered a subcategory of 'Animal'?, True
Can Fish be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Water'?, True
Can Fish be considered a subcategory of 'Reptile'?, True
Can Fish be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Reptile that is also Water'?, \nFalse
Can Fish be considered a subcategory of 'Plant'?, True
Can Fish be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Plant that is also Water'?, \nTrue
Can Fish be considered a subcategory of 'Vertebrate'?, True
Can Fish be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nTrue
Can Fish be considered a subcategory of 'Cat'?, True
Can Fish be considered a subcategory of 'Animal that is also Cat that is also Egg that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Fish be considered a subcategory of 'Mammal'?, True
Can Fish be considered a subcategory of 'Animal that is also Egg that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Fish be considered a subcategory of 'Herbivore'?, True
Can Fish be considered a subcategory of 'Animal that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Vertebrate that is also Water'?, True
Can Fish be considered a subcategory of 'Leg'?, False
Can Fish be considered a subcategory of 'Elephant'?, False
Can Fish be considered a subcategory of 'Bird'?, True
Can Fish be considered a subcategory of 'Animal that is also Bird that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Vertebrate that is also Water'?, True
Can Fish be considered a subcategory of 'Backbone'?, True
Can Fish be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Fish be considered a subcategory of 'Wing'?, False
Can Fish be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Fish be considered a subcategory of 'Animal that is also Bird that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water'?, \nFalse
Can Fish be considered a subcategory of 'Animal that is also Bird that is also Cat that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Vertebrate that is also Water'?, True
Can Fish be considered a subcategory of 'Animal that is also Bird that is also Cat that is also Egg that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Fish be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Cat that is also Egg that is also Herbivore that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Egg that is also Mammal be considered a subcategory of 'Backbone'?, True
Can Egg that is also Mammal be considered a subcategory of 'Carnivore'?, \nFalse
Can Egg that is also Mammal be considered a subcategory of 'Water'?, True.
Can Egg be considered a subcategory of 'Water'?, True
Can Egg be considered a subcategory of 'Meat'?, True
Can Egg be considered a subcategory of 'Meat that is also Water'?, True
Can Egg be considered a subcategory of 'Carnivore'?, True
Can Egg be considered a subcategory of 'Carnivore that is also Meat that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Animal'?, True
Can Egg be considered a subcategory of 'Animal that is also Meat that is also Water'?, True
Can Egg be considered a subcategory of 'Reptile'?, False
Can Egg be considered a subcategory of 'Plant'?, True
Can Egg be considered a subcategory of 'Animal that is also Meat that is also Plant that is also Water'?, \nTrue
Can Egg be considered a subcategory of 'Vertebrate'?, True
Can Egg be considered a subcategory of 'Animal that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Cat'?, True
Can Egg be considered a subcategory of 'Animal that is also Cat that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Fish'?, True
Can Egg be considered a subcategory of 'Animal that is also Fish that is also Meat that is also Plant that is also Water'?, True
Can Egg be considered a subcategory of 'Mammal'?, True
Can Egg be considered a subcategory of 'Animal that is also Fish that is also Mammal that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Herbivore'?, True
Can Egg be considered a subcategory of 'Animal that is also Fish that is also Herbivore that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Leg'?, \nFalse
Can Egg be considered a subcategory of 'Elephant'?, \nFalse
Can Egg be considered a subcategory of 'Bird'?, True
Can Egg be considered a subcategory of 'Animal that is also Bird that is also Fish that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Backbone'?, True
Can Egg be considered a subcategory of 'Animal that is also Backbone that is also Fish that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Wing'?, True
Can Egg be considered a subcategory of 'Animal that is also Fish that is also Meat that is also Plant that is also Water that is also Wing'?, \nFalse
Can Egg be considered a subcategory of 'Animal that is also Carnivore that is also Fish that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Animal that is also Fish that is also Meat that is also Plant that is also Vertebrate that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Meat that is also Plant that is also Water'?, True
Can Egg be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Mammal that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Herbivore that is also Meat that is also Plant that is also Water'?, True
Can Egg be considered a subcategory of 'Animal that is also Bird that is also Cat that is also Fish that is also Herbivore that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Animal that is also Backbone that is also Cat that is also Fish that is also Herbivore that is also Meat that is also Plant that is also Water'?, \nFalse
Can Egg be considered a subcategory of 'Animal that is also Cat that is also Fish that is also Herbivore that is also Meat that is also Plant that is also Water that is also Wing'?, \nFalse
Can something that has_part some Cat be considered a subcategory of 'Water'?, True
Can something that has_part some Cat be considered a subcategory of 'Egg'?, True
Can Meat that is also Thing be considered a subcategory of 'Meat that is also Thing that is also something that (has_part some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing))'?, True.
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing be considered a subcategory of 'Wing'?, \nFalse
Can Meat that is also Thing that is also something that (has_part some Animal) that is also something that (has_part some (Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Meat that is also Thing that is also something that (has_part some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing))'?, True.
Can Meat that is also Thing that is also something that (has_part some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Meat that is also Thing that is also something that (has_part some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing))'?, True.
Can Thing that is also something that (has_part some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nTrue
Can Thing that is also something that (has_part some (Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, True
Can Thing that is also something that (has_part some (Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, True
Can Thing that is also something that (has_part some (Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, True
Can Thing that is also something that (has_part some (Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, True
Can Thing that is also something that (has_part some (Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, True.
Can Thing that is also something that (has_part some (Cat that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Water that is also Thing)) be considered a subcategory of 'Egg'?, \nFalse
Can Thing that is also something that (has_part some (Cat that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Thing)) be considered a subcategory of 'Egg'?, True
Can Mammal that is also Vertebrate be considered a subcategory of 'Wing'?, True
Can Vertebrate be considered a subcategory of 'Egg that is also Wing'?, True
Can Vertebrate be considered a subcategory of 'Egg that is also Meat that is also Wing'?, True
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Meat that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal that is also Egg that is also Meat that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Egg that is also Meat that is also Reptile that is also Wing'?, True
Can Vertebrate be considered a subcategory of 'Egg that is also Meat that is also Plant that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Cat that is also Egg that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Egg that is also Fish that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Egg that is also Mammal that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Egg that is also Herbivore that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Egg that is also Leg that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Egg that is also Elephant that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Bird that is also Egg that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Egg that is also Meat that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Carnivore that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing'?, \nFalse
Can Animal be considered a subcategory of 'something that lays some Vertebrate'?, True
Can Egg be considered a subcategory of 'something that lays some Vertebrate'?, True
Can Meat that is also something that (lays some Vertebrate) be considered a subcategory of 'Meat that is also something that (lays some Vertebrate)'?, \nTrue
Can Meat be considered a subcategory of 'Vertebrate'?, True
Can Meat be considered a subcategory of 'Carnivore'?, True
Can Meat be considered a subcategory of 'Carnivore that is also Vertebrate'?, True
Can Meat be considered a subcategory of 'Animal'?, True
Can Meat be considered a subcategory of 'Animal that is also Carnivore that is also Vertebrate'?, \nTrue
Can Meat be considered a subcategory of 'Reptile'?, True
Can Meat be considered a subcategory of 'Animal that is also Carnivore that is also Reptile that is also Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Plant'?, \nFalse
Can Meat be considered a subcategory of 'Cat'?, False.
Can Meat be considered a subcategory of 'Fish'?, True
Can Meat be considered a subcategory of 'Animal that is also Carnivore that is also Fish that is also Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Mammal'?, True
Can Meat be considered a subcategory of 'Animal that is also Carnivore that is also Mammal that is also Vertebrate'?, \nTrue
Can Meat be considered a subcategory of 'Herbivore'?, True
Can Meat be considered a subcategory of 'Animal that is also Carnivore that is also Herbivore that is also Mammal that is also Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Leg'?, True
Can Meat be considered a subcategory of 'Animal that is also Carnivore that is also Leg that is also Mammal that is also Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Bird'?, True
Can Meat be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Mammal that is also Vertebrate'?, \nTrue
Can Meat be considered a subcategory of 'Backbone'?, True
Can Meat be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Mammal that is also Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Wing'?, False.
Can Meat be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Mammal that is also Reptile that is also Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Fish that is also Mammal that is also Vertebrate'?, True
Can Meat be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Mammal that is also Vertebrate'?, True
Can Meat be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Mammal that is also Vertebrate'?, \nFalse
Can Fish be considered a subcategory of 'something that has_part some Vertebrate'?, True
Can Egg be considered a subcategory of 'something that has_part some Vertebrate'?, True
Can Egg that is also something that (has_part some Vertebrate) be considered a subcategory of 'Egg that is also something that (has_part some Vertebrate)'?, \nFalse
Can Egg be considered a subcategory of 'Egg'?, True
Can Meat be considered a subcategory of 'Egg that is also something that (has_part some Vertebrate)'?, \nFalse
Can Water be considered a subcategory of 'Egg that is also something that (has_part some Vertebrate)'?, True
Can Water be considered a subcategory of 'Carnivore'?, True
Can Water be considered a subcategory of 'Water'?, True
Can Water be considered a subcategory of 'Animal'?, True
Can Water be considered a subcategory of 'Reptile'?, True
Can Water be considered a subcategory of 'Plant'?, True
Can Plant be considered a subcategory of 'Water'?, True
Can Water be considered a subcategory of 'Vertebrate'?, True
Can Vertebrate be considered a subcategory of 'Egg that is also something that (has_part some Vertebrate)'?, True
Can Plant be considered a subcategory of 'Vertebrate'?, True
Can Vertebrate be considered a subcategory of 'Vertebrate'?, True
Can Mammal be considered a subcategory of 'Vertebrate'?, True
Can Herbivore be considered a subcategory of 'Vertebrate'?, True
Can Leg be considered a subcategory of 'Vertebrate'?, True
Can Elephant be considered a subcategory of 'Vertebrate'?, True
Can Wing be considered a subcategory of 'Vertebrate'?, True
Can Vertebrate be considered a subcategory of 'Egg that is also Meat that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also something that (has_part some Vertebrate)'?, True
Can Vertebrate be considered a subcategory of 'Animal that is also Carnivore that is also Egg that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Reptile that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Plant that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Cat that is also Egg that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Fish that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Mammal that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Herbivore that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Leg that is also something that (has_part some Vertebrate)'?, \nTrue
Can Vertebrate be considered a subcategory of 'Carnivore that is also Egg that is also Elephant that is also Leg that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some Vertebrate)'?, True
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some Vertebrate)'?, True
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also Wing that is also something that (has_part some Vertebrate)'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Egg that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Meat that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Carnivore that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Animal that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Reptile that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Plant that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Cat that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Fish that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Mammal that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Herbivore that is also Vertebrate))'?, \nTrue
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Herbivore that is also Leg that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Elephant that is also Herbivore that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Bird that is also Herbivore that is also Vertebrate))'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Backbone that is also Herbivore that is also Vertebrate))'?, \nTrue
Can Vertebrate be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also something that (has_part some (Backbone that is also Herbivore that is also Vertebrate that is also Wing))'?, \nTrue
Can Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also Meat that is also something that (has_part some (Backbone that is also Herbivore that is also Vertebrate that is also Wing)) be considered a subcategory of 'Backbone that is also Bird that is also Carnivore that is also Egg that is also Leg that is also Meat that is also something that (has_part some (Backbone that is also Herbivore that is also Vertebrate that is also Wing))'?, \nFalse
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing that is also Thing that is also something that (has_part some (Backbone that is also Herbivore that is also Vertebrate that is also Wing)) be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing that is also Thing that is also something that (has_part some (Backbone that is also Herbivore that is also Vertebrate that is also Wing))'?, True.
Can Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing that is also Thing that is also something that (has_part some (Backbone that is also Herbivore that is also Vertebrate that is also Wing))'?, True
Can Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing that is also Thing that is also something that (has_part some (Backbone that is also Egg that is also Herbivore that is also Vertebrate that is also Wing))'?, True
Can Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing that is also Thing that is also something that (has_part some (Backbone that is also Egg that is also Herbivore that is also Meat that is also Vertebrate that is also Wing))'?, True.
Can Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing that is also Thing that is also something that (has_part some (Backbone that is also Carnivore that is also Egg that is also Herbivore that is also Meat that is also Vertebrate that is also Wing))'?, \nTrue
Can Vertebrate be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Elephant that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Wing that is also Thing that is also something that (has_part some (Animal that is also Backbone that is also Carnivore that is also Egg that is also Herbivore that is also Meat that is also Vertebrate that is also Wing))'?, \nTrue
