HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure, \nTrue
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and DepressionMeasure and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and LowerDiseaseSusceptibilityOdds and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and MyocardialInfarctionFrequency and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ClinicalOutcomeMeasure and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and BodyMassIndexDecrease and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and BodyMassIndexIncrease and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and BiophysicalMeasure and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ChildDepressionScoreDifference and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and LowReductionInHamiltonAnxietyScore and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionMeasure and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and LowDrugEfficacy and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and ErythromycinClearanceMeasure and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and ModerateReductionInChildDepressionScore and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and SimilarRemissionOddsRatio and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and EventFreeSurvivalTime and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and SideEffectMeasure and WeigthDifference, \nHere
DiseaseFrequency SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ERVisitFrequency and GeneExpressionDifference and HighRemission and PathogenCount and PulmonaryFunctionMeasure and RemissionOddsRatio and WeigthDifference, \nHere
BiologicalMeasure and RemissionOddsRatio SubClassOf PulmonaryFunctionMeasure, \nTrue
BiologicalMeasure and RemissionOddsRatio SubClassOf ChildDepressionScore, \nFalse
BiologicalMeasure and RemissionOddsRatio SubClassOf MolecularMeasure, \nTrue
BiologicalMeasure SubClassOf MolecularMeasure, \nTrue
BiologicalMeasure SubClassOf RemissionFrequency, \nTrue
BiologicalMeasure SubClassOf MolecularMeasure and RemissionFrequency, \nTrue
BiologicalMeasure SubClassOf SatietyFrequency, \nTrue
BiologicalMeasure SubClassOf MolecularMeasure and RemissionFrequency and SatietyFrequency, \nTrue
BiologicalMeasure SubClassOf ModerateReductionInHamiltonAnxietyScore, \nTrue
BiologicalMeasure SubClassOf ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and RemissionFrequency and SatietyFrequency, \nTrue
BiologicalMeasure SubClassOf ASAAConcentrationIncrease, \nTrue
BiologicalMeasure SubClassOf ASAAConcentrationIncrease and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ERVisitFrequency, \nFalse
BiologicalMeasure SubClassOf ForcedExperiatoryVolume, \nTrue
BiologicalMeasure SubClassOf ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf DailyBloodPressure, \nFalse
BiologicalMeasure SubClassOf HighRemission, False
BiologicalMeasure SubClassOf WeigthDifference, \nFalse
BiologicalMeasure SubClassOf GeneExpressionDifference, \nFalse
BiologicalMeasure SubClassOf ExerciseResponse, \nTrue
BiologicalMeasure SubClassOf ExerciseResponse and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf NeoplasmFrequency, \nTrue
BiologicalMeasure SubClassOf ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nTrue
BiologicalMeasure SubClassOf GenotypeMeasure, \nTrue
BiologicalMeasure SubClassOf GenotypeMeasure and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf HighReductionInMontgomeryAsbergDepressionRating, \nTrue
BiologicalMeasure SubClassOf HighReductionInMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf QualityOfLife, \nFalse
BiologicalMeasure SubClassOf AirwayResponsivenessUsingMethacholine, \nTrue
BiologicalMeasure SubClassOf AirwayResponsivenessUsingMethacholine and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nTrue
BiologicalMeasure SubClassOf ModerateHamiltonDepressionScore, \nFalse
BiologicalMeasure SubClassOf LowReductionInChildDepressionScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf BodyMassIndexDifference, \nFalse
BiologicalMeasure SubClassOf HighHamiltonDepressionScore, \nFalse
BiologicalMeasure SubClassOf HigherDiseaseSusceptibiltyOdds, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ForcedVitalCapacity, \nTrue
BiologicalMeasure SubClassOf ForcedVitalCapacity and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf HamiltonDepressionMeasure, \nFalse
BiologicalMeasure SubClassOf PlasmaDrugConcentration, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ElectrocardiogramQTInterval, \nTrue
BiologicalMeasure SubClassOf ElectrocardiogramQTInterval and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf PharmacokineticMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PharmacokineticMeasure and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf LowMontgomeryAsbergDepressionRating, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and LowMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf RemissionMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and RemissionMeasure and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf GeneExpressionMeasure, \nFalse
BiologicalMeasure SubClassOf CellCount, \nTrue
BiologicalMeasure SubClassOf CellCount and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ASAAMeasure, \nTrue
BiologicalMeasure SubClassOf ASAAMeasure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf PopulationVariation, \nFalse
BiologicalMeasure SubClassOf MetabolicMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and MetabolicMeasure and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf TaxonomicMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency and TaxonomicMeasure, \nHere
BiologicalMeasure SubClassOf LowRemission, False
BiologicalMeasure SubClassOf DrugClearance, \nTrue
BiologicalMeasure SubClassOf DrugClearance and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ASAAConcentrationDifference, \nTrue
BiologicalMeasure SubClassOf ASAAConcentrationDifference and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf MontgomeryAsbergDepressionRatingDifference, \nFalse
BiologicalMeasure SubClassOf ASAAConcentrationDecrease, \nTrue
BiologicalMeasure SubClassOf ASAAConcentrationDecrease and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ModerateMontgomeryAsbergDepressionRating, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf BodyMassIndexMeasure, \nFalse
BiologicalMeasure SubClassOf IncreasedGeneExpression, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and IncreasedGeneExpression and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf PathogenCount, False
BiologicalMeasure SubClassOf SimilarDiseaseSusceptibilityOdds, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency and SimilarDiseaseSusceptibilityOdds, \nHere
BiologicalMeasure SubClassOf SatietyDifference, \nFalse
BiologicalMeasure SubClassOf DiseaseFrequency, \nTrue
BiologicalMeasure SubClassOf DiseaseFrequency and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf MontgomeryAsbergDepressionMeasure, \nFalse
BiologicalMeasure SubClassOf CognitiveMeasure, \nFalse
BiologicalMeasure SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and ModerateReductionInMontgomeryAsbergDepressionRating and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf HighMontgomeryAsbergDepressionRating, \nFalse
BiologicalMeasure SubClassOf WeightLoss, \nFalse
BiologicalMeasure SubClassOf Gender, False
BiologicalMeasure SubClassOf HamiltonAnxietyScore, \nFalse
BiologicalMeasure SubClassOf SatietyDecrease, \nFalse
BiologicalMeasure SubClassOf Weigth, False
BiologicalMeasure SubClassOf Race, \nFalse
BiologicalMeasure SubClassOf WeigthGain, False
BiologicalMeasure SubClassOf AsthmaFrequency, \nTrue
BiologicalMeasure SubClassOf AsthmaFrequency and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf DecreasedGeneExpression, \nFalse
BiologicalMeasure SubClassOf PharmacodynamicMeasure, \nFalse
BiologicalMeasure SubClassOf ModerateRemission, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and ModerateRemission and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf TissueMeasure, \nFalse
BiologicalMeasure SubClassOf MontgomeryAsbergDepressionRating, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and MontgomeryAsbergDepressionRating and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf HighReductionInChildDepressionScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInChildDepressionScore and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ZeroRemission, \nFalse
BiologicalMeasure SubClassOf DoseFrequency, False
BiologicalMeasure SubClassOf HamiltonAnxietyScoreDifference, \nFalse
BiologicalMeasure SubClassOf DrugEfficacy, \nFalse
BiologicalMeasure SubClassOf WeightMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency and WeightMeasure, \nHere
BiologicalMeasure SubClassOf CoagulationProfile, \nTrue
BiologicalMeasure SubClassOf CoagulationProfile and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf LowReductionInHamiltonDepressionScore, \nFalse
BiologicalMeasure SubClassOf BloodPressure, \nTrue
BiologicalMeasure SubClassOf BloodPressure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf PulmonaryFunctionMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PulmonaryFunctionMeasure and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf SatietyIncrease, False
BiologicalMeasure SubClassOf DiseaseSusceptibilityOdds, \nFalse
BiologicalMeasure SubClassOf LowHamiltonDepressionScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and LowHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf BoneMineralDensity, \nTrue
BiologicalMeasure SubClassOf BoneMineralDensity and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf NormalGeneExpression, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and NormalGeneExpression and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ReninAngiotensinSystemMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and ReninAngiotensinSystemMeasure and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf BloodSerumProteinCount, False
BiologicalMeasure SubClassOf AnxietyMeasure, \nTrue
BiologicalMeasure SubClassOf AnxietyMeasure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf HamiltonDepressionScore, \nFalse
BiologicalMeasure SubClassOf SideEffectRate, \nFalse
BiologicalMeasure SubClassOf DepressionMeasure, \nTrue
BiologicalMeasure SubClassOf DepressionMeasure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf GeneExpression, \nTrue
BiologicalMeasure SubClassOf GeneExpression and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf Dose, \nTrue
BiologicalMeasure SubClassOf Dose and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf SatietyMeasure, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency and SatietyMeasure, \nHere
BiologicalMeasure SubClassOf LowerDiseaseSusceptibilityOdds, \nFalse
BiologicalMeasure SubClassOf SideEffectFrequency, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency and SideEffectFrequency, \nHere
BiologicalMeasure SubClassOf MyocardialInfarctionFrequency, \nFalse
BiologicalMeasure SubClassOf ZeroDrugEfficacy, \nFalse
BiologicalMeasure SubClassOf Satiety, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and Satiety and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ClinicalOutcomeMeasure, \nTrue
BiologicalMeasure SubClassOf ClinicalOutcomeMeasure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf LipidProfile, \nFalse
BiologicalMeasure SubClassOf BodyMassIndexDecrease, \nFalse
BiologicalMeasure SubClassOf HighDrugEfficacy, \nTrue
BiologicalMeasure SubClassOf HighDrugEfficacy and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf BodyMassIndexIncrease, False
BiologicalMeasure SubClassOf _24HourBloodPressure, False
BiologicalMeasure SubClassOf HighReductionInHamiltonDepressionScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf BodyMassIndex, \nFalse
BiologicalMeasure SubClassOf DrugEfficacyMeasure, \nFalse
BiologicalMeasure SubClassOf BiophysicalMeasure, \nTrue
BiologicalMeasure SubClassOf BiophysicalMeasure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ChildDepressionScoreDifference, \nFalse
BiologicalMeasure SubClassOf LowReductionInHamiltonAnxietyScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and LowReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ChildDepressionMeasure, \nFalse
BiologicalMeasure SubClassOf HamiltonDepressionScoreDifference, \nFalse
BiologicalMeasure SubClassOf HighRemissionOddsRatio, \nFalse
BiologicalMeasure SubClassOf LowDrugEfficacy, False
BiologicalMeasure SubClassOf ErythromycinClearanceMeasure, \nTrue
BiologicalMeasure SubClassOf ErythromycinClearanceMeasure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf LowReductionInMontgomeryAsbergDepressionRating, \nFalse
BiologicalMeasure SubClassOf ModerateReductionInChildDepressionScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ASAAConcentration, \nTrue
BiologicalMeasure SubClassOf ASAAConcentration and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ModerateReductionInHamiltonDepressionScore, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonDepressionScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf SimilarRemissionOddsRatio, \nTrue
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency and SimilarRemissionOddsRatio, \nHere
BiologicalMeasure SubClassOf EventFreeSurvivalTime, \nTrue
BiologicalMeasure SubClassOf EventFreeSurvivalTime and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf LowRemissionOddsRatio, \nFalse
BiologicalMeasure SubClassOf HomocysteineLevel, False
BiologicalMeasure SubClassOf SideEffectMeasure, False
BiologicalMeasure SubClassOf RemissionOddsRatio, \nFalse
BiologicalMeasure SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ForcedExperiatoryVolume and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf ExerciseResponse and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf GenotypeMeasure and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf HighReductionInHamiltonAnxietyScore and HighReductionInMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
BiologicalMeasure SubClassOf AirwayResponsivenessUsingMethacholine and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and RemissionFrequency and SatietyFrequency, \nHere
SatietyIncrease and TaxonomicMeasure SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating, \nTrue
SatietyIncrease and TaxonomicMeasure SubClassOf ChildDepressionScore, \nFalse
SatietyIncrease and TaxonomicMeasure SubClassOf MolecularMeasure, \nTrue
SatietyIncrease SubClassOf MolecularMeasure, \nTrue
SatietyIncrease SubClassOf ChildDepressionScore, \nFalse
SatietyIncrease SubClassOf RemissionFrequency, \nTrue
SatietyIncrease SubClassOf MolecularMeasure and RemissionFrequency, \nTrue
SatietyIncrease SubClassOf SatietyFrequency, \nTrue
SatietyIncrease SubClassOf MolecularMeasure and RemissionFrequency and SatietyFrequency, \nTrue
SatietyIncrease SubClassOf ModerateReductionInHamiltonAnxietyScore, \nFalse
SatietyIncrease SubClassOf ASAAConcentrationIncrease, \nTrue
SatietyIncrease SubClassOf ASAAConcentrationIncrease and MolecularMeasure and RemissionFrequency and SatietyFrequency, \nTrue
SatietyIncrease SubClassOf ERVisitFrequency, \nTrue
