Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and InMatureCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
AnimalCell SubClassOf Cell, True
AnimalCell SubClassOf SclerenchymaCell, True
AnimalCell SubClassOf LeafCell, True
AnimalCell SubClassOf LeafCell and SclerenchymaCell, True
AnimalCell SubClassOf Erythrocyte, True
AnimalCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
AnimalCell SubClassOf PhotosyntheticCell, True
AnimalCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf CirculatingCell, True
AnimalCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf PlantCell, True
AnimalCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf CellByClass, True
AnimalCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf MatureCell, True
AnimalCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf Miocyte, True
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf InMatureCell, True
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf Osteocyte, True
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf ChondroBlast, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf MioBlast, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf CellByDevelopmentStage, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf PhotoreceptorCell, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf CellByOrganism, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf ElectricallyActiveCell, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
AnimalCell SubClassOf StructuralCell, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
AnimalCell SubClassOf Neuron, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
AnimalCell SubClassOf ChondroCyte, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True or
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and PhotoreceptorCell SubClassOf MatureCell, \nTrue
CellByDevelopmentStage and PhotoreceptorCell SubClassOf SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf LeafCell, True
CellByDevelopmentStage SubClassOf LeafCell and SclerenchymaCell, True
CellByDevelopmentStage SubClassOf Erythrocyte, True
CellByDevelopmentStage SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf PhotosyntheticCell, True
CellByDevelopmentStage SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CirculatingCell, True
CellByDevelopmentStage SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf PlantCell, True
CellByDevelopmentStage SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByClass, True
CellByDevelopmentStage SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf MatureCell, True
CellByDevelopmentStage SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell, True
CellByDevelopmentStage SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Cell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Miocyte, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf InMatureCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Osteocyte, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf ChondroBlast, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf MioBlast, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf PhotoreceptorCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByOrganism, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf ElectricallyActiveCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf StructuralCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf Neuron, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf ChondroCyte, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
StructuralCell SubClassOf PlantCell, True
StructuralCell SubClassOf SclerenchymaCell, True
StructuralCell SubClassOf LeafCell, True
StructuralCell SubClassOf LeafCell and SclerenchymaCell, True
StructuralCell SubClassOf Erythrocyte, True
StructuralCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf PhotosyntheticCell, True
StructuralCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CirculatingCell, True
StructuralCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CellByClass, True
StructuralCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf MatureCell, True
StructuralCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf AnimalCell, True
StructuralCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Cell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Miocyte, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf InMatureCell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Osteocyte, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf ChondroBlast, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf MioBlast, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CellByDevelopmentStage, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf PhotoreceptorCell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf CellByOrganism, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf ElectricallyActiveCell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Neuron, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf ChondroCyte, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell and Neuron SubClassOf PhotosyntheticCell, \nFalse
PhotoreceptorCell and PhotosyntheticCell SubClassOf StructuralCell, True
PhotoreceptorCell and PhotosyntheticCell SubClassOf SclerenchymaCell, True
PhotosyntheticCell SubClassOf SclerenchymaCell, True
PhotosyntheticCell SubClassOf LeafCell, True
PhotosyntheticCell SubClassOf LeafCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf Erythrocyte, True
PhotosyntheticCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf CirculatingCell, True
PhotosyntheticCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf PlantCell, True
PhotosyntheticCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf CellByClass, True
PhotosyntheticCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf MatureCell, True
PhotosyntheticCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf AnimalCell, True
PhotosyntheticCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf Cell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf Miocyte, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf InMatureCell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf Osteocyte, False
PhotosyntheticCell SubClassOf ChondroBlast, \nFalse
PhotosyntheticCell SubClassOf MioBlast, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf CellByDevelopmentStage, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf PhotoreceptorCell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf CellByOrganism, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf ElectricallyActiveCell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf StructuralCell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
PhotosyntheticCell SubClassOf Neuron, False
PhotosyntheticCell SubClassOf ChondroCyte, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nHere
Neuron and PhotoreceptorCell SubClassOf Miocyte, True
Neuron and PhotoreceptorCell SubClassOf SclerenchymaCell, \nFalse
Neuron and PhotoreceptorCell SubClassOf LeafCell, True
PhotoreceptorCell SubClassOf LeafCell, True
PhotoreceptorCell SubClassOf SclerenchymaCell, \nFalse
PhotoreceptorCell SubClassOf Erythrocyte, True
PhotoreceptorCell SubClassOf Erythrocyte and LeafCell, \nFalse
PhotoreceptorCell SubClassOf PhotosyntheticCell, True
PhotoreceptorCell SubClassOf LeafCell and PhotosyntheticCell, True
PhotoreceptorCell SubClassOf CirculatingCell, \nFalse
PhotoreceptorCell SubClassOf PlantCell, True
PhotoreceptorCell SubClassOf LeafCell and PhotosyntheticCell and PlantCell, True
PhotoreceptorCell SubClassOf CellByClass, True
PhotoreceptorCell SubClassOf CellByClass and LeafCell and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf MatureCell, True
PhotoreceptorCell SubClassOf CellByClass and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf AnimalCell, True
PhotoreceptorCell SubClassOf AnimalCell and CellByClass and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf Cell, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf Miocyte, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf InMatureCell, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf Osteocyte, False
PhotoreceptorCell SubClassOf ChondroBlast, \nFalse
PhotoreceptorCell SubClassOf MioBlast, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf CellByDevelopmentStage, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf CellByOrganism, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf ElectricallyActiveCell, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
PhotoreceptorCell SubClassOf StructuralCell, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
PhotoreceptorCell SubClassOf Neuron, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
PhotoreceptorCell SubClassOf ChondroCyte, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
CellByClass SubClassOf MioBlast, True
CellByClass SubClassOf SclerenchymaCell, True
CellByClass SubClassOf LeafCell, True
CellByClass SubClassOf LeafCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf Erythrocyte, True
CellByClass SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf PhotosyntheticCell, True
CellByClass SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf CirculatingCell, \nTrue
CellByClass SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf PlantCell, True
