BallGame and FootballTeam SubClassOf Player, True
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some FootballTeam)'?, True
Can Team be considered a subcategory of 'BallGame that is also FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some FootballTeam)'?, \nFalse
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some (FootballTeam that is also Thing))'?, \nFalse
Can Team be considered a subcategory of 'Team'?, True
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some (FootballTeam that is also Team))'?, \nFalse
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some (FootballTeam that is also Player))'?, \nFalse
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some (FootballTeam that is also Game))'?, \nFalse
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some (Football that is also FootballTeam))'?, \nFalse
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some (FootballTeam that is also Person))'?, True
Can Team be considered a subcategory of 'FootballTeam that is also Game that is also Person that is also Player that is also Thing that is also something that (managed_by some (BallGame that is also FootballTeam that is also Person))'?, False.
Can FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Thing that is also something that (managed_by some (FootballTeam that is also Person)) be considered a subcategory of 'FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Thing that is also something that (managed_by some (FootballTeam that is also Person))'?, True
Can BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person)) be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person))'?, \nFalse
Can FootballTeam be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person))'?, True
Can Thing be considered a subcategory of 'FootballTeam'?, True
Can Manager be considered a subcategory of 'FootballTeam'?, True
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person))'?, True
Can Thing be considered a subcategory of 'Player'?, True
Can Player be considered a subcategory of 'Player'?, True
Can FootballPlayer be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person))'?, False.
Can Football be considered a subcategory of 'Player'?, True
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person))'?, False.
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person that is also Thing))'?, \nFalse
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person that is also Team))'?, \nFalse
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballTeam that is also Person that is also Player))'?, True
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballPlayer that is also FootballTeam that is also Person that is also Player))'?, True
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (Football that is also FootballPlayer that is also FootballTeam that is also Person that is also Player))'?, \nFalse
Can Player be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (BallGame that is also FootballPlayer that is also FootballTeam that is also Person that is also Player))'?, \nFalse
Can BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballPlayer that is also FootballTeam that is also Person that is also Player)) be considered a subcategory of 'BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballPlayer that is also FootballTeam that is also Person that is also Player))'?, \nFalse
Can FootballPlayer be considered a subcategory of 'BallGame that is also Football that is also FootballPlayer that is also FootballTeam that is also Game that is also Manager that is also Person that is also Player that is also Team that is also Thing that is also something that (managed_by some (FootballPlayer that is also FootballTeam that is also Person that is also Player))'?, \nFalse
Can Player be considered a subcategory of 'something that plays some Football'?, True
Can Thing be considered a subcategory of 'something that plays some Football'?, \nFalse
Can Manager be considered a subcategory of 'something that plays some Football'?, True
Can Thing that is also something that (plays some Football) be considered a subcategory of 'Thing that is also something that (plays some Football)'?, True
Can Manager be considered a subcategory of 'Team'?, \nFalse
Can Manager be considered a subcategory of 'Player'?, \nFalse
Can Manager be considered a subcategory of 'FootballTeam that is also Thing that is also something that (plays some Football)'?, \nFalse
Can Manager be considered a subcategory of 'Game'?, \nFalse
Can Manager be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Manager be considered a subcategory of 'Football'?, \nFalse
Can Manager be considered a subcategory of 'Person'?, True
Can Manager be considered a subcategory of 'Person that is also Thing that is also something that (plays some Football)'?, \nFalse
Can Manager be considered a subcategory of 'BallGame'?, \nTrue
Can Manager be considered a subcategory of 'BallGame that is also Thing that is also something that (plays some Football)'?, True
Can Manager be considered a subcategory of 'Thing'?, True
Can Manager be considered a subcategory of 'BallGame that is also Thing that is also something that (plays some (Football that is also Thing))'?, \nFalse
Can Manager be considered a subcategory of 'Manager'?, True
Can Manager be considered a subcategory of 'BallGame that is also Thing that is also something that (plays some (Football that is also Manager))'?, \nTrue
Can Manager be considered a subcategory of 'BallGame that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager))'?, True
Can Manager be considered a subcategory of 'BallGame that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, True
Can Manager be considered a subcategory of 'BallGame that is also Thing that is also something that (plays some (BallGame that is also Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can BallGame that is also Manager that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person)) be considered a subcategory of 'BallGame that is also Manager that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, True
Can BallGame that is also Manager that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person)) be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can Thing be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can Person be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can BallGame be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can Manager be considered a subcategory of 'BallGame that is also FootballTeam that is also Manager that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can Manager be considered a subcategory of 'BallGame that is also Manager that is also Person that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can Manager be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person that is also Thing))'?, \nFalse
Can Manager be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Thing that is also something that (plays some (BallGame that is also Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can BallGame that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person)) be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can Thing be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, \nFalse
Can Person be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, True
Can Person be considered a subcategory of 'Thing'?, \nFalse
Can Person be considered a subcategory of 'Team'?, \nFalse
Can Person be considered a subcategory of 'Player'?, \nFalse
Can Person be considered a subcategory of 'FootballTeam'?, False
Can Person be considered a subcategory of 'Game'?, True
Can Game be considered a subcategory of 'Person'?, \nFalse
Can Game be considered a subcategory of 'BallGame that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person))'?, True
Can Game be considered a subcategory of 'Thing'?, \nFalse
Can Game be considered a subcategory of 'Manager'?, \nFalse
Can Game be considered a subcategory of 'Team'?, \nFalse
Can Game be considered a subcategory of 'Player'?, \nFalse
Can Game be considered a subcategory of 'FootballTeam'?, True
Can Game be considered a subcategory of 'Game'?, \nFalse
Can Game be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Game be considered a subcategory of 'Football'?, True
Can Football be considered a subcategory of 'Game'?, True
Can Game be considered a subcategory of 'BallGame'?, True
Can Person be considered a subcategory of 'something that plays_for some Player'?, \nFalse
Can Manager be considered a subcategory of 'something that plays_for some FootballTeam'?, \nFalse
Can FootballTeam be considered a subcategory of 'something that plays_for some Football'?, \nFalse
Can Team be considered a subcategory of 'something that plays_for some Football'?, \nFalse
Can Person be considered a subcategory of 'something that plays_for some Football'?, True
Can Thing be considered a subcategory of 'something that plays_for some Football'?, \nFalse
Can Manager be considered a subcategory of 'something that plays_for some Football'?, True
Can Thing that is also something that (plays_for some Football) be considered a subcategory of 'Thing that is also something that (plays_for some Football)'?, \nFalse
Can Thing be considered a subcategory of 'Thing that is also something that (plays_for some Football)'?, \nFalse
Can Person be considered a subcategory of 'Thing that is also something that (plays_for some Football)'?, False
Can BallGame be considered a subcategory of 'Thing that is also something that (plays_for some Football)'?, \nTrue
Can Thing be considered a subcategory of 'BallGame'?, False
Can Football be considered a subcategory of 'BallGame'?, True
Can BallGame be considered a subcategory of 'BallGame'?, True
Can BallGame be considered a subcategory of 'Team that is also Thing that is also something that (plays_for some Football)'?, \nFalse
Can BallGame be considered a subcategory of 'Player that is also Thing that is also something that (plays_for some Football)'?, \nFalse
Can BallGame be considered a subcategory of 'Game that is also Thing that is also something that (plays_for some Football)'?, \nFalse
Can BallGame be considered a subcategory of 'Football that is also Thing that is also something that (plays_for some Football)'?, \nFalse
Can BallGame be considered a subcategory of 'Thing that is also something that (plays_for some (Football that is also Thing))'?, \nFalse
Can BallGame be considered a subcategory of 'Thing that is also something that (plays_for some (Football that is also Team))'?, True
Can BallGame be considered a subcategory of 'Thing that is also something that (plays_for some (Football that is also Player that is also Team))'?, \nFalse
Can BallGame be considered a subcategory of 'Thing that is also something that (plays_for some (Football that is also Game that is also Team))'?, \nFalse
Can BallGame be considered a subcategory of 'Thing that is also something that (plays_for some (BallGame that is also Football that is also Team))'?, \nFalse
Can Manager that is also Thing that is also something that (plays_for some (Football that is also Team)) be considered a subcategory of 'Manager that is also Thing that is also something that (plays_for some (Football that is also Team))'?, \nFalse
Can Thing be considered a subcategory of 'Manager that is also Thing that is also something that (plays_for some (Football that is also Team))'?, True
Can Thing be considered a subcategory of 'Thing'?, True
Can Thing be considered a subcategory of 'Game'?, True
Can Game be considered a subcategory of 'Manager that is also Thing that is also something that (plays_for some (Football that is also Team))'?, True
Can BallGame that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person)) be considered a subcategory of 'BallGame that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person)) that is also something that (plays_for some (Football that is also Team))'?, \nFalse
Can Game be considered a subcategory of 'BallGame that is also Football that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (Football that is also FootballTeam that is also Manager that is also Person)) that is also something that (plays_for some (Football that is also Team))'?, \nFalse
Can Game be considered a subcategory of 'BallGame that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (BallGame that is also Football that is also FootballTeam that is also Manager that is also Person)) that is also something that (plays_for some (Football that is also Team))'?, True
Can Game be considered a subcategory of 'BallGame that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (BallGame that is also Football that is also FootballTeam that is also Manager that is also Person)) that is also something that (plays_for some (Football that is also FootballTeam that is also Team))'?, True
Can Game be considered a subcategory of 'BallGame that is also FootballTeam that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (BallGame that is also Football that is also FootballTeam that is also Manager that is also Person)) that is also something that (plays_for some (BallGame that is also Football that is also FootballTeam that is also Team))'?, False
Can BallGame that is also FootballTeam that is also Game that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (BallGame that is also Football that is also FootballTeam that is also Manager that is also Person)) be considered a subcategory of 'BallGame that is also FootballTeam that is also Game that is also Manager that is also Player that is also Team that is also Thing that is also something that (plays some (BallGame that is also Football that is also FootballTeam that is also Manager that is also Person)) that is also something that (plays_for some (Football that is also FootballTeam that is also Team))'?, \nFalse
