Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
MioBlast SubClassOf Cell and Erythrocyte and PhotosyntheticCell and PlantCell, \nTrue
MioBlast SubClassOf Miocyte, \nFalse
MioBlast SubClassOf InMatureCell, False
MioBlast SubClassOf Osteocyte, \nFalse
MioBlast SubClassOf ChondroBlast, \nTrue
MioBlast SubClassOf Cell and ChondroBlast and Erythrocyte and PhotosyntheticCell and PlantCell, \nHere
MioBlast SubClassOf CellByDevelopmentStage, \nFalse
MioBlast SubClassOf PhotoreceptorCell, \nFalse
MioBlast SubClassOf CellByOrganism, \nTrue
MioBlast SubClassOf Cell and CellByOrganism and Erythrocyte and PhotosyntheticCell and PlantCell, \nHere
MioBlast SubClassOf ElectricallyActiveCell, \nTrue
MioBlast SubClassOf Cell and ElectricallyActiveCell and Erythrocyte and PhotosyntheticCell and PlantCell, \nHere
MioBlast SubClassOf StructuralCell, \nTrue
MioBlast SubClassOf Cell and Erythrocyte and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
MioBlast SubClassOf Neuron, \nFalse
MioBlast SubClassOf ChondroCyte, \nFalse
MioBlast SubClassOf Cell and Erythrocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
MioBlast SubClassOf Cell and ChondroBlast and Erythrocyte and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
MioBlast SubClassOf Cell and CellByOrganism and ChondroBlast and Erythrocyte and PhotosyntheticCell and PlantCell and StructuralCell, \nHere
MioBlast SubClassOf Cell and ChondroBlast and ElectricallyActiveCell and Erythrocyte and PhotosyntheticCell and PlantCell and StructuralCell, \nHere
ElectricallyActiveCell and MatureCell SubClassOf InMatureCell, \nTrue
ElectricallyActiveCell and MatureCell SubClassOf SclerenchymaCell, \nFalse
ElectricallyActiveCell and MatureCell SubClassOf LeafCell, \nTrue
ElectricallyActiveCell SubClassOf LeafCell, \nTrue
ElectricallyActiveCell SubClassOf SclerenchymaCell, \nFalse
ElectricallyActiveCell SubClassOf Erythrocyte, \nFalse
ElectricallyActiveCell SubClassOf PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf LeafCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf CirculatingCell, \nFalse
ElectricallyActiveCell SubClassOf PlantCell, \nFalse
ElectricallyActiveCell SubClassOf CellByClass, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and LeafCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf MatureCell, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and LeafCell and MatureCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell, \nFalse
ElectricallyActiveCell SubClassOf Cell, \nFalse
ElectricallyActiveCell SubClassOf Miocyte, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and LeafCell and MatureCell and Miocyte and PhotosyntheticCell, \nHere
ElectricallyActiveCell SubClassOf InMatureCell, \nFalse
ElectricallyActiveCell SubClassOf Osteocyte, \nFalse
ElectricallyActiveCell SubClassOf ChondroBlast, \nFalse
ElectricallyActiveCell SubClassOf MioBlast, \nFalse
ElectricallyActiveCell SubClassOf CellByDevelopmentStage, \nFalse
ElectricallyActiveCell SubClassOf PhotoreceptorCell, \nFalse
ElectricallyActiveCell SubClassOf CellByOrganism, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and CellByOrganism and LeafCell and MatureCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf StructuralCell, \nFalse
ElectricallyActiveCell SubClassOf Neuron, \nFalse
ElectricallyActiveCell SubClassOf ChondroCyte, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and CellByOrganism and ChondroCyte and LeafCell and MatureCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and CellByOrganism and ChondroCyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell, \nHere
PhotoreceptorCell and PhotosyntheticCell SubClassOf StructuralCell, \nFalse
ChondroCyte and PhotosyntheticCell SubClassOf PhotoreceptorCell, \nFalse
ChondroCyte and CirculatingCell SubClassOf SclerenchymaCell, \nFalse
InMatureCell and Neuron SubClassOf Erythrocyte, \nFalse
CirculatingCell and Miocyte SubClassOf CellByClass, \nTrue
CirculatingCell and Miocyte SubClassOf SclerenchymaCell, \nFalse
CirculatingCell and Miocyte SubClassOf LeafCell, \nFalse
CirculatingCell and Miocyte SubClassOf Erythrocyte, \nTrue
CirculatingCell SubClassOf Erythrocyte, \nTrue
CirculatingCell SubClassOf SclerenchymaCell, \nTrue
CirculatingCell SubClassOf Erythrocyte and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf LeafCell, \nTrue
CirculatingCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf PhotosyntheticCell, \nFalse
CirculatingCell SubClassOf PlantCell, \nFalse
CirculatingCell SubClassOf CellByClass, \nTrue
CirculatingCell SubClassOf CellByClass and Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf MatureCell, \nTrue
CirculatingCell SubClassOf CellByClass and Erythrocyte and LeafCell and MatureCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf AnimalCell, \nFalse
CirculatingCell SubClassOf Cell, \nTrue
CirculatingCell SubClassOf Cell and CellByClass and Erythrocyte and LeafCell and MatureCell and SclerenchymaCell, \nHere
CirculatingCell SubClassOf Miocyte, \nTrue
CirculatingCell SubClassOf CellByClass and Erythrocyte and LeafCell and MatureCell and Miocyte and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf InMatureCell, \nTrue
CirculatingCell SubClassOf CellByClass and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf Osteocyte, \nTrue
CirculatingCell SubClassOf CellByClass and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf ChondroBlast, \nTrue
CirculatingCell SubClassOf CellByClass and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell, \nHere
CirculatingCell SubClassOf MioBlast, \nFalse
CirculatingCell SubClassOf CellByDevelopmentStage, \nTrue
CirculatingCell SubClassOf CellByClass and CellByDevelopmentStage and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf PhotoreceptorCell, \nTrue
CirculatingCell SubClassOf CellByClass and CellByDevelopmentStage and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and SclerenchymaCell, \nHere
CirculatingCell SubClassOf CellByOrganism, \nTrue
CirculatingCell SubClassOf CellByClass and CellByDevelopmentStage and CellByOrganism and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell, \nHere
CirculatingCell SubClassOf ElectricallyActiveCell, \nTrue
CirculatingCell SubClassOf CellByClass and CellByDevelopmentStage and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell, \nHere
CirculatingCell SubClassOf StructuralCell, \nFalse
CirculatingCell SubClassOf Neuron, False
CirculatingCell SubClassOf ChondroCyte, \nFalse
CirculatingCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell, \nHere
CirculatingCell SubClassOf CellByClass and CellByDevelopmentStage and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and SclerenchymaCell, \nHere
Neuron and PhotoreceptorCell SubClassOf Miocyte, \nFalse
Cell and Neuron SubClassOf StructuralCell, \nTrue
Cell and Neuron SubClassOf SclerenchymaCell, False
Cell and Neuron SubClassOf LeafCell, \nFalse
Cell and Neuron SubClassOf Erythrocyte, \nFalse
Cell and Neuron SubClassOf PhotosyntheticCell, \nFalse
Cell and Neuron SubClassOf CirculatingCell, \nTrue
Cell SubClassOf CirculatingCell, \nTrue
Cell SubClassOf Erythrocyte, False
Cell SubClassOf PlantCell, \nTrue
Cell SubClassOf CirculatingCell and PlantCell, \nTrue
Cell SubClassOf CellByClass, \nTrue
Cell SubClassOf CellByClass and CirculatingCell and PlantCell, \nTrue
Cell SubClassOf MatureCell, \nTrue
Cell SubClassOf CellByClass and CirculatingCell and MatureCell and PlantCell, \nTrue
Cell SubClassOf AnimalCell, \nTrue
Cell SubClassOf AnimalCell and CellByClass and CirculatingCell and MatureCell and PlantCell, \nHere
Cell SubClassOf Miocyte, \nTrue
Cell SubClassOf CellByClass and CirculatingCell and MatureCell and Miocyte and PlantCell, \nHere
Cell SubClassOf InMatureCell, \nTrue
Cell SubClassOf CellByClass and CirculatingCell and InMatureCell and MatureCell and PlantCell, \nHere
Cell SubClassOf Osteocyte, \nTrue
Cell SubClassOf CellByClass and CirculatingCell and MatureCell and Osteocyte and PlantCell, \nHere
Cell SubClassOf ChondroBlast, \nFalse
Cell SubClassOf MioBlast, False
Cell SubClassOf CellByDevelopmentStage, \nTrue
Cell SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and PlantCell, \nTrue
Cell SubClassOf PhotoreceptorCell, \nTrue
Cell SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and PhotoreceptorCell and PlantCell, \nHere
Cell SubClassOf CellByOrganism, \nTrue
Cell SubClassOf CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and MatureCell and PlantCell, \nHere
Cell SubClassOf ElectricallyActiveCell, \nTrue
Cell SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell, \nHere
Cell SubClassOf StructuralCell, \nFalse
Cell SubClassOf Neuron, \nTrue
Cell SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and Neuron and PlantCell, \nHere
Cell SubClassOf ChondroCyte, \nFalse
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and PlantCell, \nHere
Cell SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and Miocyte and PlantCell, \nHere
Cell SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and MatureCell and PlantCell, \nHere
Cell SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and Osteocyte and PlantCell, \nHere
ChondroCyte SubClassOf Osteocyte, \nTrue
ChondroCyte SubClassOf SclerenchymaCell, \nTrue
ChondroCyte SubClassOf LeafCell, \nFalse
ChondroCyte SubClassOf Erythrocyte, \nFalse
ChondroCyte SubClassOf PhotosyntheticCell, \nFalse
ChondroCyte SubClassOf CirculatingCell, \nTrue
ChondroCyte SubClassOf CirculatingCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf PlantCell, \nTrue
ChondroCyte SubClassOf CirculatingCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf CellByClass, \nTrue
ChondroCyte SubClassOf CellByClass and CirculatingCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf MatureCell, \nTrue
ChondroCyte SubClassOf CellByClass and CirculatingCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf AnimalCell, \nTrue
ChondroCyte SubClassOf AnimalCell and CellByClass and CirculatingCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf Cell, \nTrue
ChondroCyte SubClassOf Cell and CellByClass and CirculatingCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf Miocyte, \nFalse
ChondroCyte SubClassOf InMatureCell, \nFalse
ChondroCyte SubClassOf CellByClass and CirculatingCell and MatureCell and Osteocyte and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf ChondroBlast, \nTrue
ChondroCyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf MioBlast, \nTrue
ChondroCyte SubClassOf CellByClass and CirculatingCell and MatureCell and MioBlast and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByDevelopmentStage, \nTrue
ChondroCyte SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByOrganism, \nTrue
ChondroCyte SubClassOf CellByClass and CellByOrganism and CirculatingCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf ElectricallyActiveCell, \nTrue
ChondroCyte SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf StructuralCell, \nTrue
ChondroCyte SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
ChondroCyte SubClassOf Neuron, False
ChondroCyte SubClassOf AnimalCell and CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf Cell and CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and Osteocyte and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and MatureCell and MioBlast and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and MatureCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
Miocyte and Neuron SubClassOf AnimalCell, \nFalse
Erythrocyte and InMatureCell SubClassOf Neuron, \nFalse
Osteocyte and PhotoreceptorCell SubClassOf Neuron, \nFalse
CellByClass and Osteocyte SubClassOf Neuron, False
Cell and SclerenchymaCell SubClassOf Neuron, \nFalse
InMatureCell and MioBlast SubClassOf Neuron, \nTrue
InMatureCell SubClassOf Neuron, \nTrue
InMatureCell SubClassOf SclerenchymaCell, \nTrue
InMatureCell SubClassOf Neuron and SclerenchymaCell, \nTrue
InMatureCell SubClassOf LeafCell, False
InMatureCell SubClassOf PhotosyntheticCell, \nTrue
InMatureCell SubClassOf Neuron and PhotosyntheticCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CirculatingCell, \nFalse
InMatureCell SubClassOf PlantCell, \nFalse
InMatureCell SubClassOf CellByClass, \nTrue
InMatureCell SubClassOf CellByClass and Neuron and PhotosyntheticCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf MatureCell, \nFalse
InMatureCell SubClassOf AnimalCell, \nFalse
InMatureCell SubClassOf Cell, False
InMatureCell SubClassOf Miocyte, \nFalse
InMatureCell SubClassOf Osteocyte, \nTrue
InMatureCell SubClassOf CellByClass and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf ChondroBlast, \nTrue
InMatureCell SubClassOf CellByClass and ChondroBlast and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf MioBlast, \nTrue
InMatureCell SubClassOf CellByClass and MioBlast and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf CellByDevelopmentStage, \nFalse
InMatureCell SubClassOf PhotoreceptorCell, \nTrue
InMatureCell SubClassOf CellByClass and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf CellByOrganism, \nTrue
InMatureCell SubClassOf CellByClass and CellByOrganism and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf ElectricallyActiveCell, \nTrue
InMatureCell SubClassOf CellByClass and ElectricallyActiveCell and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf StructuralCell, \nFalse
InMatureCell SubClassOf ChondroCyte, \nFalse
InMatureCell SubClassOf CellByClass and ChondroBlast and ElectricallyActiveCell and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf CellByClass and ElectricallyActiveCell and MioBlast and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf CellByClass and ElectricallyActiveCell and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nHere
InMatureCell SubClassOf CellByClass and CellByOrganism and ElectricallyActiveCell and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
Miocyte and PhotosyntheticCell SubClassOf CirculatingCell, \nFalse
Miocyte and PhotoreceptorCell SubClassOf InMatureCell, \nTrue
Miocyte and PhotoreceptorCell SubClassOf SclerenchymaCell, \nFalse
Miocyte and PhotoreceptorCell SubClassOf LeafCell, \nFalse
Miocyte and PhotoreceptorCell SubClassOf Erythrocyte, \nFalse
Miocyte and PhotoreceptorCell SubClassOf PhotosyntheticCell, \nTrue
Miocyte SubClassOf PhotosyntheticCell, \nTrue
Miocyte SubClassOf LeafCell, \nFalse
Miocyte SubClassOf CirculatingCell, \nFalse
Miocyte SubClassOf PlantCell, \nFalse
Miocyte SubClassOf CellByClass, \nTrue
Miocyte SubClassOf CellByClass and PhotosyntheticCell, \nTrue
Miocyte SubClassOf MatureCell, \nTrue
Miocyte SubClassOf CellByClass and MatureCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf AnimalCell, \nTrue
Miocyte SubClassOf AnimalCell and CellByClass and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf Cell, \nTrue
Miocyte SubClassOf Cell and CellByClass and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf InMatureCell, \nTrue
Miocyte SubClassOf CellByClass and InMatureCell and MatureCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf Osteocyte, \nTrue
Miocyte SubClassOf CellByClass and InMatureCell and MatureCell and Osteocyte and PhotosyntheticCell, \nHere
Miocyte SubClassOf ChondroBlast, \nTrue
Miocyte SubClassOf CellByClass and ChondroBlast and InMatureCell and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf MioBlast, \nTrue
Miocyte SubClassOf CellByClass and InMatureCell and MatureCell and MioBlast and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByDevelopmentStage, \nTrue
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and InMatureCell and MatureCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf PhotoreceptorCell, \nTrue
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and InMatureCell and MatureCell and PhotoreceptorCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByOrganism, \nFalse
Miocyte SubClassOf ElectricallyActiveCell, \nTrue
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ElectricallyActiveCell and InMatureCell and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf StructuralCell, \nTrue
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and InMatureCell and MatureCell and PhotosyntheticCell and StructuralCell, \nHere
Miocyte SubClassOf Neuron, \nTrue
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and InMatureCell and MatureCell and Neuron and PhotosyntheticCell, \nHere
Miocyte SubClassOf ChondroCyte, \nTrue
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte and InMatureCell and MatureCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and ChondroCyte and InMatureCell and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and InMatureCell and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte and InMatureCell and MatureCell and Osteocyte and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and InMatureCell and MatureCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte and InMatureCell and MatureCell and MioBlast and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte and InMatureCell and MatureCell and PhotoreceptorCell and PhotosyntheticCell, \nHere
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte and ElectricallyActiveCell and InMatureCell and MatureCell and PhotosyntheticCell, \nTrue
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte and ElectricallyActiveCell and InMatureCell and MatureCell and PhotosyntheticCell and StructuralCell, \nHere
Miocyte SubClassOf CellByClass and CellByDevelopmentStage and ChondroCyte and ElectricallyActiveCell and InMatureCell and MatureCell and Neuron and PhotosyntheticCell, \nHere
PhotosyntheticCell SubClassOf PlantCell, \nTrue
PhotosyntheticCell SubClassOf SclerenchymaCell, \nFalse
PhotosyntheticCell SubClassOf Erythrocyte, \nFalse
PhotosyntheticCell SubClassOf CirculatingCell, \nTrue
PhotosyntheticCell SubClassOf CirculatingCell and PlantCell, \nTrue
PhotosyntheticCell SubClassOf CellByClass, \nTrue
PhotosyntheticCell SubClassOf CellByClass and CirculatingCell and PlantCell, \nTrue
PhotosyntheticCell SubClassOf MatureCell, \nFalse
PhotosyntheticCell SubClassOf AnimalCell, \nFalse
PhotosyntheticCell SubClassOf Cell, \nTrue
PhotosyntheticCell SubClassOf Cell and CellByClass and CirculatingCell and PlantCell, \nTrue
PhotosyntheticCell SubClassOf Miocyte, \nFalse
PhotosyntheticCell SubClassOf InMatureCell, \nFalse
PhotosyntheticCell SubClassOf Osteocyte, \nFalse
PhotosyntheticCell SubClassOf ChondroBlast, \nFalse
PhotosyntheticCell SubClassOf MioBlast, \nTrue
PhotosyntheticCell SubClassOf Cell and CellByClass and CirculatingCell and MioBlast and PlantCell, \nHere
PhotosyntheticCell SubClassOf CellByDevelopmentStage, \nTrue
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and PlantCell, \nTrue
PhotosyntheticCell SubClassOf PhotoreceptorCell, \nFalse
PhotosyntheticCell SubClassOf CellByOrganism, \nTrue
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and PlantCell, \nHere
PhotosyntheticCell SubClassOf ElectricallyActiveCell, \nFalse
PhotosyntheticCell SubClassOf StructuralCell, \nTrue
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and PlantCell and StructuralCell, \nTrue
PhotosyntheticCell SubClassOf Neuron, False
PhotosyntheticCell SubClassOf ChondroCyte, \nFalse
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and MioBlast and PlantCell and StructuralCell, \nHere
PhotosyntheticCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and PlantCell and StructuralCell, \nHere
CellByClass SubClassOf MioBlast, \nFalse
MatureCell and Neuron SubClassOf PlantCell, \nFalse
MatureCell and PhotoreceptorCell SubClassOf ChondroCyte, \nFalse
Neuron and PhotoreceptorCell SubClassOf SclerenchymaCell, \nFalse
MatureCell and Neuron SubClassOf ChondroBlast, \nFalse
MatureCell SubClassOf CirculatingCell, \nTrue
MatureCell SubClassOf LeafCell, \nTrue
MatureCell SubClassOf Erythrocyte, \nFalse
MatureCell SubClassOf PhotosyntheticCell, \nFalse
MatureCell SubClassOf CirculatingCell and LeafCell, \nTrue
MatureCell SubClassOf PlantCell, \nFalse
MatureCell SubClassOf CellByClass, \nTrue
MatureCell SubClassOf CellByClass and CirculatingCell and LeafCell, \nTrue
MatureCell SubClassOf AnimalCell, \nFalse
MatureCell SubClassOf Cell, \nTrue
MatureCell SubClassOf Cell and CellByClass and CirculatingCell and LeafCell, \nTrue
MatureCell SubClassOf Miocyte, \nTrue
MatureCell SubClassOf Cell and CellByClass and CirculatingCell and LeafCell and Miocyte, \nHere
MatureCell SubClassOf InMatureCell, \nTrue
MatureCell SubClassOf Cell and CellByClass and CirculatingCell and InMatureCell and LeafCell, \nHere
MatureCell SubClassOf Osteocyte, \nFalse
MatureCell SubClassOf ChondroBlast, \nTrue
MatureCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and LeafCell, \nHere
MatureCell SubClassOf MioBlast, \nFalse
MatureCell SubClassOf CellByDevelopmentStage, \nTrue
MatureCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and LeafCell, \nHere
MatureCell SubClassOf PhotoreceptorCell, \nTrue
MatureCell SubClassOf Cell and CellByClass and CirculatingCell and LeafCell and PhotoreceptorCell, \nHere
MatureCell SubClassOf CellByOrganism, False
MatureCell SubClassOf ElectricallyActiveCell, \nTrue
MatureCell SubClassOf Cell and CellByClass and CirculatingCell and ElectricallyActiveCell and LeafCell, \nHere
MatureCell SubClassOf StructuralCell, \nFalse
MatureCell SubClassOf Neuron, \nTrue
MatureCell SubClassOf Cell and CellByClass and CirculatingCell and LeafCell and Neuron, \nHere
MatureCell SubClassOf ChondroCyte, \nFalse
Neuron and PhotoreceptorCell SubClassOf MatureCell, \nTrue
Neuron and PhotoreceptorCell SubClassOf LeafCell, \nFalse
Neuron and PhotoreceptorCell SubClassOf Erythrocyte, \nFalse
Neuron and PhotoreceptorCell SubClassOf PhotosyntheticCell, \nFalse
Neuron and PhotoreceptorCell SubClassOf CirculatingCell, \nFalse
Neuron and PhotoreceptorCell SubClassOf PlantCell, \nFalse
Neuron and PhotoreceptorCell SubClassOf CellByClass, \nTrue
PhotoreceptorCell SubClassOf CellByClass, \nTrue
PhotoreceptorCell SubClassOf SclerenchymaCell, \nFalse
PhotoreceptorCell SubClassOf LeafCell, \nFalse
PhotoreceptorCell SubClassOf Erythrocyte, \nFalse
PhotoreceptorCell SubClassOf CirculatingCell, \nFalse
PhotoreceptorCell SubClassOf PlantCell, \nFalse
PhotoreceptorCell SubClassOf MatureCell, \nFalse
PhotoreceptorCell SubClassOf AnimalCell, \nFalse
PhotoreceptorCell SubClassOf Cell, \nTrue
PhotoreceptorCell SubClassOf Cell and CellByClass, \nTrue
PhotoreceptorCell SubClassOf Miocyte, \nFalse
PhotoreceptorCell SubClassOf InMatureCell, \nFalse
PhotoreceptorCell SubClassOf Osteocyte, \nFalse
PhotoreceptorCell SubClassOf ChondroBlast, \nFalse
PhotoreceptorCell SubClassOf MioBlast, \nFalse
PhotoreceptorCell SubClassOf CellByDevelopmentStage, \nFalse
PhotoreceptorCell SubClassOf CellByOrganism, \nTrue
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByOrganism, \nTrue
PhotoreceptorCell SubClassOf ElectricallyActiveCell, \nTrue
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByOrganism and ElectricallyActiveCell, \nTrue
PhotoreceptorCell SubClassOf StructuralCell, \nFalse
PhotoreceptorCell SubClassOf Neuron, \nFalse
PhotoreceptorCell SubClassOf ChondroCyte, \nFalse
