Crop and MarinePlant SubClassOf Arthropod,  False.
Mold SubClassOf Anemone,  False.
Mold SubClassOf Ciliate,  False.
Mold SubClassOf Zooplankton,  False.
Mold SubClassOf FloweringPlant,  False.
Mold SubClassOf Sporozoan,  False.
Mold SubClassOf IndigenousVegetation,  False.
Mold SubClassOf Nutrient,  False.
Mold SubClassOf IndigenousSpecies,  False.
Mold SubClassOf MarineInvertebrate,  False.
Mold SubClassOf Conifer,  False.
Mold SubClassOf Yeast,  False.
Mold SubClassOf Mammal,  False.
Mold SubClassOf Protist,  True.
Mold SubClassOf FungiTaxonomy and Protist,  True for
Mold SubClassOf Centipede,  False.
Mold SubClassOf Crop,  False.
Mold SubClassOf Algae,  False.
Mold SubClassOf Arthropod,  False.
Mold SubClassOf MarineBird,  False.
Mold SubClassOf Chlorophyll,  False.
Mold SubClassOf Mollusk,  False.
Mold SubClassOf Echinoderm,  False.
Mold SubClassOf Plant,  False.
Mold SubClassOf Amoebae,  False.
Mold SubClassOf Insect,  False.
Mold SubClassOf Bacteria,  True.
Mold SubClassOf Bacteria and FungiTaxonomy,  True for
Mold SubClassOf DeciduousVegetation,  False.
Mold SubClassOf Phytoplankton,  False.
Conifer and Plankton SubClassOf Canopy,  False for
Centipede and Crop SubClassOf Diatom,  False.
Mushroom and Zooplankton SubClassOf SlimeMold,  False.
Invertebrate and Jellyfish SubClassOf FloweringPlant,  False.
FloweringPlant and Microphyte SubClassOf Microbiota,  False.
Coral and Microalgae SubClassOf Arachnid,  False.
Jellyfish and Reptile SubClassOf Conifer,  False.
Crustacean and Echinoderm SubClassOf Dairy,  False.
Amoebae and Arthropod SubClassOf Litter,  False.
Chlorophyll and IndigenousSpecies SubClassOf Fish,  False.
EvergreenVegetation and Sponge SubClassOf MarineMammal,  False.
Flagellate and Mammal SubClassOf Pollen,  False.
Phytoplankton and SegmentedWorm SubClassOf ExoticSpecies,  False.
FungiTaxonomy and TreeRing SubClassOf Invertebrate,  False.
Centipede and Nutrient SubClassOf Arthropod,  Centip
Macrophyte and Mollusk SubClassOf Microalgae,  False.
Coccolithophore and Lichen SubClassOf MarineInvertebrate,  False:
Vertebrate SubClassOf DominantSpecies,  False.
Pollen and SlimeMold SubClassOf MicrobiotaTaxonomy,  True for
Diatom and Litter SubClassOf Animal,  False.
Foraminifer and Mammal SubClassOf BlueGreenAlgae,  False.
IndigenousSpecies and Mammal SubClassOf Crustacean,  False.
Jellyfish and Leaf SubClassOf Sporozoan,  False.
Lichen and MarineMicrobiota SubClassOf VegetationCover,  False.
Amoebae and Chlorophyll SubClassOf Macroalgae,  False.
Flatworm and Sporozoan SubClassOf Flagellate,  False.
Litter and Poultry SubClassOf Lichen,  False.
FungiTaxonomy and VegetationCover SubClassOf Sponge,  False.
Bird and Protist SubClassOf Yeast,  False.
Macrophyte and VegetationCover SubClassOf Centipede,  False.
DeciduousVegetation and TreeRing SubClassOf Fern,  False.
Liverwort and Vertebrate SubClassOf Flatworm,  False.
Insect and MarineAnimal SubClassOf Amphibian,  False.
MarineInvertebrate and Plant SubClassOf Amoebae,  False.
Human and MarineMammal SubClassOf DeciduousVegetation,  False.
MarineMicrobiota and Pollen SubClassOf Microphyte,  False.
Amphibian and Sponge SubClassOf Human,  False.
Animal and MarineBird SubClassOf BlueGreenAlgae,  False.
Algae and MarinePlant SubClassOf Coral,  False.
Canopy and Invertebrate SubClassOf Mushroom,  False.
Conifer and IndigenousVegetation SubClassOf Roundworm,  False.
Foraminifer and Fungi SubClassOf Canopy,  False.
Amphibian and Leaf SubClassOf Phytoplankton,  False.
Mammal and Reptile SubClassOf Macroalgae,  False.
MarineInvertebrate and Moss SubClassOf Yeast,  False.
Macroalgae and Poultry SubClassOf Millipede,  False.
DeciduousVegetation and MarineMammal SubClassOf VegetationCover,  False (
Amoebae and Yeast SubClassOf Flagellate,  False.
Algae and Dairy SubClassOf Arachnid,  False.
Ciliate and Mold SubClassOf Fungi,  True for
Lichen and VegetationCover SubClassOf Reptile,  False.
Radiolarian and TreeRing SubClassOf SlimeMold,  False.
Ciliate and Leaf SubClassOf Radiolarian,  False.
MarinePlant and Mushroom SubClassOf Zooplankton,  False.
Amphibian and Chlorophyll SubClassOf FloweringPlant,  False.
Animal and Microphyte SubClassOf SegmentedWorm,  False.
FloweringPlant and Yeast SubClassOf Mold,  False.
Conifer and Jellyfish SubClassOf Bacteria,  False.
Fungi and Roundworm SubClassOf Poultry,  False.
Diatom and Fern SubClassOf MarineAnimal,  False.
Crop and Fern SubClassOf Livestock,  False.
Echinoderm and MarineInvertebrate SubClassOf Insect,  False.
Anemone and Poultry SubClassOf Leaf,  False.
Coccolithophore and Diatom SubClassOf Jellyfish,  False.
Crop and Plankton SubClassOf DominantSpecies,  False.
Mollusk and Poultry SubClassOf ExoticVegetation,  False.
Diatom and Millipede SubClassOf SlimeMold,  False.
ExoticSpecies and VegetationSpecies SubClassOf Plant,  True for
MicrobiotaTaxonomy and Nutrient SubClassOf MarineMicrobiota,  True for
Livestock and Sporozoan SubClassOf Arachnid,  False.
Mammal and Radiolarian SubClassOf Algae,  False.
Arthropod and Dairy SubClassOf Radiolarian,  False.
Lichen and Mushroom SubClassOf Bird,  False.
ExoticSpecies and Macrophyte SubClassOf Poultry,  False.
Ciliate and SlimeMold SubClassOf EvergreenVegetation,  False.
Leaf and Mold SubClassOf Anemone,  False.
Canopy and Chlorophyll SubClassOf Amphibian,  False.
Bird and MarineMicrobiota SubClassOf IndigenousSpecies,  Bird is
Coccolithophore and Protist SubClassOf Dairy,  False.
Diatom and MarineMicrobiota SubClassOf MarineBird,  False.
Fern and Microbiota SubClassOf Flatworm,  False.
Algae and MarineAnimal SubClassOf Litter,  False.
Invertebrate and Macrophyte SubClassOf Mollusk,  False.
FloweringPlant and Poultry SubClassOf Fern,  False.
Liverwort and MarineMammal SubClassOf Mammal,  False.
Animal and Leaf SubClassOf MarineMammal,  False.
Phytoplankton and Reptile SubClassOf Fish,  False.
Microalgae and Vegetation SubClassOf Chlorophyll,  True (
Animal and Crustacean SubClassOf Pollen,  False.
Algae and DeciduousVegetation SubClassOf MarineInvertebrate,  False.
IndigenousSpecies and Radiolarian SubClassOf Moss,  False.
Arachnid and Conifer SubClassOf TreeRing,  False.
Flagellate and Fungi SubClassOf Ciliate,  False.
Macroalgae and Zooplankton SubClassOf EvergreenVegetation,  False.
Coral and Flatworm SubClassOf Vegetation,  False.
Coral and Moss SubClassOf Poultry,  False.
Foraminifer and Protist SubClassOf Macrophyte,  False.
Centipede and Flagellate SubClassOf Coccolithophore,  False.
Microbiota and Mollusk SubClassOf Crop,  False.
Bird and Roundworm SubClassOf Livestock,  False.
Crustacean and Macrophyte SubClassOf Coral,  False.
Dairy and Microalgae SubClassOf Crustacean,  False.
Liverwort and Microphyte SubClassOf ExoticSpecies,  False.
Conifer and MarineBird SubClassOf Crown,  False.
Phytoplankton and VegetationSpecies SubClassOf Human,  False.
Arachnid and Fish SubClassOf Macroalgae,  False.
Crustacean and Human SubClassOf Nutrient,  False.
Animal and Liverwort SubClassOf Invertebrate,  False.
Crop and Vegetation SubClassOf Moss,  False.
Fish and Roundworm SubClassOf Animal,  True for
Anemone and Zooplankton SubClassOf Ciliate,  False.
BlueGreenAlgae and Fern SubClassOf MarineInvertebrate,  False.
Human and Microphyte SubClassOf DominantSpecies,  False.
MarineBird and MarinePlant SubClassOf MarineMicrobiota,  False.
Flagellate and FungiTaxonomy SubClassOf Jellyfish,  False.
Human and MarineBird SubClassOf FloweringPlant,  False.
Amphibian and Liverwort SubClassOf Sponge,  False.
Canopy and Crustacean SubClassOf Arachnid,  False.
Dairy and Sponge SubClassOf SlimeMold,  False.
Livestock and Microbiota SubClassOf Radiolarian,  False.
MarineMammal and Plankton SubClassOf Anemone,  False.
Vegetation and VegetationSpecies SubClassOf Bird,  False.
Crop and IndigenousVegetation SubClassOf Algae,  False.
Ciliate and VegetationCover SubClassOf TreeRing,  False.
Invertebrate and TreeRing SubClassOf Microalgae,  False.
ExoticSpecies and Pollen SubClassOf Fish,  False.
IndigenousSpecies and VegetationCover SubClassOf FungiTaxonomy,  False.
MicrobiotaTaxonomy and Moss SubClassOf Ciliate,  False.
Chlorophyll and Litter SubClassOf Jellyfish,  False.
Crop and Sponge SubClassOf MarinePlant,  False.
Anemone and Arachnid SubClassOf DominantSpecies,  False.
FungiTaxonomy SubClassOf Fungi,  True.
FungiTaxonomy SubClassOf VegetationCover,  False.
FungiTaxonomy SubClassOf Microalgae,  False.
FungiTaxonomy SubClassOf Arachnid,  False.
FungiTaxonomy SubClassOf VegetationSpecies,  False.
FungiTaxonomy SubClassOf Livestock,  False.
FungiTaxonomy SubClassOf Sponge,  False.
FungiTaxonomy SubClassOf Flatworm,  False.
FungiTaxonomy SubClassOf Diatom,  False.
FungiTaxonomy SubClassOf MarinePlant,  False.
FungiTaxonomy SubClassOf Moss,  False.
FungiTaxonomy SubClassOf Vertebrate,  False.
FungiTaxonomy SubClassOf Radiolarian,  False.
FungiTaxonomy SubClassOf Human,  False.
FungiTaxonomy SubClassOf MarineMicrobiota,  False.
FungiTaxonomy SubClassOf Animal,  False.
FungiTaxonomy SubClassOf Flagellate,  False.
FungiTaxonomy SubClassOf Poultry,  False.
FungiTaxonomy SubClassOf MarineMammal,  False.
FungiTaxonomy SubClassOf Amphibian,  False.
FungiTaxonomy SubClassOf Millipede,  False.
FungiTaxonomy SubClassOf Plankton,  False.
FungiTaxonomy SubClassOf Roundworm,  False.
FungiTaxonomy SubClassOf Microphyte,  False.
FungiTaxonomy SubClassOf SlimeMold,  False.
FungiTaxonomy SubClassOf Microbiota,  True.
FungiTaxonomy SubClassOf Fungi and Microbiota,  True for
FungiTaxonomy SubClassOf MicrobiotaTaxonomy,  True.
FungiTaxonomy SubClassOf Fungi and MicrobiotaTaxonomy,  True,
FungiTaxonomy SubClassOf Coccolithophore,  False.
FungiTaxonomy SubClassOf Lichen,  False.
FungiTaxonomy SubClassOf Leaf,  False.
FungiTaxonomy SubClassOf Pollen,  False.
FungiTaxonomy SubClassOf Mushroom,  True.
FungiTaxonomy SubClassOf Fungi and MicrobiotaTaxonomy and Mushroom,  True for
FungiTaxonomy SubClassOf Fish,  False.
FungiTaxonomy SubClassOf Reptile,  False.
FungiTaxonomy SubClassOf MarineAnimal,  False.
FungiTaxonomy SubClassOf Macroalgae,  False.
FungiTaxonomy SubClassOf Foraminifer,  False.
FungiTaxonomy SubClassOf Dairy,  False.
FungiTaxonomy SubClassOf Liverwort,  False.
FungiTaxonomy SubClassOf Crustacean,  False.
FungiTaxonomy SubClassOf Canopy,  False.
FungiTaxonomy SubClassOf Coral,  False.
FungiTaxonomy SubClassOf ExoticVegetation,  False.
FungiTaxonomy SubClassOf Macrophyte,  False.
FungiTaxonomy SubClassOf SegmentedWorm,  False.
FungiTaxonomy SubClassOf LivingThing,  True.
FungiTaxonomy SubClassOf Fungi and LivingThing and MicrobiotaTaxonomy,  True for
FungiTaxonomy SubClassOf Bird,  False.
FungiTaxonomy SubClassOf Fern,  False.
FungiTaxonomy SubClassOf DominantSpecies,  False.
FungiTaxonomy SubClassOf BlueGreenAlgae,  False.
FungiTaxonomy SubClassOf EvergreenVegetation,  False.
FungiTaxonomy SubClassOf TreeRing,  False.
FungiTaxonomy SubClassOf Vegetation,  False.
FungiTaxonomy SubClassOf ExoticSpecies,  False.
FungiTaxonomy SubClassOf Litter,  False.
FungiTaxonomy SubClassOf Crown,  False.
FungiTaxonomy SubClassOf Jellyfish,  False.
FungiTaxonomy SubClassOf Invertebrate,  False.
FungiTaxonomy SubClassOf Anemone,  False.
FungiTaxonomy SubClassOf Ciliate,  False.
FungiTaxonomy SubClassOf Zooplankton,  False.
FungiTaxonomy SubClassOf FloweringPlant,  False.
FungiTaxonomy SubClassOf Sporozoan,  False.
FungiTaxonomy SubClassOf IndigenousVegetation,  False.
FungiTaxonomy SubClassOf Nutrient,  False.
FungiTaxonomy SubClassOf IndigenousSpecies,  False.
FungiTaxonomy SubClassOf MarineInvertebrate,  False.
FungiTaxonomy SubClassOf Conifer,  False.
FungiTaxonomy SubClassOf Yeast,  False.
FungiTaxonomy SubClassOf Mammal,  False.
FungiTaxonomy SubClassOf Protist,  False.
FungiTaxonomy SubClassOf Centipede,  False.
FungiTaxonomy SubClassOf Crop,  False.
FungiTaxonomy SubClassOf Algae,  False.
FungiTaxonomy SubClassOf Arthropod,  False.
FungiTaxonomy SubClassOf MarineBird,  False.
FungiTaxonomy SubClassOf Chlorophyll,  False.
FungiTaxonomy SubClassOf Mollusk,  False.
FungiTaxonomy SubClassOf Echinoderm,  False.
FungiTaxonomy SubClassOf Plant,  False.
FungiTaxonomy SubClassOf Amoebae,  False.
FungiTaxonomy SubClassOf Insect,  False.
FungiTaxonomy SubClassOf Mold,  True.
FungiTaxonomy SubClassOf Fungi and MicrobiotaTaxonomy and Mold,  True:
FungiTaxonomy SubClassOf Bacteria,  False.
FungiTaxonomy SubClassOf DeciduousVegetation,  False.
FungiTaxonomy SubClassOf Phytoplankton,  False.
FungiTaxonomy SubClassOf Fungi and Microbiota and MicrobiotaTaxonomy,  True for
Arthropod and Centipede SubClassOf Bird,  False.
Fish and Microalgae SubClassOf Vertebrate,  False.
Bacteria and Crown SubClassOf Arachnid,  False.
Flatworm and Zooplankton SubClassOf MicrobiotaTaxonomy,  False.
Microbiota and Millipede SubClassOf Phytoplankton,  False.
Mollusk and Plankton SubClassOf Lichen,  False.
Nutrient and Roundworm SubClassOf Flatworm,  False.
BlueGreenAlgae and Coccolithophore SubClassOf Millipede,  False.
Fungi and MarineBird SubClassOf Dairy,  False.
Foraminifer and Sporozoan SubClassOf MarineBird,  False.
Dairy and MarinePlant SubClassOf Liverwort,  False.
Leaf and Litter SubClassOf Insect,  False.
Crustacean and Lichen SubClassOf Litter,  False.
Bacteria and Dairy SubClassOf IndigenousVegetation,  False.
Conifer and DominantSpecies SubClassOf Invertebrate,  False.
MarineAnimal and Microphyte SubClassOf Arthropod,  False.
Centipede and FungiTaxonomy SubClassOf Mushroom,  False.
Centipede and Liverwort SubClassOf Human,  False.
Animal and Bird SubClassOf Canopy,  False.
Nutrient and Roundworm SubClassOf MicrobiotaTaxonomy,  False.
Microalgae and Vertebrate SubClassOf Diatom,  False.
Mushroom and Pollen SubClassOf Roundworm,  False.
Algae and EvergreenVegetation SubClassOf Millipede,  False.
Jellyfish and Zooplankton SubClassOf MarineBird,  False.
Arachnid and Echinoderm SubClassOf Reptile,  False.
Millipede and Moss SubClassOf SlimeMold,  False.
ExoticSpecies and Pollen SubClassOf Radiolarian,  False.
Fern and IndigenousVegetation SubClassOf Flatworm,  False.
Arachnid and Insect SubClassOf SegmentedWorm,  False.
Sponge and Vertebrate SubClassOf Algae,  False.
Pollen and SegmentedWorm SubClassOf Bacteria,  False,
DominantSpecies and MarinePlant SubClassOf Sponge,  False.
Litter and Reptile SubClassOf Yeast,  False.
Echinoderm and IndigenousVegetation SubClassOf Centipede,  False.
Livestock and Moss SubClassOf Fern,  False.
Amphibian and Bird SubClassOf Poultry,  False.
Arachnid and Macroalgae SubClassOf Microphyte,  False.
EvergreenVegetation and TreeRing SubClassOf Leaf,  False.
Coral and Jellyfish SubClassOf MarineAnimal,  True.
Coral and Jellyfish SubClassOf VegetationCover,  False.
Coral and Jellyfish SubClassOf Microalgae,  False.
Coral and Jellyfish SubClassOf Fungi,  False.
Coral and Jellyfish SubClassOf Arachnid,  False.
Coral and Jellyfish SubClassOf VegetationSpecies,  False.
Coral and Jellyfish SubClassOf Sponge,  False.
Coral and Jellyfish SubClassOf Flatworm,  False.
Coral and Jellyfish SubClassOf Diatom,  False.
Coral and Jellyfish SubClassOf FungiTaxonomy,  False.
Coral and Jellyfish SubClassOf MarinePlant,  False.
Coral and Jellyfish SubClassOf Moss,  False.
Coral and Jellyfish SubClassOf Vertebrate,  False.
Coral and Jellyfish SubClassOf Radiolarian,  False.
Coral and Jellyfish SubClassOf Human,  False.
Coral and Jellyfish SubClassOf MarineMicrobiota,  False.
Coral and Jellyfish SubClassOf Flagellate,  False.
Coral and Jellyfish SubClassOf Poultry,  False.
Coral and Jellyfish SubClassOf MarineMammal,  False.
Coral and Jellyfish SubClassOf Amphibian,  False.
Coral and Jellyfish SubClassOf Millipede,  False.
Coral and Jellyfish SubClassOf Plankton,  True.
Coral SubClassOf Plankton,  False.
Jellyfish SubClassOf Fish and Plankton,  Jelly
Jellyfish SubClassOf MarineAnimal and Plankton,  True for
Jellyfish SubClassOf LivingThing and Plankton,  True for
Jellyfish SubClassOf ExoticSpecies and Plankton,  True for
Jellyfish SubClassOf Invertebrate and Plankton,  True for
Jellyfish SubClassOf Plankton and Zooplankton,  True.
Jellyfish SubClassOf IndigenousSpecies and Plankton and Zooplankton,  True:
Jellyfish SubClassOf MarineInvertebrate and Plankton and Zooplankton,  True for
Jellyfish SubClassOf Plankton and Protist and Zooplankton,  True for
Jellyfish SubClassOf Echinoderm and Plankton and Zooplankton,  True:
Jellyfish SubClassOf Animal and Fish and MarineAnimal and Plankton and Protist and Zooplankton,  Here are
Jellyfish SubClassOf Animal and Fish and LivingThing and Plankton and Protist and Zooplankton,  Here are
Jellyfish SubClassOf Animal and ExoticSpecies and Fish and Plankton and Protist and Zooplankton,  Here are
Jellyfish SubClassOf Animal and Fish and Invertebrate and Plankton and Protist and Zooplankton,  Here are
Jellyfish SubClassOf Animal and Fish and IndigenousSpecies and Plankton and Protist and Zooplankton,  True for
Jellyfish SubClassOf Animal and Fish and MarineInvertebrate and Plankton and Protist and Zooplankton,  Here are
Jellyfish SubClassOf Animal and Echinoderm and Fish and Plankton and Protist and Zooplankton,  Here are
Microalgae and Yeast SubClassOf DeciduousVegetation,  False.
Bacteria and Protist SubClassOf Coral,  False.
Chlorophyll and Vertebrate SubClassOf Pollen,  False.
Microbiota and Sponge SubClassOf ExoticSpecies,  False.
DeciduousVegetation and Poultry SubClassOf Plant,  False.
Litter and Radiolarian SubClassOf Sponge,  False.
Bird and Microphyte SubClassOf Phytoplankton,  False.
Flatworm and MarineBird SubClassOf Vertebrate,  True for
DeciduousVegetation and Diatom SubClassOf Yeast,  False.
Crop and FungiTaxonomy SubClassOf Echinoderm,  False.
Human and MarineAnimal SubClassOf Bird,  False.
Fish and Poultry SubClassOf Flagellate,  False.
FloweringPlant and Reptile SubClassOf EvergreenVegetation,  False.
Coral and Flagellate SubClassOf Dairy,  False.
Arthropod and Microbiota SubClassOf Amphibian,  False.
Coccolithophore and MarinePlant SubClassOf Poultry,  False.
Vegetation SubClassOf MarineAnimal,  False.
Mollusk and Roundworm SubClassOf Coccolithophore,  False.
SegmentedWorm and Zooplankton SubClassOf Fern,  False.
IndigenousSpecies and Invertebrate SubClassOf IndigenousVegetation,  False.
DominantSpecies and Human SubClassOf Mollusk,  False.
Poultry and VegetationSpecies SubClassOf Mold,  False.
DeciduousVegetation and MarineInvertebrate SubClassOf Mammal,  Decid
Radiolarian and Sporozoan SubClassOf Liverwort,  False.
Bacteria and MarineMicrobiota SubClassOf Macrophyte,  False.
Coccolithophore and Mammal SubClassOf TreeRing,  False.
Diatom and Fungi SubClassOf Insect,  False.
Crop and Lichen SubClassOf Foraminifer,  False.
Algae and ExoticSpecies SubClassOf Amoebae,  False.
Amoebae and Invertebrate SubClassOf Crustacean,  False.
FloweringPlant and Leaf SubClassOf Ciliate,  False.
Leaf and MicrobiotaTaxonomy SubClassOf MarinePlant,  False.
Reptile and VegetationCover SubClassOf BlueGreenAlgae,  False.
Invertebrate and Vegetation SubClassOf ExoticVegetation,  False.
BlueGreenAlgae and Roundworm SubClassOf Jellyfish,  False.
Lichen and Plankton SubClassOf Coccolithophore,  False.
Crown and MarineInvertebrate SubClassOf ExoticSpecies,  False.
Canopy and Insect SubClassOf IndigenousVegetation,  False.
Macrophyte and Pollen SubClassOf MarineAnimal,  False.
Anemone and Canopy SubClassOf Microalgae,  False.
Fungi and Macroalgae SubClassOf Nutrient,  False.
Human and Protist SubClassOf Crown,  False.
DominantSpecies and Sporozoan SubClassOf MarineMammal,  False.
Livestock and Mammal SubClassOf Macroalgae,  False.
Insect and MarineBird SubClassOf Invertebrate,  True for
Bacteria and VegetationCover SubClassOf Human,  False.
Amoebae and Crustacean SubClassOf Canopy,  False.
Ciliate and Foraminifer SubClassOf Diatom,  False.
Protist and Radiolarian SubClassOf MarineMicrobiota,  True:
Centipede and Sporozoan SubClassOf Phytoplankton,  False.
SlimeMold SubClassOf Jellyfish,  False.
Crown and Yeast SubClassOf MarinePlant,  False.
Insect and Microphyte SubClassOf Sponge,  False.
Microalgae and MicrobiotaTaxonomy SubClassOf Bird,  False.
Anemone and Mold SubClassOf Vertebrate,  False.
Conifer and Macroalgae SubClassOf Plant,  True for
Amoebae and Roundworm SubClassOf Echinoderm,  False.
Plant and SegmentedWorm SubClassOf Amphibian,  False for
Livestock and Mushroom SubClassOf Algae,  False.
Animal and Millipede SubClassOf Yeast,  False.
Phytoplankton and Zooplankton SubClassOf Leaf,  False.
Millipede and Mushroom SubClassOf Poultry,  False.
Echinoderm and Mammal SubClassOf EvergreenVegetation,  False.
MarinePlant and Mollusk SubClassOf Coral,  False.
Coccolithophore and Conifer SubClassOf Crustacean,  False.
Crustacean and IndigenousSpecies SubClassOf Amoebae,  False.
Dairy and Vegetation SubClassOf FungiTaxonomy,  False.
ExoticVegetation and Yeast SubClassOf MarinePlant,  False.
Diatom and MarineInvertebrate SubClassOf Vertebrate,  False.
TreeRing and VegetationSpecies SubClassOf Sporozoan,  False.
Fish and Nutrient SubClassOf BlueGreenAlgae,  False.
BlueGreenAlgae and Radiolarian SubClassOf Sponge,  False.
Flatworm and Vertebrate SubClassOf Phytoplankton,  False.
ExoticVegetation and SlimeMold SubClassOf VegetationSpecies,  I cannot
Chlorophyll and MarineMammal SubClassOf Lichen,  False.
Flagellate and Microphyte SubClassOf Flatworm,  False.
Dairy and Mollusk SubClassOf Yeast,  False.
Mold and Plant SubClassOf Echinoderm,  False.
VegetationCover and VegetationSpecies SubClassOf FloweringPlant,  True for
Bird and Fish SubClassOf SegmentedWorm,  False.
BlueGreenAlgae and MarinePlant SubClassOf Millipede,  False.
Liverwort and MarineMicrobiota SubClassOf SlimeMold,  False.
Flatworm and Litter SubClassOf Radiolarian,  False.
ExoticVegetation and MarineAnimal SubClassOf Anemone,  False.
Flatworm and Yeast SubClassOf Protist,  True for
Crustacean and Mollusk SubClassOf Insect,  False.
Arthropod and Plant SubClassOf Chlorophyll,  False.
BlueGreenAlgae and DeciduousVegetation SubClassOf Liverwort,  False.
Ciliate and Flagellate SubClassOf Macrophyte,  False.
Amphibian and SegmentedWorm SubClassOf Plankton,  False for
MarineMammal and Phytoplankton SubClassOf Crop,  False.
Amphibian and Microalgae SubClassOf MicrobiotaTaxonomy,  False.
Bacteria and Mammal SubClassOf Reptile,  False.
MarineBird and SegmentedWorm SubClassOf DominantSpecies,  False.
DominantSpecies and MarineMammal SubClassOf Fungi,  False.
Amoebae and MarineAnimal SubClassOf Bird,  False.
Arthropod and IndigenousVegetation SubClassOf SlimeMold,  False.
Centipede and Foraminifer SubClassOf Millipede,  False.
Bird and MarineMicrobiota SubClassOf Zooplankton,  Bird is
Microbiota and Nutrient SubClassOf Mammal,  False.
Moss and SlimeMold SubClassOf SegmentedWorm,  False.
BlueGreenAlgae and Pollen SubClassOf Radiolarian,  False.
EvergreenVegetation and Poultry SubClassOf Mold,  False.
Liverwort and MicrobiotaTaxonomy SubClassOf Insect,  False.
Anemone and Bird SubClassOf Poultry,  False.
Animal and Jellyfish SubClassOf Fern,  False.
Dairy and Roundworm SubClassOf Leaf,  False.
Amphibian and Mushroom SubClassOf Centipede,  False.
Echinoderm and Fungi SubClassOf Conifer,  False.
Anemone and Fish SubClassOf Pollen,  False.
MarinePlant and Plant SubClassOf Litter,  False.
Conifer and Millipede SubClassOf IndigenousVegetation,  False.
Flatworm and Pollen SubClassOf TreeRing,  False.
Crown and ExoticVegetation SubClassOf Microalgae,  False.
Fern and Yeast SubClassOf ExoticSpecies,  False.
Crop and MarineInvertebrate SubClassOf DeciduousVegetation,  False.
DominantSpecies and IndigenousVegetation SubClassOf Arthropod,  False.
Arachnid and Canopy SubClassOf Diatom,  False.
Human and MicrobiotaTaxonomy SubClassOf Invertebrate,  False.
Livestock and SlimeMold SubClassOf Echinoderm,  False.
Arachnid and Lichen SubClassOf MarineBird,  False.
Diatom and EvergreenVegetation SubClassOf Flagellate,  False.
MicrobiotaTaxonomy and VegetationSpecies SubClassOf Lichen,  False.
Mold and Mushroom SubClassOf Dairy,  False.
Bacteria and Chlorophyll SubClassOf Fern,  False.
ExoticSpecies and Radiolarian SubClassOf Flatworm,  False.
Dairy and SegmentedWorm SubClassOf IndigenousSpecies,  Dairy
Canopy and Invertebrate SubClassOf Mollusk,  False.
Jellyfish and MarineAnimal SubClassOf Chlorophyll,  False.
Arthropod and ExoticSpecies SubClassOf IndigenousVegetation,  False.
Ciliate and Mold SubClassOf Litter,  False.
Coral and Echinoderm SubClassOf TreeRing,  False.
MicrobiotaTaxonomy and SlimeMold SubClassOf Pollen,  False.
Crown and Plant SubClassOf MarineMammal,  False.
Crustacean and SegmentedWorm SubClassOf Microphyte,  False.
Livestock and MarineAnimal SubClassOf Foraminifer,  False.
Arachnid and Macrophyte SubClassOf MarineAnimal,  False.
Arachnid and Arthropod SubClassOf Crustacean,  False.
Flagellate and Mold SubClassOf Coral,  False.
Animal and Microalgae SubClassOf Crown,  False.
Bacteria and Phytoplankton SubClassOf Amoebae,  False.
EvergreenVegetation and SlimeMold SubClassOf BlueGreenAlgae,  False.
Crown and Mollusk SubClassOf Phytoplankton,  False.
Algae and DominantSpecies SubClassOf Mushroom,  False.
IndigenousSpecies and MarineAnimal SubClassOf Human,  False.
Anemone and Nutrient SubClassOf Canopy,  False.
Bird and Coccolithophore SubClassOf Vertebrate,  False.
Nutrient and TreeRing SubClassOf Roundworm,  False.
Liverwort and Phytoplankton SubClassOf Nutrient,  False.
Chlorophyll and Conifer SubClassOf Ciliate,  False.
Mushroom and Protist SubClassOf MarineMammal,  False.
Mammal and Poultry SubClassOf Microalgae,  False.
Crustacean and Lichen SubClassOf Animal,  False.
Canopy and Macrophyte SubClassOf MarineInvertebrate,  False.
Macrophyte and Microalgae SubClassOf Moss,  False.
Flagellate and Litter SubClassOf MarineMicrobiota,  I cannot
Algae and Vertebrate SubClassOf Arachnid,  False.
Phytoplankton and Protist SubClassOf MicrobiotaTaxonomy,  True.
Phytoplankton and Protist SubClassOf Fungi,  False.
Phytoplankton and Protist SubClassOf Arachnid,  False.
Phytoplankton and Protist SubClassOf Sponge,  False.
Phytoplankton and Protist SubClassOf Flatworm,  False.
Phytoplankton and Protist SubClassOf FungiTaxonomy,  False.
Phytoplankton and Protist SubClassOf Moss,  False.
Phytoplankton and Protist SubClassOf Vertebrate,  False.
Phytoplankton and Protist SubClassOf Radiolarian,  False.
Phytoplankton and Protist SubClassOf Human,  False.
Phytoplankton and Protist SubClassOf MarineMicrobiota,  True.
Protist SubClassOf MarineMicrobiota,  False.
Phytoplankton SubClassOf MarineMicrobiota and VegetationCover,  True for
Phytoplankton SubClassOf MarineMicrobiota and Microalgae,  True for
Phytoplankton SubClassOf MarineMicrobiota and VegetationSpecies,  True for
Phytoplankton SubClassOf MarineMicrobiota and Plankton,  True for
Phytoplankton SubClassOf MarineMicrobiota and Microphyte,  True for
Phytoplankton SubClassOf MarineMicrobiota and Microbiota,  True,
Phytoplankton SubClassOf MarineMicrobiota and Microbiota and MicrobiotaTaxonomy,  True for
Phytoplankton SubClassOf MarineAnimal and MarineMicrobiota and Microbiota,  True for
