Neuron and StructuralCell SubClassOf Erythrocyte, True
ChondroCyte SubClassOf Osteocyte, True
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf ChondroBlast, True
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf MioBlast, \nTrue
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf CellByDevelopmentStage, True
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf CellByOrganism, True
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf ElectricallyActiveCell, True
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ChondroCyte SubClassOf StructuralCell, True
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ChondroCyte SubClassOf Neuron, True
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
ChondroCyte SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Neuron and PlantCell SubClassOf LeafCell, \nFalse
MatureCell and MioBlast SubClassOf CirculatingCell, \nTrue
MatureCell and MioBlast SubClassOf SclerenchymaCell, True
MioBlast SubClassOf SclerenchymaCell, True
MioBlast SubClassOf LeafCell, True
MioBlast SubClassOf LeafCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf Erythrocyte, True
MioBlast SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
MioBlast SubClassOf PhotosyntheticCell, True
MioBlast SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
MioBlast SubClassOf CirculatingCell, True
MioBlast SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
MioBlast SubClassOf PlantCell, True
MioBlast SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
MioBlast SubClassOf CellByClass, True
MioBlast SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
MioBlast SubClassOf MatureCell, True
MioBlast SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf AnimalCell, True
MioBlast SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True.
MioBlast SubClassOf Cell, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf Miocyte, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf InMatureCell, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
MioBlast SubClassOf Osteocyte, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf ChondroBlast, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf CellByDevelopmentStage, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf PhotoreceptorCell, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
MioBlast SubClassOf CellByOrganism, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
MioBlast SubClassOf ElectricallyActiveCell, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MioBlast SubClassOf StructuralCell, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MioBlast SubClassOf Neuron, \nFalse
MioBlast SubClassOf ChondroCyte, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MioBlast SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ElectricallyActiveCell and PlantCell SubClassOf Cell, True
ElectricallyActiveCell and PlantCell SubClassOf SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf LeafCell, True
ElectricallyActiveCell SubClassOf LeafCell and SclerenchymaCell, True
ElectricallyActiveCell SubClassOf Erythrocyte, True
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
ElectricallyActiveCell SubClassOf PhotosyntheticCell, True
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf CirculatingCell, True
ElectricallyActiveCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
ElectricallyActiveCell SubClassOf PlantCell, True
ElectricallyActiveCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
ElectricallyActiveCell SubClassOf CellByClass, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf MatureCell, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell, True
ElectricallyActiveCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True.
ElectricallyActiveCell SubClassOf Cell, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf Miocyte, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf InMatureCell, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf Osteocyte, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
ElectricallyActiveCell SubClassOf ChondroBlast, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf MioBlast, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf CellByDevelopmentStage, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf PhotoreceptorCell, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
ElectricallyActiveCell SubClassOf CellByOrganism, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
ElectricallyActiveCell SubClassOf StructuralCell, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf Neuron, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf ChondroCyte, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
AnimalCell SubClassOf Cell, True
AnimalCell SubClassOf SclerenchymaCell, True
AnimalCell SubClassOf LeafCell, True
AnimalCell SubClassOf LeafCell and SclerenchymaCell, True
AnimalCell SubClassOf Erythrocyte, True
AnimalCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
AnimalCell SubClassOf PhotosyntheticCell, True
AnimalCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
AnimalCell SubClassOf CirculatingCell, True
AnimalCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
AnimalCell SubClassOf PlantCell, True
AnimalCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
AnimalCell SubClassOf CellByClass, True
AnimalCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
AnimalCell SubClassOf MatureCell, True
AnimalCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf Miocyte, True
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
AnimalCell SubClassOf InMatureCell, True
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf Osteocyte, True
AnimalCell SubClassOf Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf ChondroBlast, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf MioBlast, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf CellByDevelopmentStage, True
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
AnimalCell SubClassOf PhotoreceptorCell, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf CellByOrganism, True
AnimalCell SubClassOf Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
AnimalCell SubClassOf ElectricallyActiveCell, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
AnimalCell SubClassOf StructuralCell, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True.
AnimalCell SubClassOf Neuron, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
AnimalCell SubClassOf ChondroCyte, True
AnimalCell SubClassOf Cell and CellByClass and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True.
AnimalCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
AnimalCell SubClassOf Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and PhotoreceptorCell SubClassOf MatureCell, \nTrue
CellByDevelopmentStage and PhotoreceptorCell SubClassOf SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf SclerenchymaCell, True
CellByDevelopmentStage SubClassOf LeafCell, True
CellByDevelopmentStage SubClassOf LeafCell and SclerenchymaCell, True
CellByDevelopmentStage SubClassOf Erythrocyte, True
CellByDevelopmentStage SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
CellByDevelopmentStage SubClassOf PhotosyntheticCell, \nTrue
CellByDevelopmentStage SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CirculatingCell, True
CellByDevelopmentStage SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
CellByDevelopmentStage SubClassOf PlantCell, \nTrue
CellByDevelopmentStage SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByClass, \nTrue
CellByDevelopmentStage SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf MatureCell, True
CellByDevelopmentStage SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell, True
CellByDevelopmentStage SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Cell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Miocyte, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf InMatureCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf Osteocyte, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf ChondroBlast, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf MioBlast, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf PhotoreceptorCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByDevelopmentStage SubClassOf CellByOrganism, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByDevelopmentStage SubClassOf ElectricallyActiveCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByDevelopmentStage SubClassOf StructuralCell, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf Neuron, True
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf ChondroCyte, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CirculatingCell and Neuron SubClassOf PhotosyntheticCell, \nTrue
CirculatingCell and Neuron SubClassOf SclerenchymaCell, \nTrue
CirculatingCell SubClassOf SclerenchymaCell, True
CirculatingCell SubClassOf LeafCell, True
CirculatingCell SubClassOf LeafCell and SclerenchymaCell, True
CirculatingCell SubClassOf Erythrocyte, True
