Neuron and StructuralCell SubClassOf Erythrocyte,  False.
ChondroCyte SubClassOf SclerenchymaCell,  False.
ChondroCyte SubClassOf Erythrocyte,  False.
ChondroCyte SubClassOf PhotosyntheticCell,  False.
ChondroCyte SubClassOf CirculatingCell,  False.
ChondroCyte SubClassOf PlantCell,  False.
ChondroCyte SubClassOf CellByClass,  True.
ChondroCyte SubClassOf CellByClass and LeafCell,  True for
ChondroCyte SubClassOf MatureCell,  True.
ChondroCyte SubClassOf LeafCell and MatureCell,  True,
ChondroCyte SubClassOf AnimalCell,  False.
ChondroCyte SubClassOf Cell,  True.
ChondroCyte SubClassOf Cell and LeafCell and MatureCell,  True for
ChondroCyte SubClassOf Miocyte,  False.
ChondroCyte SubClassOf InMatureCell,  True.
ChondroCyte SubClassOf InMatureCell and LeafCell and MatureCell,  True,
ChondroCyte SubClassOf ChondroBlast,  False.
ChondroCyte SubClassOf MioBlast,  False.
ChondroCyte SubClassOf CellByDevelopmentStage,  True.
ChondroCyte SubClassOf CellByDevelopmentStage and InMatureCell and LeafCell and MatureCell,  True for
ChondroCyte SubClassOf CellByOrganism,  True.
ChondroCyte SubClassOf CellByOrganism and InMatureCell and LeafCell and MatureCell,  True:
ChondroCyte SubClassOf ElectricallyActiveCell,  False.
ChondroCyte SubClassOf StructuralCell,  True.
ChondroCyte SubClassOf InMatureCell and LeafCell and MatureCell and StructuralCell,  Here are
ChondroCyte SubClassOf Neuron,  False.
ChondroCyte SubClassOf CellByClass and InMatureCell and LeafCell and MatureCell,  True for
ChondroCyte SubClassOf Cell and InMatureCell and LeafCell and MatureCell,  True that
CellByClass and ElectricallyActiveCell SubClassOf Erythrocyte,  False.
LeafCell and StructuralCell SubClassOf Neuron,  False.
CellByOrganism and MatureCell SubClassOf AnimalCell,  False.
Miocyte and PlantCell SubClassOf Neuron,  False.
ChondroCyte and StructuralCell SubClassOf ChondroBlast,  False.
AnimalCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
InMatureCell and Osteocyte SubClassOf ChondroBlast,  False.
LeafCell and Neuron SubClassOf CellByDevelopmentStage,  True (
ChondroCyte and StructuralCell SubClassOf CellByDevelopmentStage,  True.
ChondroCyte and StructuralCell SubClassOf Miocyte,  False.
ChondroCyte and StructuralCell SubClassOf MioBlast,  False.
ChondroCyte SubClassOf CellByDevelopmentStage and LeafCell,  True for
ChondroCyte SubClassOf CellByClass and CellByDevelopmentStage,  True for
ChondroCyte SubClassOf CellByDevelopmentStage and MatureCell,  True,
ChondroCyte SubClassOf Cell and CellByDevelopmentStage and MatureCell,  1
ChondroCyte SubClassOf CellByDevelopmentStage and InMatureCell and MatureCell,  True for
ChondroCyte SubClassOf CellByDevelopmentStage and CellByOrganism and MatureCell,  True,
ChondroCyte SubClassOf CellByDevelopmentStage and CellByOrganism and MatureCell and StructuralCell,  True for
ChondroCyte SubClassOf CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and LeafCell and MatureCell,  True for
ChondroCyte SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and InMatureCell and LeafCell and MatureCell,  Here are
ChondroCyte SubClassOf CellByDevelopmentStage and CellByOrganism and InMatureCell and LeafCell and MatureCell and StructuralCell,  True for
CellByOrganism and InMatureCell SubClassOf MioBlast,  I cannot
MatureCell and PhotoreceptorCell SubClassOf ChondroCyte,  False.
Cell and CirculatingCell SubClassOf MioBlast,  False.
Cell and PhotosyntheticCell SubClassOf MioBlast,  False.
CellByClass and CellByDevelopmentStage SubClassOf StructuralCell,  I cannot
CirculatingCell and Miocyte SubClassOf Cell,  True.
CirculatingCell and Miocyte SubClassOf AnimalCell,  True,
Miocyte SubClassOf AnimalCell and MatureCell,  True for
Miocyte SubClassOf AnimalCell and Cell,  True.
Miocyte SubClassOf AnimalCell and Cell and InMatureCell,  True,
Miocyte SubClassOf AnimalCell and Cell and CellByDevelopmentStage and InMatureCell,  True for
Miocyte SubClassOf AnimalCell and Cell and CellByOrganism and InMatureCell,  1
Miocyte SubClassOf AnimalCell and Cell and ElectricallyActiveCell and InMatureCell,  True for
Miocyte SubClassOf AnimalCell and Cell and InMatureCell and StructuralCell,  True for
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell,  Here are
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell and StructuralCell,  Here are
CellByDevelopmentStage and CirculatingCell SubClassOf AnimalCell,  CellBy
CellByOrganism and CirculatingCell SubClassOf Neuron,  False.
Cell and ChondroBlast SubClassOf Neuron,  False.
AnimalCell and MatureCell SubClassOf Neuron,  False.
ElectricallyActiveCell and MioBlast SubClassOf ChondroCyte,  False.
Erythrocyte and MioBlast SubClassOf ChondroCyte,  False.
CellByOrganism SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and PlantCell SubClassOf PhotoreceptorCell,  False.
ChondroCyte and CirculatingCell SubClassOf PhotoreceptorCell,  False.
Cell and MatureCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and InMatureCell SubClassOf Neuron,  I cannot
ElectricallyActiveCell and Osteocyte SubClassOf Miocyte,  False.
Erythrocyte and PhotosyntheticCell SubClassOf Miocyte,  False.
Erythrocyte and SclerenchymaCell SubClassOf Miocyte,  False.
LeafCell and Osteocyte SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and Neuron SubClassOf LeafCell,  False.
ChondroCyte and MioBlast SubClassOf Neuron,  False.
LeafCell and SclerenchymaCell SubClassOf Neuron,  False.
CellByOrganism and Erythrocyte SubClassOf ChondroBlast,  False.
MatureCell and Neuron SubClassOf ChondroBlast,  False.
CirculatingCell and MioBlast SubClassOf ChondroBlast,  False.
CirculatingCell and MatureCell SubClassOf CellByClass,  True.
CirculatingCell and MatureCell SubClassOf SclerenchymaCell,  False.
CirculatingCell and MatureCell SubClassOf LeafCell,  False.
CirculatingCell and MatureCell SubClassOf Erythrocyte,  True (
CirculatingCell and MatureCell SubClassOf PhotosyntheticCell,  False.
CirculatingCell and MatureCell SubClassOf PlantCell,  False.
CirculatingCell SubClassOf CellByClass,  True.
CirculatingCell SubClassOf SclerenchymaCell,  False.
CirculatingCell SubClassOf LeafCell,  False.
CirculatingCell SubClassOf Erythrocyte,  False.
CirculatingCell SubClassOf PhotosyntheticCell,  False.
CirculatingCell SubClassOf PlantCell,  False.
CirculatingCell SubClassOf MatureCell,  True.
CirculatingCell SubClassOf CellByClass and MatureCell,  True for
CirculatingCell SubClassOf AnimalCell,  False.
CirculatingCell SubClassOf Cell,  True.
CirculatingCell SubClassOf Cell and CellByClass,  I cannot
CirculatingCell SubClassOf Miocyte,  False.
CirculatingCell SubClassOf InMatureCell,  True.
CirculatingCell SubClassOf CellByClass and InMatureCell,  I cannot
CirculatingCell SubClassOf Osteocyte,  False.
CirculatingCell SubClassOf ChondroBlast,  False.
CirculatingCell SubClassOf MioBlast,  I cannot
CirculatingCell SubClassOf CellByDevelopmentStage,  I cannot
CirculatingCell SubClassOf PhotoreceptorCell,  False.
CirculatingCell SubClassOf CellByOrganism,  I cannot
CirculatingCell SubClassOf ElectricallyActiveCell,  False.
CirculatingCell SubClassOf StructuralCell,  False.
CirculatingCell SubClassOf Neuron,  False.
CirculatingCell SubClassOf ChondroCyte,  False.
ElectricallyActiveCell and LeafCell SubClassOf MioBlast,  False.
MatureCell and MioBlast SubClassOf CellByDevelopmentStage,  True.
MioBlast SubClassOf CellByClass and CellByDevelopmentStage,  True for
MioBlast SubClassOf CellByDevelopmentStage and CellByOrganism,  True for
MioBlast SubClassOf Cell and CellByClass and CellByDevelopmentStage,  True for
MioBlast SubClassOf Cell and CellByDevelopmentStage and CellByOrganism,  True for
AnimalCell and ElectricallyActiveCell SubClassOf MioBlast,  False.
Cell and PhotosyntheticCell SubClassOf ChondroCyte,  False.
CellByOrganism and Erythrocyte SubClassOf CellByDevelopmentStage,  False.
AnimalCell and Erythrocyte SubClassOf MioBlast,  False.
ElectricallyActiveCell and MatureCell SubClassOf CirculatingCell,  False.
MatureCell SubClassOf CirculatingCell,  False.
CirculatingCell and Neuron SubClassOf StructuralCell,  False.
CellByDevelopmentStage and ElectricallyActiveCell SubClassOf CirculatingCell,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf Cell,  True.
CellByOrganism and ElectricallyActiveCell SubClassOf SclerenchymaCell,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf LeafCell,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf Erythrocyte,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf PhotosyntheticCell,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf CirculatingCell,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf CellByClass,  False.
CellByOrganism and ElectricallyActiveCell SubClassOf MatureCell,  I cannot
CellByOrganism and ElectricallyActiveCell SubClassOf AnimalCell,  I cannot
CellByOrganism SubClassOf Cell,  True.
CellByOrganism SubClassOf SclerenchymaCell,  False.
CellByOrganism SubClassOf LeafCell,  False.
CellByOrganism SubClassOf Erythrocyte,  False.
CellByOrganism SubClassOf PhotosyntheticCell,  False.
CellByOrganism SubClassOf CirculatingCell,  False.
CellByOrganism SubClassOf PlantCell,  False.
CellByOrganism SubClassOf CellByClass,  False.
CellByOrganism SubClassOf MatureCell,  True.
CellByOrganism SubClassOf Cell and MatureCell,  True for
CellByOrganism SubClassOf AnimalCell,  False.
CellByOrganism SubClassOf Miocyte,  False.
CellByOrganism SubClassOf InMatureCell,  I cannot
CellByOrganism SubClassOf Osteocyte,  False.
CellByOrganism SubClassOf ChondroBlast,  False.
CellByOrganism SubClassOf CellByDevelopmentStage,  False.
CellByOrganism SubClassOf ElectricallyActiveCell,  False.
CellByOrganism SubClassOf StructuralCell,  True.
CellByOrganism SubClassOf Cell and StructuralCell,  True,
CellByOrganism SubClassOf Neuron,  False.
CellByOrganism SubClassOf ChondroCyte,  False.
CellByOrganism SubClassOf Cell and MatureCell and StructuralCell,  True,
Erythrocyte and Osteocyte SubClassOf Neuron,  False.
PhotoreceptorCell and PlantCell SubClassOf MioBlast,  False.
Erythrocyte and LeafCell SubClassOf PhotoreceptorCell,  False.
CellByClass and ElectricallyActiveCell SubClassOf SclerenchymaCell,  False.
AnimalCell and Neuron SubClassOf PhotoreceptorCell,  False.
Osteocyte and StructuralCell SubClassOf PhotoreceptorCell,  False.
Neuron and StructuralCell SubClassOf Miocyte,  False.
CellByDevelopmentStage SubClassOf CirculatingCell,  False.
ElectricallyActiveCell and Miocyte SubClassOf Neuron,  True for
LeafCell and PhotosyntheticCell SubClassOf Miocyte,  False.
Erythrocyte and Neuron SubClassOf Miocyte,  False.
AnimalCell and Osteocyte SubClassOf Miocyte,  False.
CellByClass and ChondroCyte SubClassOf Miocyte,  False.
CellByClass and CirculatingCell SubClassOf CellByOrganism,  I cannot
CellByOrganism and Neuron SubClassOf PhotoreceptorCell,  False.
Osteocyte and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
CellByClass and CirculatingCell SubClassOf LeafCell,  False.
ElectricallyActiveCell and PhotoreceptorCell SubClassOf ChondroBlast,  False.
CellByClass and PhotoreceptorCell SubClassOf ChondroBlast,  False.
Neuron and PlantCell SubClassOf CellByDevelopmentStage,  True for
PlantCell and SclerenchymaCell SubClassOf MioBlast,  False.
AnimalCell and MioBlast SubClassOf ChondroBlast,  False.
CirculatingCell and PhotosyntheticCell SubClassOf CellByDevelopmentStage,  False.
CirculatingCell and LeafCell SubClassOf MioBlast,  False.
CellByDevelopmentStage and MatureCell SubClassOf ChondroCyte,  I cannot
CirculatingCell and PlantCell SubClassOf ChondroCyte,  False.
InMatureCell and Neuron SubClassOf Miocyte,  False.
Osteocyte and StructuralCell SubClassOf Miocyte,  False.
CellByDevelopmentStage and PhotoreceptorCell SubClassOf Miocyte,  False.
CellByClass and CellByDevelopmentStage SubClassOf CellByOrganism,  I cannot
CellByClass and PhotosyntheticCell SubClassOf Miocyte,  False.
ChondroCyte and Miocyte SubClassOf Neuron,  False.
InMatureCell and Osteocyte SubClassOf Neuron,  False.
CellByClass SubClassOf PhotosyntheticCell,  False.
PhotosyntheticCell and SclerenchymaCell SubClassOf ChondroBlast,  False.
MatureCell and PlantCell SubClassOf CellByDevelopmentStage,  True.
MatureCell and PlantCell SubClassOf Miocyte,  False.
MatureCell and PlantCell SubClassOf ChondroBlast,  False.
MatureCell and PlantCell SubClassOf MioBlast,  False.
PlantCell SubClassOf CellByDevelopmentStage and PhotosyntheticCell,  True,
PlantCell SubClassOf CellByClass and CellByDevelopmentStage and PhotosyntheticCell,  True for
PlantCell SubClassOf Cell and CellByDevelopmentStage and PhotosyntheticCell,  True for
PlantCell SubClassOf CellByDevelopmentStage and InMatureCell and PhotosyntheticCell,  True:
PlantCell SubClassOf CellByDevelopmentStage and CellByOrganism and PhotosyntheticCell,  True for
PlantCell SubClassOf CellByClass and CellByDevelopmentStage and MatureCell and PhotosyntheticCell,  True for
PlantCell SubClassOf Cell and CellByDevelopmentStage and MatureCell and PhotosyntheticCell,  1
PlantCell SubClassOf CellByDevelopmentStage and InMatureCell and MatureCell and PhotosyntheticCell,  Here are
PlantCell SubClassOf CellByDevelopmentStage and CellByOrganism and MatureCell and PhotosyntheticCell,  True for
CirculatingCell and Neuron SubClassOf CellByDevelopmentStage,  I cannot
AnimalCell and Neuron SubClassOf ChondroBlast,  False.
CellByOrganism and PlantCell SubClassOf MioBlast,  False.
CellByOrganism and Erythrocyte SubClassOf MioBlast,  False.
Cell and MioBlast SubClassOf ChondroCyte,  False.
AnimalCell and MatureCell SubClassOf MioBlast,  False.
ElectricallyActiveCell and PhotoreceptorCell SubClassOf MioBlast,  False.
MatureCell and Neuron SubClassOf CirculatingCell,  False.
LeafCell and Osteocyte SubClassOf ChondroBlast,  False.
MioBlast and Osteocyte SubClassOf ChondroBlast,  False.
Neuron and StructuralCell SubClassOf ChondroCyte,  False.
CellByDevelopmentStage and LeafCell SubClassOf PhotoreceptorCell,  I cannot
ChondroBlast and ChondroCyte SubClassOf PhotoreceptorCell,  False.
ChondroCyte and LeafCell SubClassOf PhotoreceptorCell,  False.
CellByClass and InMatureCell SubClassOf PhotoreceptorCell,  I cannot
Cell and StructuralCell SubClassOf ChondroBlast,  False.
CellByClass and ChondroBlast SubClassOf MioBlast,  I cannot
CellByDevelopmentStage and CellByOrganism SubClassOf ChondroBlast,  False.
Osteocyte and SclerenchymaCell SubClassOf ChondroCyte,  False.
CellByClass and Osteocyte SubClassOf MioBlast,  False.
LeafCell and PhotosyntheticCell SubClassOf ChondroCyte,  False.
Neuron and PlantCell SubClassOf ChondroCyte,  False.
Erythrocyte and InMatureCell SubClassOf ChondroCyte,  False.
ChondroBlast and SclerenchymaCell SubClassOf Miocyte,  False.
CirculatingCell and MatureCell SubClassOf InMatureCell,  False.
ElectricallyActiveCell and PhotosyntheticCell SubClassOf Miocyte,  False.
CellByDevelopmentStage and MatureCell SubClassOf Osteocyte,  I cannot
CellByDevelopmentStage and SclerenchymaCell SubClassOf Neuron,  False.
CellByOrganism and LeafCell SubClassOf Neuron,  False.
ChondroCyte and MioBlast SubClassOf ChondroBlast,  False.
CirculatingCell and ElectricallyActiveCell SubClassOf ChondroBlast,  False.
CellByClass and Erythrocyte SubClassOf MioBlast,  False.
PlantCell and StructuralCell SubClassOf ChondroCyte,  False.
CellByOrganism and Neuron SubClassOf ChondroCyte,  False.
Cell and InMatureCell SubClassOf ChondroCyte,  True,
Cell and InMatureCell SubClassOf Miocyte,  False.
Cell and InMatureCell SubClassOf MioBlast,  True.
InMatureCell SubClassOf CellByDevelopmentStage and MioBlast,  True,
CirculatingCell and MatureCell SubClassOf ChondroCyte,  I cannot
ElectricallyActiveCell and LeafCell SubClassOf Neuron,  False.
MioBlast and StructuralCell SubClassOf Neuron,  False.
ChondroBlast and InMatureCell SubClassOf Neuron,  False.
CellByClass and CellByDevelopmentStage SubClassOf InMatureCell,  I cannot
AnimalCell and ChondroCyte SubClassOf PhotoreceptorCell,  False.
CellByClass and CellByDevelopmentStage SubClassOf ElectricallyActiveCell,  False.
InMatureCell and Osteocyte SubClassOf PhotoreceptorCell,  False.
CellByClass and MatureCell SubClassOf Osteocyte,  I cannot
CellByClass and CirculatingCell SubClassOf Miocyte,  I cannot
CirculatingCell and PlantCell SubClassOf Miocyte,  False.
CellByDevelopmentStage and StructuralCell SubClassOf Miocyte,  I cannot
CirculatingCell and PlantCell SubClassOf Neuron,  False.
ChondroBlast and StructuralCell SubClassOf Neuron,  False.
AnimalCell and MioBlast SubClassOf Neuron,  False.
CellByDevelopmentStage and MatureCell SubClassOf AnimalCell,  True for
ElectricallyActiveCell and MatureCell SubClassOf PhotosyntheticCell,  False.
CellByOrganism and Miocyte SubClassOf ChondroBlast,  False.
Neuron and PlantCell SubClassOf ChondroBlast,  False.
AnimalCell and StructuralCell SubClassOf ChondroBlast,  False.
Osteocyte and PhotosyntheticCell SubClassOf ChondroCyte,  False.
MioBlast and SclerenchymaCell SubClassOf ChondroCyte,  False.
CellByDevelopmentStage and Neuron SubClassOf StructuralCell,  False.
CellByClass SubClassOf Cell,  False.
MatureCell and MioBlast SubClassOf Neuron,  False.
ElectricallyActiveCell and InMatureCell SubClassOf Neuron,  True for
CellByOrganism and Erythrocyte SubClassOf Neuron,  False.
CellByDevelopmentStage and StructuralCell SubClassOf PhotoreceptorCell,  I cannot
CellByClass and Neuron SubClassOf ElectricallyActiveCell,  True.
CellByClass and Neuron SubClassOf SclerenchymaCell,  False.
CellByClass and Neuron SubClassOf LeafCell,  False.
CellByClass and Neuron SubClassOf Erythrocyte,  False.
CellByClass and Neuron SubClassOf PhotosyntheticCell,  False.
CellByClass and Neuron SubClassOf CirculatingCell,  False.
CellByClass and Neuron SubClassOf PlantCell,  False.
CellByClass and Neuron SubClassOf MatureCell,  True.
CellByClass SubClassOf MatureCell,  False.
Neuron SubClassOf Cell and MatureCell,  True for
Neuron SubClassOf InMatureCell and MatureCell,  True,
Neuron SubClassOf CellByDevelopmentStage and InMatureCell and MatureCell,  True,
Neuron SubClassOf CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell,  True,
Neuron SubClassOf CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell,  Neur
Neuron SubClassOf CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell and StructuralCell,  Here'
Neuron SubClassOf Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell,  True for
Neuron SubClassOf CellByClass and CellByDevelopmentStage and CellByOrganism and ElectricallyActiveCell and InMatureCell and MatureCell,  Here are
Neuron SubClassOf CellByClass and CellByDevelopmentStage and CellByOrganism and InMatureCell and MatureCell and StructuralCell,  Here are
CellByClass and ElectricallyActiveCell SubClassOf PhotoreceptorCell,  False.
Cell and CellByDevelopmentStage SubClassOf PhotoreceptorCell,  False.
ChondroBlast and ElectricallyActiveCell SubClassOf PhotoreceptorCell,  False.
CirculatingCell and ElectricallyActiveCell SubClassOf MatureCell,  False.
InMatureCell and StructuralCell SubClassOf ChondroBlast,  I cannot
ChondroBlast and CirculatingCell SubClassOf Miocyte,  False.
ElectricallyActiveCell and MatureCell SubClassOf Miocyte,  False.
MioBlast and SclerenchymaCell SubClassOf ChondroBlast,  False.
Erythrocyte and PhotoreceptorCell SubClassOf ChondroBlast,  False.
CellByOrganism and CirculatingCell SubClassOf ChondroCyte,  I cannot
Miocyte and SclerenchymaCell SubClassOf Neuron,  False.
CellByClass and CellByDevelopmentStage SubClassOf PhotosyntheticCell,  I cannot
Cell and PlantCell SubClassOf Neuron,  False.
CellByClass and Erythrocyte SubClassOf Neuron,  False.
PhotosyntheticCell and StructuralCell SubClassOf PhotoreceptorCell,  False.
CirculatingCell and PlantCell SubClassOf PhotoreceptorCell,  False.
Neuron and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and MatureCell SubClassOf LeafCell,  False.
Erythrocyte and SclerenchymaCell SubClassOf ChondroBlast,  False.
CellByOrganism and Neuron SubClassOf Miocyte,  False.
PhotosyntheticCell and StructuralCell SubClassOf Miocyte,  False.
CellByClass SubClassOf CellByOrganism,  False.
MatureCell and PlantCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and CirculatingCell SubClassOf SclerenchymaCell,  False.
MatureCell and StructuralCell SubClassOf PhotoreceptorCell,  False.
Neuron and Osteocyte SubClassOf ChondroBlast,  False.
LeafCell and Miocyte SubClassOf ChondroBlast,  False.
InMatureCell and PlantCell SubClassOf ChondroBlast,  False.
MioBlast and PhotoreceptorCell SubClassOf ChondroCyte,  False.
CellByClass and MatureCell SubClassOf SclerenchymaCell,  I cannot
CellByOrganism and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
ChondroBlast and Miocyte SubClassOf PhotoreceptorCell,  False.
ChondroBlast and Erythrocyte SubClassOf PhotoreceptorCell,  False.
ElectricallyActiveCell SubClassOf MioBlast,  False.
CellByOrganism and PhotosyntheticCell SubClassOf ChondroCyte,  False.
CellByClass and InMatureCell SubClassOf Miocyte,  I cannot
AnimalCell and StructuralCell SubClassOf Miocyte,  False.
Osteocyte and SclerenchymaCell SubClassOf Miocyte,  False.
ChondroBlast and PhotoreceptorCell SubClassOf Neuron,  True for
ElectricallyActiveCell and Osteocyte SubClassOf Neuron,  False.
MioBlast and PhotoreceptorCell SubClassOf Neuron,  True.
MioBlast and PhotoreceptorCell SubClassOf Miocyte,  False.
MioBlast and PhotoreceptorCell SubClassOf ChondroBlast,  False.
PhotoreceptorCell SubClassOf CellByClass and Neuron,  True for
PhotoreceptorCell SubClassOf MatureCell and Neuron,  True for
PhotoreceptorCell SubClassOf AnimalCell and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and Neuron,  True,
PhotoreceptorCell SubClassOf Cell and InMatureCell and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and CellByDevelopmentStage and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and CellByOrganism and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and ElectricallyActiveCell and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and CellByClass and CellByDevelopmentStage and InMatureCell and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and CellByDevelopmentStage and InMatureCell and MatureCell and Neuron,  True for
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByDevelopmentStage and InMatureCell and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and CellByDevelopmentStage and CellByOrganism and InMatureCell and Neuron,  True for
PhotoreceptorCell SubClassOf Cell and CellByDevelopmentStage and ElectricallyActiveCell and InMatureCell and Neuron,  True for
CellByDevelopmentStage and Osteocyte SubClassOf ChondroCyte,  False.
Cell and Miocyte SubClassOf ChondroCyte,  False.
CellByClass and CirculatingCell SubClassOf SclerenchymaCell,  I cannot
CirculatingCell and Miocyte SubClassOf PhotoreceptorCell,  False.
CellByClass and ElectricallyActiveCell SubClassOf MatureCell,  I cannot
CellByDevelopmentStage and MatureCell SubClassOf Cell,  True.
CellByDevelopmentStage and MatureCell SubClassOf SclerenchymaCell,  I cannot
CellByDevelopmentStage and MatureCell SubClassOf Erythrocyte,  I cannot
CellByDevelopmentStage and MatureCell SubClassOf PhotosyntheticCell,  I cannot
CellByDevelopmentStage and MatureCell SubClassOf CirculatingCell,  I cannot
CellByDevelopmentStage and MatureCell SubClassOf PlantCell,  I cannot
CellByDevelopmentStage and MatureCell SubClassOf CellByClass, False.
CellByDevelopmentStage SubClassOf Cell,  True.
CellByDevelopmentStage SubClassOf SclerenchymaCell,  False.
CellByDevelopmentStage SubClassOf LeafCell,  False.
CellByDevelopmentStage SubClassOf Erythrocyte,  False.
CellByDevelopmentStage SubClassOf PhotosyntheticCell,  False.
CellByDevelopmentStage SubClassOf PlantCell,  True.
CellByDevelopmentStage SubClassOf Cell and PlantCell,  True,
CellByDevelopmentStage SubClassOf CellByClass,  False.
CellByDevelopmentStage SubClassOf MatureCell,  False.
CellByDevelopmentStage SubClassOf AnimalCell,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and PlantCell,  True,
CellByDevelopmentStage SubClassOf Miocyte,  False.
CellByDevelopmentStage SubClassOf InMatureCell,  False.
CellByDevelopmentStage SubClassOf Osteocyte,  False.
CellByDevelopmentStage SubClassOf ChondroBlast,  False.
CellByDevelopmentStage SubClassOf MioBlast,  False.
CellByDevelopmentStage SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage SubClassOf CellByOrganism,  False.
CellByDevelopmentStage SubClassOf ElectricallyActiveCell,  False.
CellByDevelopmentStage SubClassOf StructuralCell,  False.
CellByDevelopmentStage SubClassOf Neuron,  False.
CellByDevelopmentStage SubClassOf ChondroCyte,  False.
InMatureCell and PhotosyntheticCell SubClassOf ChondroBlast,  False.
Cell and Erythrocyte SubClassOf ChondroBlast,  False.
Miocyte and PhotoreceptorCell SubClassOf ChondroBlast,  False.
CirculatingCell and ElectricallyActiveCell SubClassOf AnimalCell,  False.
MioBlast and Osteocyte SubClassOf Neuron,  False.
Can Neuron that is also StructuralCell be considered a subcategory of 'Erythrocyte'?,  False.
Can ElectricallyActiveCell that is also StructuralCell be considered a subcategory of 'Erythrocyte'?,  False.
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'Osteocyte'?,  False.
Can Miocyte that is also StructuralCell be considered a subcategory of 'LeafCell'?,  False.
Can CellByDevelopmentStage that is also LeafCell be considered a subcategory of 'AnimalCell'?,  True,
Can CellByDevelopmentStage that is also LeafCell be considered a subcategory of 'SclerenchymaCell'?,  False.
Can CellByDevelopmentStage that is also LeafCell be considered a subcategory of 'Erythrocyte'?,  False.
Can CellByDevelopmentStage that is also LeafCell be considered a subcategory of 'PhotosyntheticCell'?,  True,
Can LeafCell be considered a subcategory of 'PhotosyntheticCell'?,  I must
Can CellByDevelopmentStage be considered a subcategory of 'PhotosyntheticCell'?,  False.
Can CellByDevelopmentStage that is also ChondroBlast be considered a subcategory of 'Osteocyte'?,  False.
Can Cell that is also MatureCell be considered a subcategory of 'Osteocyte'?,  True.
Can Cell that is also MatureCell be considered a subcategory of 'SclerenchymaCell'?,  False.
Can Cell that is also MatureCell be considered a subcategory of 'LeafCell'?,  False.
Can Cell that is also MatureCell be considered a subcategory of 'Erythrocyte'?,  True.
Can Cell be considered a subcategory of 'Erythrocyte'?,  False.
Can MatureCell be considered a subcategory of 'Erythrocyte'?,  False.
Can CellByClass that is also InMatureCell be considered a subcategory of 'AnimalCell'?,  False.
Can ChondroCyte that is also LeafCell be considered a subcategory of 'Neuron'?,  False.
Can CirculatingCell that is also LeafCell be considered a subcategory of 'Neuron'?,  False.
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'AnimalCell'?,  True,
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'SclerenchymaCell'?,  False.
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'LeafCell'?,  False.
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'Erythrocyte'?,  False.
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'PhotosyntheticCell'?,  False.
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'CirculatingCell'?,  False.
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'PlantCell'?,  False.
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'CellByClass'?,  True,
Can CellByOrganism be considered a subcategory of 'CellByClass'?,  False.
Can ChondroCyte be considered a subcategory of 'CellByClass'?,  False.
Can Osteocyte that is also SclerenchymaCell be considered a subcategory of 'AnimalCell'?,  False.
