BallGame and FootballTeam SubClassOf Player, \nFalse
Can Football be considered a subcategory of 'something that plays_for some Manager'?, \nFalse
Can Manager that is also Person be considered a subcategory of 'Football'?, \nFalse
Can Person that is also Player be considered a subcategory of 'Manager'?, \nFalse
Can Game be considered a subcategory of 'something that plays_for some Team'?, \nIn
Can BallGame that is also Manager be considered a subcategory of 'FootballPlayer'?, \nFalse
Can something that plays some Manager be considered a subcategory of 'Game'?, \nIn
Can something that plays some Player be considered a subcategory of 'Team'?, \nIn
Can Person be considered a subcategory of 'something that plays_for some FootballPlayer'?, \nFalse
Can Manager that is also Player be considered a subcategory of 'FootballTeam'?, \nFalse
Can BallGame that is also Game be considered a subcategory of 'Manager'?, \nFalse
Can BallGame that is also Person be considered a subcategory of 'FootballTeam'?, \nFalse
Can something that managed_by some Person be considered a subcategory of 'Manager'?, \nIn
Can something that plays some BallGame be considered a subcategory of 'Game'?, \nIn
Can FootballTeam that is also Person be considered a subcategory of 'Player'?, \nFalse
Can Football that is also Person be considered a subcategory of 'Player'?, \nFalse
Can Player be considered a subcategory of 'Manager'?, \nFalse
Can Manager that is also Person be considered a subcategory of 'Team'?, \nFalse
Can Football that is also Person be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Player that is also Team be considered a subcategory of 'Game'?, \nIn
Can FootballPlayer be considered a subcategory of 'something that plays_for some Game'?, \nIn
Can FootballTeam that is also Manager be considered a subcategory of 'Player'?, \nFalse
Can BallGame be considered a subcategory of 'something that plays_for some Player'?, \nFalse
Can FootballPlayer that is also Manager be considered a subcategory of 'Team'?, \nFalse
Can something that managed_by some Player be considered a subcategory of 'Football'?, \nIn
Can BallGame that is also Manager be considered a subcategory of 'Football'?, \nFalse
Can Game that is also Manager be considered a subcategory of 'BallGame'?, \nIn
Can FootballTeam that is also Person be considered a subcategory of 'Game'?, \nFalse
Can something that plays_for some Player be considered a subcategory of 'Manager'?, \nFalse
Can FootballPlayer that is also Player be considered a subcategory of 'BallGame'?, \nIn
Can BallGame be considered a subcategory of 'something that managed_by some Player'?, \nIn
Can Team be considered a subcategory of 'BallGame'?, \nFalse
Can Player be considered a subcategory of 'something that plays some BallGame'?, \nFalse
Can something that plays some Game be considered a subcategory of 'FootballPlayer'?, \nFalse
Can something that plays_for some Manager be considered a subcategory of 'Team'?, \nIn
Can FootballPlayer be considered a subcategory of 'something that plays_for some Manager'?, \nIn
Can FootballPlayer that is also Game be considered a subcategory of 'BallGame'?, \nThe
Can Football be considered a subcategory of 'something that plays_for some BallGame'?, \nIn
Can FootballPlayer be considered a subcategory of 'something that managed_by some BallGame'?, \nIn
Can BallGame that is also FootballTeam be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Person that is also Player be considered a subcategory of 'FootballTeam'?, \nIn
Can Game be considered a subcategory of 'something that plays_for some Game'?, \nIn
Can Football that is also Player be considered a subcategory of 'BallGame'?, \nIn
Can something that managed_by some Manager be considered a subcategory of 'Manager'?, \nIn
Can something that plays some Player be considered a subcategory of 'Game'?, \nIn
Can Manager be considered a subcategory of 'something that plays_for some Person'?, \nThe
Can Football that is also Manager be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Person that is also Team be considered a subcategory of 'FootballPlayer'?, \nIn
Can FootballTeam that is also Player be considered a subcategory of 'Game'?, \nFalse
Can something that managed_by some Person be considered a subcategory of 'BallGame'?, \nIn
Can something that managed_by some BallGame be considered a subcategory of 'Player'?, \nTrue
Can something that managed_by some BallGame be considered a subcategory of 'Manager'?, \nIn
Can something that managed_by some BallGame be considered a subcategory of 'Team'?, \nIn
Can Thing be considered a subcategory of 'Thing that is also something that (managed_by some (BallGame that is also Thing))'?, \nTrue
Can BallGame that is also Thing be considered a subcategory of 'Manager'?, \nFalse
Can BallGame that is also Thing be considered a subcategory of 'Team'?, \nFalse
Can BallGame that is also Thing be considered a subcategory of 'Player'?, \nFalse
Can BallGame that is also Thing be considered a subcategory of 'FootballTeam'?, \nFalse
Can BallGame that is also Thing be considered a subcategory of 'Game'?, \nIn
Can BallGame that is also Thing be considered a subcategory of 'FootballPlayer'?, \nFalse
Can BallGame that is also Thing be considered a subcategory of 'Football'?, \nFalse
Can BallGame that is also Thing be considered a subcategory of 'Person'?, \nFalse
Can Thing that is also something that (managed_by some BallGame) that is also something that (managed_by some Thing) be considered a subcategory of 'Thing that is also something that (managed_by some (BallGame that is also Thing))'?, \n False
Can Thing that is also something that (managed_by some BallGame) that is also something that (managed_by some Thing) be considered a subcategory of 'Player'?, \nFalse
Can Thing that is also something that (managed_by some (BallGame that is also Thing)) be considered a subcategory of 'Thing that is also something that (managed_by some (BallGame that is also Thing))'?, \nThe
Can Thing that is also something that (managed_by some (BallGame that is also Thing)) be considered a subcategory of 'Player'?, \nIn
Can Thing that is also something that (managed_by some Thing) be considered a subcategory of 'Player'?, \nIn
Can Person that is also Player be considered a subcategory of 'Team'?, \nFalse
Can BallGame that is also Player be considered a subcategory of 'Person'?, \nFalse
Can FootballTeam that is also Game be considered a subcategory of 'Team'?, \nIn
Can BallGame that is also Football be considered a subcategory of 'FootballPlayer'?, \nFalse
Can Game that is also Team be considered a subcategory of 'Player'?, \nFalse
Can Football be considered a subcategory of 'something that plays some Game'?, \nIn
Can BallGame be considered a subcategory of 'something that plays_for some FootballTeam'?, \nIn
Can FootballPlayer that is also Manager be considered a subcategory of 'Game'?, \nFalse
Can Team be considered a subcategory of 'something that plays_for some FootballPlayer'?, \nFalse
Can Game be considered a subcategory of 'something that plays some Manager'?, \nFalse
Can BallGame be considered a subcategory of 'something that plays_for some BallGame'?, \nIn
Can Game be considered a subcategory of 'something that plays_for some Football'?, \nFalse
Can something that plays_for some Football be considered a subcategory of 'Person'?, \nFalse
Can Team be considered a subcategory of 'something that plays_for some Player'?, \nFalse
Can Team be considered a subcategory of 'Person'?, \nFalse
Can FootballPlayer that is also Player be considered a subcategory of 'Football'?, \nIn
