Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?,  False.
Can Carnivore be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Water be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Animal be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Reptile be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Plant be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Vertebrate be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Cat be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Fish be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Mammal be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Herbivore be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can Leg be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can something that lives_in some (Animal that is also Herbivore) be considered a subcategory of 'something that lives_in some (Animal that is also Herbivore)'?,  False.
Can Elephant be considered a subcategory of 'Animal'?,  True.
Can Animal be considered a subcategory of 'Elephant'?,  False.
Can Animal be considered a subcategory of 'something that lives_in some (Animal that is also Herbivore)'?,  False.
Can Vertebrate be considered a subcategory of 'something that lives_in some (Animal that is also Herbivore)'?,  False.
Can Elephant be considered a subcategory of 'Mammal'?,  True.
Can Mammal be considered a subcategory of 'something that lives_in some (Animal that is also Herbivore)'?,  False.
Can Herbivore be considered a subcategory of 'something that lives_in some (Animal that is also Herbivore)'?,  False.
Can Elephant be considered a subcategory of 'Elephant'?,  False.
Can Egg be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Meat be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Carnivore be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Water be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Animal be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Reptile be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Plant be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Vertebrate be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Cat be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Fish be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Mammal be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Leg be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Bird be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Backbone be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Wing be considered a subcategory of 'Animal that is also Herbivore'?,  False.
Can Elephant be considered a subcategory of 'Animal that is also something that (lives_in some (Animal that is also Herbivore))'?,  True.
Can Elephant be considered a subcategory of 'Animal that is also Vertebrate that is also something that (lives_in some (Animal that is also Herbivore))'?,  True.
Can Elephant be considered a subcategory of 'Animal that is also Mammal that is also Vertebrate that is also something that (lives_in some (Animal that is also Herbivore))'?,  True.
Can Elephant be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate that is also something that (lives_in some (Animal that is also Herbivore))'?,  True.
Can Elephant be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate that is also something that (lives_in some (Animal that is also Herbivore that is also Vertebrate))'?,  True.
Can Elephant be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate that is also something that (lives_in some (Animal that is also Herbivore that is also Mammal that is also Vertebrate))'?,  True.
Can Animal that is also Herbivore that is also Mammal that is also Vertebrate that is also something that (lives_in some (Animal that is also Herbivore that is also Mammal that is also Vertebrate)) be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate that is also something that (lives_in some (Animal that is also Herbivore that is also Mammal that is also Vertebrate))'?,  True.
Can Egg be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Meat be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Carnivore be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Water be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Animal be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Reptile be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Plant be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Vertebrate be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Cat be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Fish be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Mammal be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Herbivore be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Leg be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Bird be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Backbone be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  False.
Can Wing be considered a subcategory of 'Animal that is also Herbivore that is also Mammal that is also Vertebrate'?,  True,
Can Wing be considered a subcategory of 'Egg'?,  False.
Can Wing be considered a subcategory of 'Meat'?,  False.
Can Wing be considered a subcategory of 'Carnivore'?,  False.
Can Wing be considered a subcategory of 'Water'?,  False.
Can Wing be considered a subcategory of 'Reptile'?,  False.
Can Wing be considered a subcategory of 'Plant'?,  False.
Can Wing be considered a subcategory of 'Cat'?,  False.
Can Wing be considered a subcategory of 'Fish'?,  False.
Can Wing be considered a subcategory of 'Leg'?,  False.
Can Wing be considered a subcategory of 'Elephant'?,  False.
Can Wing be considered a subcategory of 'Bird'?,  True.
Can Wing be considered a subcategory of 'Animal that is also Bird that is also Herbivore that is also Mammal that is also Vertebrate'?,  True,
Can something that lays some Herbivore be considered a subcategory of 'Backbone'?,  False.
Can Meat be considered a subcategory of 'something that eats some Animal'?,  False.
Can Water be considered a subcategory of 'Plant'?,  False.
Can something that has_part some Wing be considered a subcategory of 'Cat'?,  False.
Can Carnivore that is also Herbivore be considered a subcategory of 'Meat'?,  False.
Can Bird be considered a subcategory of 'something that eats some Vertebrate'?,  False.
Can Animal that is also Water be considered a subcategory of 'Bird'?,  False.
Can Herbivore that is also Wing be considered a subcategory of 'Cat'?,  False.
Can Backbone that is also Reptile be considered a subcategory of 'Animal'?,  True.
Can Backbone that is also Reptile be considered a subcategory of 'Egg'?,  False.
Can Backbone that is also Reptile be considered a subcategory of 'Meat'?,  False.
Can Backbone that is also Reptile be considered a subcategory of 'Carnivore'?,  False.
Can Backbone that is also Reptile be considered a subcategory of 'Water'?,  False.
Can Backbone be considered a subcategory of 'Animal'?,  False.
Can Reptile be considered a subcategory of 'Animal'?,  True.
Can Reptile be considered a subcategory of 'Egg'?,  False.
Can Reptile be considered a subcategory of 'Meat'?,  False.
Can Reptile be considered a subcategory of 'Carnivore'?,  False.
Can Reptile be considered a subcategory of 'Water'?,  False.
Can Reptile be considered a subcategory of 'Plant'?,  False.
Can Reptile be considered a subcategory of 'Vertebrate'?,  True.
Can Reptile be considered a subcategory of 'Animal that is also Vertebrate'?,  True.
Can Reptile be considered a subcategory of 'Cat'?,  False.
Can Reptile be considered a subcategory of 'Fish'?,  False.
Can Reptile be considered a subcategory of 'Mammal'?,  False.
Can Reptile be considered a subcategory of 'Herbivore'?,  False.
Can Reptile be considered a subcategory of 'Leg'?,  False.
Can Reptile be considered a subcategory of 'Elephant'?,  False.
Can Reptile be considered a subcategory of 'Bird'?,  False.
Can Reptile be considered a subcategory of 'Wing'?,  False.
Can something that lives_in some Water be considered a subcategory of 'Plant'?,  False.
Can Carnivore that is also Meat be considered a subcategory of 'Egg'?,  False.
Can Elephant be considered a subcategory of 'something that lays some Wing'?,  False.
Can Reptile that is also Vertebrate be considered a subcategory of 'Leg'?,  False.
Can Meat be considered a subcategory of 'something that has_part some Cat'?,  False.
Can Fish be considered a subcategory of 'something that eats some Bird'?,  False.
Can Bird be considered a subcategory of 'something that has_part some Mammal'?,  False.
Can Herbivore that is also Wing be considered a subcategory of 'Backbone'?,  False.
Can Backbone be considered a subcategory of 'something that eats some Cat'?,  False.
Can something that lives_in some Wing be considered a subcategory of 'Plant'?,  False.
Can Animal that is also Egg be considered a subcategory of 'Backbone'?,  False.
Can something that lays some Backbone be considered a subcategory of 'Plant'?,  False.
Can Fish that is also Water be considered a subcategory of 'Herbivore'?,  False.
Can Herbivore be considered a subcategory of 'something that lives_in some Meat'?,  False.
Can something that has_part some Meat be considered a subcategory of 'Animal'?,  False.
Can Backbone that is also Meat be considered a subcategory of 'Bird'?,  False.
Can Leg be considered a subcategory of 'something that lives_in some Cat'?,  False.
Can Mammal that is also Meat be considered a subcategory of 'Fish'?,  False.
Can Egg that is also Water be considered a subcategory of 'Herbivore'?,  False.
Can something that eats some Reptile be considered a subcategory of 'Meat'?,  False.
Can Reptile that is also Vertebrate be considered a subcategory of 'Cat'?,  False.
Can Fish that is also Water be considered a subcategory of 'Bird'?,  False.
Can something that has_part some Herbivore be considered a subcategory of 'Cat'?,  False.
Can Backbone that is also Meat be considered a subcategory of 'Animal'?,  True.
Can Backbone that is also Meat be considered a subcategory of 'Egg'?,  False.
Can Backbone that is also Meat be considered a subcategory of 'Carnivore'?,  False.
Can Backbone that is also Meat be considered a subcategory of 'Water'?,  False.
Can Egg that is also Leg be considered a subcategory of 'Wing'?,  False.
Can Backbone that is also Bird be considered a subcategory of 'Plant'?,  False.
Can Egg that is also Water be considered a subcategory of 'Wing'?,  False.
Can Carnivore be considered a subcategory of 'something that has_part some Herbivore'?,  False.
Can Backbone that is also Reptile be considered a subcategory of 'Bird'?,  False.
Can Bird that is also Egg be considered a subcategory of 'Carnivore'?,  False.
Can something that lives_in some Animal be considered a subcategory of 'Animal'?,  True.
Can something that lives_in some Animal be considered a subcategory of 'Egg'?,  False.
Can something that lives_in some Animal be considered a subcategory of 'Carnivore'?,  False.
Can something that lives_in some Animal be considered a subcategory of 'Water'?,  False.
Can Animal be considered a subcategory of 'Animal'?,  False.
Can Thing be considered a subcategory of 'something that lives_in some Animal'?,  False.
Can Thing be considered a subcategory of 'Egg'?,  False.
Can Thing be considered a subcategory of 'Meat'?,  False.
Can Thing be considered a subcategory of 'Carnivore'?,  False.
Can Thing be considered a subcategory of 'Water'?,  False.
Can Thing be considered a subcategory of 'Animal'?,  False.
Can Thing be considered a subcategory of 'Reptile'?,  False.
Can Thing be considered a subcategory of 'Plant'?,  False.
Can Thing be considered a subcategory of 'Vertebrate'?,  False.
Can Thing be considered a subcategory of 'Cat'?,  False.
Can Thing be considered a subcategory of 'Fish'?,  False.
Can Thing be considered a subcategory of 'Mammal'?,  False.
Can Thing be considered a subcategory of 'Herbivore'?,  False.
Can Thing be considered a subcategory of 'Leg'?,  False.
Can Thing be considered a subcategory of 'Elephant'?,  False.
Can Thing be considered a subcategory of 'Bird'?,  False.
Can Thing be considered a subcategory of 'Backbone'?,  False.
Can Thing be considered a subcategory of 'Wing'?,  False.
Can Animal be considered a subcategory of 'Egg'?,  False.
Can Animal be considered a subcategory of 'Meat'?,  False.
Can Animal be considered a subcategory of 'Water'?,  False.
Can Animal be considered a subcategory of 'Reptile'?,  False.
Can Animal be considered a subcategory of 'Plant'?,  False.
Can Animal be considered a subcategory of 'Vertebrate'?,  False.
Can Animal be considered a subcategory of 'Cat'?,  False.
Can Animal be considered a subcategory of 'Fish'?,  False.
Can Animal be considered a subcategory of 'Mammal'?,  False.
Can Animal be considered a subcategory of 'Herbivore'?,  False.
Can Animal be considered a subcategory of 'Leg'?,  False.
Can Animal be considered a subcategory of 'Bird'?,  False.
Can Animal be considered a subcategory of 'Wing'?,  False.
Can something that lives_in some Thing be considered a subcategory of 'Animal'?,  False.
Can Mammal that is also Plant be considered a subcategory of 'Meat'?,  False.
Can something that has_part some Carnivore be considered a subcategory of 'Bird'?,  False.
Can Carnivore that is also Leg be considered a subcategory of 'Herbivore'?,  False.
Can Fish that is also Water be considered a subcategory of 'Backbone'?,  False.
Can something that lays some Reptile be considered a subcategory of 'Reptile'?,  False.
Can something that lives_in some Cat be considered a subcategory of 'Fish'?,  False.
Can Leg that is also Reptile be considered a subcategory of 'Meat'?,  False.
Can Backbone that is also Mammal be considered a subcategory of 'Cat'?,  False.
Can Carnivore that is also Cat be considered a subcategory of 'Plant'?,  False.
Can something that lays some Herbivore be considered a subcategory of 'Plant'?,  False.
Can Carnivore that is also Reptile be considered a subcategory of 'Elephant'?,  False.
Can something that eats some Backbone be considered a subcategory of 'Fish'?,  False.
Can Carnivore that is also Mammal be considered a subcategory of 'Plant'?,  False.
Can Carnivore that is also Meat be considered a subcategory of 'Plant'?,  False.
Can Egg that is also Mammal be considered a subcategory of 'Meat'?,  False.
Can something that eats some Cat be considered a subcategory of 'Mammal'?,  True.
Can something that eats some Cat be considered a subcategory of 'Egg'?,  False.
Can something that eats some Cat be considered a subcategory of 'Meat'?,  False.
Can something that eats some Cat be considered a subcategory of 'Carnivore'?,  True.
Can Thing be considered a subcategory of 'something that eats some (Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate)'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Egg'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Meat'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Water'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Reptile'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Plant'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Fish'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Herbivore'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Leg'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Elephant'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Bird'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Backbone'?,  False.
Can Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate be considered a subcategory of 'Wing'?,  False.
Can something that (eats some Animal) that is also something that (eats some (Carnivore that is also Cat that is also Mammal that is also Vertebrate)) be considered a subcategory of 'something that eats some (Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate)'?,  True.
Can something that eats some (Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate) be considered a subcategory of 'something that eats some (Animal that is also Carnivore that is also Cat that is also Mammal that is also Vertebrate)'?,  True.
Can something that eats some (Carnivore that is also Cat that is also Mammal that is also Vertebrate) be considered a subcategory of 'Carnivore'?,  True.
Can something that eats some (Cat that is also Mammal that is also Vertebrate) be considered a subcategory of 'Carnivore'?,  True.
Can something that eats some (Mammal that is also Vertebrate) be considered a subcategory of 'Carnivore'?,  True or
Can something that eats some (Cat that is also Vertebrate) be considered a subcategory of 'Carnivore'?,  True.
Can Carnivore that is also Elephant be considered a subcategory of 'Bird'?,  False.
Can Backbone that is also Mammal be considered a subcategory of 'Reptile'?,  False.
Can something that lives_in some Fish be considered a subcategory of 'Fish'?,  False.
Can Mammal be considered a subcategory of 'something that eats some Water'?,  False.
Can Bird that is also Water be considered a subcategory of 'Carnivore'?,  False.
Can Fish be considered a subcategory of 'something that lives_in some Egg'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Leg'?,  False.
Can Reptile that is also Vertebrate be considered a subcategory of 'Backbone'?,  False.
Can something that lays some Meat be considered a subcategory of 'Reptile'?,  False.
Can something that lays some Water be considered a subcategory of 'Vertebrate'?,  False.
Can Backbone that is also Egg be considered a subcategory of 'Wing'?,  False.
Can something that lives_in some Carnivore be considered a subcategory of 'Water'?,  False.
Can something that has_part some Reptile be considered a subcategory of 'Backbone'?,  False.
Can Herbivore that is also Vertebrate be considered a subcategory of 'Fish'?,  False.
Can Backbone that is also Vertebrate be considered a subcategory of 'Plant'?,  False.
Can Bird that is also Elephant be considered a subcategory of 'Carnivore'?,  False.
Can Plant that is also Water be considered a subcategory of 'Fish'?,  False.
Can Water be considered a subcategory of 'something that lives_in some Fish'?,  False.
Can Backbone that is also Fish be considered a subcategory of 'Reptile'?,  False.
Can Cat be considered a subcategory of 'something that eats some Water'?,  False.
Can something that lays some Water be considered a subcategory of 'Carnivore'?,  False.
Can Egg be considered a subcategory of 'something that lives_in some Egg'?,  False.
Can something that eats some Herbivore be considered a subcategory of 'Wing'?,  False.
Can Meat that is also Water be considered a subcategory of 'Leg'?,  False.
Can Carnivore that is also Fish be considered a subcategory of 'Elephant'?,  False.
Can Carnivore that is also Fish be considered a subcategory of 'Backbone'?,  False.
Can Cat that is also Mammal be considered a subcategory of 'Wing'?,  False.
Can Cat that is also Plant be considered a subcategory of 'Herbivore'?,  False.
Can Elephant that is also Reptile be considered a subcategory of 'Leg'?,  False.
Can Meat that is also Reptile be considered a subcategory of 'Wing'?,  False.
Can Herbivore be considered a subcategory of 'something that lays some Water'?,  False.
Can Egg that is also Wing be considered a subcategory of 'Water'?,  False.
Can Cat that is also Egg be considered a subcategory of 'Water'?,  False.
Can something that lives_in some Carnivore be considered a subcategory of 'Carnivore'?,  False.
Can something that eats some Reptile be considered a subcategory of 'Egg'?,  False.
Can Carnivore that is also Mammal be considered a subcategory of 'Wing'?,  False.
Can Carnivore that is also Vertebrate be considered a subcategory of 'Backbone'?,  False.
Can Mammal that is also Reptile be considered a subcategory of 'Carnivore'?,  False.
Can Backbone that is also Plant be considered a subcategory of 'Wing'?,  False.
Can Carnivore that is also Herbivore be considered a subcategory of 'Water'?,  False.
Can Meat that is also Reptile be considered a subcategory of 'Egg'?,  False.
Can Herbivore that is also Reptile be considered a subcategory of 'Egg'?,  False.
Can Animal that is also Carnivore be considered a subcategory of 'Backbone'?,  False.
Can Leg that is also Reptile be considered a subcategory of 'Carnivore'?,  False.
Can something that lays some Meat be considered a subcategory of 'Plant'?,  False.
Can Cat that is also Egg be considered a subcategory of 'Wing'?,  False.
Can something that has_part some Reptile be considered a subcategory of 'Leg'?,  False.
Can Animal that is also Vertebrate be considered a subcategory of 'Plant'?,  False.
Can Elephant be considered a subcategory of 'something that has_part some Plant'?,  False.
Can Leg that is also Plant be considered a subcategory of 'Carnivore'?,  False.
Can Animal that is also Elephant be considered a subcategory of 'Wing'?,  False.
Can Cat that is also Vertebrate be considered a subcategory of 'Herbivore'?,  False.
Can Leg that is also Meat be considered a subcategory of 'Cat'?,  False.
Can something that lays some Egg be considered a subcategory of 'Animal'?,  True.
Can something that lays some Egg be considered a subcategory of 'Egg'?,  False.
Can something that lays some Egg be considered a subcategory of 'Meat'?,  False.
Can something that lays some Egg be considered a subcategory of 'Carnivore'?,  False.
Can something that lays some Egg be considered a subcategory of 'Water'?,  False.
Can Egg be considered a subcategory of 'Animal'?,  False.
Can Thing be considered a subcategory of 'something that lays some Egg'?,  False.
Can Egg be considered a subcategory of 'Meat'?,  False.
Can Egg be considered a subcategory of 'Carnivore'?,  False.
Can Egg be considered a subcategory of 'Reptile'?,  False.
Can Egg be considered a subcategory of 'Plant'?,  False.
Can Egg be considered a subcategory of 'Vertebrate'?,  False.
Can Egg be considered a subcategory of 'Cat'?,  False.
Can Egg be considered a subcategory of 'Fish'?,  False.
Can Egg be considered a subcategory of 'Mammal'?,  False.
Can Egg be considered a subcategory of 'Herbivore'?,  False.
Can Egg be considered a subcategory of 'Leg'?,  False.
Can Egg be considered a subcategory of 'Elephant'?,  False.
Can Egg be considered a subcategory of 'Bird'?,  False.
Can Egg be considered a subcategory of 'Wing'?,  False.
Can something that lays some Thing be considered a subcategory of 'Animal'?,  True.
Can something that has_part some Vertebrate be considered a subcategory of 'Backbone'?,  False.
Can something that lives_in some Fish be considered a subcategory of 'Plant'?,  False.
Can something that eats some Animal be considered a subcategory of 'Wing'?,  False.
Can Carnivore that is also Vertebrate be considered a subcategory of 'Herbivore'?,  False.
Can Carnivore that is also Fish be considered a subcategory of 'Cat'?,  False.
Can Backbone that is also Water be considered a subcategory of 'Carnivore'?,  False.
Can Cat that is also Plant be considered a subcategory of 'Water'?,  False.
Can Elephant that is also Reptile be considered a subcategory of 'Egg'?,  False.
Can Cat that is also Meat be considered a subcategory of 'Backbone'?,  False.
Can Animal that is also Mammal be considered a subcategory of 'Leg'?,  False.
Can Leg be considered a subcategory of 'Plant'?,  False.
Can Bird that is also Leg be considered a subcategory of 'Carnivore'?,  False.
Can something that lives_in some Mammal be considered a subcategory of 'Vertebrate'?,  True.
Can something that lives_in some Mammal be considered a subcategory of 'Egg'?,  False.
Can something that lives_in some Mammal be considered a subcategory of 'Meat'?,  False.
Can something that lives_in some Mammal be considered a subcategory of 'Carnivore'?,  False.
Can something that lives_in some Mammal be considered a subcategory of 'Water'?,  False.
Can something that lives_in some Mammal be considered a subcategory of 'Reptile'?,  False.
Can something that lives_in some Mammal be considered a subcategory of 'Plant'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Animal that is also Mammal that is also Vertebrate that is also Thing))'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Egg'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Meat'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Carnivore'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Water'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Reptile'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Plant'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Vertebrate'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Cat'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Fish'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Mammal'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Herbivore'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Leg'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Elephant'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Bird'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Backbone'?,  False.
Can Animal that is also Thing be considered a subcategory of 'Wing'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Egg'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Meat'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Carnivore'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Water'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Reptile'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Plant'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Cat'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Fish'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Herbivore'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Leg'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Elephant'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Bird'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Backbone'?,  False.
Can Animal that is also Mammal that is also Vertebrate that is also Thing be considered a subcategory of 'Wing'?,  False.
Can Animal that is also Thing that is also something that (lives_in some Animal) that is also something that (lives_in some (Mammal that is also Vertebrate that is also Thing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Animal that is also Mammal that is also Vertebrate that is also Thing))'?,  True.
Can Animal that is also Thing that is also something that (lives_in some (Animal that is also Mammal that is also Vertebrate that is also Thing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Animal that is also Mammal that is also Vertebrate that is also Thing))'?,  True.
Can Thing that is also something that (lives_in some (Animal that is also Mammal that is also Vertebrate that is also Thing)) be considered a subcategory of 'Vertebrate'?,  False.
Can Animal that is also Thing that is also something that (lives_in some (Mammal that is also Vertebrate that is also Thing)) be considered a subcategory of 'Vertebrate'?,  True.
Can Animal that is also Thing that is also something that (lives_in some (Vertebrate that is also Thing)) be considered a subcategory of 'Vertebrate'?,  True.
Can Animal that is also Thing that is also something that (lives_in some Thing) be considered a subcategory of 'Vertebrate'?,  False.
Can something that eats some Animal be considered a subcategory of 'Egg'?,  False.
Can Animal that is also Vertebrate be considered a subcategory of 'Backbone'?,  False.
Can Plant that is also Wing be considered a subcategory of 'Cat'?,  False.
Can something that lays some Egg be considered a subcategory of 'Plant'?,  False.
Can Egg that is also Fish be considered a subcategory of 'Wing'?,  False.
Can something that has_part some Plant be considered a subcategory of 'Cat'?,  False.
Can Bird be considered a subcategory of 'something that lives_in some Herbivore'?,  False.
Can something that eats some Wing be considered a subcategory of 'Meat'?,  False.
Can Egg that is also Reptile be considered a subcategory of 'Cat'?,  False.
Can Animal that is also Backbone be considered a subcategory of 'Vertebrate'?,  True.
Can Animal that is also Backbone be considered a subcategory of 'Egg'?,  False.
Can Animal that is also Backbone be considered a subcategory of 'Meat'?,  False.
Can Animal that is also Backbone be considered a subcategory of 'Reptile'?,  False.
Can Animal that is also Backbone be considered a subcategory of 'Plant'?,  False.
Can Backbone be considered a subcategory of 'Vertebrate'?,  False.
Can Egg that is also Plant be considered a subcategory of 'Vertebrate'?,  False.
Can Fish that is also Water be considered a subcategory of 'Plant'?,  False.
Can Cat that is also Vertebrate be considered a subcategory of 'Meat'?,  False.
Can Egg that is also Meat be considered a subcategory of 'Animal'?,  False.
Can Bird be considered a subcategory of 'something that eats some Cat'?,  False.
Can Backbone that is also Fish be considered a subcategory of 'Plant'?,  False.
Can something that eats some Animal be considered a subcategory of 'Herbivore'?,  False.
Can Mammal that is also Plant be considered a subcategory of 'Carnivore'?,  False.
Can Meat that is also Water be considered a subcategory of 'Backbone'?,  False.
Can Animal be considered a subcategory of 'something that lives_in some Cat'?,  False.
Can Leg that is also Meat be considered a subcategory of 'Vertebrate'?,  False.
Can Bird that is also Water be considered a subcategory of 'Herbivore'?,  False.
Can Vertebrate that is also Water be considered a subcategory of 'Reptile'?,  False.
Can something that eats some Meat be considered a subcategory of 'Egg'?,  False.
Can Backbone that is also Carnivore be considered a subcategory of 'Wing'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Backbone'?,  True.
Can Reptile that is also Water be considered a subcategory of 'Egg'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Meat'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Carnivore'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Plant'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Cat'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Fish'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Mammal'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Herbivore'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Elephant'?,  False.
Can Reptile that is also Water be considered a subcategory of 'Bird'?,  False.
Can Fish be considered a subcategory of 'something that lives_in some Cat'?,  False.
