Can Parent that is also Person be considered a subcategory of 'Father'?, True.
Can Sister be considered a subcategory of 'OffSpring'?, False
Can Woman be considered a subcategory of 'OffSpring'?, False
Can Male be considered a subcategory of 'OffSpring'?, False
Can Sibling be considered a subcategory of 'OffSpring'?, True
Can Sibling be considered a subcategory of 'GrandMother'?, False
Can Sibling be considered a subcategory of 'Thing'?, True.
Can Sibling be considered a subcategory of 'OffSpring that is also Thing'?, False
Can Sibling be considered a subcategory of 'Female'?, False
Can Sibling be considered a subcategory of 'Father'?, False
Can Sibling be considered a subcategory of 'Person'?, True
Can Sibling be considered a subcategory of 'OffSpring that is also Person'?, True
Can Sibling be considered a subcategory of 'Brother'?, False
Can Sibling be considered a subcategory of 'Parent'?, False
Can Sibling be considered a subcategory of 'Daughter'?, False
Can Sibling be considered a subcategory of 'Man'?, False.
Can Sibling be considered a subcategory of 'Mother'?, False
Can Sibling be considered a subcategory of 'GrandParent'?, False
Can Sibling be considered a subcategory of 'Sex'?, False
Can Sibling be considered a subcategory of 'Sister'?, False
Can Sibling be considered a subcategory of 'Woman'?, False
Can Sibling be considered a subcategory of 'Male'?, False.
Can Sibling be considered a subcategory of 'GrandFather'?, False.
Can Sibling be considered a subcategory of 'OffSpring that is also Person that is also Thing'?, True
Can GrandMother that is also Sibling be considered a subcategory of 'Brother'?, False.
Can OffSpring that is also Parent be considered a subcategory of 'Father'?, False.
Can Daughter that is also Father be considered a subcategory of 'Parent'?, False
Can GrandFather that is also Sister be considered a subcategory of 'Sibling'?, False
Can Child that is also Mother be considered a subcategory of 'Father'?, False
Can Male that is also Sex be considered a subcategory of 'Son'?, False
Can GrandFather that is also Sex be considered a subcategory of 'Male'?, False
Can Brother that is also Person be considered a subcategory of 'Child'?, False
Can Child that is also Mother be considered a subcategory of 'Son'?, False
Can GrandFather that is also Sister be considered a subcategory of 'Parent'?, False
Can something that hasParent some Parent be considered a subcategory of 'Woman'?, False
Can GrandParent be considered a subcategory of 'something that hasSibling some OffSpring'?, False.
Can Mother that is also OffSpring be considered a subcategory of 'Male'?, False
Can Woman be considered a subcategory of 'something that hasChild some Child'?, False
Can Female that is also Person be considered a subcategory of 'Parent'?, False
Can Female that is also Mother be considered a subcategory of 'Male'?, False
Can Daughter that is also Woman be considered a subcategory of 'Sister'?, False.
Can Man that is also Person be considered a subcategory of 'Sibling'?, False
Can GrandMother that is also Sister be considered a subcategory of 'Sibling'?, False.
Can Male that is also Sex be considered a subcategory of 'Female'?, False
Can Child that is also GrandParent be considered a subcategory of 'Sister'?, False.
Can Brother that is also Daughter be considered a subcategory of 'Mother'?, False
Can Mother that is also Woman be considered a subcategory of 'Sex'?, False
Can Father that is also Man be considered a subcategory of 'Brother'?, False
Can Person that is also Sex be considered a subcategory of 'Brother'?, False.
Can Man that is also Parent be considered a subcategory of 'Woman'?, False
Can something that hasChild some GrandParent be considered a subcategory of 'Woman'?, False
Can Child that is also OffSpring be considered a subcategory of 'Sex'?, False
Can GrandParent that is also Male be considered a subcategory of 'Brother'?, False
Can Sibling be considered a subcategory of 'something that hasSex some Mother'?, False.
Can Brother that is also Sister be considered a subcategory of 'Man'?, False
Can GrandFather that is also Woman be considered a subcategory of 'Father'?, False
Can something that hasSex some Sister be considered a subcategory of 'GrandFather'?, False
Can something that hasSibling some Man be considered a subcategory of 'Man'?, False
Can Man that is also Mother be considered a subcategory of 'Person'?, True
Can Man that is also Mother be considered a subcategory of 'GrandMother'?, False
Can Man that is also Mother be considered a subcategory of 'Son'?, False
Can Man that is also Mother be considered a subcategory of 'Female'?, False
Can Man that is also Mother be considered a subcategory of 'Father'?, False
Can Man that is also Mother be considered a subcategory of 'Child'?, False
Can Man be considered a subcategory of 'Person that is also Thing'?, True
Can GrandParent that is also OffSpring be considered a subcategory of 'Person'?, False
Can Child that is also Person be considered a subcategory of 'Daughter'?, False
Can Daughter that is also Sister be considered a subcategory of 'Sibling'?, False.
Can something that hasChild some Male be considered a subcategory of 'Sex'?, False
Can GrandMother be considered a subcategory of 'something that hasSex some Female'?, True
Can Thing that is also something that (hasSex some Female) be considered a subcategory of 'Thing that is also something that (hasSex some Female)'?, True
Can Parent be considered a subcategory of 'Female'?, False
Can Mother be considered a subcategory of 'Female'?, True
Can Mother be considered a subcategory of 'GrandMother'?, False.
Can Mother be considered a subcategory of 'Thing'?, True
Can Mother be considered a subcategory of 'Female that is also Thing'?, True
Can Mother be considered a subcategory of 'Son'?, False
Can Mother be considered a subcategory of 'Father'?, False
Can Mother be considered a subcategory of 'Person'?, True
Can Mother be considered a subcategory of 'Female that is also Person that is also Thing'?, True
Can Mother be considered a subcategory of 'Brother'?, False
Can Mother be considered a subcategory of 'Parent'?, True
Can Mother be considered a subcategory of 'Female that is also Parent that is also Person that is also Thing'?, True
Can Mother be considered a subcategory of 'Daughter'?, False
Can Mother be considered a subcategory of 'Man'?, False
Can Mother be considered a subcategory of 'GrandParent'?, False
Can Mother be considered a subcategory of 'Sex'?, False
Can Mother be considered a subcategory of 'Sister'?, False
Can Mother be considered a subcategory of 'Woman'?, True
Can Mother be considered a subcategory of 'Female that is also Parent that is also Person that is also Woman that is also Thing'?, True
Can Mother be considered a subcategory of 'Male'?, False
Can Mother be considered a subcategory of 'Sibling'?, False
Can Mother be considered a subcategory of 'GrandFather'?, False
Can Child that is also Sibling be considered a subcategory of 'GrandParent'?, False
Can Parent that is also Son be considered a subcategory of 'Mother'?, False
Can Man be considered a subcategory of 'something that hasChild some Female'?, False.
Can GrandParent that is also Person be considered a subcategory of 'Daughter'?, False
Can Daughter that is also Parent be considered a subcategory of 'Sister'?, False
Can Man that is also Sex be considered a subcategory of 'GrandMother'?, False
Can Person that is also Woman be considered a subcategory of 'OffSpring'?, False
Can Child that is also GrandParent be considered a subcategory of 'Parent'?, True
Can Child that is also GrandParent be considered a subcategory of 'GrandMother'?, False
Can Child that is also GrandParent be considered a subcategory of 'Son'?, False
Can Child that is also GrandParent be considered a subcategory of 'Father'?, False
Can Child that is also GrandParent be considered a subcategory of 'Brother'?, False
Can GrandParent be considered a subcategory of 'Parent'?, False.
Can Daughter be considered a subcategory of 'something that hasParent some Father'?, False
Can GrandMother that is also Person be considered a subcategory of 'OffSpring'?, False
Can GrandFather that is also Person be considered a subcategory of 'Father'?, False
Can Daughter that is also Sibling be considered a subcategory of 'Sister'?, False
Can GrandMother be considered a subcategory of 'something that hasSex some Man'?, False
Can Father be considered a subcategory of 'something that hasChild some Father'?, False
Can Woman be considered a subcategory of 'something that hasParent some GrandParent'?, False
Can Male be considered a subcategory of 'something that hasSibling some GrandParent'?, False
Can Female that is also Sex be considered a subcategory of 'Sister'?, False
Can Brother be considered a subcategory of 'GrandMother'?, False
Can GrandFather be considered a subcategory of 'something that hasChild some GrandParent'?, False.
Can something that hasSibling some Male be considered a subcategory of 'Person'?, True.
Can something that hasSibling some Male be considered a subcategory of 'GrandMother'?, False.
Can something that hasSibling some Male be considered a subcategory of 'Son'?, False
Can something that hasSibling some Male be considered a subcategory of 'Female'?, False.
Can something that hasSibling some Male be considered a subcategory of 'Father'?, False
Can something that hasSibling some Male be considered a subcategory of 'Child'?, True
Can Thing be considered a subcategory of 'Thing that is also something that (hasSibling some (Male that is also Thing))'?, False
Can Male that is also Thing be considered a subcategory of 'GrandMother'?, False
Can Male that is also Thing be considered a subcategory of 'Son'?, False
Can Male that is also Thing be considered a subcategory of 'Female'?, False
Can Male that is also Thing be considered a subcategory of 'Father'?, False
Can Male that is also Thing be considered a subcategory of 'Child'?, False
Can Male that is also Thing be considered a subcategory of 'Person'?, True
Can Father be considered a subcategory of 'something that hasSex some GrandParent'?, False
Can Parent that is also Woman be considered a subcategory of 'Daughter'?, False
Can Male be considered a subcategory of 'something that hasParent some Daughter'?, False
Can Daughter that is also Female be considered a subcategory of 'Sex'?, True
Can Daughter that is also Female be considered a subcategory of 'GrandMother'?, False
Can Daughter that is also Female be considered a subcategory of 'Son'?, False
Can Daughter that is also Female be considered a subcategory of 'Father'?, False
Can Daughter that is also Female be considered a subcategory of 'Brother'?, False
Can Daughter that is also Female be considered a subcategory of 'Parent'?, True
Can Female be considered a subcategory of 'Parent'?, False
Can Female that is also Sister be considered a subcategory of 'Brother'?, False
Can Female that is also GrandFather be considered a subcategory of 'GrandParent'?, False
Can something that hasChild some Sister be considered a subcategory of 'Brother'?, False
Can Father that is also OffSpring be considered a subcategory of 'Son'?, False
Can OffSpring that is also Person be considered a subcategory of 'Mother'?, False
Can OffSpring that is also Woman be considered a subcategory of 'Father'?, False
Can something that hasChild some Father be considered a subcategory of 'GrandMother'?, False
Can Child be considered a subcategory of 'something that hasChild some Sister'?, False
Can GrandMother that is also Parent be considered a subcategory of 'Sister'?, False
Can Child that is also Daughter be considered a subcategory of 'GrandFather'?, False
Can Sex that is also Sister be considered a subcategory of 'Man'?, False
Can Brother that is also Man be considered a subcategory of 'GrandParent'?, False
Can GrandParent that is also Woman be considered a subcategory of 'GrandFather'?, False
Can something that hasParent some Son be considered a subcategory of 'Sibling'?, True
Can something that hasParent some Son be considered a subcategory of 'GrandMother'?, False
Can something that hasParent some Son be considered a subcategory of 'Son'?, False
Can something that hasParent some Son be considered a subcategory of 'Female'?, False
Can something that hasParent some Son be considered a subcategory of 'Father'?, True
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some (Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Thing))'?, True
Can Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Thing be considered a subcategory of 'GrandMother'?, False.
Can Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Thing be considered a subcategory of 'Female'?, False
Can Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Thing be considered a subcategory of 'Father'?, False
Can Male that is also Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Thing be considered a subcategory of 'Child'?, True.
Can Man that is also OffSpring that is also Person that is also Sex that is also Son that is also Thing be considered a subcategory of 'Child'?, True
Can OffSpring that is also Person that is also Sex that is also Son that is also Thing be considered a subcategory of 'Child'?, False
Can Man that is also Person that is also Sex that is also Son that is also Thing be considered a subcategory of 'Child'?, True
Can Man that is also Sex that is also Son that is also Thing be considered a subcategory of 'Child'?, True
Can Man that is also Son that is also Thing be considered a subcategory of 'Child'?, False
Can Man that is also Sex that is also Thing be considered a subcategory of 'Child'?, False
Can Man that is also OffSpring be considered a subcategory of 'Father'?, False
Can GrandParent that is also Sex be considered a subcategory of 'GrandMother'?, False
Can Female be considered a subcategory of 'something that hasChild some Child'?, False
Can Daughter that is also Sister be considered a subcategory of 'Male'?, False
Can Child that is also Daughter be considered a subcategory of 'Male'?, False
Can Man that is also Parent be considered a subcategory of 'Sister'?, False
Can Father that is also Person be considered a subcategory of 'GrandParent'?, False
Can Person that is also Sibling be considered a subcategory of 'Mother'?, False.
Can Sibling be considered a subcategory of 'something that hasParent some Mother'?, False.
Can Daughter that is also Sibling be considered a subcategory of 'Mother'?, False.
Can GrandParent that is also Man be considered a subcategory of 'GrandMother'?, False.
Can Daughter that is also GrandParent be considered a subcategory of 'GrandMother'?, False
Can Parent be considered a subcategory of 'something that hasSex some Man'?, False
Can something that hasParent some Woman be considered a subcategory of 'OffSpring'?, False
Can Child that is also GrandMother be considered a subcategory of 'Brother'?, False
Can Child that is also GrandFather be considered a subcategory of 'Woman'?, False
Can Parent that is also Person be considered a subcategory of 'Woman'?, False
Can Father that is also Parent be considered a subcategory of 'Brother'?, False
Can GrandParent that is also Man be considered a subcategory of 'Male'?, False
Can Male be considered a subcategory of 'something that hasSex some Woman'?, False
Can Brother that is also Female be considered a subcategory of 'Son'?, False
Can OffSpring that is also Person be considered a subcategory of 'Male'?, False
Can Female that is also Sex be considered a subcategory of 'GrandMother'?, False.
Can Female that is also Sister be considered a subcategory of 'Parent'?, False
Can GrandMother that is also GrandParent be considered a subcategory of 'Daughter'?, False
Can Man that is also Sibling be considered a subcategory of 'Daughter'?, False.
Can Parent be considered a subcategory of 'Sex'?, False
Can GrandFather that is also Man be considered a subcategory of 'Mother'?, False
Can Sex be considered a subcategory of 'something that hasSex some Brother'?, False
Can Brother be considered a subcategory of 'something that hasChild some Mother'?, False.
Can Female that is also GrandParent be considered a subcategory of 'OffSpring'?, False
Can something that hasParent some Sex be considered a subcategory of 'Son'?, False
Can something that hasSibling some Brother be considered a subcategory of 'Son'?, False.
Can GrandMother that is also Son be considered a subcategory of 'Mother'?, False.
Can Daughter that is also Male be considered a subcategory of 'Sex'?, False
Can Father that is also Person be considered a subcategory of 'OffSpring'?, False
Can Female that is also GrandFather be considered a subcategory of 'Brother'?, False
Can Brother that is also Sibling be considered a subcategory of 'GrandMother'?, False
Can Female be considered a subcategory of 'something that hasParent some Person'?, False \n\n
Can Daughter that is also Father be considered a subcategory of 'Sister'?, False
Can GrandFather that is also Sex be considered a subcategory of 'Sister'?, False
Can Male that is also Man be considered a subcategory of 'GrandFather'?, False
Can something that hasSex some Mother be considered a subcategory of 'Man'?, False
Can Brother be considered a subcategory of 'something that hasSibling some GrandParent'?, False
Can Sister that is also Woman be considered a subcategory of 'GrandFather'?, False
Can GrandMother that is also Man be considered a subcategory of 'Sibling'?, False
Can Father that is also Person be considered a subcategory of 'Sibling'?, False
Can something that hasSibling some OffSpring be considered a subcategory of 'Man'?, False
Can Sister that is also Son be considered a subcategory of 'Daughter'?, False.
Can OffSpring that is also Woman be considered a subcategory of 'Mother'?, False
Can Mother that is also Person be considered a subcategory of 'GrandParent'?, False
Can Female that is also Man be considered a subcategory of 'Father'?, False
Can Brother that is also Mother be considered a subcategory of 'Sister'?, False
Can GrandParent that is also Sister be considered a subcategory of 'Person'?, False
Can Person be considered a subcategory of 'something that hasParent some Person'?, False
Can OffSpring that is also Woman be considered a subcategory of 'GrandMother'?, False
Can Male that is also Son be considered a subcategory of 'GrandMother'?, False
Can Child that is also Female be considered a subcategory of 'Father'?, False
Can GrandFather that is also Person be considered a subcategory of 'Man'?, False
Can OffSpring be considered a subcategory of 'something that hasParent some Sister'?, True
Can OffSpring be considered a subcategory of 'GrandMother'?, False
Can OffSpring be considered a subcategory of 'Female'?, False
Can OffSpring be considered a subcategory of 'Father'?, False
Can OffSpring be considered a subcategory of 'Person'?, False \n\n
Can OffSpring be considered a subcategory of 'Brother'?, False
Can OffSpring be considered a subcategory of 'Parent'?, False
Can OffSpring be considered a subcategory of 'Daughter'?, False
Can OffSpring be considered a subcategory of 'Man'?, False
Can OffSpring be considered a subcategory of 'Mother'?, False.
Can OffSpring be considered a subcategory of 'GrandParent'?, False
Can OffSpring be considered a subcategory of 'Sex'?, False
Can OffSpring be considered a subcategory of 'Sister'?, False
Can OffSpring be considered a subcategory of 'Woman'?, False
Can OffSpring be considered a subcategory of 'Male'?, False
Can OffSpring be considered a subcategory of 'Sibling'?, False
Can GrandMother be considered a subcategory of 'something that hasParent some Sister'?, False
Can Thing be considered a subcategory of 'something that hasParent some Sister'?, False
Can Son be considered a subcategory of 'something that hasParent some Sister'?, False
Can Female be considered a subcategory of 'something that hasParent some Sister'?, False
Can Father be considered a subcategory of 'something that hasParent some Sister'?, False
Can Child be considered a subcategory of 'something that hasParent some Sister'?, False
Can Person be considered a subcategory of 'something that hasParent some Sister'?, False.
Can Brother be considered a subcategory of 'something that hasParent some Sister'?, False.
Can Parent be considered a subcategory of 'something that hasParent some Sister'?, False
Can Daughter be considered a subcategory of 'something that hasParent some Sister'?, False
Can Man be considered a subcategory of 'something that hasParent some Sister'?, False
Can Mother be considered a subcategory of 'something that hasParent some Sister'?, False
Can GrandParent be considered a subcategory of 'something that hasParent some Sister'?, False
Can Sex be considered a subcategory of 'something that hasParent some Sister'?, False
Can Sister be considered a subcategory of 'something that hasParent some Sister'?, False.
Can Thing that is also something that (hasParent some Sister) be considered a subcategory of 'Thing that is also something that (hasParent some Sister)'?, False
Can OffSpring be considered a subcategory of 'Thing'?, True.
Can Thing be considered a subcategory of 'Thing that is also something that (hasParent some Sister)'?, False
Can OffSpring be considered a subcategory of 'OffSpring'?, False
Can Female be considered a subcategory of 'Sister'?, False.
Can Brother be considered a subcategory of 'Sister'?, False
Can Parent be considered a subcategory of 'Sister'?, False
Can GrandParent be considered a subcategory of 'Sister'?, False
Can Sex be considered a subcategory of 'Sister'?, False.
Can Woman be considered a subcategory of 'Sister'?, False
Can Male be considered a subcategory of 'Sister'?, False
Can GrandFather be considered a subcategory of 'Sister'?, False
Can OffSpring be considered a subcategory of 'Thing that is also something that (hasParent some (Sister that is also Thing))'?, True
Can Thing that is also something that (hasParent some (Sister that is also Thing)) be considered a subcategory of 'Thing that is also something that (hasParent some (Sister that is also Thing))'?, True
Can GrandMother be considered a subcategory of 'Sister that is also Thing'?, False
Can Thing be considered a subcategory of 'Sister that is also Thing'?, False.
Can Son be considered a subcategory of 'Sister that is also Thing'?, False
Can Female be considered a subcategory of 'Sister that is also Thing'?, False
Can Father be considered a subcategory of 'Sister that is also Thing'?, False.
Can Child be considered a subcategory of 'Sister that is also Thing'?, False
Can Person be considered a subcategory of 'Sister that is also Thing'?, False
Can Brother be considered a subcategory of 'Sister that is also Thing'?, False
Can Parent be considered a subcategory of 'Sister that is also Thing'?, False
Can Daughter be considered a subcategory of 'Sister that is also Thing'?, False
Can Man be considered a subcategory of 'Sister that is also Thing'?, False
Can Mother be considered a subcategory of 'Sister that is also Thing'?, False
Can GrandParent be considered a subcategory of 'Sister that is also Thing'?, False.
Can Sex be considered a subcategory of 'Sister that is also Thing'?, False
Can OffSpring be considered a subcategory of 'Sister that is also Thing'?, False
Can Woman be considered a subcategory of 'Sister that is also Thing'?, False.
Can Male be considered a subcategory of 'Sister that is also Thing'?, False.
Can Sibling be considered a subcategory of 'Sister that is also Thing'?, True
Can something that hasSex some Parent be considered a subcategory of 'Child'?, True
Can something that hasSex some Parent be considered a subcategory of 'GrandMother'?, False
Can something that hasSex some Parent be considered a subcategory of 'Son'?, False
Can something that hasSex some Parent be considered a subcategory of 'Female'?, False
Can something that hasSex some Parent be considered a subcategory of 'Father'?, False
Can Thing be considered a subcategory of 'Thing that is also something that (hasSex some (Parent that is also Thing))'?, False
Can Parent that is also Thing be considered a subcategory of 'GrandMother'?, False
Can Parent that is also Thing be considered a subcategory of 'Son'?, False
Can Parent that is also Thing be considered a subcategory of 'Female'?, False
Can Parent that is also Thing be considered a subcategory of 'Father'?, False
Can Parent that is also Thing be considered a subcategory of 'Child'?, False.
Can Parent that is also Thing be considered a subcategory of 'Person'?, False
Can Parent that is also Thing be considered a subcategory of 'Brother'?, False.
Can Parent that is also Thing be considered a subcategory of 'Daughter'?, False
Can Parent that is also Thing be considered a subcategory of 'Man'?, False
Can Parent that is also Thing be considered a subcategory of 'Mother'?, False.
Can Parent that is also Thing be considered a subcategory of 'GrandParent'?, False.
Can Parent that is also Thing be considered a subcategory of 'Sex'?, False
Can Parent that is also Thing be considered a subcategory of 'Sister'?, False
Can Parent that is also Thing be considered a subcategory of 'OffSpring'?, False
Can Parent that is also Thing be considered a subcategory of 'Woman'?, False
Can Parent that is also Thing be considered a subcategory of 'Male'?, False
Can Parent that is also Thing be considered a subcategory of 'Sibling'?, False
Can Parent that is also Thing be considered a subcategory of 'GrandFather'?, False
Can Thing that is also something that (hasSex some Parent) that is also something that (hasSex some Thing) be considered a subcategory of 'Thing that is also something that (hasSex some (Parent that is also Thing))'?, True
Can Thing that is also something that (hasSex some (Parent that is also Thing)) be considered a subcategory of 'Thing that is also something that (hasSex some (Parent that is also Thing))'?, True
Can Thing that is also something that (hasSex some Thing) be considered a subcategory of 'Child'?, False
Can Woman be considered a subcategory of 'Male'?, False
Can GrandParent be considered a subcategory of 'something that hasSex some Brother'?, False
Can something that hasChild some Man be considered a subcategory of 'Son'?, False.
Can GrandParent that is also Sister be considered a subcategory of 'Son'?, False
Can OffSpring be considered a subcategory of 'something that hasChild some Parent'?, False
Can Sex be considered a subcategory of 'something that hasSex some Parent'?, False
Can Female that is also Mother be considered a subcategory of 'Sister'?, False.
Can Sex that is also Son be considered a subcategory of 'GrandMother'?, False
Can Person that is also Woman be considered a subcategory of 'Brother'?, False
Can OffSpring that is also Parent be considered a subcategory of 'GrandFather'?, False
Can Son be considered a subcategory of 'something that hasParent some Man'?, False
Can Sex be considered a subcategory of 'something that hasChild some Sex'?, False.
Can something that hasSibling some Female be considered a subcategory of 'Sister'?, False
Can Father that is also Mother be considered a subcategory of 'Sister'?, False
Can GrandParent that is also Parent be considered a subcategory of 'Father'?, False
Can something that hasParent some Sibling be considered a subcategory of 'Father'?, False
Can Female that is also Sister be considered a subcategory of 'GrandParent'?, False
Can Brother that is also Man be considered a subcategory of 'GrandFather'?, False
Can GrandFather be considered a subcategory of 'something that hasSex some Person'?, False
Can Sibling be considered a subcategory of 'something that hasChild some GrandParent'?, False
Can something that hasSex some Son be considered a subcategory of 'Daughter'?, False
Can something that hasSibling some GrandMother be considered a subcategory of 'Daughter'?, False.
Can Male that is also OffSpring be considered a subcategory of 'Female'?, False
Can something that hasSex some Daughter be considered a subcategory of 'Parent'?, True
Can something that hasSex some Daughter be considered a subcategory of 'GrandMother'?, False
Can something that hasSex some Daughter be considered a subcategory of 'Son'?, False
Can something that hasSex some Daughter be considered a subcategory of 'Father'?, False.
Can something that hasSex some Daughter be considered a subcategory of 'Brother'?, False.
Can Child that is also Female that is also Person that is also Thing be considered a subcategory of 'Child that is also Female that is also Person that is also Thing that is also something that (hasSex some (Child that is also Daughter that is also Father that is also Female that is also Man that is also OffSpring that is also Parent that is also Person that is also Woman that is also Thing))'?, False
Can Child that is also Female that is also Person that is also Thing be considered a subcategory of 'GrandMother'?, False
Can Child that is also Female that is also Person that is also Thing be considered a subcategory of 'Son'?, False
Can Child that is also Female that is also Person that is also Thing be considered a subcategory of 'Father'?, False
Can Child that is also Female that is also Person that is also Thing be considered a subcategory of 'Brother'?, False
Can Child that is also Female that is also Person that is also Thing be considered a subcategory of 'Parent'?, False
Can Child that is also Female that is also Person that is also Thing be considered a subcategory of 'Daughter'?, True
Can Female that is also Person that is also Thing be considered a subcategory of 'Daughter'?, False
Can Child that is also Person that is also Thing be considered a subcategory of 'Daughter'?, False.
Can Child that is also Female that is also Thing be considered a subcategory of 'Daughter'?, False
Can something that hasSibling some Sex be considered a subcategory of 'Parent'?, False
Can Female be considered a subcategory of 'something that hasParent some Female'?, False.
Can Sex that is also Sister be considered a subcategory of 'Son'?, False
Can Child that is also Sex be considered a subcategory of 'Son'?, False
Can GrandParent that is also Sibling be considered a subcategory of 'GrandMother'?, False
Can Brother that is also Sister be considered a subcategory of 'Male'?, False
Can GrandFather be considered a subcategory of 'something that hasParent some Male'?, False
Can Daughter that is also Man be considered a subcategory of 'Sex'?, True.
Can Daughter that is also Man be considered a subcategory of 'Son'?, False
Can Daughter that is also Man be considered a subcategory of 'Brother'?, False.
Can Daughter that is also Man be considered a subcategory of 'Mother'?, False
Can Daughter that is also Man be considered a subcategory of 'GrandParent'?, False
Can Son be considered a subcategory of 'something that hasParent some Person'?, False
Can Child that is also Sibling be considered a subcategory of 'GrandFather'?, False
Can GrandFather that is also Man be considered a subcategory of 'GrandMother'?, False
Can Daughter that is also Mother be considered a subcategory of 'GrandFather'?, False
Can something that hasChild some Male be considered a subcategory of 'Sister'?, False
Can Father that is also GrandMother be considered a subcategory of 'Sister'?, False
Can Father that is also Sister be considered a subcategory of 'OffSpring'?, False
Can Brother that is also Male be considered a subcategory of 'Son'?, False
Can something that hasParent some Woman be considered a subcategory of 'Son'?, False
Can Female that is also OffSpring be considered a subcategory of 'Male'?, False
Can GrandFather that is also Man be considered a subcategory of 'OffSpring'?, False
Can GrandParent that is also Person be considered a subcategory of 'Parent'?, False
Can something that hasSex some GrandFather be considered a subcategory of 'Son'?, False
Can Male that is also Woman be considered a subcategory of 'Child'?, False
Can Daughter be considered a subcategory of 'something that hasParent some Parent'?, False
Can Daughter be considered a subcategory of 'something that hasParent some Sex'?, True
Can GrandMother be considered a subcategory of 'something that hasParent some Sex'?, True
Can Thing that is also something that (hasParent some Sex) be considered a subcategory of 'Thing that is also something that (hasParent some Sex)'?, True
Can Female be considered a subcategory of 'Sex'?, False
Can Brother be considered a subcategory of 'Sex'?, False
Can GrandParent be considered a subcategory of 'Sex'?, False
Can Sister be considered a subcategory of 'Sex'?, False
Can Woman be considered a subcategory of 'Sex'?, False
Can Male be considered a subcategory of 'Sex'?, True
Can Male be considered a subcategory of 'GrandMother'?, False
Can Male be considered a subcategory of 'Thing'?, True
Can Male be considered a subcategory of 'Sex that is also Thing'?, True
Can Male be considered a subcategory of 'Son'?, False
Can Male be considered a subcategory of 'Female'?, False
Can Male be considered a subcategory of 'Person'?, True
Can Male be considered a subcategory of 'Person that is also Sex that is also Thing'?, True
Can Male be considered a subcategory of 'Brother'?, False
Can Male be considered a subcategory of 'Parent'?, False
Can Male be considered a subcategory of 'Daughter'?, False
Can Male be considered a subcategory of 'Man'?, True.
Can Male be considered a subcategory of 'Man that is also Person that is also Sex that is also Thing'?, False
Can Male be considered a subcategory of 'Mother'?, False
Can Male be considered a subcategory of 'GrandParent'?, False
Can Male be considered a subcategory of 'Woman'?, False
Can Male be considered a subcategory of 'Sibling'?, False
Can Male be considered a subcategory of 'GrandFather'?, False
Can Daughter that is also Woman be considered a subcategory of 'Mother'?, False.
Can Father that is also Sister be considered a subcategory of 'Sibling'?, False
Can Child be considered a subcategory of 'something that hasParent some Female'?, False
Can GrandParent that is also Parent be considered a subcategory of 'Female'?, False.
Can OffSpring that is also Parent be considered a subcategory of 'Sex'?, False
Can something that hasChild some Sibling be considered a subcategory of 'Daughter'?, False
Can Sibling be considered a subcategory of 'something that hasChild some Brother'?, False
Can GrandMother that is also Sex be considered a subcategory of 'Mother'?, False
Can GrandParent that is also Mother be considered a subcategory of 'Sibling'?, False
Can Mother that is also Parent be considered a subcategory of 'GrandParent'?, False
Can Child that is also Female be considered a subcategory of 'GrandParent'?, False
Can Father that is also GrandParent be considered a subcategory of 'Daughter'?, False
Can GrandMother be considered a subcategory of 'something that hasChild some Sex'?, True
Can Thing that is also something that (hasChild some Sex) be considered a subcategory of 'Thing that is also something that (hasChild some Sex)'?, False
Can GrandMother be considered a subcategory of 'GrandMother'?, False
Can Thing be considered a subcategory of 'Thing that is also something that (hasChild some Sex)'?, False
Can Female be considered a subcategory of 'GrandMother'?, False
Can Female be considered a subcategory of 'Thing that is also something that (hasChild some Sex)'?, True.
Can Female be considered a subcategory of 'Thing'?, True
Can Female be considered a subcategory of 'Son'?, False
Can Female be considered a subcategory of 'Female'?, False
Can Female be considered a subcategory of 'Father'?, False
Can Female be considered a subcategory of 'Person'?, True
Can Person be considered a subcategory of 'Thing that is also something that (hasChild some Sex)'?, False
Can Female be considered a subcategory of 'Brother'?, False
Can Female be considered a subcategory of 'Daughter'?, False
Can Female be considered a subcategory of 'Man'?, False
Can Female be considered a subcategory of 'Mother'?, False.
Can Female be considered a subcategory of 'GrandParent'?, False
Can Female be considered a subcategory of 'Woman'?, False
Can Female be considered a subcategory of 'Male'?, False
Can Female be considered a subcategory of 'Sibling'?, False
Can Female be considered a subcategory of 'GrandFather'?, False
Can GrandFather be considered a subcategory of 'Sex'?, False
Can Female be considered a subcategory of 'Person that is also Thing that is also something that (hasChild some Sex)'?, True.
Can Female be considered a subcategory of 'Person that is also Thing that is also something that (hasChild some (Sex that is also Thing))'?, True
Can Female be considered a subcategory of 'Person that is also Thing that is also something that (hasChild some (Person that is also Sex that is also Thing))'?, False
Can Person that is also Thing that is also something that (hasChild some (Sex that is also Thing)) be considered a subcategory of 'Person that is also Thing that is also something that (hasChild some (Sex that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Sex that is also Thing'?, True
