HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure,  False.
LowReductionInHamiltonAnxietyScore and ModerateHamiltonDepressionScore SubClassOf BodyMassIndexDifference,  False.
ElectrocardiogramQTInterval and ModerateReductionInChildDepressionScore SubClassOf HighReductionInChildDepressionScore,  False.
BodyMassIndex and MyocardialInfarctionFrequency SubClassOf _24HourBloodPressure,  False.
BodyMassIndex and BodyMassIndexDifference SubClassOf Gender,  False.
ClinicalOutcomeMeasure and Dose SubClassOf LowReductionInChildDepressionScore,  False.
PathogenCount and SideEffectFrequency SubClassOf LowDrugEfficacy,  False.
DrugEfficacy and HamiltonAnxietyScore SubClassOf ASAAConcentrationDifference,  False.
LowReductionInChildDepressionScore and PathogenCount SubClassOf HomocysteineLevel,  False.
LowMontgomeryAsbergDepressionRating and Weigth SubClassOf BodyMassIndexMeasure,  False.
GenotypeMeasure and Satiety SubClassOf NormalGeneExpression,  False.
ElectrocardiogramQTInterval and ModerateRemission SubClassOf BiologicalMeasure,  True,
ElectrocardiogramQTInterval and ModerateRemission SubClassOf ChildDepressionScore,  False\n
ElectrocardiogramQTInterval and ModerateRemission SubClassOf MolecularMeasure,  False.
ElectrocardiogramQTInterval and ModerateRemission SubClassOf RemissionFrequency,  To answer
ElectrocardiogramQTInterval and ModerateRemission SubClassOf SatietyFrequency,  False\n
ElectrocardiogramQTInterval and ModerateRemission SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
ElectrocardiogramQTInterval and ModerateRemission SubClassOf ASAAConcentrationIncrease,  False.
ElectrocardiogramQTInterval and ModerateRemission SubClassOf ERVisitFrequency,  False\n
ElectrocardiogramQTInterval and ModerateRemission SubClassOf ForcedExperiatoryVolume,  False\n
ElectrocardiogramQTInterval and ModerateRemission SubClassOf DailyBloodPressure,  False.
ElectrocardiogramQTInterval and ModerateRemission SubClassOf HighRemission,  True\n
ModerateRemission SubClassOf HighRemission,  False.
ElectrocardiogramQTInterval SubClassOf HighRemission,  False.
LowerDiseaseSusceptibilityOdds and MolecularMeasure SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
ExerciseResponse and LowerDiseaseSusceptibilityOdds SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
GenotypeMeasure and HighReductionInHamiltonAnxietyScore SubClassOf SatietyDifference,  False.
HighMontgomeryAsbergDepressionRating and LowReductionInHamiltonAnxietyScore SubClassOf DrugEfficacyMeasure,  False.
BloodSerumProteinCount and ERVisitFrequency SubClassOf ChildDepressionScore,  False.
IncreasedGeneExpression and LowReductionInChildDepressionScore SubClassOf BloodSerumProteinCount,  False.
BiophysicalMeasure and CognitiveMeasure SubClassOf ElectrocardiogramQTInterval,  False.
ForcedExperiatoryVolume and MyocardialInfarctionFrequency SubClassOf RemissionFrequency,  False.
ASAAConcentration and RemissionFrequency SubClassOf ErythromycinClearanceMeasure,  False.
HighDrugEfficacy and SatietyMeasure SubClassOf QualityOfLife,  True\n
HighDrugEfficacy and SatietyMeasure SubClassOf ChildDepressionScore,  False.
HighDrugEfficacy and SatietyMeasure SubClassOf MolecularMeasure,  True.
SatietyMeasure SubClassOf MolecularMeasure,  True.
SatietyMeasure SubClassOf ChildDepressionScore,  False.
SatietyMeasure SubClassOf RemissionFrequency,  False.
SatietyMeasure SubClassOf SatietyFrequency,  False.
SatietyMeasure SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
SatietyMeasure SubClassOf ASAAConcentrationIncrease,  False.
SatietyMeasure SubClassOf ERVisitFrequency,  False.
SatietyMeasure SubClassOf ForcedExperiatoryVolume,  False.
SatietyMeasure SubClassOf DailyBloodPressure,  False.
SatietyMeasure SubClassOf HighRemission,  False.
SatietyMeasure SubClassOf WeigthDifference,  False.
SatietyMeasure SubClassOf GeneExpressionDifference,  False.
SatietyMeasure SubClassOf ExerciseResponse,  False.
SatietyMeasure SubClassOf NeoplasmFrequency,  False.
SatietyMeasure SubClassOf GenotypeMeasure,  False.
SatietyMeasure SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
SatietyMeasure SubClassOf QualityOfLife,  False.
SatietyMeasure SubClassOf AirwayResponsivenessUsingMethacholine,  False.
SatietyMeasure SubClassOf HighReductionInHamiltonAnxietyScore,  False.
SatietyMeasure SubClassOf ModerateHamiltonDepressionScore,  False.
SatietyMeasure SubClassOf LowReductionInChildDepressionScore,  False.
SatietyMeasure SubClassOf BodyMassIndexDifference,  False.
SatietyMeasure SubClassOf HighHamiltonDepressionScore,  False.
SatietyMeasure SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
SatietyMeasure SubClassOf ForcedVitalCapacity,  False.
SatietyMeasure SubClassOf HamiltonDepressionMeasure,  False.
SatietyMeasure SubClassOf PlasmaDrugConcentration,  False.
SatietyMeasure SubClassOf ElectrocardiogramQTInterval,  False.
SatietyMeasure SubClassOf PharmacokineticMeasure,  True.
SatietyMeasure SubClassOf MolecularMeasure and PharmacokineticMeasure,  False.
SatietyMeasure SubClassOf LowMontgomeryAsbergDepressionRating,  False.
SatietyMeasure SubClassOf RemissionMeasure,  False.
SatietyMeasure SubClassOf BiologicalMeasure,  True.
SatietyMeasure SubClassOf BiologicalMeasure and MolecularMeasure,  False.
SatietyMeasure SubClassOf GeneExpressionMeasure,  True.
SatietyMeasure SubClassOf GeneExpressionMeasure and MolecularMeasure,  False.
SatietyMeasure SubClassOf CellCount,  False.
SatietyMeasure SubClassOf ASAAMeasure,  True.
SatietyMeasure SubClassOf ASAAMeasure and MolecularMeasure,  False.
SatietyMeasure SubClassOf PopulationVariation,  False.
SatietyMeasure SubClassOf MetabolicMeasure,  True.
SatietyMeasure SubClassOf MetabolicMeasure and MolecularMeasure,  False.
SatietyMeasure SubClassOf TaxonomicMeasure,  True\n
SatietyMeasure SubClassOf MolecularMeasure and TaxonomicMeasure,  False.
SatietyMeasure SubClassOf LowRemission,  False.
SatietyMeasure SubClassOf DrugClearance,  False.
SatietyMeasure SubClassOf ASAAConcentrationDifference,  False.
SatietyMeasure SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
SatietyMeasure SubClassOf ASAAConcentrationDecrease,  False.
SatietyMeasure SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
SatietyMeasure SubClassOf BodyMassIndexMeasure,  False.
SatietyMeasure SubClassOf IncreasedGeneExpression,  False.
SatietyMeasure SubClassOf PathogenCount,  False.
SatietyMeasure SubClassOf SimilarDiseaseSusceptibilityOdds,  False.
SatietyMeasure SubClassOf SatietyDifference,  False.
SatietyMeasure SubClassOf DiseaseFrequency,  False.
SatietyMeasure SubClassOf MontgomeryAsbergDepressionMeasure,  False.
SatietyMeasure SubClassOf CognitiveMeasure,  True.
SatietyMeasure SubClassOf CognitiveMeasure and MolecularMeasure,  False.
SatietyMeasure SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
SatietyMeasure SubClassOf HighMontgomeryAsbergDepressionRating,  False.
SatietyMeasure SubClassOf WeightLoss,  False.
SatietyMeasure SubClassOf Gender,  False.
SatietyMeasure SubClassOf HamiltonAnxietyScore,  False.
SatietyMeasure SubClassOf SatietyDecrease,  False.
SatietyMeasure SubClassOf Weigth,  False.
SatietyMeasure SubClassOf Race,  False.
SatietyMeasure SubClassOf WeigthGain,  False.
SatietyMeasure SubClassOf AsthmaFrequency,  False.
SatietyMeasure SubClassOf DecreasedGeneExpression,  False.
SatietyMeasure SubClassOf PharmacodynamicMeasure,  True.
SatietyMeasure SubClassOf MolecularMeasure and PharmacodynamicMeasure,  True.
SatietyMeasure SubClassOf ModerateRemission,  False.
SatietyMeasure SubClassOf TissueMeasure,  True.
SatietyMeasure SubClassOf MolecularMeasure and PharmacodynamicMeasure and TissueMeasure,  False.
SatietyMeasure SubClassOf MontgomeryAsbergDepressionRating,  False.
SatietyMeasure SubClassOf HighReductionInChildDepressionScore,  False.
SatietyMeasure SubClassOf ZeroRemission,  False.
SatietyMeasure SubClassOf DoseFrequency,  False.
SatietyMeasure SubClassOf HamiltonAnxietyScoreDifference,  False.
SatietyMeasure SubClassOf DrugEfficacy,  False.
SatietyMeasure SubClassOf WeightMeasure,  False.
SatietyMeasure SubClassOf CoagulationProfile,  False.
SatietyMeasure SubClassOf LowReductionInHamiltonDepressionScore,  False.
SatietyMeasure SubClassOf BloodPressure,  False.
SatietyMeasure SubClassOf PulmonaryFunctionMeasure,  False.
SatietyMeasure SubClassOf SatietyIncrease,  False.
SatietyMeasure SubClassOf DiseaseSusceptibilityOdds,  False.
SatietyMeasure SubClassOf LowHamiltonDepressionScore,  False.
SatietyMeasure SubClassOf BoneMineralDensity,  False.
SatietyMeasure SubClassOf NormalGeneExpression,  False.
SatietyMeasure SubClassOf ReninAngiotensinSystemMeasure,  False.
SatietyMeasure SubClassOf BloodSerumProteinCount,  False.
SatietyMeasure SubClassOf AnxietyMeasure,  False.
SatietyMeasure SubClassOf HamiltonDepressionScore,  False.
SatietyMeasure SubClassOf SideEffectRate,  False.
SatietyMeasure SubClassOf DepressionMeasure,  False.
SatietyMeasure SubClassOf GeneExpression,  False.
SatietyMeasure SubClassOf Dose,  False.
SatietyMeasure SubClassOf LowerDiseaseSusceptibilityOdds,  False.
SatietyMeasure SubClassOf SideEffectFrequency,  False.
SatietyMeasure SubClassOf MyocardialInfarctionFrequency,  False.
SatietyMeasure SubClassOf ZeroDrugEfficacy,  True.
SatietyMeasure SubClassOf MolecularMeasure and PharmacodynamicMeasure and ZeroDrugEfficacy,  False.
SatietyMeasure SubClassOf Satiety,  True.
SatietyMeasure SubClassOf MolecularMeasure and PharmacodynamicMeasure and Satiety,  True.
SatietyMeasure SubClassOf ClinicalOutcomeMeasure,  True.
SatietyMeasure SubClassOf ClinicalOutcomeMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety,  False.
SatietyMeasure SubClassOf LipidProfile,  False.
SatietyMeasure SubClassOf BodyMassIndexDecrease,  False.
SatietyMeasure SubClassOf HighDrugEfficacy,  False.
SatietyMeasure SubClassOf BodyMassIndexIncrease,  False.
SatietyMeasure SubClassOf _24HourBloodPressure,  False.
SatietyMeasure SubClassOf HighReductionInHamiltonDepressionScore,  False.
SatietyMeasure SubClassOf BodyMassIndex,  False.
SatietyMeasure SubClassOf DrugEfficacyMeasure,  False.
SatietyMeasure SubClassOf BiophysicalMeasure,  True.
SatietyMeasure SubClassOf BiophysicalMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety,  True\n
SatietyMeasure SubClassOf ChildDepressionScoreDifference,  False.
SatietyMeasure SubClassOf LowReductionInHamiltonAnxietyScore,  False.
SatietyMeasure SubClassOf ChildDepressionMeasure,  False.
SatietyMeasure SubClassOf HamiltonDepressionScoreDifference,  False.
SatietyMeasure SubClassOf HighRemissionOddsRatio,  False.
SatietyMeasure SubClassOf LowDrugEfficacy,  False.
SatietyMeasure SubClassOf ErythromycinClearanceMeasure,  False.
SatietyMeasure SubClassOf LowReductionInMontgomeryAsbergDepressionRating,  False.
SatietyMeasure SubClassOf ModerateReductionInChildDepressionScore,  False.
SatietyMeasure SubClassOf ASAAConcentration,  False.
SatietyMeasure SubClassOf ModerateReductionInHamiltonDepressionScore,  False.
SatietyMeasure SubClassOf SimilarRemissionOddsRatio,  False.
SatietyMeasure SubClassOf EventFreeSurvivalTime,  False.
SatietyMeasure SubClassOf LowRemissionOddsRatio,  False.
SatietyMeasure SubClassOf HomocysteineLevel,  False.
SatietyMeasure SubClassOf SideEffectMeasure,  True.
SatietyMeasure SubClassOf BiophysicalMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety and SideEffectMeasure,  False.
SatietyMeasure SubClassOf RemissionOddsRatio,  False.
SatietyMeasure SubClassOf BiophysicalMeasure and MolecularMeasure and PharmacodynamicMeasure and PharmacokineticMeasure and Satiety,  False.
SatietyMeasure SubClassOf BiologicalMeasure and BiophysicalMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety,  True,
SatietyMeasure SubClassOf BiologicalMeasure and BiophysicalMeasure and GeneExpressionMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety,  True\n
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and GeneExpressionMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety,  True.
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and GeneExpressionMeasure and MetabolicMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety,  True.
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and GeneExpressionMeasure and MetabolicMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety and TaxonomicMeasure,  True\n
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and CognitiveMeasure and GeneExpressionMeasure and MetabolicMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety and TaxonomicMeasure,  True\n
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and CognitiveMeasure and GeneExpressionMeasure and MetabolicMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety and TaxonomicMeasure and TissueMeasure,  True.
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and CognitiveMeasure and GeneExpressionMeasure and MetabolicMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety and TaxonomicMeasure and TissueMeasure and ZeroDrugEfficacy,  True.
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and ClinicalOutcomeMeasure and CognitiveMeasure and GeneExpressionMeasure and MetabolicMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety and TaxonomicMeasure and TissueMeasure and ZeroDrugEfficacy,  True:
SatietyMeasure SubClassOf ASAAMeasure and BiologicalMeasure and BiophysicalMeasure and CognitiveMeasure and GeneExpressionMeasure and MetabolicMeasure and MolecularMeasure and PharmacodynamicMeasure and Satiety and SideEffectMeasure and TaxonomicMeasure and TissueMeasure and ZeroDrugEfficacy,  True.
AnxietyMeasure and NormalGeneExpression SubClassOf NeoplasmFrequency,  False.
AsthmaFrequency and BodyMassIndex SubClassOf BodyMassIndexIncrease,  False.
ModerateHamiltonDepressionScore and ZeroRemission SubClassOf AsthmaFrequency,  False.
CoagulationProfile and ERVisitFrequency SubClassOf SatietyFrequency,  False.
GeneExpressionMeasure and LowReductionInChildDepressionScore SubClassOf SatietyMeasure,  False.
Dose and PulmonaryFunctionMeasure SubClassOf ReninAngiotensinSystemMeasure,  False.
RemissionFrequency and TissueMeasure SubClassOf MyocardialInfarctionFrequency,  False.
BloodSerumProteinCount and LowMontgomeryAsbergDepressionRating SubClassOf AsthmaFrequency,  False.
BloodPressure and LowReductionInChildDepressionScore SubClassOf SatietyFrequency,  False.
LowRemission and PharmacodynamicMeasure SubClassOf ElectrocardiogramQTInterval,  False.
GeneExpressionDifference and LowReductionInHamiltonDepressionScore SubClassOf RemissionFrequency,  False.
ASAAConcentration and HighMontgomeryAsbergDepressionRating SubClassOf ReninAngiotensinSystemMeasure,  False.
HighHamiltonDepressionScore and LowHamiltonDepressionScore SubClassOf MyocardialInfarctionFrequency,  False.
GenotypeMeasure and PharmacodynamicMeasure SubClassOf CoagulationProfile,  False.
ModerateRemission and ZeroRemission SubClassOf AirwayResponsivenessUsingMethacholine,  False.
DiseaseSusceptibilityOdds and NeoplasmFrequency SubClassOf BodyMassIndexDifference,  False.
BiophysicalMeasure and SideEffectFrequency SubClassOf DepressionMeasure,  False.
MontgomeryAsbergDepressionRating and SideEffectRate SubClassOf HighDrugEfficacy,  False.
AnxietyMeasure and CoagulationProfile SubClassOf Gender,  False.
GeneExpression and TissueMeasure SubClassOf CognitiveMeasure,  False.
ASAAConcentration and NormalGeneExpression SubClassOf HighMontgomeryAsbergDepressionRating,  False.
PharmacodynamicMeasure and Race SubClassOf WeightMeasure,  False.
ASAAMeasure and Satiety SubClassOf HighRemission,  False.
MontgomeryAsbergDepressionRatingDifference and PathogenCount SubClassOf BiophysicalMeasure,  False\n
DrugClearance and MyocardialInfarctionFrequency SubClassOf LipidProfile,  False.
ChildDepressionMeasure and HamiltonDepressionMeasure SubClassOf ZeroRemission,  False.
PlasmaDrugConcentration and ZeroRemission SubClassOf ASAAConcentration,  False.
GenotypeMeasure and HamiltonDepressionScoreDifference SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
RemissionOddsRatio and WeigthGain SubClassOf WeightLoss,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf SimilarRemissionOddsRatio,  True.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ChildDepressionScore,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf MolecularMeasure,  False\n
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf RemissionFrequency,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf SatietyFrequency,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ASAAConcentrationIncrease,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ERVisitFrequency,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ForcedExperiatoryVolume,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf DailyBloodPressure,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf HighRemission,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf WeigthDifference,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf GeneExpressionDifference,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ExerciseResponse,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf NeoplasmFrequency,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf QualityOfLife,  False\n
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf AirwayResponsivenessUsingMethacholine,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf HighReductionInHamiltonAnxietyScore,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ModerateHamiltonDepressionScore,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf LowReductionInChildDepressionScore,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf BodyMassIndexDifference,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf HighHamiltonDepressionScore,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ForcedVitalCapacity,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf HamiltonDepressionMeasure,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf PlasmaDrugConcentration,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf ElectrocardiogramQTInterval,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf PharmacokineticMeasure,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf LowMontgomeryAsbergDepressionRating,  False.
ChildDepressionScoreDifference and HighReductionInMontgomeryAsbergDepressionRating SubClassOf RemissionMeasure,  True.
ChildDepressionScoreDifference SubClassOf RemissionMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating SubClassOf RemissionMeasure,  False.
BodyMassIndexIncrease and ChildDepressionMeasure SubClassOf ChildDepressionScore,  False.
BiologicalMeasure and Satiety SubClassOf BloodSerumProteinCount,  False.
EventFreeSurvivalTime and QualityOfLife SubClassOf GenotypeMeasure,  False.
BodyMassIndexDecrease and BoneMineralDensity SubClassOf Dose,  False.
ChildDepressionScoreDifference and ElectrocardiogramQTInterval SubClassOf ErythromycinClearanceMeasure,  False.
LowDrugEfficacy and ZeroRemission SubClassOf QualityOfLife,  False.
CellCount and SatietyFrequency SubClassOf HamiltonDepressionMeasure,  True for
ASAAConcentrationDecrease and ForcedExperiatoryVolume SubClassOf DrugEfficacyMeasure,  False.
DepressionMeasure and WeigthDifference SubClassOf BiophysicalMeasure,  False.
CognitiveMeasure and MolecularMeasure SubClassOf ClinicalOutcomeMeasure,  False.
BoneMineralDensity and LowReductionInHamiltonAnxietyScore SubClassOf ExerciseResponse,  False.
RemissionFrequency and SideEffectFrequency SubClassOf BodyMassIndex,  False.
ERVisitFrequency and GeneExpressionDifference SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
AnxietyMeasure and DrugClearance SubClassOf GenotypeMeasure,  False.
ForcedExperiatoryVolume and LowRemissionOddsRatio SubClassOf ASAAConcentration,  False.
ModerateHamiltonDepressionScore and Satiety SubClassOf BloodPressure,  False\n
MontgomeryAsbergDepressionRatingDifference and RemissionFrequency SubClassOf SatietyDifference,  False.
DepressionMeasure and WeightMeasure SubClassOf GeneExpressionMeasure,  False.
BodyMassIndex and HamiltonDepressionMeasure SubClassOf Dose,  False.
CognitiveMeasure and Dose SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
HamiltonDepressionScoreDifference and ModerateHamiltonDepressionScore SubClassOf TissueMeasure,  False\n
DepressionMeasure and DrugEfficacy SubClassOf RemissionFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and LowReductionInChildDepressionScore SubClassOf PharmacodynamicMeasure,  True for
AirwayResponsivenessUsingMethacholine and Weigth SubClassOf ErythromycinClearanceMeasure,  False\n
ModerateReductionInMontgomeryAsbergDepressionRating and Race SubClassOf Gender,  False\n
HamiltonDepressionScoreDifference and PulmonaryFunctionMeasure SubClassOf HighRemissionOddsRatio,  False.
HighHamiltonDepressionScore and NeoplasmFrequency SubClassOf BodyMassIndexDifference,  False.
HighReductionInChildDepressionScore and NormalGeneExpression SubClassOf ASAAConcentrationDecrease,  False.
GeneExpressionMeasure and HighReductionInHamiltonAnxietyScore SubClassOf _24HourBloodPressure,  False.
LowReductionInHamiltonAnxietyScore and PharmacokineticMeasure SubClassOf HomocysteineLevel,  False.
HamiltonDepressionMeasure and TissueMeasure SubClassOf ForcedVitalCapacity,  False.
IncreasedGeneExpression and SatietyDecrease SubClassOf HighReductionInChildDepressionScore,  False.
CognitiveMeasure and ModerateReductionInHamiltonAnxietyScore SubClassOf PulmonaryFunctionMeasure,  False.
ModerateReductionInMontgomeryAsbergDepressionRating and SideEffectRate SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
LowReductionInHamiltonAnxietyScore and Race SubClassOf ChildDepressionScoreDifference,  False\n
DrugEfficacy and SatietyMeasure SubClassOf LowerDiseaseSusceptibilityOdds,  False.
AnxietyMeasure and HighReductionInHamiltonDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  False.
HighReductionInHamiltonAnxietyScore and PathogenCount SubClassOf ZeroRemission,  False.
ClinicalOutcomeMeasure and HamiltonDepressionScoreDifference SubClassOf HamiltonAnxietyScore,  False.
ERVisitFrequency and ModerateReductionInChildDepressionScore SubClassOf NormalGeneExpression,  False.
LowDrugEfficacy and NeoplasmFrequency SubClassOf ChildDepressionScoreDifference,  False.
DailyBloodPressure and ZeroDrugEfficacy SubClassOf LowerDiseaseSusceptibilityOdds,  False.
MontgomeryAsbergDepressionRating and ReninAngiotensinSystemMeasure SubClassOf _24HourBloodPressure,  False.
MetabolicMeasure and WeightMeasure SubClassOf BodyMassIndexMeasure,  False.
LowMontgomeryAsbergDepressionRating and Weigth SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
BloodPressure and SatietyDecrease SubClassOf DiseaseSusceptibilityOdds,  False.
DoseFrequency and Race SubClassOf PulmonaryFunctionMeasure,  False.
AnxietyMeasure and SatietyDecrease SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
HighMontgomeryAsbergDepressionRating and LowReductionInMontgomeryAsbergDepressionRating SubClassOf ExerciseResponse,  False.
DrugEfficacy and LowHamiltonDepressionScore SubClassOf HighRemission,  False.
ErythromycinClearanceMeasure and LowHamiltonDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  False.
BodyMassIndexIncrease and PharmacokineticMeasure SubClassOf ZeroRemission,  False.
GeneExpression and ModerateRemission SubClassOf ASAAConcentration,  False.
LowMontgomeryAsbergDepressionRating and ModerateReductionInChildDepressionScore SubClassOf BloodPressure,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf BiophysicalMeasure,  True.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ChildDepressionScore,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf MolecularMeasure,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf RemissionFrequency,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf SatietyFrequency,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ASAAConcentrationIncrease,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ERVisitFrequency,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ForcedExperiatoryVolume,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf HighRemission,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf WeigthDifference,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf GeneExpressionDifference,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ExerciseResponse,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf NeoplasmFrequency,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf GenotypeMeasure,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf QualityOfLife,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf AirwayResponsivenessUsingMethacholine,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf HighReductionInHamiltonAnxietyScore,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ModerateHamiltonDepressionScore,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf LowReductionInChildDepressionScore,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf BodyMassIndexDifference,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf HighHamiltonDepressionScore,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ForcedVitalCapacity,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf HamiltonDepressionMeasure,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf PlasmaDrugConcentration,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf ElectrocardiogramQTInterval,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf PharmacokineticMeasure,  False.
ChildDepressionMeasure and DailyBloodPressure SubClassOf LowMontgomeryAsbergDepressionRating,  False.
