HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure, \nTrue
WeigthDifference SubClassOf AnxietyMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and AnxietyMeasure and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf HamiltonDepressionScore, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScore and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf SideEffectRate, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True.
WeigthDifference SubClassOf DepressionMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DepressionMeasure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf GeneExpression, \nTrue
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True.
WeigthDifference SubClassOf Dose, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and Dose and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf SatietyMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SatietyMeasure and SideEffectRate and TaxonomicMeasure and WeigthGain, True or
WeigthDifference SubClassOf LowerDiseaseSusceptibilityOdds, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and LowerDiseaseSusceptibilityOdds and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True or
WeigthDifference SubClassOf SideEffectFrequency, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf MyocardialInfarctionFrequency, \nTrue
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and MyocardialInfarctionFrequency and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf ZeroDrugEfficacy, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain and ZeroDrugEfficacy, True or
WeigthDifference SubClassOf Satiety, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and Satiety and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True or
WeigthDifference SubClassOf ClinicalOutcomeMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and ClinicalOutcomeMeasure and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf LipidProfile, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LipidProfile and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf BodyMassIndexDecrease, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True.
WeigthDifference SubClassOf HighDrugEfficacy, \nTrue
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighDrugEfficacy and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True or
WeigthDifference SubClassOf BodyMassIndexIncrease, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and BodyMassIndexIncrease and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf _24HourBloodPressure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain and _24HourBloodPressure, Here is
WeigthDifference SubClassOf HighReductionInHamiltonDepressionScore, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighReductionInHamiltonDepressionScore and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True or
WeigthDifference SubClassOf BodyMassIndex, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndex and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf DrugEfficacyMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and DrugEfficacyMeasure and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf BiophysicalMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BiophysicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf ChildDepressionScoreDifference, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and ChildDepressionScoreDifference and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf LowReductionInHamiltonAnxietyScore, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowReductionInHamiltonAnxietyScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf ChildDepressionMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionMeasure and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf HamiltonDepressionScoreDifference, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, True or
WeigthDifference SubClassOf HighRemissionOddsRatio, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and HighRemissionOddsRatio and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf LowDrugEfficacy, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowDrugEfficacy and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf ErythromycinClearanceMeasure, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ErythromycinClearanceMeasure and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf LowReductionInMontgomeryAsbergDepressionRating, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowReductionInMontgomeryAsbergDepressionRating and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf ModerateReductionInChildDepressionScore, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf ASAAConcentration, True
WeigthDifference SubClassOf ASAAConcentration and ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf ModerateReductionInHamiltonDepressionScore, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonDepressionScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf SimilarRemissionOddsRatio, True
WeigthDifference SubClassOf ASAAConcentrationDecrease and ASAAConcentrationDifference and ASAAMeasure and AirwayResponsivenessUsingMethacholine and BiologicalMeasure and BodyMassIndexDecrease and BodyMassIndexDifference and ChildDepressionScore and DailyBloodPressure and DrugClearance and ERVisitFrequency and ElectrocardiogramQTInterval and ExerciseResponse and ForcedExperiatoryVolume and GeneExpression and GeneExpressionDifference and HighRemission and IncreasedGeneExpression and LowReductionInChildDepressionScore and LowRemission and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and NeoplasmFrequency and PlasmaDrugConcentration and QualityOfLife and RemissionFrequency and SatietyDecrease and SatietyFrequency and SideEffectRate and SimilarRemissionOddsRatio and TaxonomicMeasure and WeigthGain, Here are
WeigthDifference SubClassOf EventFreeSurvivalTime, True
